Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,14.41,14.697,14.41,14.572,708678,0
1995-01-04,14.49,14.572,14.49,14.572,497218,0
1995-01-05,14.572,14.613,14.448,14.533,574664,0
1995-01-06,14.49,14.533,14.325,14.325,445017,0
1995-01-09,14.325,14.448,14.285,14.285,874255,0
1995-01-10,14.244,14.285,14.079,14.161,834923,0
1995-01-11,14.12,14.161,13.994,14.039,430452,0
1995-01-12,13.955,14.039,13.955,13.994,304451,0
1995-01-13,14.079,14.201,14.039,14.201,371210,0
1995-01-16,14.12,14.201,13.955,13.955,421711,0
1995-01-17,13.872,14.161,13.83,14.12,567865,0
1995-01-18,14.079,14.12,13.791,13.994,539215,0
1995-01-19,13.914,13.955,13.83,13.872,279685,0
1995-01-20,13.872,13.872,13.544,13.585,381408,0
1995-01-23,13.501,13.706,13.501,13.706,322902,0
1995-01-24,13.706,13.791,13.627,13.666,262935,0
1995-01-25,13.585,13.914,13.544,13.791,479495,0
1995-01-26,13.706,13.914,13.627,13.83,311733,0
1995-01-27,13.872,13.994,13.75,13.955,376068,0
1995-01-30,13.994,14.079,13.955,14.039,470023,0
1995-01-31,14.039,14.367,14.039,14.244,619333,0
1995-02-01,14.244,14.367,13.955,14.039,597242,0
1995-02-02,14.079,14.201,13.955,14.079,422684,0
1995-02-03,14.325,14.367,14.201,14.325,378493,0
1995-02-06,14.367,14.613,14.367,14.613,549172,0
1995-02-07,14.572,14.778,14.533,14.778,500615,0
1995-02-08,14.778,14.821,14.737,14.778,386023,0
1995-02-09,14.737,14.778,14.656,14.737,807247,0
1995-02-10,14.821,14.821,14.697,14.778,530478,0
1995-02-13,14.821,14.86,14.697,14.737,564467,0
1995-02-14,14.778,14.821,14.613,14.821,378493,0
1995-02-15,14.737,14.778,14.656,14.697,817201,0
1995-02-16,14.697,14.697,14.49,14.613,342804,0
1995-02-17,14.697,14.86,14.656,14.86,544069,0
1995-02-21,14.656,14.903,14.656,14.903,514941,0
1995-02-22,14.86,15.042,14.86,14.984,561553,0
1995-02-23,15.026,15.068,14.944,15.026,488720,0
1995-02-24,14.984,15.273,14.984,15.189,889551,0
1995-02-27,15.189,15.233,14.944,14.944,368784,0
1995-02-28,15.026,15.068,14.944,14.944,395976,0
1995-03-01,14.984,15.149,14.903,15.026,564954,0
1995-03-02,15.026,15.149,15.026,15.109,327755,0
1995-03-03,15.068,15.273,15.068,15.189,384081,0
1995-03-06,15.149,15.314,15.026,15.273,575389,0
1995-03-07,15.273,15.273,14.821,15.026,558397,0
1995-03-08,15.109,15.273,15.026,15.233,365627,0
1995-03-09,15.233,15.273,14.984,14.984,399133,0
1995-03-10,15.068,15.397,15.026,15.314,470265,0
1995-03-13,15.356,15.479,15.273,15.356,406660,0
1995-03-14,15.397,16.099,15.397,16.099,1088632,0
1995-03-15,15.933,15.933,15.687,15.85,746069,0
1995-03-16,15.933,16.419,15.933,16.336,629532,0
1995-03-17,16.419,16.707,16.419,16.625,1900250,0
1995-03-20,16.582,16.665,16.419,16.501,622976,0
