Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.5347,8.5778,8.4137,8.5778,108245,0
1995-01-04,8.5347,8.5778,8.2928,8.4137,58802,0
1995-01-05,8.4567,8.5778,8.3789,8.5778,66871,0
1995-01-06,8.5347,8.6991,8.4916,8.6557,100177,0
1995-01-09,8.5347,8.7334,8.5347,8.7334,99656,0
1995-01-10,8.6557,8.6557,8.4137,8.4567,280757,0
1995-01-11,8.4916,8.6557,8.4916,8.6557,123858,0
1995-01-12,8.6125,8.6991,8.5347,8.6991,68693,0
1995-01-13,8.6991,8.7768,8.5778,8.5778,95754,0
1995-01-16,8.6125,8.7334,8.5347,8.5778,54384,0
1995-01-17,8.5347,8.7334,8.5347,8.7334,96271,0
1995-01-18,8.6991,8.7334,8.6557,8.6557,199575,0
1995-01-19,8.6557,8.6991,8.6557,8.6991,24719,0
1995-01-20,8.6991,8.6991,8.6557,8.6991,45017,0
1995-01-23,8.6557,8.8971,8.5778,8.6991,120475,0
1995-01-24,8.7768,8.7768,8.6557,8.6557,236785,0
1995-01-25,8.6991,8.7768,8.6125,8.7334,84824,0
1995-01-26,8.7768,8.7768,8.6991,8.7334,21856,0
1995-01-27,8.7334,8.7334,8.6557,8.6557,41891,0
1995-01-30,8.6557,8.6557,8.6557,8.6557,14312,0
1995-01-31,8.6991,8.8115,8.6557,8.7768,192550,0
1995-02-01,8.8971,8.8971,8.6991,8.6991,54121,0
1995-02-02,8.7334,8.8115,8.7334,8.7768,86648,0
1995-02-03,8.8115,8.8971,8.8115,8.8115,120736,0
1995-02-06,8.8548,8.9755,8.7768,8.8115,63752,0
1995-02-07,8.8971,9.0968,8.8115,9.0193,145454,0
1995-02-08,9.0193,9.0968,8.9755,9.0193,115791,0
1995-02-09,8.9324,9.0539,8.9324,9.0193,123858,0
1995-02-10,9.0539,9.1394,9.0539,9.0968,59587,0
1995-02-13,9.0968,9.4144,9.0968,9.3734,100177,0
1995-02-14,9.341,9.581,9.341,9.4594,248751,0
1995-02-15,9.4594,9.816,9.4594,9.781,280757,0
1995-02-16,9.737,9.737,9.539,9.737,443124,0
1995-02-17,9.737,9.737,9.615,9.615,94973,0
1995-02-21,9.615,9.693,9.615,9.659,368706,0
1995-02-22,9.615,9.737,9.615,9.737,181879,0
1995-02-23,9.781,9.934,9.737,9.816,246672,0
1995-02-24,9.816,9.934,9.737,9.781,171215,0
1995-02-27,9.693,9.693,9.581,9.581,100699,0
1995-02-28,9.615,9.659,9.539,9.659,55945,0
1995-03-01,9.659,9.659,9.615,9.659,186305,0
1995-03-02,9.615,9.659,9.4953,9.4953,138166,0
1995-03-03,9.521,9.557,9.4328,9.4328,123858,0
1995-03-06,9.4773,9.719,9.4328,9.719,56205,0
1995-03-07,9.883,9.918,9.557,9.641,208425,0
1995-03-08,9.641,9.641,9.597,9.597,163928,0
1995-03-09,9.641,9.641,9.557,9.597,80664,0
1995-03-10,9.557,9.762,9.557,9.762,134523,0
1995-03-13,9.762,9.798,9.641,9.676,181098,0
1995-03-14,9.719,9.719,9.597,9.597,92113,0
1995-03-15,9.521,9.641,9.521,9.557,210767,0
1995-03-16,9.557,9.676,9.4328,9.4328,217789,0
1995-03-17,9.521,9.676,9.521,9.676,243552,0
1995-03-20,9.676,9.676,9.4773,9.4773,121511,0
1995-03-21,9.4773,9.641,9.4773,9.641,57766,0
1995-03-22,9.597,9.641,9.521,9.521,48398,0
1995-03-23,9.521,9.597,9.4328,9.597,88211,0
1995-03-24,9.597,9.719,9.557,9.641,123596,0
1995-03-27,9.719,9.762,9.676,9.762,60627,0
1995-03-28,9.676,9.762,9.641,9.676,79102,0
1995-03-29,9.641,9.676,9.557,9.597,33308,0
1995-03-30,9.641,9.762,9.557,9.719,102259,0
1995-03-31,9.762,9.918,9.719,9.798,135568,0
1995-04-03,9.883,10.006,9.883,9.918,101998,0
1995-04-04,9.883,10.04,9.883,10.006,389263,0
1995-04-05,9.961,9.961,9.841,9.883,53862,0
1995-04-06,9.798,9.798,9.719,9.762,142330,0
1995-04-07,9.798,9.961,9.798,9.918,137647,0
1995-04-10,9.918,9.961,9.883,9.961,127759,0
1995-04-11,10.006,10.006,9.841,9.883,20554,0
1995-04-12,9.841,9.961,9.762,9.961,58546,0
1995-04-13,9.961,10.204,9.961,10.006,136865,0
1995-04-17,10.082,10.082,9.762,9.798,106164,0
1995-04-18,9.883,10.159,9.798,9.883,195153,0
1995-04-19,9.883,10.04,9.883,10.04,97055,0
1995-04-20,10.006,10.006,9.798,9.918,69734,0
1995-04-21,10.006,10.324,9.918,10.282,154040,0
1995-04-24,10.448,11.094,10.403,10.929,1356176,0
1995-04-25,10.887,10.887,10.566,10.644,549545,0
1995-04-26,10.644,10.689,10.611,10.611,275033,0
1995-04-27,10.644,10.853,10.611,10.808,160542,0
1995-04-28,10.808,11.214,10.808,11.214,250574,0
1995-05-01,11.214,11.371,11.173,11.371,349189,0
1995-05-02,11.328,11.371,11.094,11.13,158202,0
1995-05-03,11.173,11.448,11.13,11.371,758490,0
1995-05-04,11.371,11.492,11.248,11.248,197496,0
1995-05-05,11.328,11.328,11.007,11.094,126197,0
1995-05-08,11.094,11.173,11.05,11.05,253436,0
1995-05-09,11.13,11.294,11.13,11.214,118391,0
1995-05-10,11.214,11.214,11.05,11.094,194113,0
1995-05-11,11.173,11.492,11.173,11.371,246929,0
1995-05-12,11.371,11.415,11.328,11.371,41375,0
1995-05-15,11.415,11.415,11.328,11.328,76761,0
1995-05-16,11.415,11.415,11.328,11.328,58023,0
1995-05-17,11.294,11.371,11.214,11.294,258901,0
1995-05-18,11.328,11.328,11.13,11.13,45534,0
1995-05-19,10.974,11.007,10.887,11.007,212585,0
1995-05-22,10.974,11.13,10.929,11.13,119954,0
1995-05-23,11.13,11.214,11.05,11.214,85869,0
1995-05-24,11.248,11.248,10.974,11.094,109806,0
1995-05-25,11.13,11.13,10.808,10.808,134002,0
1995-05-26,10.929,11.094,10.929,11.007,156904,0
1995-05-30,11.007,11.007,10.808,10.929,479033,0
1995-05-31,10.915,11.112,10.915,11.112,211802,0
1995-06-01,11.112,11.156,11.032,11.032,238862,0
1995-06-02,11.032,11.032,10.948,11.032,248235,0
1995-06-05,10.99,11.354,10.99,11.31,329156,0
1995-06-06,11.276,11.397,11.276,11.354,117869,0
1995-06-07,11.276,11.397,11.276,11.31,192550,0
1995-06-08,11.31,11.354,11.276,11.354,30444,0
1995-06-09,11.31,11.432,11.276,11.354,371310,0
1995-06-12,11.31,11.397,11.31,11.354,195410,0
1995-06-13,11.432,11.561,11.432,11.517,47095,0
1995-06-14,11.561,11.597,11.397,11.597,176678,0
1995-06-15,11.597,11.715,11.561,11.561,153520,0
1995-06-16,11.681,11.84,11.681,11.84,657791,0
1995-06-19,11.84,11.84,11.681,11.681,83787,0
1995-06-20,11.715,11.921,11.715,11.921,56465,0
1995-06-21,11.84,12.004,11.84,11.84,151698,0
1995-06-22,11.88,12.288,11.88,12.288,214665,0
1995-06-23,12.244,12.485,12.209,12.452,320831,0
1995-06-26,12.408,12.531,12.288,12.288,144150,0
1995-06-27,12.209,12.209,11.959,12.004,95754,0
