Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.1039,4.196,4.1039,4.1869,2899158,0
1995-01-04,4.2011,4.2531,4.1869,4.2389,3952889,0
1995-01-05,4.2531,4.2903,4.2389,4.2845,4410066,0
1995-01-06,4.2961,4.3045,4.2761,4.2961,5019169,0
1995-01-09,4.2845,4.3879,4.2761,4.3879,4244199,0
1995-01-10,4.3563,4.3937,4.2961,4.3045,5023352,0
1995-01-11,4.3045,4.3134,4.2531,4.2615,3052481,0
1995-01-12,4.2615,4.3419,4.2615,4.3419,3700609,0
1995-01-13,4.3419,4.3879,4.2845,4.2903,3537530,0
1995-01-16,4.2961,4.3937,4.2903,4.3937,4975961,0
1995-01-17,4.4109,4.4885,4.3879,4.4684,6924528,0
1995-01-18,4.4885,4.5112,4.4021,4.4538,3983558,0
1995-01-19,4.4309,4.4598,4.3419,4.3937,3837207,0
1995-01-20,4.3937,4.3937,4.3277,4.3563,3035756,0
1995-01-23,4.3192,4.4365,4.3192,4.4109,3720124,0
1995-01-24,4.3879,4.4365,4.3879,4.4225,2744443,0
1995-01-25,4.4309,4.4309,4.3794,4.3937,2257998,0
1995-01-26,4.3794,4.4365,4.3277,4.3364,2531191,0
1995-01-27,4.3419,4.3879,4.3364,4.3478,3643464,0
1995-01-30,4.3478,4.3563,4.2011,4.2011,3480384,0
1995-01-31,4.2389,4.3045,4.196,4.2389,4840761,0
1995-02-01,4.2703,4.3277,4.2615,4.3134,2621784,0
1995-02-02,4.3134,4.3364,4.3045,4.3192,2157647,0
1995-02-03,4.3364,4.3706,4.3192,4.3364,6288944,0
1995-02-06,4.3478,4.3478,4.2298,4.2298,5994848,0
1995-02-07,4.2298,4.2389,4.1784,4.2156,4963415,0
1995-02-08,4.2156,4.2298,4.1439,4.1555,5586456,0
1995-02-09,4.1355,4.196,4.1355,4.1784,4744591,0
1995-02-10,4.1784,4.3649,4.164,4.3364,6095201,0
1995-02-13,4.3045,4.4309,4.2961,4.4165,3293611,0
1995-02-14,4.4109,4.4365,4.3277,4.4365,3126356,0
1995-02-15,4.4684,4.5858,4.4684,4.5486,6492442,0
1995-02-16,4.5916,4.5916,4.5341,4.5573,4095062,0
1995-02-17,4.5832,4.5832,4.5542,4.5603,2699843,0
1995-02-21,4.5603,4.5659,4.5372,4.5603,2911702,0
1995-02-22,4.5542,4.5973,4.5542,4.5603,3466447,0
1995-02-23,4.5659,4.6117,4.5603,4.5772,2298419,0
1995-02-24,4.5832,4.5832,4.5542,4.5832,4294378,0
1995-02-27,4.5772,4.5832,4.4856,4.5028,2212004,0
1995-02-28,4.5143,4.6261,4.5084,4.6261,3773089,0
1995-03-01,4.5973,4.6117,4.5084,4.5229,2920067,0
1995-03-02,4.5542,4.5542,4.4856,4.5084,1583382,0
