Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.258,10.482,10.258,10.402,340323,0
1995-01-04,10.482,10.769,10.402,10.769,545387,0
1995-01-05,10.987,11.282,10.627,10.698,1296169,0
1995-01-06,10.698,10.842,10.627,10.698,450203,0
1995-01-09,10.627,10.769,10.402,10.482,158306,0
1995-01-10,10.627,10.627,10.402,10.402,163985,0
1995-01-11,10.402,10.627,10.258,10.258,124239,0
1995-01-12,10.258,10.482,10.115,10.482,215416,0
1995-01-13,10.402,10.482,10.402,10.482,244806,0
1995-01-16,10.402,11.058,10.402,10.987,979558,0
1995-01-17,11.058,11.21,10.842,11.21,685991,0
1995-01-18,11.058,11.21,10.698,10.842,316611,0
1995-01-19,10.698,10.842,10.698,10.769,324292,0
1995-01-20,10.554,10.627,10.115,10.33,534032,0
1995-01-23,10.115,10.33,10.042,10.042,537036,0
1995-01-24,10.115,10.186,10.042,10.186,286219,0
1995-01-25,10.042,10.186,9.971,9.971,159976,0
1995-01-26,9.971,10.042,9.971,10.042,236123,0
1995-01-27,10.115,10.33,9.971,10.33,243469,0
1995-01-30,10.33,10.482,10.186,10.258,637565,0
1995-01-31,10.482,10.482,10.042,10.042,164651,0
1995-02-01,10.042,10.258,10.042,10.152,330305,0
1995-02-02,10.258,10.402,10.115,10.402,261506,0
1995-02-03,10.258,10.627,10.258,10.402,627879,0
1995-02-06,10.482,10.627,10.482,10.554,271859,0
1995-02-07,10.627,10.698,10.554,10.627,498629,0
1995-02-08,10.554,10.698,10.554,10.68,145281,0
1995-02-09,10.698,10.842,10.554,10.842,234117,0
1995-02-10,10.842,10.842,10.698,10.698,189366,0
1995-02-13,10.842,10.842,10.554,10.627,272527,0
1995-02-14,10.554,10.769,10.554,10.698,168325,0
1995-02-15,10.554,10.842,10.554,10.842,529021,0
1995-02-16,10.698,10.842,10.698,10.842,379066,0
1995-02-17,10.842,10.915,10.698,10.915,567095,0
1995-02-21,10.842,10.915,10.769,10.915,227772,0
1995-02-22,10.825,10.987,10.769,10.878,418474,0
1995-02-23,10.987,10.987,10.842,10.987,320953,0
1995-02-24,10.842,10.987,10.842,10.949,225435,0
1995-02-27,10.842,10.987,10.842,10.842,51433,0
1995-02-28,10.987,11.058,10.842,11.058,122570,0
1995-03-01,10.987,11.139,10.915,10.987,678309,0
1995-03-02,10.987,11.21,10.987,11.058,177008,0
1995-03-03,11.21,11.354,11.058,11.21,131922,0
1995-03-06,11.22,11.363,11.148,11.363,120900,0
1995-03-07,11.148,11.363,11.004,11.004,205062,0
