Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,17.637,18.292,17.637,18.292,119278,0
1995-01-04,18.292,18.479,18.016,18.391,217802,0
1995-01-05,18.391,18.578,18.292,18.479,176852,0
1995-01-06,18.479,19.429,18.479,19.244,637229,0
1995-01-09,19.144,19.429,19.144,19.244,296576,0
1995-01-10,19.244,19.244,19.051,19.051,145947,0
1995-01-11,19.051,19.144,18.766,19.051,140480,0
1995-01-12,19.051,19.429,18.956,19.331,443863,0
1995-01-13,19.331,19.707,19.244,19.707,525429,0
1995-01-16,19.897,21.312,19.807,20.934,806494,0
1995-01-17,20.846,21.41,20.748,21.125,854477,0
1995-01-18,20.846,20.846,20.461,20.657,425006,0
1995-01-19,20.461,20.461,20.183,20.372,318892,0
1995-01-20,20.273,20.273,19.62,19.995,568497,0
1995-01-23,19.62,19.807,19.62,19.707,380818,0
1995-01-24,19.62,19.897,19.62,19.807,318892,0
1995-01-25,19.807,19.807,19.521,19.521,135458,0
1995-01-26,19.62,19.807,19.521,19.707,419427,0
1995-01-27,19.62,19.707,19.521,19.521,147621,0
1995-01-30,19.521,19.761,19.521,19.62,183547,0
1995-01-31,19.521,20.273,19.331,19.331,292450,0
1995-02-01,19.429,19.807,19.331,19.62,144608,0
1995-02-02,19.62,19.995,19.62,19.995,110799,0
1995-02-03,20.183,20.748,20.085,20.748,453461,0
1995-02-06,20.461,20.559,20.372,20.461,223491,0
1995-02-07,20.559,20.657,20.372,20.372,221484,0
1995-02-08,20.372,20.559,20.273,20.372,132334,0
1995-02-09,20.461,20.559,20.273,20.461,101089,0
1995-02-10,20.461,20.657,20.372,20.657,156881,0
1995-02-13,20.657,21.223,20.559,20.934,563924,0
1995-02-14,20.934,21.223,20.748,21.034,457254,0
1995-02-15,21.125,21.312,20.657,20.934,413402,0
1995-02-16,20.934,20.934,20.461,20.559,137131,0
1995-02-17,20.657,20.748,20.461,20.559,173060,0
1995-02-21,20.461,20.657,20.461,20.559,98856,0
1995-02-22,20.461,20.559,20.085,20.273,202299,0
1995-02-23,20.273,20.372,19.995,20.372,138137,0
1995-02-24,20.372,20.372,20.273,20.273,102875,0
1995-02-27,20.085,20.461,19.995,20.372,279504,0
1995-02-28,20.414,21.17,20.414,21.17,443975,0
1995-03-01,21.17,21.17,20.702,20.792,435047,0
1995-03-02,20.792,20.892,20.604,20.792,159782,0
1995-03-03,20.792,21.357,20.792,21.266,795117,0
1995-03-06,21.17,21.739,20.892,21.645,824013,0
1995-03-07,21.739,21.739,20.892,21.17,783957,0
1995-03-08,21.17,21.645,21.17,21.357,289217,0
1995-03-09,21.357,21.455,20.98,21.266,839636,0
1995-03-10,21.266,21.555,21.266,21.555,226616,0
1995-03-13,21.555,21.933,21.555,21.832,571066,0
1995-03-14,22.117,22.117,21.555,21.832,367320,0
1995-03-15,21.832,22.395,21.832,21.832,762089,0
1995-03-16,21.933,22.209,21.832,22.117,420655,0
1995-03-17,22.117,22.117,22.021,22.117,351474,0
1995-03-20,22.021,22.117,21.645,21.645,462050,0
1995-03-21,21.555,21.933,21.266,21.357,317667,0
1995-03-22,21.079,21.645,21.079,21.645,367654,0
1995-03-23,21.555,21.645,21.455,21.555,169266,0
1995-03-24,21.645,22.021,21.645,22.021,344891,0
1995-03-27,22.021,22.021,21.645,21.739,106671,0
1995-03-28,21.832,21.832,21.555,21.739,85471,0
1995-03-29,21.645,22.117,21.645,21.739,255850,0
1995-03-30,21.832,21.832,21.555,21.739,293564,0
1995-03-31,21.645,21.645,21.357,21.555,160450,0
1995-04-03,21.455,21.555,21.079,21.357,287654,0
1995-04-04,21.455,21.645,21.357,21.555,186672,0
1995-04-05,21.357,21.832,21.357,21.832,127646,0
1995-04-06,21.832,22.021,21.832,21.933,139141,0
1995-04-07,22.021,22.021,21.739,21.832,85916,0
1995-04-10,21.739,21.739,21.266,21.357,165810,0
1995-04-11,21.357,21.357,20.892,20.98,308741,0
1995-04-12,21.079,21.357,20.98,20.98,215907,0
1995-04-13,20.98,20.98,20.702,20.98,256855,0
1995-04-17,20.604,20.98,20.039,20.039,257750,0
1995-04-18,20.039,20.039,17.584,17.772,1819414,0
1995-04-19,17.96,18.338,17.486,17.584,1057549,0
1995-04-20,17.675,17.96,17.297,17.675,577644,0
1995-04-21,17.772,17.861,17.675,17.675,588696,0
1995-04-24,17.675,17.96,17.584,17.772,913946,0
1995-04-25,17.675,17.861,17.486,17.772,251946,0
1995-04-26,17.861,18.051,17.772,17.861,486934,0
1995-04-27,17.772,18.147,17.675,18.051,595390,0
1995-04-28,17.96,18.812,17.96,18.524,587020,0
1995-05-01,18.338,18.712,18.338,18.624,448995,0
1995-05-02,18.437,18.524,18.147,18.147,567606,0
1995-05-03,18.147,18.147,17.96,17.96,799355,0
1995-05-04,18.051,18.237,17.96,18.237,311861,0
1995-05-05,18.237,18.901,18.237,18.524,810288,0
1995-05-08,18.524,18.624,18.437,18.524,271363,0
1995-05-09,18.524,19,18.524,19,287427,0
1995-05-10,18.712,19.188,18.524,19.188,228852,0
1995-05-11,19.188,19.188,18.712,18.901,347124,0
1995-05-12,18.901,19.566,18.712,19.566,309524,0
1995-05-15,19.566,19.566,19.188,19.278,349243,0
1995-05-16,19.188,19.375,19.089,19.375,311753,0
1995-05-17,19.375,19.661,19.188,19.661,163131,0
1995-05-18,19.475,19.566,18.712,18.901,384392,0
1995-05-19,18.812,19.089,18.812,19.089,510028,0
1995-05-22,19.278,19.853,19.188,19.661,293343,0
1995-05-23,19.661,19.661,18.712,18.901,482802,0
1995-05-24,18.901,19.188,18.812,18.901,160565,0
1995-05-25,18.901,19,18.712,18.712,161455,0
1995-05-26,18.757,18.757,18.007,18.192,251724,0
1995-05-30,18.382,18.382,17.906,18.097,652294,0
1995-05-31,18.007,18.479,18.007,18.382,357278,0
1995-06-01,18.382,18.857,18.382,18.857,234096,0
1995-06-02,18.757,18.757,18.479,18.57,302608,0
1995-06-05,18.669,19.235,18.57,19.235,339203,0
1995-06-06,19.042,19.807,19.042,19.707,551758,0
1995-06-07,19.419,19.521,19.144,19.144,319117,0
1995-06-08,19.042,19.521,19.042,19.521,163910,0
1995-06-09,19.235,19.331,18.857,18.947,183547,0
1995-06-12,18.947,18.947,18.192,18.382,350360,0
1995-06-13,18.479,18.857,18.284,18.857,550421,0
1995-06-14,18.669,18.757,18.57,18.669,244022,0
1995-06-15,18.669,18.669,18.192,18.382,349691,0
1995-06-16,18.479,18.479,18.097,18.284,346679,0
1995-06-19,18.192,18.192,18.007,18.192,275043,0
1995-06-20,18.007,18.097,17.906,18.007,497531,0
1995-06-21,18.007,18.097,17.906,18.007,676283,0
1995-06-22,18.097,18.382,18.007,18.382,332507,0
1995-06-23,18.479,18.479,18.284,18.382,162903,0
1995-06-26,18.382,18.57,18.192,18.192,255407,0
1995-06-27,18.097,18.192,17.906,18.007,425228,0
1995-06-28,18.007,18.192,17.906,18.097,328935,0
1995-06-29,18.097,18.757,18.097,18.382,211109,0
1995-06-30,18.479,18.57,18.382,18.479,166700,0
1995-07-03,18.382,18.57,18.284,18.479,40841,0
1995-07-05,18.192,18.757,18.097,18.57,243020,0
1995-07-06,18.757,19.042,18.757,19.042,223943,0
1995-07-07,18.947,19.042,18.857,19.042,322910,0
1995-07-10,18.947,19.331,18.857,19.331,411168,0
1995-07-11,19.235,19.611,19.144,19.235,197269,0
1995-07-12,19.144,19.521,19.042,19.331,299254,0
1995-07-13,19.235,19.331,19.144,19.144,402354,0
1995-07-14,19.144,19.235,19.042,19.144,328488,0
1995-07-17,19.144,19.144,18.947,19.042,56012,0
1995-07-18,19.419,19.611,19.144,19.419,400793,0
