Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.8768,7.9397,7.8074,7.9082,129675,0
1995-01-04,7.9082,7.9082,7.7116,7.8449,225435,0
1995-01-05,7.8449,7.8768,7.8074,7.8074,43108,0
1995-01-06,7.8449,7.9397,7.7116,7.8768,584076,0
1995-01-09,7.8449,7.8768,7.8449,7.8449,196107,0
1995-01-10,7.8449,7.9397,7.8074,7.9397,251934,0
1995-01-11,7.9082,7.9728,7.8768,7.9728,188331,0
1995-01-12,7.9397,8.0747,7.9397,8.0747,1214796,0
1995-01-13,8.106,8.1449,8.0747,8.1449,804207,0
1995-01-16,8.1449,8.1449,8.106,8.1449,426130,0
1995-01-17,8.106,8.4437,8.0747,8.4437,999254,0
1995-01-18,8.4437,8.6085,8.4437,8.5067,1286878,0
1995-01-19,8.476,8.571,8.476,8.5397,1637041,0
1995-01-20,8.6085,8.6416,8.2396,8.4437,1331046,0
1995-01-23,8.4052,8.4052,8.3092,8.3421,107413,0
1995-01-24,8.3736,8.5397,8.3736,8.5067,178791,0
1995-01-25,8.5397,8.6085,8.476,8.571,251231,0
1995-01-26,8.6085,8.6416,8.571,8.6085,342392,0
1995-01-27,8.6085,8.6085,8.5067,8.5067,193634,0
1995-01-30,8.5397,8.5397,8.476,8.5067,494678,0
1995-01-31,8.5067,8.5067,8.3421,8.3736,191510,0
1995-02-01,8.4437,8.5568,8.4052,8.5067,255465,0
1995-02-02,8.5067,8.6085,8.476,8.571,184443,0
1995-02-03,8.6085,8.6416,8.5397,8.6085,130031,0
1995-02-06,8.6714,8.6714,8.571,8.6416,122260,0
1995-02-07,8.6416,8.6714,8.4437,8.476,759684,0
1995-02-08,8.4437,8.571,8.4052,8.571,472067,0
1995-02-09,8.6416,8.8064,8.6416,8.7434,363591,0
1995-02-10,8.707,8.7434,8.6714,8.707,138866,0
1995-02-13,8.7744,8.7744,8.571,8.571,245217,0
1995-02-14,8.6085,8.6085,8.4052,8.4437,581604,0
1995-02-15,8.476,8.476,8.2396,8.2713,738137,0
1995-02-16,8.2713,8.2713,8.0747,8.2153,742375,0
1995-02-17,8.2396,8.2713,8.1762,8.2085,525774,0
1995-02-21,8.2396,8.2396,8.106,8.2396,262888,0
1995-02-22,8.2085,8.2396,8.1762,8.1762,260415,0
1995-02-23,8.2396,8.3092,8.2085,8.2396,564641,0
1995-02-24,8.2713,8.2713,8.1762,8.1762,123318,0
1995-02-27,8.2266,8.2645,8.1321,8.1634,269953,0
1995-02-28,8.1957,8.3288,8.1957,8.2645,495388,0
1995-03-01,8.3288,8.3288,8.2645,8.2645,517652,0
1995-03-02,8.2645,8.3989,8.2645,8.2645,343097,0
1995-03-03,8.2266,8.3989,8.2266,8.299,533549,0
1995-03-06,8.3288,8.3288,8.1957,8.1957,544150,0
1995-03-07,8.2645,8.2645,8.1321,8.1634,87276,0
1995-03-08,8.1634,8.2266,8.0612,8.0612,437438,0
1995-03-09,8.0994,8.0994,7.9976,7.9976,479486,0
1995-03-10,7.9976,8.1634,7.9976,8.1634,1807706,0
1995-03-13,8.1634,8.299,8.1634,8.2645,535670,0
1995-03-14,8.3288,8.3605,8.299,8.3605,343802,0
1995-03-15,8.3989,8.4316,8.299,8.4316,502100,0
1995-03-16,8.3989,8.5978,8.3989,8.462,542033,0
1995-03-17,8.462,8.5335,8.3989,8.4316,519412,0
1995-03-20,8.4316,8.4942,8.4316,8.462,317657,0
1995-03-21,8.4316,8.563,8.3605,8.5335,537790,0
1995-03-22,8.4316,8.563,8.4316,8.4942,555457,0
1995-03-23,8.4942,8.5978,8.4942,8.5335,557225,0
1995-03-24,8.5335,8.6998,8.5335,8.6605,478078,0
1995-03-27,8.5978,8.6274,8.3605,8.5978,869579,0
1995-03-28,8.5978,8.5978,8.3989,8.462,341328,0
1995-03-29,8.4316,8.4316,8.3605,8.4316,216601,0
1995-03-30,8.4942,8.4942,8.2645,8.299,394686,0
1995-03-31,8.2645,8.299,8.0994,8.0994,554748,0
