Date,Open,High,Low,Close,Volume,OpenInt
1998-08-13,14.622,16.015,14.499,15.429,6286130,0
1998-08-14,16.132,16.191,14.211,14.39,1416439,0
1998-08-17,14.499,15.429,14.499,15.373,397064,0
1998-08-18,15.604,15.67,14.622,15.141,327044,0
1998-08-19,14.964,15.206,14.622,14.853,241837,0
1998-08-20,14.796,14.853,13.283,14.211,465358,0
1998-08-21,13.979,14.038,13.051,13.922,329091,0
1998-08-24,13.922,14.103,13.816,13.816,76697,0
1998-08-25,13.869,14.499,13.869,14.39,183343,0
1998-08-26,14.156,14.156,13.869,13.869,213292,0
1998-08-27,13.462,13.462,11.956,12.3,364746,0
1998-08-28,12.476,12.643,11.782,12.012,263163,0
1998-08-31,12.18,12.3,10.564,11.551,308516,0
1998-09-01,11.551,11.714,10.786,11.082,202300,0
1998-09-02,11.138,11.493,10.907,11.195,131205,0
1998-09-03,11.082,11.37,10.964,11.253,84345,0
1998-09-04,11.37,11.837,11.37,11.656,38025,0
1998-09-08,12.643,13.571,12.587,13.571,185391,0
1998-09-09,13.518,13.571,12.587,12.764,172680,0
1998-09-10,12.643,12.643,11.493,12.068,243562,0
1998-09-11,12.068,12.355,11.551,11.892,187545,0
1998-09-14,12.012,12.643,12.012,12.245,40719,0
1998-09-15,12.18,12.422,11.956,12.355,64092,0
1998-09-16,12.476,12.997,12.355,12.942,73144,0
1998-09-17,12.997,12.997,12.124,12.764,200794,0
1998-09-18,12.764,12.764,12.422,12.764,105461,0
1998-09-21,11.837,12.587,11.837,12.533,68834,0
1998-09-22,12.643,12.82,12.245,12.422,46646,0
1998-09-23,12.422,12.643,12.3,12.476,76697,0
1998-09-24,12.533,13.347,12.422,12.942,59247,0
1998-09-25,12.884,12.942,12.422,12.533,32101,0
1998-09-28,12.533,13.634,12.533,13.405,103197,0
1998-09-29,13.462,13.869,13.174,13.634,104706,0
1998-09-30,13.462,13.869,13.283,13.869,66356,0
1998-10-01,13.634,13.634,12.422,12.476,139285,0
1998-10-02,12.422,12.422,11.956,12.068,38887,0
1998-10-05,12.068,12.068,10.733,11.031,60218,0
1998-10-06,11.253,11.551,10.676,10.851,117848,0
1998-10-07,10.907,10.907,10.267,10.267,65602,0
1998-10-08,10.156,10.156,8.9304,9.1722,160077,0
1998-10-09,9.3395,10.446,9.2831,10.267,259718,0
1998-10-12,11.253,11.551,11.138,11.319,286217,0
1998-10-13,11.319,11.426,11.082,11.138,171173,0
1998-10-14,11.031,11.082,10.907,10.907,43198,0
1998-10-15,10.907,10.907,10.1,10.211,134759,0
1998-10-16,10.564,10.62,10.322,10.388,111170,0
1998-10-19,10.676,11.253,10.446,10.733,561447,0
1998-10-20,10.786,11.195,10.676,11.082,482812,0
1998-10-21,11.138,11.837,11.082,11.656,356992,0
1998-10-22,11.714,11.892,11.253,11.37,196808,0
1998-10-23,11.37,11.426,11.082,11.319,102444,0
1998-10-26,11.37,11.37,11.031,11.138,105461,0
1998-10-27,11.082,11.656,10.964,11.082,277168,0
1998-10-28,11.138,11.37,11.082,11.138,61406,0
1998-10-29,11.138,11.782,11.031,11.551,185175,0
1998-10-30,11.604,12.942,11.551,12.942,452433,0
1998-11-02,12.71,13.979,12.068,13.922,342234,0
1998-11-03,13.922,14.796,13.922,14.39,840450,0
1998-11-04,14.39,14.499,14.39,14.499,236130,0
1998-11-05,14.277,14.445,13.922,14.038,306251,0
1998-11-06,14.156,14.211,14.038,14.211,116016,0
1998-11-09,14.103,14.156,13.749,13.749,79499,0
1998-11-10,13.692,14.277,13.571,14.038,83701,0
1998-11-11,14.156,14.334,13.816,13.922,49336,0
1998-11-12,13.922,13.979,13.816,13.979,54294,0
1998-11-13,13.979,14.038,13.692,13.922,54722,0
1998-11-16,13.979,14.39,13.979,14.211,65280,0
1998-11-17,14.277,14.853,13.922,14.853,233433,0
1998-11-18,14.91,15.67,14.853,15.493,329844,0
1998-11-19,15.726,15.782,15.206,15.782,116126,0
1998-11-20,16.245,16.653,16.015,16.191,423348,0
1998-11-23,16.245,16.479,16.132,16.356,144026,0
1998-11-24,16.132,16.421,15.782,15.782,706333,0
1998-11-25,15.958,16.535,15.958,16.479,255411,0
1998-11-27,16.479,16.535,16.303,16.421,23481,0
1998-11-30,16.535,17.23,16.535,16.999,353329,0
1998-12-01,16.821,17.23,16.653,17.174,164705,0
1998-12-02,17.062,17.285,16.885,17.118,107187,0
1998-12-03,17.118,17.174,16.942,17.062,229341,0
1998-12-04,17.118,17.406,16.999,17.062,160077,0
1998-12-07,17.118,17.638,17.062,17.406,180865,0
1998-12-08,17.638,18.567,17.581,18.567,423563,0
1998-12-09,18.567,18.799,17.406,17.463,280510,0
1998-12-10,17.463,17.638,17.406,17.526,296344,0
1998-12-11,17.581,17.694,17.526,17.581,162877,0
1998-12-14,17.638,17.694,17.463,17.581,332969,0
1998-12-15,17.526,17.751,17.526,17.526,279107,0
1998-12-16,17.581,18.046,17.581,17.927,228695,0
1998-12-17,17.992,18.1,17.638,17.638,240223,0
1998-12-18,17.751,17.992,17.463,17.581,286541,0
1998-12-21,17.638,18.1,17.526,17.87,81008,0
1998-12-22,17.812,18.456,17.638,18.456,46750,0
1998-12-23,18.567,19.848,18.567,19.848,254440,0
1998-12-24,19.848,20.424,19.727,20.424,203595,0
1998-12-28,20.655,22.047,20.655,20.942,1255504,0
1998-12-29,20.942,21,19.317,19.958,252393,0
1998-12-30,19.958,19.958,18.1,18.1,501771,0
1998-12-31,17.992,20.777,17.694,20.777,2494955,0
1999-01-04,20.655,21.297,19.958,20.19,1545491,0
1999-01-05,20.19,20.311,17.992,18.62,1589226,0
1999-01-06,18.62,18.919,18.1,18.1,1246560,0
1999-01-07,17.87,17.87,16.821,17.285,1406637,0
1999-01-08,17.638,18.216,17.174,17.23,846160,0
1999-01-11,17.406,17.751,16.942,17.062,1838822,0
1999-01-12,17.174,17.87,17.174,17.35,900664,0
1999-01-13,16.821,17.062,16.479,17.062,1678311,0
1999-01-14,17.23,17.638,17.174,17.23,998368,0
1999-01-15,17.174,17.694,17.174,17.463,841203,0
1999-01-19,17.87,17.992,15.316,16.356,1267567,0
1999-01-20,16.709,17.118,16.479,16.821,1144010,0
1999-01-21,16.942,16.999,16.015,16.598,657536,0
1999-01-22,16.015,16.015,15.085,15.206,695886,0
1999-01-25,15.316,15.782,14.39,14.39,924472,0
1999-01-26,14.156,15.316,13.749,15.316,1356975,0
1999-01-27,15.316,15.316,14.796,15.029,409884,0
1999-01-28,15.782,17.062,15.782,16.598,1043183,0
1999-01-29,16.821,17.174,16.479,16.709,616174,0
1999-02-01,16.885,17.35,16.709,17.174,1240636,0
1999-02-02,19.958,20.19,19.032,20.19,2004708,0
1999-02-03,21.352,21.352,20.424,20.655,2090350,0
1999-02-04,20.424,20.478,19.495,19.727,736392,0
1999-02-05,19.958,20.246,18.512,18.676,739620,0
1999-02-08,18.456,18.567,17.992,18.046,792512,0
1999-02-09,17.812,18.456,17.174,17.174,733049,0
1999-02-10,17.174,17.285,15.782,16.303,930397,0
1999-02-11,16.245,17.35,16.245,17.062,385645,0
1999-02-12,17.062,17.285,16.709,17.062,310886,0
1999-02-16,17.062,17.526,16.015,16.132,338249,0
1999-02-17,16.245,16.885,16.132,16.709,621773,0
1999-02-18,16.821,17.526,16.821,17.406,469561,0
1999-02-19,17.581,18.676,17.526,18.1,892367,0
1999-02-22,18.158,18.567,16.999,17.285,672725,0
1999-02-23,17.174,17.694,17.118,17.23,399759,0
1999-02-24,17.174,17.35,16.942,17.174,422270,0
1999-02-25,17.174,17.174,16.245,16.356,639440,0
1999-02-26,16.535,16.942,15.782,16.069,571573,0
1999-03-01,16.356,17.062,16.191,16.653,687808,0
1999-03-02,16.821,16.942,15.782,15.837,809965,0
1999-03-03,15.958,16.356,15.726,15.782,529345,0
1999-03-04,15.893,15.893,14.964,15.029,1512097,0
1999-03-05,15.429,15.67,15.316,15.429,853700,0
1999-03-08,15.206,15.261,14.964,15.029,625218,0
1999-03-09,14.853,14.964,14.742,14.742,1139270,0
1999-03-10,14.796,15.206,14.742,14.853,718936,0
1999-03-11,15.085,15.726,15.029,15.373,678004,0
1999-03-12,15.206,15.261,14.39,14.676,1237619,0
1999-03-15,14.499,14.676,13.462,13.518,1210365,0
1999-03-16,13.634,15.782,13.571,15.261,1251085,0
1999-03-17,15.206,15.373,14.796,15.029,502844,0
1999-03-18,15.029,15.085,14.676,14.796,417101,0
1999-03-19,14.853,15.316,14.853,15.316,1209290,0
1999-03-22,15.67,16.821,15.55,16.598,751686,0
1999-03-23,16.653,16.709,15.55,16.245,488302,0
1999-03-24,16.303,16.421,15.782,16.015,622094,0
1999-03-25,16.132,16.999,16.132,16.766,422381,0
1999-03-26,16.709,16.766,16.535,16.535,314550,0
1999-03-29,16.535,17.406,16.479,17.174,430778,0
