Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.5153,5.6226,5.5153,5.56,530702,0
1995-01-04,5.5153,5.5421,5.5153,5.5421,302491,0
1995-01-05,5.5421,5.5869,5.5153,5.56,265350,0
1995-01-06,5.5869,5.5869,5.5153,5.56,672999,0
1995-01-09,5.56,5.6495,5.4887,5.5153,424424,0
1995-01-10,5.5421,5.6226,5.5153,5.56,484610,0
1995-01-11,5.56,5.5869,5.4887,5.56,166237,0
1995-01-12,5.56,5.5869,5.5153,5.5869,124621,0
1995-01-13,5.5869,5.7389,5.56,5.7122,471187,0
1995-01-16,5.7122,5.7122,5.6226,5.7122,361781,0
1995-01-17,5.6941,5.7659,5.6941,5.7122,566276,0
1995-01-18,5.7389,5.7389,5.6674,5.7122,112761,0
1995-01-19,5.6226,5.6674,5.6226,5.6495,226420,0
1995-01-20,5.6941,5.7122,5.6226,5.7122,362229,0
1995-01-23,5.6495,5.6495,5.6226,5.6226,233579,0
1995-01-24,5.6674,5.7122,5.6049,5.6226,362229,0
1995-01-25,5.6049,5.6226,5.5869,5.5869,1309303,0
1995-01-26,5.6049,5.6049,5.5421,5.6049,797171,0
1995-01-27,5.6049,5.6049,5.5869,5.5869,252822,0
1995-01-30,5.56,5.5869,5.5153,5.5153,450158,0
1995-01-31,5.5153,5.5421,5.5153,5.5153,360215,0
1995-02-01,5.56,5.56,5.4887,5.5153,579251,0
1995-02-02,5.5421,5.56,5.5153,5.5421,579926,0
1995-02-03,5.5421,5.6226,5.5153,5.5153,535849,0
1995-02-06,5.5869,5.7122,5.5869,5.6941,973027,0
1995-02-07,5.7122,5.8729,5.7122,5.8462,1265899,0
1995-02-08,5.8462,5.8908,5.8462,5.8908,768308,0
1995-02-09,5.8729,5.8908,5.8103,5.8103,244097,0
1995-02-10,5.8103,5.8908,5.8103,5.8908,258637,0
1995-02-13,5.9353,6.0071,5.8462,5.8462,454856,0
1995-02-14,5.8283,5.8283,5.7389,5.7833,462241,0
1995-02-15,5.8283,5.8283,5.8103,5.8283,344556,0
1995-02-16,5.8283,5.9625,5.8283,5.8908,326654,0
1995-02-17,5.8908,5.9179,5.8283,5.9179,386616,0
1995-02-21,5.8908,5.9353,5.8729,5.8908,888456,0
1995-02-22,5.8908,5.9353,5.8103,5.8103,422189,0
1995-02-23,5.8462,5.8908,5.8283,5.8729,1215110,0
1995-02-24,5.8283,5.8908,5.7833,5.8908,288171,0
1995-02-27,5.8729,5.8908,5.7833,5.8103,206507,0
1995-02-28,5.8103,5.8462,5.7659,5.8283,494010,0
1995-03-01,5.8103,5.8103,5.7833,5.8103,481924,0
1995-03-02,5.7833,5.8283,5.7122,5.7389,374760,0
1995-03-03,5.6941,5.7389,5.6226,5.6674,637425,0
1995-03-06,5.6941,5.7122,5.6226,5.6941,632950,0
1995-03-07,5.6941,5.7122,5.6674,5.6941,549719,0
1995-03-08,5.7122,5.7389,5.6495,5.6674,384824,0
1995-03-09,5.6674,5.6674,5.6049,5.6226,320389,0
