Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.446,13.563,13.334,13.334,2853420,0
1995-01-04,13.295,13.475,13.295,13.475,2585753,0
1995-01-05,13.405,13.475,13.334,13.475,1754481,0
1995-01-06,13.446,13.475,13.106,13.256,2809106,0
1995-01-09,13.185,13.256,13.147,13.225,1230096,0
1995-01-10,13.225,13.334,13.106,13.256,1942691,0
1995-01-11,13.295,13.405,13.068,13.106,4078680,0
1995-01-12,13.106,13.147,12.997,12.997,2418685,0
1995-01-13,13.106,13.225,12.997,13.225,2316303,0
1995-01-16,13.185,13.256,13.185,13.225,872020,0
1995-01-17,13.225,13.405,13.225,13.405,1551502,0
1995-01-18,13.365,13.671,13.365,13.671,2369531,0
1995-01-19,13.592,13.703,13.563,13.671,1793193,0
1995-01-20,13.633,13.853,13.633,13.853,3423643,0
1995-01-23,13.703,13.891,13.703,13.813,2922693,0
1995-01-24,13.782,13.932,13.742,13.853,3522462,0
1995-01-25,13.891,14.189,13.782,14.049,3691824,0
1995-01-26,14.01,14.01,13.891,13.932,1987006,0
1995-01-27,13.891,13.891,13.742,13.853,1844129,0
1995-01-30,13.782,13.813,13.334,13.592,2063660,0
1995-01-31,13.563,13.563,13.295,13.365,2827445,0
1995-02-01,13.446,13.515,13.225,13.446,2439059,0
1995-02-02,13.446,13.633,13.446,13.592,1338846,0
1995-02-03,13.592,13.742,13.563,13.703,1794976,0
1995-02-06,13.633,14.01,13.633,14.01,1956187,0
1995-02-07,13.969,14.01,13.891,13.891,1412704,0
1995-02-08,13.891,14.08,13.891,14.049,2154584,0
1995-02-09,14.08,14.08,13.969,14.01,1363805,0
1995-02-10,14.182,14.182,13.807,13.807,1663559,0
1995-02-13,13.728,14.151,13.687,14.034,1897105,0
1995-02-14,14.034,14.182,14.034,14.151,1553542,0
1995-02-15,14.151,14.262,14.064,14.222,2473438,0
1995-02-16,14.222,14.262,14.182,14.222,2521830,0
1995-02-17,14.222,14.291,14.222,14.222,4029015,0
1995-02-21,14.182,14.333,14.182,14.291,2949689,0
