Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.7202,8.8978,8.7202,8.8978,472799,0
1995-01-04,8.8978,8.9287,8.8366,8.869,598381,0
1995-01-05,8.8366,8.869,8.7441,8.7825,458042,0
1995-01-06,8.7825,8.8051,8.7441,8.7441,694956,0
1995-01-09,8.7825,8.7825,8.7202,8.7202,486782,0
1995-01-10,8.7202,8.7825,8.7202,8.7202,1118300,0
1995-01-11,8.7441,8.7441,8.6585,8.7202,814322,0
1995-01-12,8.7202,8.8366,8.7202,8.7825,896921,0
1995-01-13,8.8366,8.8366,8.7825,8.8051,1396391,0
1995-01-16,8.8366,8.9905,8.8366,8.8978,494292,0
1995-01-17,8.869,9.0217,8.8366,9.0217,509568,0
1995-01-18,9.0217,9.0217,8.9287,8.9604,578181,0
1995-01-19,8.9287,8.9905,8.9287,8.9905,1017319,0
1995-01-20,8.9905,8.9905,8.8978,8.9287,599153,0
1995-01-23,8.9287,9.0217,8.8978,9.0217,645504,0
1995-01-24,8.9905,9.0851,8.9905,9.0851,675799,0
1995-01-25,9.1071,9.1444,9.0528,9.1071,427745,0
1995-01-26,9.1071,9.1775,9.0851,9.1775,777037,0
1995-01-27,9.1775,9.1775,9.1444,9.1775,603556,0
1995-01-30,9.1775,9.2006,9.1444,9.1775,343073,0
1995-01-31,9.1775,9.3221,9.1444,9.3007,1014732,0
1995-02-01,9.2617,9.3221,9.2376,9.2376,560577,0
1995-02-02,9.2376,9.2617,9.2376,9.2617,947673,0
1995-02-03,9.3221,9.4784,9.3221,9.4457,582066,0
1995-02-06,9.4784,9.539,9.4457,9.507,522255,0
1995-02-07,9.539,9.539,9.4457,9.4784,473319,0
1995-02-08,9.507,9.507,9.3871,9.3871,258927,0
1995-02-09,9.3221,9.3871,9.2376,9.2617,420496,0
1995-02-10,9.2376,9.3007,9.2376,9.2617,191606,0
1995-02-13,9.3221,9.3616,9.2006,9.2006,726806,0
1995-02-14,9.2617,9.2617,9.1444,9.1775,857307,0
1995-02-15,9.2006,9.2006,9.1444,9.2006,1028200,0
1995-02-16,9.2006,9.3221,9.1775,9.3007,672949,0
1995-02-17,9.3221,9.3221,9.2617,9.2617,464253,0
1995-02-21,9.3007,9.416,9.2617,9.3871,676834,0
1995-02-22,9.3871,9.4784,9.3616,9.4784,706349,0
1995-02-23,9.539,9.571,9.4457,9.4784,2482849,0
1995-02-24,9.3871,9.4457,9.3221,9.3221,1857541,0
1995-02-27,9.3616,9.4239,9.3007,9.3221,1387588,0
1995-02-28,9.3616,9.4239,9.3007,9.4239,283781,0
1995-03-01,9.3871,9.4239,9.2376,9.3007,871029,0
1995-03-02,9.3007,9.3007,9.1444,9.2006,2208902,0
1995-03-03,9.1775,9.2617,9.1071,9.2617,1038555,0
1995-03-06,9.2376,9.2376,9.0443,9.1071,2003832,0
1995-03-07,9.0851,9.1775,9.0443,9.1071,568601,0
1995-03-08,9.0851,9.1071,8.984,9.0851,784028,0
1995-03-09,9.0443,9.0851,8.984,8.984,564974,0
1995-03-10,9.0217,9.1444,8.9202,9.0851,577666,0
1995-03-13,9.0851,9.1444,9.0217,9.0217,226302,0
1995-03-14,9.0851,9.1071,9.0217,9.0443,329872,0
1995-03-15,9.0851,9.0851,9.0217,9.0443,159500,0
1995-03-16,9.0443,9.1071,9.0217,9.0217,295696,0
1995-03-17,9.0217,9.0217,8.9604,8.984,867403,0
1995-03-20,8.9604,8.984,8.8606,8.9202,532353,0
1995-03-21,8.9202,8.9202,8.8366,8.8606,554621,0
1995-03-22,8.8606,8.8978,8.8366,8.8606,487043,0
1995-03-23,8.8978,8.8978,8.7975,8.8978,521735,0
1995-03-24,8.9202,8.984,8.8978,8.9604,748559,0
1995-03-27,9.0217,9.0217,8.8978,8.9202,252451,0
1995-03-28,8.9202,9.0443,8.8978,9.0443,486524,0
1995-03-29,9.0217,9.1444,8.9604,9.0443,542970,0
1995-03-30,9.1071,9.1444,9.0217,9.0443,299835,0
1995-03-31,9.0217,9.0217,8.8606,8.9202,880609,0
1995-04-03,8.8978,8.984,8.8978,8.9604,383729,0
1995-04-04,9.0443,9.1071,8.984,9.1071,433956,0
1995-04-05,9.0851,9.1775,9.0851,9.1775,575076,0
1995-04-06,9.2006,9.2376,9.1071,9.2376,548670,0
1995-04-07,9.2006,9.2376,9.1071,9.1071,1128142,0
1995-04-10,9.1071,9.1071,9.0217,9.1071,642139,0
1995-04-11,9.1444,9.1444,9.0443,9.1071,446647,0
1995-04-12,9.0851,9.1071,9.0217,9.0443,201962,0
1995-04-13,9.0443,9.0851,8.984,9.0851,456230,0
1995-04-17,9.1071,9.1071,8.9202,8.9202,466846,0
1995-04-18,8.9604,8.9604,8.8978,8.9604,314598,0
1995-04-19,8.9604,9.0217,8.9202,9.0217,224230,0
1995-04-20,9.0443,9.0443,8.984,9.0217,275238,0
1995-04-21,9.0851,9.0851,8.9202,8.9202,673469,0
1995-04-24,8.9202,9.0851,8.8978,9.0443,323402,0
1995-04-25,9.0443,9.1071,8.984,8.984,430854,0
1995-04-26,9.0443,9.1071,8.9604,9.0443,430854,0
1995-04-27,8.984,9.0443,8.9604,8.984,265921,0
1995-04-28,8.984,9.0443,8.9604,9.0443,289480,0
1995-05-01,9.0443,9.0443,8.9202,9.0443,726031,0
1995-05-02,9.0443,9.0443,8.9604,9.0217,219051,0
1995-05-03,9.0217,9.0851,8.984,9.0443,330649,0
1995-05-04,9.0443,9.1071,8.8606,9.0443,900288,0
1995-05-05,9.1071,9.1071,9.0217,9.0851,1134097,0
1995-05-08,9.1071,9.1071,9.0443,9.0851,603556,0
1995-05-09,9.1071,9.1775,9.1071,9.1444,1541128,0
1995-05-10,9.1444,9.2006,9.1071,9.1775,838402,0
1995-05-11,9.3007,9.3007,9.2006,9.2376,630747,0
1995-05-12,9.2006,9.3007,9.2006,9.2617,326245,0
1995-05-15,9.3007,9.3007,9.2376,9.3007,228115,0
1995-05-16,9.3007,9.3616,9.2376,9.3616,650939,0
1995-05-17,9.3221,9.3616,9.3007,9.3221,387614,0
1995-05-18,9.3221,9.3221,9.1775,9.2006,749593,0
1995-05-19,9.1444,9.2376,9.1071,9.2006,423603,0
1995-05-22,9.2006,9.2617,9.1775,9.2376,198077,0
1995-05-23,9.2376,9.2617,9.1775,9.2617,553065,0
1995-05-24,9.2617,9.3221,9.1775,9.2006,1013959,0
1995-05-25,9.1444,9.3007,9.1139,9.2376,1992699,0
1995-05-26,9.3007,9.338,9.2784,9.338,1716425,0
1995-05-30,9.338,9.3616,9.3007,9.3616,2606354,0
1995-05-31,9.338,9.3616,9.3007,9.3616,1263042,0
1995-06-01,9.3616,9.4625,9.338,9.4298,1269262,0
1995-06-02,9.4625,9.625,9.4625,9.586,746225,0
1995-06-05,9.586,9.747,9.554,9.709,535719,0
1995-06-06,9.647,9.647,9.586,9.647,675279,0
1995-06-07,9.625,9.647,9.4932,9.554,389168,0
1995-06-08,9.554,9.554,9.338,9.3616,628155,0
1995-06-09,9.338,9.4008,9.2784,9.338,690040,0
1995-06-12,9.3007,9.4932,9.3007,9.4932,729654,0
1995-06-13,9.554,9.554,9.4932,9.525,234588,0
1995-06-14,9.525,9.586,9.4625,9.586,488333,0
1995-06-15,9.525,9.525,9.4298,9.4625,532872,0
1995-06-16,9.4932,9.525,9.4625,9.4932,1385774,0
1995-06-19,9.525,9.586,9.4932,9.525,226818,0
1995-06-20,9.554,9.554,9.525,9.554,326766,0
1995-06-21,9.586,9.625,9.525,9.554,1431086,0
1995-06-22,9.586,9.647,9.554,9.586,980812,0
1995-06-23,9.525,9.554,9.4298,9.4932,497139,0
1995-06-26,9.4932,9.4932,9.4008,9.4298,491180,0
1995-06-27,9.4298,9.4932,9.4008,9.4298,518115,0
1995-06-28,9.4625,9.4932,9.4298,9.4625,482122,0
1995-06-29,9.4298,9.4298,9.3007,9.338,367935,0
1995-06-30,9.338,9.3616,9.2132,9.2132,999196,0
1995-07-03,9.2132,9.2132,9.1444,9.2132,524843,0
1995-07-05,9.2132,9.2376,9.1444,9.1775,656380,0
1995-07-06,9.1775,9.2376,9.1444,9.2132,695994,0
1995-07-07,9.2132,9.2784,9.1775,9.1775,745967,0
1995-07-10,9.2132,9.2784,9.1775,9.2376,406254,0
1995-07-11,9.1775,9.2132,9.1444,9.2132,393049,0
1995-07-12,9.2132,9.2376,9.1139,9.1775,793867,0
1995-07-13,9.2132,9.2376,9.1444,9.2132,472279,0
1995-07-14,9.1775,9.2376,9.1444,9.2132,539086,0
1995-07-17,9.2376,9.2784,9.2132,9.2784,576888,0
1995-07-18,9.2132,9.2132,9.0217,9.0217,2738407,0
1995-07-19,9.0217,9.0851,8.9202,9.0217,1455424,0
1995-07-20,8.9604,9.0528,8.8978,8.984,828306,0
1995-07-21,8.9604,8.9604,8.7975,8.8606,1474843,0
1995-07-24,8.8978,9.0217,8.8978,8.9604,822610,0
1995-07-25,8.9604,9.0851,8.9604,9.0528,395899,0
1995-07-26,9.0217,9.0528,8.984,8.984,673986,0
1995-07-27,9.0217,9.0528,8.9604,9.0217,815362,0
1995-07-28,9.0217,9.0217,8.9202,8.984,1381630,0
1995-07-31,8.984,8.984,8.9604,8.984,541417,0
1995-08-01,8.9604,8.984,8.9604,8.984,310197,0
1995-08-02,8.984,9.0528,8.984,8.984,973305,0
1995-08-03,8.984,9.0217,8.9604,8.984,1561067,0
1995-08-04,9.0217,9.0528,8.984,9.0217,3690482,0
1995-08-07,9.0528,9.0528,8.984,9.0217,290256,0
1995-08-08,9.0217,9.0851,9.0217,9.0528,421014,0
1995-08-09,9.0528,9.0528,8.9604,8.9604,381139,0
1995-08-10,8.984,9.0217,8.984,8.984,380882,0
1995-08-11,8.984,9.0217,8.9604,8.984,349810,0
1995-08-14,8.984,9.0528,8.9604,9.0217,811220,0
1995-08-15,9.0528,9.0851,8.984,9.0217,906761,0
1995-08-16,9.0217,9.0851,8.984,9.0851,482638,0
1995-08-17,9.0528,9.1139,9.0217,9.0851,594751,0
1995-08-18,9.1139,9.1775,9.0851,9.1775,530802,0
1995-08-21,9.2376,9.2784,9.1444,9.1444,322363,0
1995-08-22,9.1775,9.2784,9.1775,9.2132,702983,0
1995-08-23,9.2132,9.2376,9.1775,9.2132,369226,0
1995-08-24,9.2132,9.2132,9.1444,9.1775,269542,0
1995-08-25,9.2376,9.3616,9.2376,9.338,925410,0
1995-08-28,9.3616,9.4008,9.2376,9.338,1845884,0
1995-08-29,9.3085,9.3085,9.2132,9.2443,1839675,0
1995-08-30,9.2784,9.3085,9.2443,9.3085,1684576,0
1995-08-31,9.2784,9.3085,9.2443,9.2784,184097,0
1995-09-01,9.2443,9.2784,9.2132,9.2443,686676,0
1995-09-05,9.2443,9.2784,9.1775,9.2784,551774,0
1995-09-06,9.2784,9.3449,9.2784,9.3449,833484,0
1995-09-07,9.3085,9.3449,9.2443,9.3085,155097,0
1995-09-08,9.3085,9.3085,9.2132,9.2784,488333,0
1995-09-11,9.2443,9.2784,9.1775,9.2132,407292,0
1995-09-12,9.2443,9.2784,9.2132,9.2132,594751,0
1995-09-13,9.2443,9.2784,9.2132,9.2132,305017,0
1995-09-14,9.2443,9.3085,9.2132,9.2784,884748,0
1995-09-15,9.4298,9.4298,9.3449,9.4077,1107171,0
1995-09-18,9.4077,9.4298,9.3085,9.3694,583102,0
