Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4064.86,4166.04,4064.86,4146.14,327481,0
1995-01-04,4156.09,4156.09,4104.68,4146.14,188829,0
1995-01-05,4166.04,4175.98,4114.61,4124.56,205183,0
1995-01-06,4124.56,4124.56,4104.68,4124.56,155431,0
1995-01-09,4124.56,4185.94,4124.56,4185.94,148465,0
1995-01-10,4205.86,4306.99,4205.86,4247.3,232463,0
1995-01-11,4267.2,4277.15,4166.04,4205.86,133009,0
1995-01-12,4205.86,4287.11,4185.94,4267.2,271976,0
1995-01-13,4326.92,4326.92,4277.15,4326.92,155588,0
1995-01-16,4408.17,4529.25,4398.21,4489.43,551290,0
1995-01-17,4469.54,4549.14,4438.02,4469.54,332071,0
1995-01-18,4447.99,4489.43,4428.07,4489.43,264063,0
1995-01-19,4479.5,4560.73,4479.5,4529.25,181125,0
1995-01-20,4519.28,4529.25,4447.99,4447.99,142295,0
1995-01-23,4418.13,4447.99,4378.31,4408.17,170201,0
1995-01-24,4408.17,4408.17,4326.92,4336.86,204023,0
1995-01-25,4326.92,4408.17,4316.95,4348.49,190412,0
1995-01-26,4358.41,4358.41,4185.94,4205.86,416119,0
1995-01-27,4267.2,4388.26,4267.2,4378.31,299520,0
1995-01-30,4378.31,4383.3,4368.37,4378.31,119342,0
1995-01-31,4358.41,4368.37,4336.86,4368.37,235151,0
1995-02-01,4358.41,4368.37,4306.99,4306.99,243540,0
1995-02-02,4270.52,4280.47,4250.62,4260.56,131162,0
1995-02-03,4280.47,4361.73,4280.47,4331.88,118602,0
1995-02-06,4341.85,4341.85,4270.52,4270.52,82572,0
1995-02-07,4270.52,4280.47,4230.72,4240.66,157804,0
1995-02-08,4260.56,4300.38,4250.62,4300.38,122826,0
1995-02-09,4280.47,4331.88,4260.56,4270.52,108421,0
1995-02-10,4290.43,4593.91,4290.43,4593.91,568912,0
1995-02-13,4625.43,4716.63,4574.02,4605.53,558781,0
1995-02-14,4615.48,4645.29,4574.02,4615.48,375228,0
1995-02-15,4593.91,4665.24,4574.02,4625.43,327427,0
1995-02-16,4593.91,4675.18,4492.75,4534.22,192313,0
1995-02-17,4534.22,4544.18,4514.31,4534.22,167409,0
1995-02-21,4554.1,4665.24,4534.22,4564.07,307856,0
1995-02-22,4544.18,4554.1,4492.75,4524.25,232829,0
1995-02-23,4534.22,4665.24,4534.22,4645.29,312446,0
1995-02-24,4645.29,4655.28,4605.53,4645.29,138863,0
1995-02-27,4635.37,4716.63,4635.37,4635.37,253617,0
1995-02-28,4645.29,4695.1,4605.53,4695.1,97764,0
1995-03-01,4695.1,4796.25,4665.24,4756.45,287543,0
1995-03-02,4756.45,4817.81,4756.45,4766.39,211040,0
1995-03-03,4746.49,4756.45,4695.1,4695.1,149892,0
1995-03-06,4655.28,4655.28,4605.53,4615.48,110691,0
1995-03-07,4615.48,4615.48,4524.25,4524.25,114754,0
1995-03-08,4534.22,4534.22,4443,4452.96,175533,0
1995-03-09,4514.31,4514.31,4472.85,4514.31,70329,0
1995-03-10,4514.31,4574.02,4514.31,4544.18,96762,0
1995-03-13,4554.1,4605.53,4524.25,4605.53,147201,0
1995-03-14,4605.53,4635.37,4593.91,4615.48,130686,0
1995-03-15,4625.43,4635.37,4583.95,4593.91,125728,0
1995-03-16,4615.48,4645.29,4583.95,4635.37,85789,0
1995-03-17,4635.37,4645.29,4605.53,4615.48,114648,0
1995-03-20,4605.53,4756.45,4583.95,4756.45,244279,0
1995-03-21,4756.45,4807.86,4746.49,4786.3,418174,0
1995-03-22,4776.34,4776.34,4736.54,4756.45,182654,0
1995-03-23,4756.45,4756.45,4736.54,4746.49,132534,0
1995-03-24,4736.54,4766.39,4706.69,4716.63,100722,0
1995-03-27,4706.69,4988.63,4706.69,4988.63,579779,0
1995-03-28,4968.73,5050,4968.73,5020.14,544009,0
1995-03-29,5020.14,5020.14,4968.73,4968.73,243961,0
1995-03-30,4978.68,5181.02,4968.73,5181.02,385307,0
1995-03-31,5141.22,5141.22,5069.88,5079.86,368792,0
1995-04-03,5020.14,5069.88,5010.19,5020.14,198271,0
1995-04-04,5030.09,5190.96,5030.09,5151.15,471728,0
1995-04-05,5161.11,5171.05,5020.14,5020.14,196268,0
1995-04-06,5030.09,5111.36,5030.09,5111.36,228345,0
1995-04-07,5121.29,5232.41,5111.36,5190.96,553191,0
1995-04-10,5190.96,5242.38,5131.27,5141.22,505651,0
1995-04-11,5161.11,5161.11,5111.36,5111.36,380135,0
1995-04-12,5111.36,5222.49,5111.36,5222.49,568385,0
1995-04-13,5212.52,5282.17,5181.02,5222.49,360401,0
1995-04-17,5232.41,5232.41,5020.14,5020.14,203443,0
1995-04-18,5030.09,5050,4918.98,4918.98,298569,0
