Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,23.158,23.267,22.07,22.281,747266,0
1995-01-04,22.281,22.281,21.413,21.96,1386168,0
1995-01-05,22.503,22.726,22.07,22.281,489319,0
1995-01-06,22.281,23.158,22.18,23.047,597463,0
1995-01-09,23.047,23.48,23.047,23.48,552775,0
1995-01-10,23.48,23.591,23.267,23.267,542580,0
1995-01-11,23.267,23.48,23.267,23.48,506350,0
1995-01-12,23.591,23.591,23.047,23.267,780458,0
1995-01-13,23.48,23.703,23.158,23.369,589003,0
1995-01-16,23.591,23.591,23.48,23.48,252199,0
1995-01-17,23.591,23.591,23.267,23.48,313701,0
1995-01-18,23.369,23.914,23.369,23.813,216511,0
1995-01-19,23.914,24.134,23.48,23.48,451680,0
1995-01-20,23.703,23.813,23.369,23.48,239939,0
1995-01-23,23.267,23.369,23.047,23.158,288642,0
1995-01-24,23.158,23.48,23.047,23.267,214449,0
1995-01-25,23.369,23.48,23.267,23.267,175508,0
1995-01-26,23.369,23.369,22.826,23.158,235383,0
1995-01-27,23.158,23.158,22.826,22.826,403625,0
1995-01-30,22.938,23.047,22.503,22.616,271831,0
1995-01-31,22.393,22.938,22.281,22.826,602782,0
1995-02-01,22.726,23.591,22.726,23.369,252199,0
1995-02-02,23.158,23.813,22.726,23.703,312941,0
1995-02-03,24.024,24.134,23.813,24.024,389740,0
1995-02-06,23.703,23.813,23.369,23.48,692920,0
1995-02-07,23.914,23.914,23.591,23.914,87863,0
1995-02-08,23.813,24.024,23.703,23.703,103807,0
1995-02-09,23.914,23.914,23.267,23.703,292767,0
1995-02-10,23.813,24.024,23.591,24.024,132554,0
1995-02-13,24.024,24.246,23.703,24.134,195575,0
1995-02-14,24.134,24.357,23.914,24.024,280072,0
1995-02-15,23.914,24.024,23.369,23.914,270748,0
1995-02-16,24.024,24.024,23.813,23.914,266518,0
1995-02-17,24.134,24.246,23.813,24.134,169001,0
1995-02-21,24.246,24.458,24.024,24.458,202844,0
1995-02-22,24.458,24.458,23.813,24.134,387353,0
1995-02-23,25.224,25.224,24.357,24.357,365988,0
1995-02-24,24.357,24.458,24.246,24.357,205555,0
1995-02-27,24.024,24.134,23.48,23.48,129839,0
1995-02-28,23.591,23.914,23.48,23.914,337783,0
1995-03-01,23.813,24.134,23.369,23.813,468817,0
1995-03-02,23.591,23.591,23.047,23.158,434758,0
1995-03-03,23.158,23.267,22.726,22.826,306864,0
1995-03-06,22.938,22.938,21.96,22.393,661898,0
1995-03-07,22.281,22.616,22.18,22.616,892836,0
1995-03-08,22.616,23.158,22.616,22.938,950219,0
1995-03-09,22.826,22.938,22.616,22.616,332470,0
1995-03-10,22.726,23.047,22.503,22.826,296453,0
1995-03-13,22.726,22.882,21.96,22.18,468273,0
1995-03-14,22.826,22.826,21.852,21.96,692272,0
1995-03-15,21.96,21.96,21.302,21.413,760932,0
1995-03-16,21.637,21.852,21.302,21.526,942517,0
1995-03-17,21.526,21.526,21.092,21.202,779159,0
1995-03-20,21.302,21.852,20.873,21.739,710928,0
1995-03-21,21.739,22.393,21.739,22.07,1105224,0
1995-03-22,22.281,22.281,21.96,21.96,677954,0
1995-03-23,21.96,22.18,21.852,22.07,296453,0
1995-03-24,22.281,22.503,22.07,22.503,189284,0
1995-03-27,22.42,22.744,22.309,22.744,329755,0
1995-03-28,22.531,22.965,22.42,22.965,537589,0
1995-03-29,22.854,23.618,22.854,23.508,980264,0
1995-03-30,23.508,23.73,23.075,23.73,386704,0
1995-03-31,23.73,24.051,23.186,24.051,823087,0
1995-04-03,23.841,24.486,23.841,23.943,774927,0
1995-04-04,24.162,24.384,23.841,24.384,516438,0
1995-04-05,24.162,24.273,23.943,24.162,152189,0
1995-04-06,23.618,23.841,23.075,23.618,566008,0
1995-04-07,23.618,24.051,23.508,24.051,278663,0
1995-04-10,23.943,24.051,23.618,23.841,421200,0
1995-04-11,23.618,23.943,23.397,23.618,318582,0
1995-04-12,23.618,23.618,23.295,23.295,282246,0
1995-04-13,23.508,23.508,22.854,23.075,587487,0
1995-04-17,23.075,23.186,22.643,22.854,550498,0
1995-04-18,22.854,22.965,22.309,22.309,620897,0
1995-04-19,22.42,22.531,22.198,22.42,400263,0
1995-04-20,22.42,22.42,21.879,21.879,886978,0
1995-04-21,22.097,22.097,21.768,21.768,1242012,0
1995-04-24,21.987,22.198,21.768,21.879,709084,0
1995-04-25,21.987,22.309,21.879,21.987,493875,0
1995-04-26,21.987,22.198,21.655,22.198,721666,0
1995-04-27,22.097,22.198,21.768,22.097,347003,0
1995-04-28,22.198,22.643,21.987,22.531,530430,0
1995-05-01,22.309,22.42,22.198,22.42,392454,0
1995-05-02,22.42,22.42,21.987,22.097,313810,0
1995-05-03,21.879,21.987,21.768,21.987,212063,0
1995-05-04,21.879,22.097,21.441,21.553,555919,0
1995-05-05,21.655,21.879,21.553,21.768,192971,0
1995-05-08,21.879,21.879,21.441,21.768,415450,0
1995-05-09,21.655,21.768,21.553,21.768,485631,0
1995-05-10,21.768,22.42,21.768,22.42,847713,0
1995-05-11,22.42,23.943,22.42,23.73,1074201,0
1995-05-12,23.73,24.051,23.618,24.051,814842,0
1995-05-15,24.051,24.486,23.73,24.273,548654,0
1995-05-16,24.384,24.384,24.051,24.051,1046760,0
1995-05-17,24.162,24.162,23.618,23.73,646385,0
1995-05-18,23.943,23.943,23.618,23.73,300362,0
1995-05-19,23.618,24.051,23.508,23.73,477604,0
