Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.8164,7.8759,7.7993,7.8501,654901,0
1995-01-04,7.7573,7.7909,7.6975,7.6975,638150,0
1995-01-05,7.7146,7.7993,7.6975,7.7403,749263,0
1995-01-06,7.7403,8.0199,7.7403,7.9606,568316,0
1995-01-09,7.9606,8.096,7.9519,8.0538,1138054,0
1995-01-10,8.0878,8.147,8.0705,8.096,713873,0
1995-01-11,8.1724,8.2318,8.0538,8.2318,1202693,0
1995-01-12,8.2065,8.2994,8.2065,8.2741,1215903,0
1995-01-13,8.2912,8.3165,8.2065,8.3165,1017028,0
1995-01-16,8.3929,8.8175,8.3929,8.8175,3426424,0
1995-01-17,8.7491,8.8755,8.7068,8.8755,1979795,0
1995-01-18,8.8755,8.8922,8.8081,8.8175,1330322,0
1995-01-19,8.7068,8.7068,8.5708,8.5965,1259552,0
1995-01-20,8.4435,8.5115,8.2572,8.3674,1609409,0
1995-01-23,8.3503,8.3757,8.2147,8.3757,569027,0
1995-01-24,8.3757,8.486,8.3503,8.4691,525618,0
1995-01-25,8.3929,8.6303,8.3674,8.613,776394,0
1995-01-26,8.613,8.6303,8.4522,8.5708,494477,0
1995-01-27,8.5965,8.5965,8.486,8.503,565960,0
1995-01-30,8.4691,8.4691,8.3757,8.4435,659381,0
1995-01-31,8.503,8.503,8.3929,8.4435,1218260,0
1995-02-01,8.4435,8.6555,8.4435,8.5285,1411477,0
1995-02-02,8.5368,8.7824,8.486,8.7656,710809,0
1995-02-03,8.7824,8.8922,8.7068,8.8922,1458894,0
1995-02-06,8.8922,8.9864,8.8672,8.9101,721664,0
1995-02-07,8.8755,8.8755,8.6731,8.7915,673772,0
1995-02-08,8.7824,8.7824,8.6477,8.6555,891522,0
1995-02-09,8.6893,8.8421,8.6893,8.7491,670236,0
1995-02-10,8.7235,8.9685,8.7068,8.9685,885859,0
1995-02-13,8.9685,9.0456,8.9279,8.9522,485511,0
1995-02-14,8.9364,9.1729,8.9364,9.1653,1342354,0
1995-02-15,9.1729,9.2067,9.0627,9.0885,1365708,0
1995-02-16,9.0043,9.0276,8.9685,9.0276,754691,0
1995-02-17,9.0125,9.0456,8.8672,8.9685,905206,0
1995-02-21,9.0885,9.0885,8.9364,9.0125,1127437,0
1995-02-22,9.0125,9.2923,9.0043,9.231,1821497,0
1995-02-23,9.2486,9.2486,9.1483,9.2067,653958,0
1995-02-24,9.2067,9.2067,9.0276,9.0276,414265,0
1995-02-27,9.0456,9.1042,8.8502,8.9864,535995,0
1995-02-28,8.9685,9.0797,8.9279,9.0627,402469,0
1995-03-01,8.8755,8.9364,8.7824,8.8081,1251292,0
1995-03-02,8.7915,8.7915,8.5965,8.6893,1582754,0
1995-03-03,8.7068,8.9101,8.6893,8.9101,734400,0
1995-03-06,8.8755,9.0125,8.8421,9.0043,722135,0
1995-03-07,8.9522,8.9685,8.7491,8.8755,595920,0
1995-03-08,8.8502,9.0276,8.8502,8.8502,874535,0
1995-03-09,8.8502,8.9279,8.8502,8.9279,763894,0
1995-03-10,8.9864,9.1729,8.9364,9.0885,947195,0
1995-03-13,9.0627,9.0627,8.9364,8.9364,510282,0
1995-03-14,9.0043,9.0456,8.8755,8.8755,2231988,0
1995-03-15,8.8755,8.9364,8.7824,8.9279,991548,0
1995-03-16,8.9364,9.1042,8.9279,9.0885,1142534,0
1995-03-17,9.1042,9.1989,9.0456,9.1388,742895,0
1995-03-20,9.1215,9.1729,9.0797,9.1729,451068,0
1995-03-21,9.1483,9.266,9.0797,9.1215,772150,0
1995-03-22,9.1483,9.223,9.0797,9.1042,837262,0
1995-03-23,9.1042,9.223,9.1042,9.223,457439,0
1995-03-24,9.2825,9.4787,9.2825,9.4787,1561284,0
1995-03-27,9.4627,9.545,9.4627,9.512,822399,0
1995-03-28,9.4936,9.545,9.4627,9.545,365904,0
1995-03-29,9.656,9.716,9.3847,9.4936,1563643,0
1995-03-30,9.52,9.649,9.512,9.596,1638428,0
1995-03-31,9.613,9.75,9.512,9.691,724730,0
1995-04-03,9.691,9.707,9.572,9.613,374631,0
1995-04-04,9.63,9.707,9.613,9.656,348208,0
1995-04-05,9.656,9.656,9.555,9.613,574923,0
1995-04-06,9.596,9.716,9.596,9.716,564307,0
1995-04-07,9.732,9.765,9.716,9.765,500141,0
1995-04-10,9.732,9.75,9.63,9.649,588606,0
1995-04-11,9.656,9.732,9.656,9.732,440689,0
1995-04-12,9.732,9.877,9.732,9.851,761770,0
1995-04-13,9.877,9.912,9.716,9.716,754926,0
1995-04-17,9.75,9.782,9.707,9.75,642160,0
1995-04-18,9.765,9.843,9.732,9.825,543547,0
1995-04-19,9.825,9.943,9.825,9.926,539066,0
1995-04-20,9.903,10.062,9.903,10.004,556288,0
1995-04-21,10.039,10.071,10.004,10.004,531043,0
1995-04-24,10.013,10.197,10.013,10.149,813200,0
1995-04-25,10.071,10.105,10.004,10.013,408841,0
1995-04-26,10.039,10.039,9.943,9.943,341134,0
1995-04-27,9.912,9.943,9.782,9.926,582706,0
1995-04-28,9.952,9.952,9.782,9.782,507924,0
1995-05-01,9.843,9.868,9.649,9.843,533637,0
1995-05-02,9.868,9.903,9.808,9.851,427479,0
1995-05-03,9.903,9.903,9.825,9.851,577754,0
