Date,Open,High,Low,Close,Volume,OpenInt
1996-12-26,3.4685,3.4953,3.3798,3.3798,19388,0
1996-12-27,3.3798,3.3798,3.3798,3.3798,675,0
1996-12-30,3.4151,3.4151,3.3621,3.3621,25025,0
1996-12-31,3.3267,3.3621,3.3267,3.3621,13755,0
1997-01-02,3.3267,3.3267,3.2468,3.2468,409645,0
1997-01-03,3.2468,3.3621,3.2468,3.3267,896615,0
1997-01-06,3.3621,3.3798,3.3267,3.3621,1407257,0
1997-01-07,3.3798,3.5488,3.3621,3.5488,361848,0
1997-01-08,3.6018,3.7171,3.5749,3.5749,194564,0
1997-01-09,3.5749,3.6284,3.5749,3.6018,264904,0
1997-01-10,3.6284,3.655,3.6018,3.6284,462171,0
1997-01-13,3.6284,3.6284,3.5488,3.6018,1902572,0
1997-01-14,3.7436,3.9389,3.7171,3.9389,1143030,0
1997-01-15,3.8233,3.8502,3.6284,3.6284,1495408,0
1997-01-16,3.5488,3.6018,3.5217,3.5488,1650968,0
1997-01-17,3.5488,3.6018,3.5217,3.5749,747140,0
1997-01-20,3.5488,3.5749,3.5217,3.5217,1337592,0
1997-01-21,3.5488,3.5749,3.5488,3.5488,1331510,0
1997-01-22,3.5749,3.5749,3.5488,3.5488,1588748,0
1997-01-23,3.6018,3.6906,3.6018,3.6284,602629,0
1997-01-24,3.6284,3.7969,3.5749,3.5749,711969,0
1997-01-27,3.5749,3.6284,3.5749,3.5749,940123,0
1997-01-28,3.5749,3.7171,3.5488,3.5488,568585,0
1997-01-29,3.5488,3.6284,3.5217,3.5488,862349,0
1997-01-30,3.5488,3.6018,3.5217,3.5488,1249896,0
1997-01-31,3.4953,3.5488,3.4685,3.4953,874746,0
1997-02-03,3.4953,3.6018,3.4685,3.6018,1068181,0
1997-02-04,3.6018,3.655,3.5749,3.655,1059613,0
1997-02-05,3.655,3.6906,3.6284,3.6906,264227,0
1997-02-06,3.655,3.6906,3.655,3.655,363876,0
1997-02-07,3.655,3.7436,3.6284,3.7171,1440399,0
1997-02-10,3.655,3.6906,3.6284,3.655,539727,0
1997-02-11,3.6018,3.6906,3.6018,3.655,438950,0
1997-02-12,3.6284,3.655,3.6018,3.6284,225902,0
1997-02-13,3.6284,3.7969,3.6284,3.7436,680859,0
1997-02-14,3.7436,3.7436,3.6284,3.655,685818,0
1997-02-18,3.6018,3.6906,3.6018,3.655,1182258,0
1997-02-19,3.6284,3.7171,3.6284,3.6906,477956,0
1997-02-20,3.655,3.8858,3.655,3.7436,616155,0
1997-02-21,3.7436,3.7969,3.7171,3.7701,372445,0
1997-02-24,3.7701,3.9123,3.7701,3.9123,633289,0
1997-02-25,3.9123,3.9654,3.8858,3.9389,267385,0
1997-02-26,3.8858,3.9123,3.8233,3.8502,298043,0
1997-02-27,3.8233,3.9389,3.7701,3.7969,486522,0
1997-02-28,3.6906,3.7969,3.6018,3.7436,300751,0
1997-03-03,3.6906,3.8233,3.6906,3.7436,225448,0
1997-03-04,3.7701,3.7701,3.7171,3.7436,454055,0
1997-03-05,3.7171,3.7436,3.6284,3.6906,876096,0
1997-03-06,3.6906,3.6906,3.6284,3.655,233116,0
1997-03-07,3.6284,3.655,3.5217,3.6018,548518,0
1997-03-10,3.6018,3.655,3.6018,3.6284,190278,0
1997-03-11,3.6284,3.6906,3.6284,3.6284,819056,0
1997-03-12,3.6284,3.655,3.6284,3.655,326452,0
1997-03-13,3.6018,3.6284,3.6018,3.6018,205384,0
1997-03-14,3.6018,3.655,3.6018,3.6284,545362,0
1997-03-17,3.6284,3.6284,3.5488,3.5488,227254,0
1997-03-18,3.6018,3.6018,3.5488,3.5749,178555,0
1997-03-19,3.5749,3.6284,3.5749,3.6284,1408610,0
1997-03-20,3.6284,3.6284,3.5749,3.6018,121970,0
1997-03-21,3.5749,3.6284,3.5217,3.5488,456086,0
1997-03-24,3.5217,3.5488,3.4685,3.4685,137075,0
1997-03-25,3.4151,3.4953,3.3621,3.3798,149697,0
1997-03-26,3.3267,3.3621,3.2468,3.3621,190957,0
1997-03-27,3.3267,3.4151,3.3267,3.3798,140229,0
1997-03-31,3.3621,3.4151,3.3002,3.3002,193664,0
1997-04-01,3.3002,3.3267,3.2735,3.2735,300751,0
1997-04-02,3.2735,3.3002,3.2468,3.2468,161646,0
1997-04-03,3.2735,3.3002,3.2468,3.2735,162775,0
1997-04-04,3.2735,3.3002,3.2735,3.2735,1250795,0
1997-04-07,3.2735,3.2735,3.2114,3.2468,91309,0
1997-04-08,3.2114,3.3002,3.1581,3.3002,162775,0
1997-04-09,3.2735,3.3621,3.2468,3.3621,226129,0
