Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.0258,3.0791,3.0015,3.0744,1499828,0
1995-01-04,3.0744,3.1231,3.0744,3.1035,850232,0
1995-01-05,3.1182,3.1619,3.1035,3.1473,965348,0
1995-01-06,3.1473,3.2057,3.1424,3.2057,888055,0
1995-01-09,3.2057,3.2204,3.2009,3.2009,338777,0
1995-01-10,3.2057,3.2204,3.1866,3.1866,434159,0
1995-01-11,3.2009,3.2009,3.1231,3.1473,618351,0
1995-01-12,3.1328,3.1962,3.1328,3.1816,411136,0
1995-01-13,3.1962,3.2592,3.1962,3.2496,476919,0
1995-01-16,3.269,3.269,3.2057,3.2397,483496,0
1995-01-17,3.2299,3.2397,3.1816,3.2009,846945,0
1995-01-18,3.2397,3.2447,3.2057,3.2397,695643,0
1995-01-19,3.2397,3.2496,3.2157,3.2299,703866,0
1995-01-20,3.2299,3.2836,3.2057,3.269,703866,0
1995-01-23,3.2836,3.3614,3.269,3.2981,425115,0
1995-01-24,3.2981,3.2981,3.2204,3.2397,323157,0
1995-01-25,3.2057,3.2981,3.1816,3.2496,798425,0
1995-01-26,3.269,3.3421,3.1962,3.1962,204747,0
1995-01-27,3.2204,3.2397,3.1962,3.2204,279574,0
1995-01-30,3.2057,3.2204,3.1035,3.1035,230236,0
1995-01-31,3.0744,3.0744,2.9234,2.982,1300837,0
1995-02-01,3.0161,3.0258,2.909,2.9234,1505583,0
1995-02-02,2.9529,3.0161,2.9382,3.0161,1419246,0
1995-02-03,3.0404,3.1473,3.0404,3.0599,850232,0
1995-02-06,3.0889,3.1182,3.0599,3.1182,155409,0
1995-02-07,3.0404,3.2057,3.0404,3.1619,772114,0
1995-02-08,3.1328,3.1619,3.1182,3.1328,707979,0
1995-02-09,3.1619,3.1962,3.1328,3.1816,308353,0
1995-02-10,3.1473,3.1816,3.1328,3.1816,468698,0
1995-02-13,3.1619,3.269,3.1473,3.2496,759779,0
1995-02-14,3.2397,3.2981,3.2057,3.2981,640550,0
1995-02-15,3.269,3.3712,3.2496,3.3421,696464,0
1995-02-16,3.3126,3.3856,3.2981,3.3856,690709,0
1995-02-17,3.3614,3.4198,3.3421,3.3614,699755,0
1995-02-21,3.3614,3.3856,3.3273,3.3712,587104,0
1995-02-22,3.3856,3.4781,3.3614,3.4781,311642,0
1995-02-23,3.4781,3.5655,3.4781,3.5222,883944,0
1995-02-24,3.4927,3.5655,3.4781,3.5509,365908,0
1995-02-27,3.5413,3.5413,3.4636,3.4927,813229,0
1995-02-28,3.4927,3.5413,3.4927,3.5413,705511,0
1995-03-01,3.5413,3.5853,3.5074,3.5222,298487,0
1995-03-02,3.5074,3.5222,3.4636,3.5222,587926,0
1995-03-03,3.5222,3.5413,3.4636,3.5413,295196,0
1995-03-06,3.5413,3.5413,3.4927,3.4927,153766,0
1995-03-07,3.5074,3.5222,3.4781,3.4927,164453,0
