Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.417,13.637,13.417,13.6,4116742,0
1995-01-04,13.637,13.672,13.308,13.492,4992023,0
1995-01-05,13.454,13.492,13.308,13.454,3163894,0
1995-01-06,13.417,13.492,13.38,13.417,3095527,0
1995-01-09,13.38,13.454,13.308,13.38,1926734,0
1995-01-10,13.344,13.492,13.162,13.271,3326263,0
1995-01-11,13.198,13.492,13.124,13.417,3834077,0
1995-01-12,13.308,13.564,13.308,13.526,3224371,0
1995-01-13,13.564,13.672,13.454,13.6,3999403,0
1995-01-16,13.637,13.964,13.637,13.892,5733859,0
1995-01-17,13.783,13.892,13.71,13.892,3923479,0
1995-01-18,13.783,13.818,13.564,13.783,2986734,0
1995-01-19,13.6,13.71,13.526,13.6,2302418,0
1995-01-20,13.526,13.855,13.454,13.783,6178238,0
1995-01-23,13.564,13.71,13.454,13.672,3806140,0
1995-01-24,13.746,14.001,13.746,13.929,6995340,0
1995-01-25,13.964,13.964,13.526,13.637,3931696,0
1995-01-26,13.71,13.855,13.672,13.783,3256581,0
1995-01-27,14.585,14.731,14.404,14.658,24470050,0
1995-01-30,14.621,14.988,14.585,14.914,9729318,0
1995-01-31,14.951,14.951,14.768,14.843,8631519,0
1995-02-01,14.843,14.988,14.768,14.876,7344728,0
1995-02-02,14.843,14.914,14.768,14.843,3170138,0
1995-02-03,14.951,15.352,14.876,15.169,7579408,0
1995-02-06,14.914,15.534,14.914,15.316,5637227,0
1995-02-07,15.352,15.391,15.06,15.206,4215678,0
1995-02-08,15.206,15.534,15.169,15.534,4351422,0
1995-02-09,15.498,15.498,15.244,15.316,3215498,0
1995-02-10,15.316,15.462,15.244,15.391,2420087,0
1995-02-13,15.391,15.462,15.206,15.352,2578841,0
1995-02-14,15.391,15.391,15.206,15.279,2650493,0
1995-02-15,15.279,15.717,15.279,15.645,5750620,0
1995-02-16,15.68,15.717,15.498,15.571,4602863,0
1995-02-17,15.609,15.645,15.498,15.517,7760514,0
1995-02-21,15.498,15.534,15.244,15.279,3821913,0
1995-02-22,15.279,15.462,15.244,15.462,3891595,0
1995-02-23,15.645,15.826,15.571,15.571,4211076,0
1995-02-24,15.498,15.68,15.498,15.645,2930531,0
1995-02-27,15.534,15.571,15.352,15.534,2995607,0
1995-02-28,15.534,15.645,15.498,15.571,3447216,0
1995-03-01,15.534,15.79,15.498,15.755,4343862,0
1995-03-02,15.717,15.863,15.609,15.755,2233066,0
1995-03-03,15.68,15.755,15.609,15.68,2547286,0
1995-03-06,15.68,16.402,15.609,16.329,7134044,0
1995-03-07,16.11,16.147,15.79,15.972,9751011,0
1995-03-08,16.037,16.073,15.863,15.972,5675682,0
1995-03-09,16.009,16.11,15.936,15.936,4502287,0
1995-03-10,16.009,16.365,15.936,16.365,4932861,0
1995-03-13,16.009,16.183,15.863,15.901,8805064,0
1995-03-14,15.972,16.293,15.972,16.009,7267161,0
1995-03-15,16.009,16.11,15.755,15.826,4811249,0
1995-03-16,15.863,16.147,15.863,15.972,4234740,0
1995-03-17,16.037,16.183,16.009,16.147,7615893,0
1995-03-20,16.147,16.183,15.972,16.037,2333642,0
1995-03-21,16.037,16.329,16.009,16.147,4175249,0
1995-03-22,16.037,16.183,16.009,16.183,3271701,0
1995-03-23,16.11,16.147,16.009,16.037,4072699,0
1995-03-24,16.11,16.256,16.037,16.183,3473512,0
1995-03-27,16.256,16.256,16.073,16.183,2781635,0
1995-03-28,16.183,16.219,16.073,16.11,2745810,0
1995-03-29,16.183,16.293,16.009,16.009,4410258,0
1995-03-30,16.037,16.037,15.826,15.972,4700482,0
1995-03-31,15.826,16.11,15.571,15.609,5946845,0
1995-04-03,15.717,16.009,15.68,15.936,5008458,0
1995-04-04,16.037,16.147,16.009,16.073,3421251,0
1995-04-05,16.037,16.037,15.826,15.936,2375385,0
1995-04-06,15.972,15.972,15.863,15.863,2182776,0
1995-04-07,15.954,16.065,15.882,16.028,2326740,0
1995-04-10,15.92,16.028,15.882,15.954,2627813,0
1995-04-11,15.991,16.1,15.92,16.065,2418771,0
1995-04-12,15.991,16.065,15.991,16.065,1714077,0
