Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.306,8.4853,8.306,8.4853,328742,0
1995-01-04,8.4638,8.5499,8.4638,8.5285,703173,0
1995-01-05,8.5644,8.6074,8.5285,8.5285,1015202,0
1995-01-06,8.5499,8.8519,8.5285,8.8519,761122,0
1995-01-09,8.8519,8.9514,8.7872,8.9311,356602,0
1995-01-10,8.9096,9.132,8.8658,9.132,903207,0
1995-01-11,9.1101,9.1755,9.0892,9.1755,490885,0
1995-01-12,9.1755,9.2316,9.132,9.1541,800126,0
1995-01-13,9.1541,9.1541,9.0303,9.0747,290299,0
1995-01-16,9.1101,9.19,9.0892,9.19,646900,0
1995-01-17,9.1755,9.2093,9.1755,9.2093,124812,0
1995-01-18,9.19,9.2531,9.1755,9.19,313695,0
1995-01-19,9.2892,9.3894,9.2892,9.3756,739949,0
1995-01-20,9.4105,9.4919,9.2093,9.2093,498130,0
1995-01-23,9.0892,9.3342,9.0892,9.2316,596750,0
1995-01-24,9.2093,9.2316,9.132,9.132,321498,0
1995-01-25,9.1755,9.3894,9.1755,9.3342,528773,0
1995-01-26,9.2892,9.2892,9.2316,9.2531,189441,0
1995-01-27,9.2531,9.354,9.2316,9.3117,378893,0
1995-01-30,9.2892,9.2892,9.0747,9.0892,812943,0
1995-01-31,9.0892,9.1755,9.0892,9.1541,1031917,0
1995-02-01,9.1755,9.19,9.132,9.1541,435722,0
1995-02-02,9.19,9.2093,9.0892,9.132,257978,0
1995-02-03,9.1541,9.354,9.1541,9.354,708745,0
1995-02-06,9.3342,9.4919,9.3342,9.3894,455224,0
1995-02-07,9.354,9.477,9.3342,9.477,336542,0
1995-02-08,9.477,9.692,9.4541,9.59,944438,0
1995-02-09,9.578,9.59,9.4919,9.512,259651,0
1995-02-10,9.4919,9.533,9.4541,9.512,164931,0
1995-02-13,9.4919,9.578,9.4919,9.578,460239,0
1995-02-14,9.578,9.633,9.512,9.633,536015,0
1995-02-15,9.654,9.692,9.633,9.692,755547,0
1995-02-16,9.692,9.714,9.654,9.714,333756,0
1995-02-17,9.714,9.757,9.714,9.735,268008,0
1995-02-21,9.735,9.791,9.735,9.778,364399,0
1995-02-22,9.778,9.899,9.778,9.798,633527,0
1995-02-23,9.834,9.857,9.798,9.812,244050,0
1995-02-24,9.834,9.857,9.7,9.714,601766,0
1995-02-27,9.677,9.7,9.654,9.677,233464,0
1995-02-28,9.677,9.677,9.557,9.612,309241,0
1995-03-01,9.612,9.677,9.59,9.612,679774,0
1995-03-02,9.612,9.677,9.612,9.633,281381,0
1995-03-03,9.557,9.578,9.477,9.578,468043,0
1995-03-06,9.533,9.677,9.4541,9.677,547716,0
1995-03-07,9.677,9.677,9.512,9.557,396720,0
1995-03-08,9.59,9.735,9.578,9.654,598980,0
1995-03-09,9.654,9.654,9.557,9.612,252963,0
1995-03-10,9.633,9.7,9.612,9.677,655255,0
1995-03-13,9.677,9.7,9.578,9.59,1583536,0
1995-03-14,9.612,9.778,9.612,9.654,833555,0
1995-03-15,9.677,9.677,9.633,9.633,307011,0
1995-03-16,9.59,9.735,9.59,9.714,1033587,0
1995-03-17,9.757,9.778,9.714,9.778,1009629,0
1995-03-20,9.798,9.834,9.798,9.812,325958,0
1995-03-21,9.834,9.899,9.812,9.857,347686,0
1995-03-22,9.88,9.899,9.857,9.899,1365673,0
1995-03-23,9.913,9.958,9.88,9.899,804027,0
1995-03-24,9.936,10.057,9.936,10.036,899860,0
1995-03-27,10.036,10.138,10.036,10.138,277483,0
1995-03-28,10.138,10.244,10.123,10.244,786752,0
1995-03-29,10.28,10.627,10.28,10.581,1259810,0
