Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.9822,7.9822,7.7091,7.7091,28533,0
1995-01-04,7.8183,7.8183,7.7091,7.8183,12290,0
1995-01-05,7.8183,7.873,7.8183,7.873,30508,0
1995-01-06,7.9278,7.9278,7.8183,7.873,69356,0
1995-01-09,7.7636,7.7636,7.7091,7.7091,6585,0
1995-01-11,7.7636,7.873,7.7091,7.873,62111,0
1995-01-12,7.8183,7.873,7.8183,7.8183,16458,0
1995-01-13,7.8183,7.873,7.6543,7.6543,71332,0
1995-01-16,7.5998,7.5998,7.5998,7.5998,29414,0
1995-01-17,7.6543,7.6543,7.5448,7.5998,44338,0
1995-01-18,7.6543,7.7636,7.5448,7.5998,381244,0
1995-01-19,7.5998,7.5998,7.5448,7.5448,4831,0
1995-01-20,7.5448,7.6543,7.5448,7.5448,133009,0
1995-01-23,7.5998,7.5998,7.5998,7.5998,112157,0
1995-01-24,7.5448,7.5998,7.3809,7.4358,77477,0
1995-01-25,7.3264,7.4902,7.3264,7.4902,132788,0
1995-01-26,7.5448,7.5998,7.3809,7.4902,53117,0
1995-01-27,7.4358,7.4358,7.3264,7.3809,118963,0
1995-01-30,7.4358,7.4358,7.3809,7.3809,86476,0
1995-01-31,7.4358,7.4358,7.4358,7.4358,39727,0
1995-02-01,7.4358,7.5998,7.4358,7.5448,135862,0
1995-02-02,7.4902,7.4902,7.4358,7.4358,9220,0
1995-02-03,7.5448,7.6543,7.4902,7.5448,67161,0
1995-02-06,7.5998,7.873,7.5998,7.873,185462,0
1995-02-07,7.9278,8.0368,7.9278,8.0368,55966,0
1995-02-08,8.0368,8.0918,8.0368,8.0918,152321,0
1995-02-09,8.0918,8.256,8.0918,8.1465,24363,0
1995-02-10,8.256,8.256,8.1465,8.1465,5044,0
1995-02-13,8.1465,8.1465,8.0918,8.1465,4389,0
1995-02-14,8.1465,8.5837,8.1465,8.5292,74843,0
1995-02-15,8.4744,8.4744,8.4198,8.4198,16903,0
1995-02-16,8.3652,8.3652,8.0368,8.0368,118082,0
1995-02-17,7.9822,8.201,7.9822,8.0918,535981,0
1995-02-21,8.0918,8.0918,7.9822,8.0368,376201,0
1995-02-22,7.9822,7.9822,7.9278,7.9278,57725,0
1995-02-23,7.9278,7.9822,7.9278,7.9822,20632,0
1995-02-24,7.9278,7.9278,7.873,7.873,26338,0
1995-02-27,7.8183,7.873,7.8183,7.873,3070,0
1995-02-28,7.873,7.9278,7.8183,7.873,55966,0
1995-03-01,7.873,7.9822,7.873,7.9822,176027,0
1995-03-02,7.9822,8.0918,7.9822,8.0368,204780,0
1995-03-03,8.0368,8.0368,7.9822,7.9822,13391,0
1995-03-06,8.0918,8.0918,7.9278,8.0918,674477,0
