Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1279.66,1279.66,1279.66,1279.66,1,0
1995-01-04,1279.66,1279.66,1279.66,1279.66,2,0
1995-01-05,1294.92,1294.92,1294.92,1294.92,18,0
1995-01-06,1279.66,1279.66,1279.66,1279.66,24,0
1995-01-09,1294.92,1308.47,1279.66,1279.66,19,0
1995-01-10,1294.92,1294.92,1233.9,1249.15,207,0
1995-01-11,1249.15,1264.41,1233.9,1264.41,44,0
1995-01-12,1249.15,1264.41,1249.15,1264.41,7,0
1995-01-13,1264.41,1264.41,1264.41,1264.41,2,0
1995-01-16,1264.41,1264.41,1249.15,1249.15,17,0
1995-01-17,1264.41,1264.41,1264.41,1264.41,85,0
1995-01-18,1279.66,1279.66,1279.66,1279.66,30,0
1995-01-19,1279.66,1279.66,1279.66,1279.66,6,0
1995-01-20,1264.41,1279.66,1264.41,1264.41,63,0
1995-01-23,1279.66,1279.66,1264.41,1279.66,136,0
1995-01-24,1264.41,1279.66,1264.41,1279.66,28,0
1995-01-25,1264.41,1279.66,1264.41,1279.66,24,0
1995-01-26,1264.41,1264.41,1264.41,1264.41,2,0
1995-01-27,1264.41,1264.41,1264.41,1264.41,6,0
1995-01-30,1279.66,1279.66,1264.41,1264.41,11,0
1995-01-31,1279.66,1279.66,1279.66,1279.66,45,0
1995-02-01,1294.92,1294.92,1279.66,1294.92,18,0
1995-02-02,1294.92,1294.92,1279.66,1279.66,32,0
1995-02-07,1279.66,1294.92,1279.66,1279.66,93,0
1995-02-08,1279.66,1279.66,1279.66,1279.66,2,0
1995-02-09,1264.41,1264.41,1264.41,1264.41,6,0
1995-02-10,1279.66,1279.66,1279.66,1279.66,97,0
1995-02-13,1294.92,1294.92,1279.66,1294.92,316,0
1995-02-14,1279.66,1279.66,1279.66,1279.66,6,0
1995-02-15,1279.66,1279.66,1279.66,1279.66,240,0
1995-02-16,1279.66,1279.66,1264.41,1264.41,44,0
1995-02-17,1279.66,1279.66,1264.41,1279.66,1055,0
1995-02-21,1264.41,1271.19,1264.41,1264.41,72,0
1995-02-22,1279.66,1279.66,1264.41,1264.41,148,0
1995-02-23,1279.66,1279.66,1279.66,1279.66,480,0
1995-02-24,1279.66,1279.66,1279.66,1279.66,310,0
1995-02-27,1264.41,1279.66,1264.41,1279.66,24,0
1995-02-28,1279.66,1279.66,1264.41,1264.41,127,0
1995-03-01,1264.41,1264.41,1264.41,1264.41,6,0
1995-03-02,1264.41,1264.41,1264.41,1264.41,6,0
1995-03-03,1264.41,1279.66,1264.41,1279.66,29,0
1995-03-06,1264.41,1264.41,1249.15,1249.15,47,0
1995-03-08,1294.92,1294.92,1279.66,1279.66,6,0
1995-03-09,1308.47,1308.47,1308.47,1308.47,2,0
1995-03-10,1308.47,1323.73,1308.47,1323.73,5,0
1995-03-15,1354.24,1415.25,1338.98,1384.75,48,0
1995-03-16,1384.75,1384.75,1323.73,1338.98,13,0
1995-03-17,1323.73,1338.98,1323.73,1323.73,18,0
1995-03-20,1323.73,1323.73,1323.73,1323.73,18,0
1995-03-21,1323.73,1323.73,1323.73,1323.73,2,0
1995-03-22,1323.73,1323.73,1294.92,1294.92,9,0
1995-03-23,1264.41,1264.41,1203.39,1203.39,31,0
1995-03-24,1203.39,1203.39,1188.14,1188.14,30,0
1995-03-27,1188.14,1188.14,1174.58,1174.58,63,0
1995-03-28,1159.32,1159.32,1144.07,1144.07,44,0
1995-03-29,1128.81,1128.81,1083.05,1083.05,64,0
1995-03-30,1083.05,1113.56,1083.05,1098.31,78,0
1995-03-31,1083.05,1098.31,1083.05,1098.31,12,0
1995-04-03,1083.05,1113.56,1083.05,1113.56,42,0
1995-04-04,1128.81,1174.58,1128.81,1174.58,42,0
1995-04-05,1159.32,1203.39,1159.32,1203.39,153,0
1995-04-06,1203.39,1203.39,1188.14,1188.14,376,0
1995-04-07,1188.14,1188.14,1188.14,1188.14,9,0
1995-04-10,1188.14,1188.14,1188.14,1188.14,6,0
1995-04-11,1188.14,1203.39,1188.14,1203.39,29,0
1995-04-12,1188.14,1188.14,1174.58,1174.58,25,0
1995-04-13,1174.58,1174.58,1144.07,1144.07,195,0
1995-04-17,1128.81,1144.07,1128.81,1144.07,140,0
1995-04-18,1144.07,1144.07,1144.07,1144.07,2,0
1995-04-19,1159.32,1159.32,1113.56,1113.56,71,0
1995-04-20,1128.81,1144.07,1128.81,1144.07,73,0
1995-04-21,1159.32,1174.58,1144.07,1159.32,54,0
1995-04-24,1159.32,1174.58,1159.32,1159.32,210,0
1995-04-25,1174.58,1174.58,1174.58,1174.58,217,0
1995-04-26,1188.14,1188.14,1174.58,1174.58,14,0
1995-04-27,1159.32,1174.58,1159.32,1159.32,26,0
1995-04-28,1174.58,1174.58,1159.32,1159.32,11,0
1995-05-01,1174.58,1174.58,1144.07,1144.07,60,0
1995-05-02,1128.81,1128.81,1128.81,1128.81,14,0
1995-05-03,1128.81,1144.07,1128.81,1144.07,10,0
1995-05-04,1128.81,1128.81,1113.56,1113.56,112,0
1995-05-05,1128.81,1144.07,1128.81,1144.07,24,0
1995-05-09,1144.07,1144.07,1144.07,1144.07,65,0
1995-05-10,1128.81,1128.81,1113.56,1113.56,21,0
1995-05-11,1128.81,1128.81,1128.81,1128.81,6,0
1995-05-12,1128.81,1144.07,1128.81,1128.81,1263,0
1995-05-15,1128.81,1144.07,1128.81,1144.07,6,0
1995-05-16,1159.32,1159.32,1144.07,1159.32,11,0
1995-05-17,1159.32,1159.32,1144.07,1144.07,3,0
1995-05-18,1159.32,1159.32,1128.81,1128.81,20,0
1995-05-19,1144.07,1144.07,1113.56,1113.56,8,0
1995-05-22,1128.81,1144.07,1128.81,1144.07,8,0
1995-05-23,1098.31,1098.31,1067.8,1083.05,2484,0
1995-05-24,1083.05,1098.31,1083.05,1083.05,452,0
1995-05-25,1083.05,1083.05,1067.8,1067.8,206,0
1995-05-26,1083.05,1083.05,1067.8,1067.8,97,0
1995-05-30,1067.8,1067.8,1067.8,1067.8,31,0
1995-05-31,1067.8,1067.8,1054.24,1054.24,469,0
1995-06-01,1067.8,1067.8,1054.24,1067.8,39,0
1995-06-02,1067.8,1067.8,1054.24,1054.24,132,0
1995-06-05,1054.24,1083.05,1054.24,1067.8,205,0
1995-06-06,1067.8,1128.81,1067.8,1128.81,517,0
1995-06-07,1128.81,1128.81,1098.31,1098.31,63,0
1995-06-08,1083.05,1098.31,1067.8,1083.05,237,0
1995-06-09,1098.31,1113.56,1083.05,1083.05,28,0
1995-06-12,1098.31,1113.56,1083.05,1083.05,58,0
1995-06-13,1098.31,1098.31,1083.05,1083.05,41,0
1995-06-14,1098.31,1113.56,1098.31,1113.56,106,0
1995-06-15,1113.56,1128.81,1098.31,1128.81,142,0
1995-06-16,1128.81,1128.81,1113.56,1113.56,13,0
1995-06-19,1128.81,1128.81,1113.56,1128.81,13,0
1995-06-20,1113.56,1144.07,1113.56,1144.07,86,0
1995-06-21,1144.07,1249.15,1144.07,1249.15,225,0
1995-06-22,1249.15,1264.41,1203.39,1203.39,366,0
1995-06-23,1188.14,1203.39,1159.32,1203.39,44,0
1995-06-26,1188.14,1203.39,1188.14,1203.39,106,0
1995-06-27,1218.64,1218.64,1203.39,1203.39,519,0
1995-06-28,1203.39,1203.39,1203.39,1203.39,14,0
1995-06-29,1203.39,1203.39,1188.14,1188.14,6,0
1995-06-30,1218.64,1264.41,1196.61,1233.9,343,0
1995-07-03,1249.15,1249.15,1249.15,1249.15,41,0
1995-07-06,1249.15,1249.15,1233.9,1233.9,7,0
1995-07-07,1218.64,1233.9,1218.64,1218.64,24,0
1995-07-10,1203.39,1233.9,1203.39,1203.39,38,0
1995-07-11,1218.64,1218.64,1218.64,1218.64,1,0
1995-07-12,1218.64,1218.64,1203.39,1218.64,262,0
1995-07-13,1203.39,1203.39,1159.32,1159.32,18,0
1995-07-14,1144.07,1203.39,1098.31,1203.39,622,0
1995-07-17,1188.14,1203.39,1188.14,1203.39,112,0
1995-07-18,1188.14,1188.14,1159.32,1159.32,328,0
1995-07-19,1159.32,1159.32,1159.32,1159.32,13,0
1995-07-20,1174.58,1174.58,1174.58,1174.58,388,0
1995-07-21,1174.58,1174.58,1174.58,1174.58,13,0
1995-07-24,1181.36,1188.14,1174.58,1188.14,333,0
1995-07-25,1188.14,1188.14,1188.14,1188.14,6,0
