Date,Open,High,Low,Close,Volume,OpenInt
1998-09-24,0.9386,0.9512,0.7744,0.8333,518827162,0
1998-09-25,0.7997,0.8123,0.7239,0.787,121461120,0
1998-09-28,0.8333,0.8923,0.8081,0.846,89909741,0
1998-09-29,0.867,0.8838,0.8375,0.8586,39580358,0
1998-09-30,0.8291,0.8418,0.7576,0.7912,44227814,0
1998-10-01,0.7492,0.7576,0.7029,0.7029,44729626,0
1998-10-02,0.7113,0.7323,0.6145,0.7029,46850918,0
1998-10-05,0.686,0.686,0.6145,0.6313,33940685,0
1998-10-06,0.6692,0.6692,0.5598,0.6397,40469933,0
1998-10-07,0.6145,0.6271,0.5387,0.5387,35212320,0
1998-10-08,0.48822,0.5135,0.44192,0.5093,57257798,0
1998-10-09,0.5387,0.564,0.5177,0.5387,38696486,0
1998-10-12,0.5598,0.5598,0.5513,0.5513,28340928,0
1998-10-13,0.5513,0.5556,0.5135,0.5177,15447802,0
1998-10-14,0.5135,0.564,0.5135,0.5261,31015354,0
1998-10-15,0.5261,0.5724,0.5261,0.5724,29179181,0
1998-10-16,0.585,0.6397,0.5808,0.6313,43349645,0
1998-10-19,0.6524,0.8081,0.6481,0.7955,78168499,0
1998-10-20,0.8586,0.9133,0.7955,0.8165,109503187,0
1998-10-21,0.8586,0.9049,0.8291,0.888,65771482,0
1998-10-22,0.9049,0.9386,0.867,0.9049,53488512,0
1998-10-23,0.9049,0.9175,0.867,0.8796,32520787,0
1998-10-26,1.0522,1.2879,1.0311,1.2879,390266554,0
1998-10-27,1.431,1.5951,1.4099,1.4478,571158086,0
1998-10-28,1.3678,1.4857,1.3426,1.4015,254686291,0
1998-10-29,1.4226,1.4562,1.4015,1.4015,81247795,0
1998-10-30,1.4184,1.4815,1.4015,1.4562,95104627,0
1998-11-02,1.5236,1.5362,1.4689,1.4731,124010093,0
1998-11-03,1.4899,1.4983,1.4562,1.4731,46178035,0
1998-11-04,1.4983,1.5067,1.431,1.4478,44718221,0
1998-11-05,1.4226,1.4689,1.3805,1.4226,66370234,0
1998-11-06,1.4099,1.4815,1.4099,1.4731,49245926,0
1998-11-09,1.4815,1.8056,1.4815,1.8056,202629082,0
1998-11-10,1.9781,2.4537,1.9487,2.298,577727251,0
1998-11-11,2.2306,2.3695,1.9992,2.0328,306920275,0
1998-11-12,1.9992,2.3316,1.9739,2.2096,223790688,0
1998-11-13,2.2811,2.3316,2.1002,2.1759,135990835,0
1998-11-16,2.2685,2.2811,2.1423,2.2391,82576454,0
1998-11-17,2.2391,2.3316,2.1759,2.2559,81561427,0
1998-11-18,2.2896,2.6052,2.197,2.5842,201454387,0
1998-11-19,2.6473,2.7189,2.4874,2.521,136116288,0
1998-11-20,2.6305,2.6305,2.4621,2.5758,67493606,0
1998-11-23,2.6852,3.4259,2.6599,3.3838,162518400,0
1998-11-24,3.3165,4.1077,3.1229,3.4512,342623002,0
1998-11-25,3.5269,3.7584,3.4259,3.5859,195843226,0
1998-11-27,3.6995,3.8636,3.6279,3.8258,66906259,0
1998-11-30,3.9394,3.9478,3.2955,3.4638,135796954,0
1998-12-01,3.2786,3.6658,3.1902,3.6322,147977280,0
1998-12-02,3.6153,3.7542,3.4722,3.5606,72198086,0
1998-12-03,3.4764,3.6532,3.2449,3.2786,76503398,0
1998-12-04,3.4175,3.4722,2.8114,3.2029,138454272,0
1998-12-07,3.2071,3.2071,2.9293,3.0556,115490707,0
1998-12-08,2.9461,3.1902,2.9209,3.1019,121176000,0
1998-12-09,3.1145,3.4133,3.0303,3.1481,119573626,0
1998-12-10,3.2281,3.346,3.1566,3.2618,114333120,0
1998-12-11,3.1944,3.388,3.1902,3.367,60473952,0
1998-12-14,3.2618,3.3838,3.2534,3.3081,46964966,0
1998-12-15,3.3754,3.4091,3.3165,3.4049,40709434,0
1998-12-16,3.5101,3.9646,3.5101,3.9184,123297293,0
1998-12-17,3.8258,4.2677,3.7795,4.1793,106475213,0
1998-12-18,4.3855,4.6002,4.2971,4.4234,83836685,0
1998-12-21,4.5328,5.2694,4.5076,5.1978,132409728,0
1998-12-22,5.3704,5.4545,4.9495,5.2778,106252819,0
1998-12-23,5.404,5.4588,5.1473,5.2273,42978989,0
1998-12-24,5.0884,5.2104,4.9453,5.0168,26527565,0
1998-12-28,5.0421,5.2988,4.8401,5.0084,60952954,0
1998-12-29,5.101,5.101,4.7348,4.8022,33775315,0
1998-12-30,4.7222,4.7306,4.0236,4.436,99632333,0
1998-12-31,4.2719,4.5286,4.2256,4.2298,37652947,0
1999-01-04,4.1456,4.4024,4.0699,4.2088,44809459,0
1999-01-05,4.0025,4.0783,3.851,3.931,75585312,0
1999-01-06,4.1035,5,4.0867,4.9621,108927245,0
1999-01-07,4.7727,5.5219,4.7391,5.2273,118684051,0
1999-01-08,5.5219,5.6313,5.0337,5.1305,89732966,0
1999-01-11,5.3325,5.3493,4.8779,5.1094,44022528,0
1999-01-12,4.9116,5.1305,4.2088,4.2172,63564653,0
1999-01-13,3.8047,4.1414,3.7247,3.7795,77603962,0
1999-01-14,3.9394,4.2382,3.8426,3.952,70920749,0
1999-01-15,3.9899,4.2466,3.8931,3.9184,44957722,0
1999-01-19,4.3392,4.3855,3.7416,4.032,36905933,0
1999-01-20,4.0278,4.0446,3.6827,3.7458,52530509,0
1999-01-21,3.4554,3.5438,3.1608,3.1902,90314611,0
1999-01-22,2.9125,3.8594,2.9125,3.4512,126256838,0
1999-01-25,3.5101,3.8173,3.2071,3.8131,109012781,0
1999-01-26,3.8384,4.1162,3.7374,3.8763,84840307,0
1999-01-27,5.3493,5.5093,4.9832,5.3199,251224934,0
1999-01-28,5.3325,5.362,5.0168,5.1347,66763699,0
1999-01-29,5.0168,5.202,4.7727,4.8695,92105165,0
1999-02-01,4.8906,4.9116,4.5833,4.596,66318912,0
1999-02-02,4.5623,4.5623,4.2971,4.4613,49109069,0
1999-02-03,4.3687,4.9116,4.3308,4.8822,53836358,0
1999-02-04,4.8064,4.8779,4.1582,4.1919,217905811,0
1999-02-05,4.3056,4.3308,3.8594,3.8805,105870758,0
1999-02-08,4.0362,4.2887,3.9141,4.0488,80831520,0
1999-02-09,4.0488,4.0699,3.6827,3.7332,48253709,0
1999-02-10,3.6785,3.7963,3.367,3.7205,71861645,0
1999-02-11,3.8426,4.2172,3.7374,4.2003,75442752,0
1999-02-12,4.1372,4.3434,4.0067,4.1414,69141600,0
1999-02-16,4.2298,4.314,4.0025,4.053,36238752,0
1999-02-17,4.1835,4.314,4.0278,4.0867,67083034,0
1999-02-18,4.112,4.1793,3.9015,4.1246,43207085,0
1999-02-19,4.154,4.234,4.0614,4.2003,36238752,0
1999-02-22,4.2929,5,4.234,4.8906,101063635,0
1999-02-23,4.979,5.202,4.8779,4.9579,115832851,0
1999-02-24,5.0926,5.3072,5,5.0168,94551494,0
1999-02-25,5.0968,5.2567,4.9327,5.2525,73863187,0
1999-02-26,5.3914,5.8965,5.2525,5.8586,197149075,0
1999-03-01,5.7323,6.2121,5.3704,5.665,280603699,0
1999-03-02,5.8207,6.3636,5.7449,6.1574,186403853,0
1999-03-03,6.4815,6.5741,6.1827,6.4983,102405600,0
1999-03-04,6.7803,6.8981,6.4983,6.8813,104680858,0
1999-03-05,7.3064,7.9503,7.1044,7.8535,158536224,0
1999-03-08,8.1229,8.9983,8.0093,8.9983,165981658,0
1999-03-09,9.213,9.335,8.4933,8.7458,127676736,0
1999-03-10,8.8131,8.8763,7.9966,8.1608,92928211,0
1999-03-11,8.1019,8.4638,7.6263,7.8914,66735187,0
1999-03-12,7.5842,7.8367,7.298,7.4705,58185389,0
1999-03-15,7.6557,8.2955,7.4916,8.2492,66062304,0
1999-03-16,8.4512,8.7037,8.1692,8.3039,44699213,0
1999-03-17,8.1313,8.3502,7.9503,8.1944,32144429,0
1999-03-18,8.1944,8.6279,8.0093,8.4554,36717754,0
1999-03-19,8.6322,8.6658,8.2365,8.4049,31847904,0
1999-03-22,8.3418,8.5227,8.1019,8.1608,23980493,0
1999-03-23,8.0471,8.1019,7.4158,7.702,36567590,0
1999-03-24,7.5547,7.681,7.2222,7.6515,34214400,0
1999-03-25,8.4049,8.6027,8.2071,8.388,58776538,0
1999-03-26,8.2071,8.5227,8.0471,8.1313,27185242,0
1999-03-29,7.7988,8.0934,7.681,7.7778,51908947,0
1999-03-30,7.6557,7.681,7.117,7.2138,67487904,0
1999-03-31,6.9781,7.6263,6.9739,7.2222,52097126,0
1999-04-01,7.5758,7.5758,7.0034,7.2938,41108602,0
1999-04-05,7.3401,8.2534,7.1296,7.8241,80278387,0
