Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.823,5.8778,5.7411,5.7411,118739,0
1995-01-04,5.7411,5.7411,5.6311,5.6588,328558,0
1995-01-05,5.6588,5.7411,5.6588,5.7411,226500,0
1995-01-06,5.7958,5.8778,5.7683,5.7958,452563,0
1995-01-09,5.7958,5.7958,5.577,5.6043,292346,0
1995-01-10,5.6588,5.7958,5.6588,5.7411,309020,0
1995-01-11,5.7683,5.905,5.7411,5.823,440711,0
1995-01-12,5.8502,5.9323,5.823,5.8502,814041,0
1995-01-13,5.823,5.8778,5.7683,5.823,749954,0
1995-01-16,5.823,5.823,5.6862,5.6862,340189,0
1995-01-17,5.7411,5.9869,5.7137,5.9869,609710,0
1995-01-18,5.9598,6.406,5.9598,6.324,998842,0
1995-01-19,6.2601,6.2873,6.1783,6.2058,509627,0
1995-01-20,6.2058,6.2601,6.1237,6.2601,663922,0
1995-01-23,6.2601,6.406,6.233,6.233,511381,0
1995-01-24,6.2601,6.2873,6.2058,6.233,450587,0
1995-01-25,6.233,6.3514,6.1509,6.324,484606,0
1995-01-26,6.2873,6.324,6.2601,6.324,215745,0
1995-01-27,6.324,6.3514,6.2873,6.324,234181,0
1995-01-30,6.2873,6.3514,6.1783,6.2058,443127,0
1995-01-31,6.2058,6.3514,6.2058,6.2601,456514,0
1995-02-01,6.2601,6.406,6.2601,6.379,746220,0
1995-02-02,6.379,6.461,6.2601,6.324,393084,0
1995-02-03,6.324,6.5156,6.324,6.461,422710,0
1995-02-06,6.4333,6.5156,6.379,6.5156,239232,0
1995-02-07,6.5156,6.5156,6.4333,6.461,124442,0
1995-02-08,6.5156,6.5978,6.5156,6.57,272594,0
1995-02-09,6.5428,6.7067,6.5428,6.6794,499090,0
1995-02-10,6.7067,6.7615,6.6794,6.734,311875,0
1995-02-13,6.734,7.0351,6.734,6.9801,620243,0
1995-02-14,6.9801,6.9801,6.7888,6.8162,467489,0
1995-02-15,6.7433,6.8253,6.716,6.7705,561863,0
1995-02-16,6.7705,6.7979,6.6247,6.716,388695,0
1995-02-17,6.716,6.7433,6.6519,6.6885,355773,0
1995-02-21,6.6885,6.716,6.57,6.5978,1398726,0
1995-02-22,6.6247,6.7705,6.6247,6.7705,222769,0
1995-02-23,6.7705,6.8801,6.7433,6.7705,472753,0
1995-02-24,6.7705,6.7979,6.6885,6.7705,129927,0
1995-02-27,6.7979,6.7979,6.716,6.716,248012,0
1995-02-28,6.716,6.8525,6.6885,6.8525,254373,0
1995-03-01,6.7979,6.8253,6.7705,6.7979,271273,0
1995-03-02,6.7705,6.7979,6.6885,6.6885,271491,0
1995-03-03,6.6885,6.7705,6.6885,6.7705,67595,0
1995-03-06,6.716,6.716,6.6247,6.6519,126418,0
1995-03-07,6.716,6.7433,6.4883,6.5156,150782,0
1995-03-08,6.57,6.5978,6.5428,6.57,220133,0
1995-03-09,6.57,6.7433,6.57,6.7433,298493,0
