Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.1102,9.1923,8.9548,9.1923,660658,0
1995-01-04,9.1923,9.2677,9.1923,9.1923,763969,0
1995-01-05,9.1923,9.2677,9.1923,9.1923,309326,0
1995-01-06,9.1923,9.3401,9.1923,9.2677,499923,0
1995-01-09,9.2677,9.4228,9.2677,9.4228,822725,0
1995-01-10,9.4228,9.579,9.4228,9.4228,591459,0
1995-01-11,9.4228,9.4959,9.2677,9.2677,583933,0
1995-01-12,9.3401,9.4228,9.2677,9.3401,1084463,0
1995-01-13,9.3401,9.4228,9.2677,9.3401,1083615,0
1995-01-16,9.3401,9.4959,9.3401,9.4228,709342,0
1995-01-17,9.3401,9.4228,9.3401,9.3401,732163,0
1995-01-18,9.3401,9.4959,9.3401,9.4959,758748,0
1995-01-19,9.4228,9.654,9.3401,9.4959,1537286,0
1995-01-20,9.654,9.735,9.4959,9.735,2430183,0
1995-01-23,9.654,9.735,9.579,9.579,1141039,0
1995-01-24,9.579,9.654,9.4959,9.579,1320102,0
1995-01-25,9.579,9.654,9.579,9.654,780966,0
1995-01-26,9.654,9.735,9.579,9.735,733373,0
1995-01-27,9.891,9.968,9.735,9.735,2284256,0
1995-01-30,9.735,9.968,9.735,9.968,1225653,0
1995-01-31,9.891,10.281,9.891,10.124,1882910,0
1995-02-01,10.281,10.437,10.124,10.281,2078121,0
1995-02-02,10.281,10.281,10.124,10.197,1395980,0
1995-02-03,10.281,10.353,10.197,10.281,1339404,0
1995-02-06,10.281,10.281,10.04,10.197,653740,0
1995-02-07,10.197,10.281,10.124,10.197,641720,0
1995-02-08,10.197,10.437,10.124,10.197,1138612,0
1995-02-09,10.197,10.197,10.04,10.124,788736,0
1995-02-10,10.124,10.197,10.124,10.197,849313,0
1995-02-13,10.124,10.353,10.124,10.197,651918,0
1995-02-14,10.197,10.281,10.197,10.197,898598,0
1995-02-15,10.197,10.51,10.197,10.281,968288,0
1995-02-16,10.281,10.281,10.197,10.197,513400,0
1995-02-17,10.197,10.281,10.124,10.281,1480714,0
1995-02-21,10.281,10.281,10.197,10.281,771741,0
1995-02-22,10.197,10.353,10.197,10.353,2010257,0
1995-02-23,10.353,10.353,10.281,10.281,728642,0
1995-02-24,10.281,10.353,10.281,10.281,373428,0
1995-02-27,10.281,10.281,10.124,10.124,645848,0
1995-02-28,10.124,10.197,10.04,10.197,771254,0
1995-03-01,10.124,10.197,9.891,9.968,663449,0
1995-03-02,9.891,9.968,9.735,9.891,937088,0
1995-03-03,9.812,10.04,9.812,9.968,512913,0
1995-03-06,9.968,9.968,9.579,9.579,1776928,0
1995-03-07,9.579,9.654,9.4228,9.4959,1281376,0
1995-03-08,9.579,9.735,9.4959,9.4959,701208,0
1995-03-09,9.579,9.654,9.579,9.579,550547,0
1995-03-10,9.654,9.735,9.579,9.735,837052,0
1995-03-13,9.735,9.812,9.654,9.654,802330,0
1995-03-14,9.735,9.812,9.735,9.735,716988,0
1995-03-15,9.735,9.812,9.654,9.735,437645,0
1995-03-16,9.654,9.812,9.654,9.812,454277,0
1995-03-17,9.654,9.735,9.579,9.654,2074479,0
1995-03-20,9.654,9.654,9.4959,9.4959,716742,0
1995-03-21,9.4959,9.735,9.4959,9.654,1102675,0
1995-03-22,9.579,9.968,9.579,9.891,1507785,0
1995-03-23,9.891,9.891,9.735,9.735,487786,0
1995-03-24,9.812,9.968,9.812,9.968,555891,0
1995-03-27,9.968,9.968,9.891,9.968,243650,0
1995-03-28,9.812,9.812,9.654,9.735,1349239,0
1995-03-29,9.735,9.968,9.654,9.891,1065651,0
1995-03-30,9.968,10.049,9.812,9.891,1498316,0
1995-03-31,9.812,9.968,9.728,9.891,1085680,0
1995-04-03,9.812,9.891,9.728,9.812,756563,0
1995-04-04,9.812,10.289,9.812,10.289,1756656,0
1995-04-05,10.204,10.406,10.204,10.289,1529153,0
1995-04-06,10.362,10.362,10.204,10.289,577135,0
1995-04-07,10.289,10.445,10.289,10.445,848465,0
1995-04-10,10.445,10.445,10.289,10.289,666119,0
1995-04-11,10.362,10.445,10.204,10.204,627757,0
1995-04-12,10.204,10.362,10.204,10.289,789826,0
1995-04-13,10.289,10.445,10.289,10.362,648636,0
1995-04-17,10.362,10.445,10.204,10.204,665029,0
1995-04-18,10.204,10.289,10.124,10.204,775259,0
1995-04-19,10.124,10.204,10.124,10.124,412154,0
1995-04-20,10.124,10.289,10.049,10.124,796991,0
1995-04-21,10.204,10.289,10.124,10.124,723424,0
1995-04-24,10.124,10.362,10.049,10.289,786672,0
1995-04-25,10.289,10.519,10.289,10.445,1894443,0
1995-04-26,10.445,10.685,10.445,10.519,1104378,0
1995-04-27,10.519,10.602,10.519,10.602,445781,0
1995-04-28,10.602,10.602,10.445,10.602,1078634,0
1995-05-01,10.519,10.685,10.445,10.519,1221891,0
1995-05-02,10.602,10.602,10.519,10.519,578592,0
1995-05-03,10.445,10.602,10.445,10.519,740659,0
1995-05-04,10.602,10.685,10.519,10.519,757781,0
1995-05-05,10.602,10.602,10.445,10.602,891316,0
1995-05-08,10.519,10.602,10.204,10.519,828310,0
1995-05-09,10.519,10.602,10.445,10.519,750374,0
1995-05-10,10.519,10.602,10.519,10.602,610035,0
1995-05-11,10.519,10.602,10.445,10.519,424050,0
1995-05-12,10.445,10.519,10.445,10.445,1662451,0
1995-05-15,10.519,10.602,10.445,10.519,619865,0
1995-05-16,10.519,10.602,10.445,10.519,810467,0
1995-05-17,10.519,10.602,10.445,10.519,684212,0
1995-05-18,10.445,10.519,10.362,10.445,535374,0
1995-05-19,10.362,10.445,10.289,10.362,728886,0
1995-05-22,10.362,10.602,10.362,10.519,750979,0
1995-05-23,10.602,10.602,10.445,10.602,891924,0
1995-05-24,10.519,10.685,10.445,10.519,1043916,0
1995-05-25,10.757,10.996,10.685,10.84,2220159,0
1995-05-26,10.996,11.08,10.84,10.84,1456920,0
1995-05-30,10.913,11.08,10.84,10.996,714559,0
1995-05-31,10.996,11.08,10.84,10.996,1476831,0
1995-06-01,10.913,10.996,10.913,10.913,707639,0
1995-06-02,10.913,11.08,10.913,11.08,1032387,0
1995-06-05,11.08,11.238,11.08,11.238,792012,0
1995-06-06,11.152,11.393,11.152,11.309,869221,0
1995-06-07,11.309,11.309,10.913,11.238,1857418,0
1995-06-08,11.152,11.152,11.08,11.08,519226,0
1995-06-09,11.08,11.08,10.757,10.757,962944,0
1995-06-12,10.913,11.08,10.84,10.996,474307,0
1995-06-13,11.08,11.152,10.996,10.996,812409,0
1995-06-14,10.996,11.08,10.913,11.08,470423,0
1995-06-15,10.996,11.08,10.913,10.913,412639,0
1995-06-16,11.08,11.152,10.84,10.84,2173543,0
1995-06-19,10.913,11.152,10.913,11.152,730462,0
1995-06-20,11.08,11.152,10.996,11.08,541444,0
1995-06-21,11.08,11.152,11.08,11.08,279223,0
1995-06-22,11.152,11.309,11.152,11.309,719904,0
1995-06-23,11.238,11.309,11.152,11.238,814835,0
1995-06-26,11.152,11.238,11.152,11.152,549698,0
1995-06-27,11.152,11.309,11.152,11.238,760206,0
1995-06-28,11.238,11.238,11.152,11.238,633707,0
1995-06-29,11.152,11.309,11.08,11.238,1721086,0
1995-06-30,11.318,11.318,10.996,10.996,2023128,0
1995-07-03,11.07,11.07,10.996,10.996,241830,0
1995-07-05,10.996,11.152,10.996,11.07,481228,0
1995-07-06,10.996,11.07,10.833,11.07,1790042,0
1995-07-07,10.996,11.07,10.913,10.913,607607,0
1995-07-10,10.996,11.07,10.75,10.913,656163,0
1995-07-11,10.913,10.996,10.913,10.996,573738,0
1995-07-12,10.913,11.152,10.913,11.07,726580,0
1995-07-13,11.07,11.152,10.833,10.833,979455,0
1995-07-14,10.75,10.833,10.273,10.75,819326,0
1995-07-17,10.75,10.833,10.592,10.677,454037,0
1995-07-18,10.592,10.833,10.592,10.75,772713,0
1995-07-19,10.677,10.833,10.592,10.75,671343,0
1995-07-20,10.677,10.913,10.677,10.913,729371,0
1995-07-21,10.833,10.913,10.75,10.833,646210,0
1995-07-24,10.833,10.913,10.75,10.833,687607,0
1995-07-25,10.833,10.996,10.75,10.833,616710,0
1995-07-26,10.833,10.996,10.677,10.833,1994966,0
1995-07-27,10.833,10.996,10.833,10.996,1215697,0
1995-07-28,10.996,10.996,10.913,10.996,469697,0
1995-07-31,10.996,10.996,10.833,10.996,483053,0
1995-08-01,10.996,10.996,10.833,10.833,639174,0
1995-08-02,10.913,10.913,10.75,10.75,806944,0
1995-08-03,10.677,10.833,10.677,10.833,738716,0
1995-08-04,10.833,10.833,10.75,10.833,440194,0
1995-08-07,10.75,10.913,10.75,10.833,445660,0
1995-08-08,10.833,10.913,10.677,10.75,470060,0
1995-08-09,10.677,10.75,10.592,10.677,1052296,0
1995-08-10,10.677,10.677,10.51,10.51,725244,0
1995-08-11,10.51,10.75,10.51,10.75,736899,0
1995-08-14,10.677,10.75,10.592,10.677,951775,0
1995-08-15,10.592,10.677,10.51,10.51,356431,0
1995-08-16,10.51,10.75,10.51,10.75,1584995,0
1995-08-17,10.75,10.833,10.677,10.75,385447,0
1995-08-18,10.833,10.833,10.677,10.75,476980,0
1995-08-21,10.833,10.833,10.75,10.75,449061,0
1995-08-22,10.75,10.833,10.75,10.833,1499046,0
1995-08-23,10.75,10.833,10.75,10.75,311631,0
1995-08-24,10.75,10.833,10.677,10.677,694162,0
1995-08-25,10.677,10.833,10.677,10.833,672194,0
1995-08-28,10.833,10.833,10.75,10.75,292453,0
1995-08-29,10.75,10.75,10.677,10.75,784729,0
1995-08-30,10.677,10.833,10.677,10.75,438376,0
1995-08-31,10.75,10.833,10.677,10.677,376706,0
1995-09-01,10.677,10.75,10.592,10.677,472001,0
1995-09-05,10.75,10.75,10.677,10.75,511820,0
1995-09-06,10.592,10.75,10.592,10.677,915596,0
1995-09-07,10.677,10.75,10.677,10.75,602141,0
1995-09-08,10.75,10.833,10.75,10.75,244621,0
1995-09-11,10.833,10.833,10.75,10.75,546178,0
1995-09-12,10.75,10.996,10.75,10.913,1224801,0
1995-09-13,10.913,10.996,10.833,10.833,1031048,0
1995-09-14,10.913,10.996,10.833,10.996,1015996,0
1995-09-15,11.07,11.07,10.913,10.913,1576012,0
1995-09-18,10.833,10.913,10.75,10.833,607607,0
1995-09-19,10.913,10.913,10.833,10.833,458406,0
1995-09-20,10.833,11.07,10.833,10.996,1081431,0
1995-09-21,10.996,11.07,10.833,10.913,877718,0
1995-09-22,10.833,11.07,10.833,11.07,991838,0
1995-09-25,11.07,11.238,10.996,11.238,1899667,0
1995-09-26,11.238,11.431,11.238,11.318,1868469,0
1995-09-27,11.238,11.393,11.238,11.393,1119548,0
1995-09-28,11.318,11.558,11.318,11.474,577135,0
1995-09-29,11.474,11.558,11.393,11.393,555891,0
1995-10-02,11.393,11.393,11.318,11.393,852469,0
1995-10-03,11.309,11.393,11.238,11.238,1163255,0
1995-10-04,11.238,11.309,11.07,11.07,2243712,0
1995-10-05,11.07,11.238,11.07,11.238,6163832,0
1995-10-06,11.152,11.393,11.152,11.309,951289,0
1995-10-09,11.393,11.558,11.309,11.558,815199,0
1995-10-10,11.474,11.72,11.393,11.64,1445994,0
1995-10-11,11.64,11.682,11.558,11.558,623388,0
1995-10-12,11.558,11.64,11.474,11.558,443959,0
1995-10-13,11.558,11.64,11.309,11.393,870074,0
1995-10-16,11.393,11.393,11.152,11.238,473701,0
1995-10-17,11.238,11.309,11.152,11.152,546424,0
1995-10-18,11.152,11.238,10.988,11.07,931623,0
1995-10-19,11.07,11.238,11.07,11.238,474427,0
1995-10-20,11.238,11.393,11.152,11.393,567061,0
1995-10-23,11.309,11.474,11.238,11.393,502715,0
1995-10-24,11.393,11.393,11.238,11.309,783394,0
1995-10-25,11.309,11.393,11.238,11.393,448939,0
1995-10-26,11.309,11.393,11.238,11.238,707639,0
1995-10-27,11.238,11.238,10.988,11.152,733863,0
1995-10-30,11.152,11.152,10.988,11.07,491548,0
1995-10-31,11.07,11.152,11.07,11.07,669156,0
1995-11-01,11.152,11.238,11.07,11.152,491793,0
1995-11-02,11.152,11.238,11.07,11.152,422472,0
1995-11-03,11.07,11.152,10.988,10.988,515584,0
1995-11-06,10.988,11.07,10.742,10.825,745272,0
1995-11-07,10.742,10.904,10.742,10.904,635529,0
1995-11-08,10.904,11.07,10.904,10.988,449666,0
1995-11-09,10.988,10.988,10.825,10.988,1036998,0
1995-11-10,10.904,10.988,10.904,10.904,228957,0
1995-11-13,10.988,10.988,10.904,10.904,391636,0
1995-11-14,10.904,11.152,10.904,11.07,1030927,0
1995-11-15,11.07,11.152,10.988,11.07,1046104,0
1995-11-16,11.07,11.238,11.07,11.152,985040,0
1995-11-17,11.152,11.238,10.904,10.988,732888,0
1995-11-20,10.988,11.07,10.825,10.825,1150988,0
1995-11-21,10.825,11.07,10.825,11.07,1181587,0
1995-11-22,10.904,10.904,10.336,10.42,1144435,0
1995-11-24,10.42,10.658,10.336,10.585,410815,0
1995-11-27,10.585,10.742,10.585,10.585,765061,0
