Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,16.544,16.667,16.464,16.544,425395,0
1995-01-04,16.709,16.709,16.544,16.667,192752,0
1995-01-05,16.667,16.709,16.504,16.63,160934,0
1995-01-06,16.586,17.245,16.586,17.118,673941,0
1995-01-09,16.876,17.201,16.876,17.161,241634,0
1995-01-10,17.245,17.492,17.201,17.366,814590,0
1995-01-11,17.366,17.366,17.118,17.245,380432,0
1995-01-12,17.283,17.283,17.082,17.082,419402,0
1995-01-13,17.161,17.201,16.917,17.036,600622,0
1995-01-16,17.082,17.366,17.082,17.328,498254,0
1995-01-17,17.328,17.57,17.283,17.57,666795,0
1995-01-18,17.57,17.697,17.492,17.613,363828,0
1995-01-19,17.53,17.613,17.448,17.492,566039,0
1995-01-20,17.448,17.492,17.201,17.245,555433,0
1995-01-23,17.161,17.328,17.082,17.161,643506,0
1995-01-24,17.161,17.201,17.082,17.118,368214,0
1995-01-25,17.161,17.283,16.997,17.201,320487,0
1995-01-26,17.245,17.245,16.917,16.917,354147,0
1995-01-27,16.876,16.917,16.63,16.794,502633,0
1995-01-30,16.832,16.832,15.931,16.096,601545,0
1995-01-31,16.096,16.544,16.096,16.339,590706,0
1995-02-01,16.339,16.63,16.339,16.544,548052,0
1995-02-02,16.504,16.586,16.218,16.586,333166,0
1995-02-03,16.751,16.997,16.709,16.917,339162,0
1995-02-06,16.832,16.832,16.586,16.667,373517,0
1995-02-07,16.751,16.751,16.586,16.751,543673,0
1995-02-08,16.751,16.751,16.504,16.544,291435,0
1995-02-09,16.544,16.954,16.544,16.751,474733,0
1995-02-10,16.709,16.954,16.709,16.917,447755,0
1995-02-13,16.832,17.082,16.832,17.036,493640,0
1995-02-14,17.036,17.245,16.917,17.201,478193,0
1995-02-15,17.245,17.328,17.118,17.283,461360,0
1995-02-16,17.328,17.366,16.954,16.997,590247,0
1995-02-17,16.997,17.245,16.917,17.082,514624,0
1995-02-21,17.082,17.161,16.997,17.161,351149,0
1995-02-22,17.245,17.409,17.161,17.409,462056,0
1995-02-23,17.409,17.448,17.161,17.328,508857,0
1995-02-24,17.366,17.448,17.283,17.448,529837,0
1995-02-27,17.328,17.448,17.283,17.328,304809,0
1995-02-28,17.409,18.065,17.366,17.982,1277099,0
1995-03-01,18.065,18.267,18.025,18.23,2002922,0
1995-03-02,17.982,18.065,17.899,17.943,1144292,0
1995-03-03,17.943,18.065,17.778,18.065,774472,0
1995-03-06,17.943,17.943,17.861,17.861,425161,0
1995-03-07,17.943,18.065,17.735,17.817,951771,0
1995-03-08,17.943,18.147,17.899,18.107,647429,0
1995-03-09,18.395,18.395,18.107,18.107,899203,0
1995-03-10,18.111,18.111,17.825,17.825,807902,0
1995-03-13,17.908,18.155,17.782,17.946,354837,0
1995-03-14,18.03,18.195,17.991,18.111,443376,0
1995-03-15,18.111,18.155,17.946,18.155,460209,0
1995-03-16,18.155,18.28,18.03,18.111,400953,0
1995-03-17,18.155,18.238,18.073,18.155,538368,0
1995-03-20,18.195,18.445,18.155,18.445,296047,0
1995-03-21,18.364,18.528,18.195,18.195,766169,0
1995-03-22,18.238,18.28,18.073,18.195,538598,0
1995-03-23,18.03,18.155,17.782,17.865,596935,0
1995-03-24,17.865,17.946,17.825,17.908,832571,0
1995-03-27,17.991,17.991,17.844,17.991,548514,0
1995-03-28,18.03,18.111,17.908,17.991,515545,0
1995-03-29,17.991,18.364,17.946,18.195,927105,0
1995-03-30,18.318,18.57,18.28,18.483,667716,0
1995-03-31,18.445,18.483,18.318,18.404,308498,0
1995-04-03,18.404,18.483,18.28,18.318,259848,0
1995-04-04,18.28,18.734,18.28,18.734,507476,0
1995-04-05,18.649,18.982,18.609,18.94,526611,0
1995-04-06,18.94,18.982,18.734,18.94,395648,0
1995-04-07,18.94,19.105,18.858,19.105,478193,0
1995-04-10,19.023,19.067,18.901,18.901,666795,0
1995-04-11,18.819,18.858,18.57,18.649,578719,0
1995-04-12,18.734,18.734,18.57,18.734,266996,0
1995-04-13,18.775,18.901,18.734,18.858,427465,0
1995-04-17,18.982,18.982,18.364,18.445,440841,0
1995-04-18,18.483,18.483,17.865,17.865,492489,0
1995-04-19,17.946,18.03,17.37,17.534,675326,0
1995-04-20,17.618,17.618,17.409,17.492,765709,0
1995-04-21,17.534,17.865,17.492,17.865,735501,0
1995-04-24,17.946,18.111,17.782,18.111,433922,0
1995-04-25,18.318,18.528,18.195,18.28,719828,0
1995-04-26,18.364,18.609,18.364,18.609,778851,0
1995-04-27,18.649,18.858,18.649,18.858,595782,0
1995-04-28,18.94,18.982,18.609,18.692,678095,0
1995-05-01,18.775,18.775,18.609,18.775,663108,0
1995-05-02,18.775,18.858,18.692,18.819,298352,0
1995-05-03,18.819,18.901,18.775,18.819,630597,0
1995-05-04,18.819,18.901,18.734,18.819,651577,0
1995-05-05,18.901,18.901,18.692,18.775,543443,0
1995-05-08,18.734,18.819,18.649,18.649,471737,0
1995-05-09,18.692,18.775,18.649,18.692,505862,0
1995-05-10,18.734,18.734,18.528,18.649,411331,0
1995-05-11,18.483,18.609,18.404,18.57,791530,0
1995-05-12,18.57,18.57,18.445,18.445,387813,0
1995-05-15,18.528,19.187,18.528,19.105,845941,0
1995-05-16,19.232,19.642,19.147,19.351,861163,0
1995-05-17,19.313,19.351,19.105,19.187,709219,0
1995-05-18,19.105,19.187,19.067,19.105,320715,0
1995-05-19,19.023,19.232,19.023,19.147,522229,0
1995-05-22,19.187,19.232,19.147,19.187,626675,0
1995-05-23,19.27,20.097,19.187,20.097,837413,0
1995-05-24,20.142,20.182,19.396,19.478,933331,0
1995-05-25,19.478,19.642,19.27,19.604,335706,0
1995-05-26,19.686,19.77,19.27,19.351,434847,0
1995-05-30,19.438,19.686,19.438,19.604,395648,0
1995-05-31,19.604,19.851,19.56,19.851,1112938,0
1995-06-01,19.807,19.977,19.686,19.807,889751,0
1995-06-02,19.604,19.851,19.396,19.523,921801,0
1995-06-05,19.396,19.851,19.396,19.807,931944,0
1995-06-06,19.686,19.851,19.686,19.726,512548,0
1995-06-07,19.686,19.851,19.642,19.807,233794,0
1995-06-08,19.726,19.77,19.523,19.56,500788,0
1995-06-09,19.478,19.56,19.313,19.478,467125,0
1995-06-12,19.438,19.686,19.396,19.56,714291,0
1995-06-13,19.726,19.807,19.56,19.604,595089,0
1995-06-14,19.237,19.279,18.944,19.237,990967,0
1995-06-15,19.237,19.612,19.237,19.612,474733,0
1995-06-16,19.776,19.776,19.528,19.651,600852,0
