Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.372,10.396,10.308,10.396,819796,0
1995-01-04,10.422,10.463,10.274,10.372,1536506,0
1995-01-05,10.372,10.519,10.359,10.495,2264500,0
1995-01-06,10.56,10.585,10.291,10.359,1524722,0
1995-01-09,10.396,10.585,10.396,10.544,3333182,0
1995-01-10,10.544,10.61,10.479,10.495,2332244,0
1995-01-11,10.495,10.56,10.422,10.544,1728934,0
1995-01-12,10.519,10.666,10.519,10.626,1743662,0
1995-01-13,10.666,10.708,10.61,10.708,1439306,0
1995-01-16,10.691,10.903,10.666,10.828,1903199,0
1995-01-17,10.79,10.853,10.708,10.853,1785387,0
1995-01-18,10.813,10.853,10.757,10.79,2091213,0
1995-01-19,10.79,10.813,10.708,10.757,924845,0
1995-01-20,10.73,10.79,10.691,10.772,1011242,0
1995-01-23,10.626,10.708,10.585,10.666,1075062,0
1995-01-24,10.708,10.708,10.479,10.495,1117276,0
1995-01-25,10.544,10.56,10.495,10.519,2005797,0
1995-01-26,10.519,10.641,10.519,10.61,1148694,0
1995-01-27,10.626,10.641,10.519,10.519,881156,0
1995-01-30,10.519,10.519,10.332,10.372,1179623,0
1995-01-31,10.422,10.626,10.372,10.519,1229201,0
1995-02-01,10.544,10.585,10.359,10.359,1483485,0
1995-02-02,10.372,10.585,10.359,10.585,977863,0
1995-02-03,10.585,10.73,10.585,10.585,2394099,0
1995-02-06,10.626,10.828,10.626,10.813,897847,0
1995-02-07,10.813,10.813,10.73,10.79,1071134,0
1995-02-08,10.79,10.828,10.73,10.813,1389235,0
1995-02-09,10.73,11.001,10.73,11.001,2971882,0
1995-02-10,10.975,11.001,10.943,10.958,889994,0
1995-02-13,10.95,11.048,10.927,11.033,1107948,0
1995-02-14,11.048,11.286,11.033,11.286,1433414,0
1995-02-15,11.221,11.221,11.033,11.097,1399542,0
1995-02-16,10.984,11.019,10.95,10.984,1774586,0
1995-02-17,11.019,11.033,10.95,10.95,1436853,0
1995-02-21,10.984,11.115,10.95,11.075,1138385,0
1995-02-22,11.075,11.115,11.033,11.048,1481031,0
1995-02-23,11.097,11.139,10.967,11.075,1457471,0
1995-02-24,11.097,11.097,10.984,11.075,964120,0
1995-02-27,11.048,11.097,10.888,10.903,998974,0
1995-02-28,10.95,11.115,10.888,11.115,1131513,0
1995-03-01,11.097,11.115,11.033,11.115,2210501,0
1995-03-02,11.115,11.139,10.967,10.967,1405923,0
1995-03-03,10.95,10.95,10.836,10.836,1347506,0
1995-03-06,10.804,10.927,10.804,10.903,1154583,0
1995-03-07,10.888,10.903,10.739,10.781,1013208,0
1995-03-08,10.781,10.804,10.714,10.739,859558,0
1995-03-09,10.739,10.781,10.691,10.739,1126604,0
1995-03-10,10.781,10.95,10.764,10.87,1511469,0
1995-03-13,10.888,10.903,10.836,10.888,1639591,0
1995-03-14,10.903,10.927,10.888,10.903,1285163,0
1995-03-15,10.903,10.903,10.781,10.781,1288601,0
1995-03-16,10.804,10.903,10.804,10.888,1387761,0
1995-03-17,10.888,10.967,10.87,10.927,3270836,0
1995-03-20,10.927,10.984,10.714,10.739,1523251,0
1995-03-21,10.781,10.888,10.739,10.82,2458406,0
1995-03-22,10.836,11.048,10.804,10.984,1850675,0
1995-03-23,11.019,11.019,10.95,11.019,1272403,0
1995-03-24,11.033,11.163,11.033,11.097,2048995,0
1995-03-27,11.139,11.18,11.115,11.18,1033825,0
1995-03-28,11.163,11.163,11.097,11.163,871338,0
1995-03-29,11.163,11.236,11.033,11.033,1298419,0
1995-03-30,11.075,11.262,10.967,11.221,2230630,0
1995-03-31,11.221,11.236,11.115,11.18,2707288,0
1995-04-03,11.139,11.194,11.115,11.194,894903,0
1995-04-04,11.18,11.369,11.18,11.369,1121699,0
1995-04-05,11.325,11.369,11.18,11.369,871826,0
1995-04-06,11.383,11.448,11.221,11.221,1053952,0
1995-04-07,11.262,11.325,11.019,11.115,1988617,0
1995-04-10,11.048,11.097,10.967,11.019,1572336,0
1995-04-11,11.048,11.075,10.804,10.87,2468712,0
1995-04-12,10.87,10.967,10.781,10.967,1811406,0
1995-04-13,10.984,11.019,10.95,11.019,1512448,0
1995-04-17,11.048,11.075,10.903,10.95,2175649,0
1995-04-18,10.967,10.967,10.888,10.903,1246875,0
1995-04-19,10.927,10.927,10.836,10.87,986210,0
1995-04-20,10.836,10.87,10.781,10.82,1869824,0
1995-04-21,10.927,10.967,10.87,10.927,1579209,0
1995-04-24,10.95,11.236,10.903,11.18,1346038,0
1995-04-25,11.139,11.351,11.139,11.351,1284674,0
1995-04-26,11.309,11.369,11.309,11.325,988172,0
1995-04-27,11.286,11.43,11.286,11.383,1975854,0
1995-04-28,11.369,11.383,11.286,11.309,1492323,0
1995-05-01,11.309,11.417,11.309,11.417,1066716,0
1995-05-02,11.514,11.577,11.309,11.325,1862949,0
1995-05-03,11.383,11.539,11.383,11.539,1621919,0
1995-05-04,11.539,11.645,11.498,11.562,2379371,0
1995-05-05,11.595,11.595,11.417,11.448,1028919,0
1995-05-08,11.498,11.562,11.43,11.514,2292484,0
1995-05-09,11.577,11.661,11.539,11.62,2334698,0
1995-05-10,11.661,11.683,11.577,11.595,1370580,0
1995-05-11,11.645,11.806,11.62,11.806,2326353,0
1995-05-12,11.784,11.83,11.708,11.83,1437342,0
1995-05-15,11.823,11.882,11.776,11.838,2067160,0
1995-05-16,11.838,11.855,11.776,11.838,1748571,0
1995-05-17,11.838,11.882,11.823,11.838,1776550,0
1995-05-18,11.799,11.823,11.669,11.669,918957,0
1995-05-19,11.669,11.716,11.539,11.539,2217866,0
1995-05-22,11.539,11.692,11.507,11.569,2666057,0
1995-05-23,11.586,11.604,11.539,11.586,1663156,0
1995-05-24,11.586,11.628,11.417,11.456,2374462,0
1995-05-25,11.417,11.539,11.392,11.522,2702870,0
1995-05-26,11.507,11.507,11.377,11.417,940064,0
1995-05-30,11.377,11.439,11.292,11.439,1341126,0
1995-05-31,11.456,11.628,11.417,11.628,2562475,0
