Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.3334,4.362,4.2522,4.3334,135626,0
1995-01-04,4.3334,4.3955,4.2808,4.3094,71583,0
1995-01-05,4.2522,4.2808,4.1947,4.2522,272098,0
1995-01-06,4.2808,4.2808,4.1089,4.1663,423631,0
1995-01-09,4.147,4.171,4.0851,4.0851,642148,0
1995-01-10,4.0564,4.0564,3.9466,3.9466,303075,0
1995-01-11,3.9466,4.0322,3.9466,4.0322,130610,0
1995-01-12,4.0039,4.0564,3.9466,3.9466,391821,0
1995-01-13,3.9466,4.0322,3.9176,4.0039,69907,0
1995-01-16,3.9466,3.9606,3.9176,3.9466,503166,0
1995-01-17,3.9466,4.0564,3.9466,4.0322,457961,0
1995-01-18,4.0322,4.1993,4.0322,4.171,634191,0
1995-01-19,4.171,4.171,4.1185,4.1185,259534,0
1995-01-20,4.147,4.147,4.1185,4.147,79955,0
1995-01-23,4.0851,4.1185,4.0039,4.0039,134794,0
1995-01-24,4.0039,4.171,4.0039,4.147,361676,0
1995-01-25,4.147,4.147,4.0851,4.1185,135626,0
1995-01-26,4.1185,4.2331,4.1185,4.2331,151955,0
1995-01-27,4.171,4.1993,4.1185,4.147,535827,0
1995-01-30,4.147,4.147,4.0564,4.0851,202188,0
1995-01-31,4.0564,4.147,4.0564,4.0564,195072,0
1995-02-01,4.0564,4.1185,4.0564,4.0851,48139,0
1995-02-02,4.0851,4.1185,4.0564,4.0851,43538,0
1995-02-03,4.1185,4.147,4.0564,4.1185,254936,0
1995-02-06,4.2331,4.4003,4.171,4.3429,681497,0
1995-02-07,4.4003,4.4003,4.2856,4.2856,457542,0
1995-02-08,4.3192,4.4003,4.3192,4.3429,575174,0
1995-02-09,4.3717,4.3717,4.2856,4.2856,291772,0
1995-02-10,4.3192,4.3717,4.2856,4.3717,254936,0
1995-02-13,4.4003,4.4863,4.4003,4.4288,277117,0
1995-02-14,4.4288,4.4288,4.3429,4.4288,144005,0
1995-02-15,4.4288,4.5437,4.4003,4.5149,290092,0
1995-02-16,4.5149,4.6009,4.5149,4.5721,499820,0
1995-02-17,4.5721,4.6868,4.5721,4.6868,273352,0
1995-02-21,4.6868,4.6868,4.658,4.6868,96702,0
1995-02-22,4.658,4.6868,4.6295,4.658,224373,0
1995-02-23,4.6868,4.7156,4.6295,4.7156,365029,0
1995-02-24,4.7156,4.7156,4.658,4.6868,294276,0
1995-02-27,4.6868,4.7156,4.658,4.7156,399358,0
1995-02-28,4.7442,4.7729,4.7156,4.7729,337401,0
1995-03-01,4.7442,4.7442,4.7156,4.7156,74094,0
1995-03-02,4.7156,4.8017,4.7156,4.8017,228979,0
1995-03-03,4.8017,4.8301,4.7729,4.8017,271678,0
1995-03-06,4.8017,4.8017,4.7156,4.7729,247399,0
1995-03-07,4.8017,4.8017,4.6868,4.6868,424050,0
1995-03-08,4.7156,4.8301,4.6868,4.7729,463402,0
1995-03-09,4.8017,4.8301,4.7442,4.8301,187956,0
1995-03-10,4.8017,4.8017,4.7156,4.7156,178327,0
1995-03-13,4.7442,4.7729,4.7156,4.7442,105493,0
1995-03-14,4.7442,4.8017,4.7442,4.8017,106327,0
1995-03-15,4.8017,4.8876,4.8017,4.859,331958,0
1995-03-16,4.8301,5.0311,4.8301,4.9738,665165,0
1995-03-17,4.9453,5.0311,4.859,4.9738,515725,0
1995-03-20,4.9453,5.0311,4.8301,4.8876,446657,0
1995-03-21,4.859,4.859,4.8017,4.8017,167028,0
1995-03-22,4.859,4.9162,4.8301,4.859,365447,0
1995-03-23,4.8876,4.9738,4.859,4.9453,292607,0
1995-03-24,4.9453,4.9453,4.8301,4.859,728379,0
1995-03-27,4.8876,5.0311,4.859,5.0311,329025,0
1995-03-28,5.0311,5.0881,5.0311,5.0881,281305,0
1995-03-29,5.0881,5.1979,5.0881,5.1455,479310,0
1995-03-30,5.1695,5.3702,5.1695,5.3702,433681,0
1995-03-31,5.3989,5.6855,5.3989,5.633,1398997,0
1995-04-03,5.633,5.633,5.4606,5.4606,1311923,0
1995-04-04,5.4606,5.4606,5.3463,5.3702,696984,0
1995-04-05,5.3702,5.4606,5.3463,5.3989,1093412,0
1995-04-06,5.3702,5.3702,5.2316,5.2316,736752,0
1995-04-07,5.2077,5.2652,5.1504,5.1504,238190,0
1995-04-10,5.1218,5.2652,5.1218,5.2652,550059,0
