Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.1881,6.1881,6.0083,6.0083,123091,0
1995-01-04,5.9807,6.0083,5.925,6.0083,110808,0
1995-01-05,6.0083,6.0083,5.8009,5.8283,73387,0
1995-01-06,5.8766,5.925,5.849,5.9047,62847,0
1995-01-09,5.953,5.9807,5.8283,5.8283,31639,0
1995-01-10,5.8283,5.9047,5.8283,5.8766,16329,0
1995-01-11,5.9047,5.925,5.8009,5.8283,97946,0
1995-01-12,5.8009,5.8009,5.7729,5.7729,37562,0
1995-01-13,5.7729,5.8009,5.7244,5.7729,75557,0
1995-01-16,5.8283,5.849,5.697,5.697,133777,0
1995-01-17,5.7244,5.8009,5.697,5.8009,18781,0
1995-01-18,5.849,5.849,5.7729,5.7729,25136,0
1995-01-19,5.7729,5.7729,5.7244,5.7244,335890,0
1995-01-20,5.7729,5.7729,5.6692,5.6692,201532,0
1995-01-23,5.7244,5.7244,5.5167,5.5167,21954,0
1995-01-24,5.5651,5.697,5.5651,5.593,177840,0
1995-01-25,5.593,5.6414,5.5445,5.5651,62847,0
1995-01-26,5.5651,5.5651,5.5445,5.5445,274925,0
1995-01-27,5.5651,5.5651,5.5445,5.5651,54898,0
1995-01-30,5.5651,5.5651,5.4615,5.5167,36981,0
1995-01-31,5.5167,5.5167,5.489,5.489,30628,0
1995-02-01,5.5445,5.5445,5.4615,5.489,56053,0
1995-02-02,5.5167,5.5445,5.4406,5.4615,59953,0
1995-02-03,5.4406,5.4406,5.1568,5.3094,913759,0
1995-02-06,5.2813,5.2813,5.2332,5.2813,367959,0
1995-02-07,5.2813,5.4406,5.2813,5.3575,546672,0
1995-02-08,5.3575,5.5445,5.3575,5.489,638545,0
1995-02-09,5.5167,5.5651,5.5167,5.5651,230574,0
1995-02-10,5.6206,5.7244,5.5651,5.6206,177118,0
1995-02-13,5.6206,5.6414,5.5167,5.593,77577,0
1995-02-14,5.593,5.7244,5.593,5.7244,248775,0
1995-02-15,5.7244,5.7244,5.6692,5.6692,223201,0
1995-02-16,5.697,5.697,5.5445,5.5651,66020,0
1995-02-17,5.5445,5.5445,5.413,5.4406,91013,0
1995-02-21,5.4406,5.6692,5.4406,5.6206,232596,0
1995-02-22,5.6692,5.6692,5.6206,5.6692,558224,0
1995-02-23,5.6414,5.6692,5.5651,5.6206,321153,0
1995-02-24,5.593,5.6206,5.593,5.593,19216,0
1995-02-27,5.593,5.6414,5.5651,5.5651,167727,0
1995-02-28,5.5445,5.6206,5.5445,5.593,185645,0
