Date,Open,High,Low,Close,Volume,OpenInt
1996-08-16,29.38,31.25,26.88,28.12,2691800,0
1996-08-19,28.75,29.68,27.2,27.35,441520,0
1996-08-20,27.5,28.12,27.2,27.5,240080,0
1996-08-21,27.5,27.5,26.25,26.25,582840,0
1996-08-22,26.57,26.57,26.25,26.25,845600,0
1996-08-23,26.25,26.57,26.25,26.57,136680,0
1996-08-26,26.57,26.57,26.25,26.25,72120,0
1996-08-27,26.25,26.57,26.25,26.25,39880,0
1996-08-28,26.57,26.57,26.25,26.57,52640,0
1996-08-29,26.57,26.57,26.25,26.32,14200,0
1996-08-30,26.25,26.57,26.25,26.25,16040,0
1996-09-03,26.57,26.57,26.1,26.25,139320,0
1996-09-04,26.25,26.57,26.25,26.25,63000,0
1996-09-05,26.57,26.57,26.25,26.25,54000,0
1996-09-06,26.25,26.57,26.25,26.25,49360,0
1996-09-09,26.57,26.57,26.25,26.25,66720,0
1996-09-10,26.25,26.57,26.25,26.25,29720,0
1996-09-11,26.57,26.57,21.88,21.88,293880,0
1996-09-12,22.82,23.45,21.88,22.82,197000,0
1996-09-13,23.45,23.75,22.5,23.45,55160,0
1996-09-16,23.45,23.45,22.5,22.82,71560,0
1996-09-17,22.82,22.82,21.25,21.55,101840,0
1996-09-18,21.55,21.55,20.62,20.95,101920,0
1996-09-19,20.95,21.55,20.62,21.25,74440,0
1996-09-20,20.95,24.05,20.95,24.05,219000,0
1996-09-23,24.05,24.05,22.82,23.12,145000,0
1996-09-24,23.12,23.12,22.18,22.82,80040,0
1996-09-25,22.82,23.75,22.5,23.75,147240,0
1996-09-26,23.75,26.88,23.45,26.88,174600,0
1996-09-27,26.88,31.88,26.57,31.25,245920,0
1996-09-30,31.25,34.7,31.25,32.98,214520,0
1996-10-01,33.12,33.12,27.2,27.5,293480,0
1996-10-02,27.5,27.8,27.5,27.8,61680,0
1996-10-03,27.8,30.32,27.5,30,82640,0
1996-10-04,30,31.55,30,30.95,83760,0
1996-10-07,30.62,33.42,30.32,30.95,163360,0
1996-10-08,30.62,30.95,28.75,29.05,95320,0
1996-10-09,29.38,29.38,27.5,28.75,107360,0
1996-10-10,28.12,30.95,28.12,30.62,127440,0
1996-10-11,30.95,33.12,30.62,31.25,277920,0
1996-10-14,30.95,31.25,30.32,30.62,100080,0
1996-10-15,30.62,31.25,29.68,30.32,90360,0
1996-10-16,30.32,31.55,29.68,30.62,107400,0
1996-10-17,30.62,31.88,30.32,31.25,92080,0
1996-10-18,31.88,31.88,31.25,31.25,104880,0
1996-10-21,31.88,31.88,31.25,31.25,27400,0
1996-10-22,31.88,31.88,29.38,29.38,66600,0
1996-10-23,29.05,29.68,28.45,29.68,99360,0
1996-10-24,29.68,30,29.05,29.38,45200,0
1996-10-25,29.38,29.38,28.12,28.27,20520,0
1996-10-28,28.45,28.45,26.88,27.2,97320,0
1996-10-29,26.88,27.5,26.88,26.88,51000,0
1996-10-30,27.2,27.2,26.88,27.2,41480,0
1996-10-31,27.8,28.75,27.5,27.8,195080,0
1996-11-01,28.12,28.12,24.38,24.7,118800,0
1996-11-04,24.7,25.93,24.05,24.38,110480,0
1996-11-05,24.38,24.7,22.5,23.12,87400,0
1996-11-06,23.12,25.62,22.82,25,207440,0
1996-11-07,25,25.3,24.05,24.05,83000,0
1996-11-08,24.38,24.38,23.45,24.38,29720,0
1996-11-11,24.38,24.38,23.45,23.45,44760,0
1996-11-12,23.45,24.38,21.88,22.5,100560,0
