Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.0493,7.0493,6.9277,6.9804,621402,0
1995-01-04,6.9804,6.9804,6.9118,6.9277,763662,0
1995-01-05,6.9277,7.0129,6.9118,6.944,257846,0
1995-01-06,6.9643,7.0857,6.9643,7.0695,1899768,0
1995-01-09,7.0695,7.2801,7.0695,7.2317,467781,0
1995-01-10,7.1951,7.4094,7.1788,7.2681,1099554,0
1995-01-11,7.2801,7.3368,7.2475,7.3005,1448787,0
1995-01-12,7.3162,7.3162,7.2475,7.3005,500876,0
1995-01-13,7.3162,7.4782,7.3162,7.4094,727111,0
1995-01-16,7.4259,7.4418,7.3528,7.3528,338364,0
1995-01-17,7.2801,7.3162,7.2681,7.3162,631280,0
1995-01-18,7.3528,7.3528,7.1585,7.2681,373436,0
1995-01-19,7.2112,7.2681,7.1951,7.2317,445552,0
1995-01-20,7.2475,7.2475,7.033,7.0493,700929,0
1995-01-23,6.944,7.0007,6.8749,6.944,877272,0
1995-01-24,6.9804,6.9804,6.8548,6.8749,748349,0
1995-01-25,6.9118,7.0129,6.8914,6.9118,716239,0
1995-01-26,6.9118,6.9277,6.7659,6.8021,510754,0
1995-01-27,6.8749,6.8749,6.7659,6.7659,1109432,0
1995-01-30,6.6605,6.6605,6.551,6.5715,1540659,0
1995-01-31,6.5958,6.6322,6.4865,6.6159,1928913,0
1995-02-01,6.6483,6.6848,6.5065,6.5228,1627596,0
1995-02-02,6.5432,6.6483,6.5228,6.6483,1215635,0
1995-02-03,6.6322,6.7007,6.6159,6.6646,959765,0
1995-02-06,6.6322,6.6483,6.5432,6.6159,511742,0
1995-02-07,6.6483,6.7213,6.6159,6.7213,865912,0
1995-02-08,6.5958,6.6322,6.5432,6.5432,956307,0
1995-02-09,6.5793,6.6322,6.5228,6.5958,1486327,0
1995-02-10,6.6159,6.7213,6.6159,6.7007,802685,0
1995-02-13,6.7213,6.774,6.7213,6.7373,1082265,0
1995-02-14,6.7576,6.774,6.6322,6.6483,1629080,0
1995-02-15,6.6646,6.8467,6.6483,6.8267,3392020,0
1995-02-16,6.7898,6.8101,6.7007,6.7373,747854,0
1995-02-17,6.7373,6.8467,6.7213,6.7898,1111902,0
1995-02-21,6.8467,6.863,6.6848,6.7007,380841,0
1995-02-22,6.7373,6.7373,6.6483,6.7373,2438186,0
1995-02-23,6.7373,6.9924,6.7213,6.8832,2732089,0
1995-02-24,6.9561,7.098,6.9561,7.0249,1686873,0
1995-02-27,7.0249,7.1867,7.0249,7.1138,2480665,0
1995-02-28,7.098,7.2437,7.0776,7.1867,1415193,0
1995-03-01,7.1867,7.2231,7.1665,7.2073,1206744,0
1995-03-02,7.1665,7.1665,7.098,7.1138,1783196,0
1995-03-03,7.0776,7.1504,7.0408,7.1303,1240334,0
1995-03-06,7.1303,7.2073,7.1303,7.1665,1985223,0
1995-03-07,7.1303,7.1504,7.098,7.1138,1160805,0
1995-03-08,7.1303,7.1504,7.1138,7.1303,1192417,0
1995-03-09,7.1303,7.1665,7.098,7.1303,320580,0
1995-03-10,7.1303,7.1867,7.098,7.1504,460864,0
1995-03-13,7.1867,7.2231,7.1504,7.1665,803177,0
1995-03-14,7.1867,7.2595,7.1665,7.1665,501369,0
1995-03-15,7.2073,7.2073,7.1504,7.1867,813553,0
1995-03-16,7.1867,7.2437,7.1867,7.2437,895544,0
1995-03-17,7.2437,7.2437,7.2073,7.2073,1092639,0
1995-03-20,7.1665,7.2231,7.1303,7.1303,737978,0
1995-03-21,7.1303,7.1665,7.1138,7.1504,400598,0
1995-03-22,7.1665,7.1665,7.1303,7.1303,344291,0
1995-03-23,7.1303,7.2231,7.1303,7.1504,1179081,0
1995-03-24,7.1504,7.1867,7.1504,7.1665,545331,0
1995-03-27,7.1867,7.2073,7.1504,7.1665,677218,0
1995-03-28,7.1504,7.3326,7.1504,7.2962,1077820,0
1995-03-29,7.3123,7.6889,7.3123,7.6727,2398172,0
1995-03-30,7.6727,8.0127,7.6527,7.9924,1811842,0
1995-03-31,7.9601,7.9601,7.6527,7.778,1573757,0
1995-04-03,7.7941,7.9237,7.7941,7.9033,1174635,0
1995-04-04,7.9033,7.9924,7.709,7.7414,1186493,0
1995-04-05,7.8145,7.8307,7.6527,7.6889,592752,0
1995-04-06,7.7254,7.7254,7.5632,7.5837,667338,0
1995-04-07,7.5998,7.8509,7.4379,7.8509,1484348,0
1995-04-10,7.8145,7.9399,7.7577,7.9399,606584,0
1995-04-11,7.9399,7.9399,7.8145,7.8145,346266,0
1995-04-12,7.8145,7.9033,7.7414,7.8307,430238,0
1995-04-13,7.867,7.867,7.7941,7.8307,486054,0
1995-04-17,7.8307,7.9399,7.8307,7.9237,762672,0
1995-04-18,7.9237,8.0491,7.867,7.9399,1334677,0
1995-04-19,7.9399,7.9924,7.778,7.9399,460368,0
1995-04-20,8.0127,8.1344,7.9601,8.0655,1449774,0
1995-04-21,8.1546,8.349,8.1344,8.3165,1530286,0
1995-04-24,8.2802,8.4219,8.2071,8.4219,735509,0
1995-04-25,8.4059,8.4059,8.1909,8.2071,577439,0
1995-04-26,8.2637,8.2637,8.0291,8.1182,981989,0
1995-04-27,8.1344,8.1344,7.9924,8.1182,532983,0
1995-04-28,8.1707,8.2436,8.1344,8.2274,1463106,0
