Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.5175,6.5857,6.5175,6.5857,394388,0
1995-01-04,6.5477,6.6236,6.4875,6.5477,1119411,0
1995-01-05,6.5477,6.5857,6.5477,6.5857,379578,0
1995-01-06,6.5857,6.6236,6.5175,6.6236,503364,0
1995-01-09,6.6236,6.6537,6.5857,6.6236,331695,0
1995-01-10,6.6236,6.6537,6.5477,6.5477,453633,0
1995-01-11,6.5857,6.6236,6.457,6.5175,1150359,0
1995-01-12,6.5175,6.5477,6.4875,6.4875,340692,0
1995-01-13,6.5857,6.6236,6.5477,6.5477,561031,0
1995-01-16,6.5857,6.7825,6.5857,6.7143,1259336,0
1995-01-17,6.7143,6.8885,6.7143,6.8885,1398738,0
1995-01-18,6.8504,6.8885,6.7825,6.8885,1305627,0
1995-01-19,6.8201,6.8504,6.6916,6.7143,960177,0
1995-01-20,6.7521,6.8201,6.6916,6.7825,1048525,0
1995-01-23,6.7521,6.8504,6.7143,6.8504,1164908,0
1995-01-24,6.8504,6.9561,6.8504,6.9184,1370961,0
1995-01-25,6.9561,7.0243,6.9184,6.9561,753860,0
1995-01-26,6.9561,6.9865,6.9184,6.9561,216368,0
1995-01-27,6.9865,7.0847,6.9865,7.047,626626,0
1995-01-30,7.0243,7.1152,7.0243,7.0847,616576,0
1995-01-31,7.0847,7.1529,7.047,7.1152,624248,0
1995-02-01,7.1152,7.2131,7.0847,7.1152,1290021,0
1995-02-02,7.1152,7.1529,7.047,7.1529,793536,0
1995-02-03,7.1906,7.2812,7.1529,7.2511,1911361,0
1995-02-06,7.1906,7.2511,7.1906,7.1906,452317,0
1995-02-07,7.2131,7.2131,7.1529,7.1906,595944,0
1995-02-08,7.1906,7.2511,7.1152,7.1152,535107,0
1995-02-09,7.1152,7.1152,6.9865,7.047,858604,0
1995-02-10,7.047,7.0847,7.047,7.047,524262,0
1995-02-13,7.0847,7.1152,7.047,7.047,489084,0
1995-02-14,7.0847,7.1529,7.0847,7.1529,1914798,0
1995-02-15,7.0923,7.1984,7.0923,7.1301,3104305,0
1995-02-16,7.1603,7.1603,7.0923,7.1301,2195712,0
1995-02-17,7.1301,7.1301,7.0619,7.0923,701219,0
1995-02-21,7.0923,7.1984,7.0243,7.1301,1718529,0
1995-02-22,7.1301,7.2663,7.1301,7.2283,844322,0
1995-02-23,7.2663,7.2965,7.1603,7.1984,1355091,0
1995-02-24,7.1603,7.2283,7.1603,7.1984,627422,0
1995-02-27,7.1984,7.1984,7.0619,7.0619,835064,0
1995-02-28,7.0619,7.2283,7.0243,7.2283,1035032,0
1995-03-01,7.2283,7.2283,7.1301,7.1984,1454018,0
1995-03-02,7.1984,7.1984,6.9865,7.0619,2149687,0
1995-03-03,7.0243,7.0243,6.9184,6.9561,1708744,0
1995-03-06,6.9184,6.9561,6.8277,6.8885,553093,0
1995-03-07,6.8885,6.8885,6.7595,6.8885,1311977,0
1995-03-08,6.9184,6.9561,6.8579,6.8579,1422276,0
1995-03-09,6.8579,6.8885,6.7595,6.7899,1567494,0
1995-03-10,6.8579,6.9184,6.7595,6.9184,588270,0
1995-03-13,6.8579,6.8885,6.7899,6.7899,376929,0
1995-03-14,6.8579,6.8885,6.7899,6.8277,1706099,0
1995-03-15,6.7899,6.8277,6.7595,6.7899,557855,0
1995-03-16,6.8277,6.8885,6.7899,6.8277,1556121,0
1995-03-17,6.8277,6.8277,6.7899,6.7899,1528878,0
1995-03-20,6.8277,6.8277,6.6916,6.7219,1053551,0
1995-03-21,6.6916,6.7219,6.6236,6.6537,1108832,0
1995-03-22,6.6537,6.6916,6.5857,6.6236,2626070,0
1995-03-23,6.6537,6.6916,6.6236,6.6916,550183,0
1995-03-24,6.7219,6.8277,6.6916,6.7899,909123,0
1995-03-27,6.8579,6.8579,6.7219,6.7595,859665,0
1995-03-28,6.7219,6.8277,6.6916,6.8277,797501,0
1995-03-29,6.8277,6.9561,6.7219,6.7595,1354826,0
1995-03-30,6.7899,6.7899,6.6916,6.7595,604145,0
1995-03-31,6.7219,6.7899,6.6537,6.7899,1549509,0
1995-04-03,6.7899,6.8579,6.7899,6.7899,1351652,0
1995-04-04,6.8277,6.9561,6.8277,6.8885,1953682,0
1995-04-05,6.9184,7.1984,6.8885,7.0923,1212252,0
1995-04-06,7.1301,7.1301,7.0243,7.0243,674504,0
1995-04-07,7.0619,7.1301,7.0243,7.1301,599382,0
1995-04-10,7.0619,7.1301,7.0243,7.0923,825010,0
1995-04-11,7.1301,7.1603,7.0619,7.0923,754123,0
