Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.2118,1.2118,1.1572,1.1662,667321,0
1995-01-04,1.1572,1.23,1.1572,1.1845,303808,0
1995-01-05,1.23,1.2846,1.1845,1.2572,579516,0
1995-01-06,1.2755,1.303,1.2391,1.2755,1127419,0
1995-01-09,1.2846,1.303,1.2572,1.2755,865761,0
1995-01-10,1.2572,1.2846,1.2118,1.2118,263414,0
1995-01-11,1.2391,1.2391,1.1937,1.2209,266928,0
1995-01-12,1.2391,1.2391,1.1937,1.2209,96585,0
1995-01-13,1.2209,1.2391,1.2209,1.2391,31611,0
1995-01-16,1.2391,1.2391,1.1937,1.1937,64976,0
1995-01-17,1.2209,1.2391,1.1937,1.1937,33369,0
1995-01-18,1.1937,1.2391,1.1937,1.23,145757,0
1995-01-19,1.2209,1.2391,1.2118,1.2118,1225763,0
1995-01-20,1.2118,1.2391,1.2118,1.23,159806,0
1995-01-23,1.2118,1.2391,1.1937,1.23,906153,0
1995-01-24,1.23,1.2391,1.2118,1.2118,96585,0
1995-01-25,1.2118,1.23,1.2118,1.23,277465,0
1995-01-26,1.2391,1.2391,1.2391,1.2391,26342,0
1995-01-27,1.2391,1.2391,1.1937,1.1937,75512,0
1995-01-30,1.1937,1.2025,1.1937,1.1937,909663,0
1995-01-31,1.2025,1.2025,1.1937,1.1937,101854,0
1995-02-01,1.1937,1.2391,1.1388,1.1388,291512,0
1995-02-02,1.1298,1.1572,1.1024,1.1572,786736,0
1995-02-03,1.1572,1.1662,1.1298,1.1572,635711,0
1995-02-06,1.1572,1.1572,1.1298,1.1572,672590,0
1995-02-07,1.1845,1.1845,1.1388,1.1388,80781,0
1995-02-08,1.148,1.1845,1.1388,1.1388,284488,0
1995-02-09,1.1754,1.1937,1.1572,1.1662,110635,0
1995-02-10,1.1754,1.1754,1.1572,1.1662,598832,0
1995-02-13,1.1937,1.1937,1.1572,1.1845,242342,0
1995-02-14,1.1662,1.2572,1.1662,1.2572,763906,0
1995-02-15,1.2755,1.2755,1.23,1.2755,626930,0
1995-02-16,1.23,1.2755,1.23,1.23,579516,0
1995-02-17,1.23,1.2755,1.23,1.2572,151026,0
1995-02-21,1.2482,1.2755,1.23,1.23,84293,0
1995-02-22,1.23,1.2391,1.1937,1.2118,244098,0
1995-02-23,1.2118,1.2391,1.2118,1.2118,17560,0
1995-02-24,1.1937,1.2118,1.1937,1.2118,66731,0
1995-02-27,1.2391,1.2391,1.1937,1.2025,214243,0
1995-02-28,1.1845,1.23,1.1845,1.23,122929,0
1995-03-01,1.23,1.23,1.1937,1.2025,251124,0
1995-03-02,1.23,1.2572,1.2118,1.2391,482931,0
1995-03-03,1.23,1.23,1.23,1.23,133465,0
1995-03-06,1.23,1.23,1.2118,1.2118,1836890,0
1995-03-07,1.2118,1.2118,1.1572,1.1754,618148,0
1995-03-08,1.1572,1.1937,1.1572,1.1572,73757,0
1995-03-09,1.1937,1.2118,1.1845,1.1937,388099,0
1995-03-10,1.2118,1.2118,1.1937,1.1937,29853,0
1995-03-13,1.1662,1.2118,1.1662,1.1662,177366,0
1995-03-14,1.1662,1.1937,1.1662,1.1845,324880,0
1995-03-15,1.1662,1.1845,1.1572,1.1845,535613,0
1995-03-16,1.1845,1.1845,1.1572,1.1662,221271,0
