Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.9259,5.9496,5.658,5.9022,2628479,0
1995-01-04,5.9259,6.0599,5.9259,6.0599,3320465,0
1995-01-05,6.1073,6.1386,5.8473,6.0045,4295564,0
1995-01-06,6.0282,6.1073,5.9812,6.0045,2084075,0
1995-01-09,6.0282,6.1386,6.0045,6.1073,3157779,0
1995-01-10,6.1386,6.1942,6.0045,6.0045,4281354,0
1995-01-11,6.0599,6.0599,5.9022,6.0045,2558178,0
1995-01-12,6.0282,6.0599,5.9496,5.9496,3136077,0
1995-01-13,5.9812,6.0599,5.9812,6.0599,2208822,0
1995-01-16,6.0599,6.1386,6.0045,6.1386,2652969,0
1995-01-17,6.0837,6.1073,6.0282,6.0837,2490667,0
1995-01-18,6.0599,6.0837,5.9259,5.9812,3414626,0
1995-01-19,5.9022,6.0837,5.7685,5.8236,3159808,0
1995-01-20,5.7685,5.7921,5.4767,5.5794,9441361,0
1995-01-23,5.4531,5.5554,5.3428,5.5554,10311384,0
1995-01-24,5.532,5.5871,5.5082,5.5082,8263221,0
1995-01-25,5.4531,5.6341,5.4531,5.5871,4451399,0
1995-01-26,5.532,5.532,5.4217,5.4217,3874766,0
1995-01-27,5.4767,5.5082,5.3979,5.4217,3268311,0
1995-01-30,5.4217,5.5082,5.264,5.2874,9038197,0
1995-01-31,5.3428,5.4217,5.2874,5.3979,5864937,0
1995-02-01,5.3665,5.5871,5.2874,5.3665,12145470,0
1995-02-02,5.3979,5.4767,5.3192,5.4767,5294267,0
1995-02-03,5.532,5.532,5.3428,5.5082,6927726,0
1995-02-06,5.5082,5.5082,5.4217,5.4767,4730829,0
1995-02-07,5.4767,5.5554,5.4217,5.4217,3885552,0
1995-02-08,5.4531,5.4767,5.3665,5.4531,4022986,0
1995-02-09,5.4217,5.4767,5.3979,5.3979,5345411,0
1995-02-10,5.4217,5.532,5.3979,5.532,5439444,0
1995-02-13,5.5554,5.5871,5.4767,5.5082,5266349,0
1995-02-14,5.5082,5.5871,5.4531,5.5871,3833778,0
1995-02-15,5.5871,5.6896,5.5554,5.5871,5274470,0
1995-02-16,5.6107,5.6341,5.5554,5.603,2604243,0
1995-02-17,5.6107,5.6659,5.5871,5.6107,3249782,0
1995-02-21,5.6341,5.6659,5.6107,5.6107,2898141,0
1995-02-22,5.6341,5.7208,5.6107,5.6896,3837203,0
1995-02-23,5.7208,5.745,5.6659,5.6896,7303479,0
1995-02-24,5.6659,5.7208,5.6341,5.7208,2492188,0
1995-02-27,5.7208,5.745,5.5554,5.5554,3408278,0
1995-02-28,5.5871,5.6659,5.5554,5.5871,5079426,0
1995-03-01,5.5554,5.6107,5.4531,5.4767,6814278,0
1995-03-02,5.4767,5.4767,5.3428,5.4217,6398170,0
1995-03-03,5.3979,5.5871,5.3428,5.4767,3563731,0
1995-03-06,5.4531,5.4767,5.3428,5.4531,3059942,0
1995-03-07,5.3979,5.5554,5.3665,5.4531,3734665,0
1995-03-08,5.4531,5.4767,5.3665,5.4217,4384774,0
1995-03-09,5.4531,5.532,5.4531,5.5082,5195032,0
1995-03-10,5.5554,5.7208,5.532,5.6896,4230716,0
1995-03-13,5.7208,5.745,5.5082,5.745,2099944,0
1995-03-14,5.7685,5.7685,5.5871,5.6107,3371228,0
1995-03-15,5.6341,5.6341,5.5082,5.5871,3966258,0
1995-03-16,5.6107,5.6341,5.532,5.5554,2303614,0
1995-03-17,5.5554,5.5554,5.4767,5.5082,3380868,0
1995-03-20,5.4767,5.5082,5.3979,5.4217,2797892,0
1995-03-21,5.3979,5.4767,5.3665,5.4217,3280108,0
1995-03-22,5.3979,5.4217,5.3192,5.3665,7464637,0
1995-03-23,5.3428,5.3665,5.2874,5.3665,5971026,0
1995-03-24,5.3428,5.4767,5.3428,5.4531,7183681,0
1995-03-27,5.5082,5.5554,5.4531,5.5554,3375794,0
1995-03-28,5.5554,5.6107,5.5554,5.5554,2618330,0
1995-03-29,5.5554,5.745,5.532,5.6896,4264221,0
1995-03-30,5.8,5.9574,5.7685,5.9339,7396748,0
1995-03-31,5.7685,5.8788,5.7208,5.745,3875272,0
1995-04-03,5.745,5.8236,5.745,5.8,2847507,0
1995-04-04,5.745,5.745,5.4767,5.6896,5590962,0
1995-04-05,5.6341,5.745,5.6107,5.6659,3364879,0
1995-04-06,5.6659,5.8236,5.6107,5.8,3073139,0
1995-04-07,5.8,5.8,5.6896,5.7685,2253618,0
1995-04-10,5.7208,5.7685,5.6896,5.745,1719496,0
1995-04-11,5.7685,5.8,5.6896,5.7208,2721626,0
