Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.1541,2.1626,2.1242,2.133,1208874,0
1995-01-04,2.1242,2.1413,2.0987,2.1242,410489,0
1995-01-05,2.1242,2.1413,2.0987,2.1413,988569,0
1995-01-06,2.1116,2.1242,2.1116,2.1116,553596,0
1995-01-09,2.1116,2.1242,2.1116,2.1116,858640,0
1995-01-10,2.1413,2.1921,2.1413,2.1626,1726696,0
1995-01-11,2.1794,2.2476,2.1626,2.2433,2587220,0
1995-01-12,2.2476,2.2602,2.2177,2.2476,1432948,0
1995-01-13,2.2476,2.2476,2.2177,2.2476,555481,0
1995-01-16,2.2476,2.3365,2.2049,2.3365,4645320,0
1995-01-17,2.3494,2.3876,2.3241,2.3876,3169060,0
1995-01-18,2.375,2.4428,2.3665,2.4175,3187892,0
1995-01-19,2.4175,2.4175,2.3494,2.3494,3848821,0
1995-01-20,2.3665,2.375,2.3241,2.3494,1363280,0
1995-01-23,2.3365,2.3876,2.3114,2.358,4165160,0
1995-01-24,2.4047,2.4175,2.2859,2.2859,4799726,0
1995-01-25,2.2985,2.3114,2.2602,2.2902,4679215,0
1995-01-26,2.2902,2.3114,2.2859,2.294,2427165,0
1995-01-27,2.3114,2.3114,2.2686,2.2686,2378208,0
1995-01-30,2.2812,2.2859,2.2306,2.2476,630797,0
1995-01-31,2.2306,2.3114,2.2306,2.2686,5426761,0
1995-02-01,2.2859,2.2859,2.2476,2.2686,3178476,0
1995-02-02,2.2686,2.2686,2.2306,2.2476,1269133,0
1995-02-03,2.2602,2.2859,2.2306,2.2686,2606049,0
1995-02-06,2.2859,2.2859,2.2476,2.2602,3402552,0
1995-02-07,2.2602,2.2859,2.2602,2.2686,193944,0
1995-02-08,2.2859,2.2985,2.2602,2.2985,1031876,0
1995-02-09,2.2985,2.3365,2.2686,2.3241,1169331,0
1995-02-10,2.3241,2.3494,2.3114,2.3412,1319969,0
1995-02-13,2.3365,2.375,2.3365,2.375,1905580,0
1995-02-14,2.3494,2.375,2.3494,2.3665,660926,0
1995-02-15,2.375,2.4047,2.3494,2.4047,949023,0
1995-02-16,2.4047,2.4047,2.3665,2.375,892534,0
1995-02-17,2.4047,2.4047,2.3665,2.3665,1188165,0
1995-02-21,2.375,2.375,2.3494,2.3665,954675,0
1995-02-22,2.3665,2.3665,2.3241,2.3324,489574,0
1995-02-23,2.3241,2.375,2.3241,2.358,781437,0
1995-02-24,2.3365,2.3876,2.3365,2.3876,1416002,0
1995-02-27,2.3665,2.4428,2.3665,2.4303,3400670,0
1995-02-28,2.4303,2.4811,2.4303,2.4682,4858097,0
1995-03-01,2.4811,2.4811,2.4428,2.4428,1114726,0
1995-03-02,2.4557,2.4557,2.4428,2.4557,1039408,0
1995-03-03,2.4428,2.4981,2.4428,2.4769,1361399,0
1995-03-06,2.4682,2.4981,2.4428,2.4811,999864,0
1995-03-07,2.4811,2.4811,2.4047,2.4303,1265365,0
1995-03-08,2.4303,2.4428,2.3876,2.4047,643982,0
1995-03-09,2.3876,2.4175,2.3876,2.3963,668461,0
1995-03-10,2.4047,2.4428,2.3876,2.4385,900069,0
