Date,Open,High,Low,Close,Volume,OpenInt
1995-07-10,8.9965,9.33,8.9965,9.33,6621653,0
1995-07-11,9.567,9.567,9.4238,9.519,5975074,0
1995-07-12,9.519,9.944,9.4693,9.944,1285611,0
1995-07-13,9.901,9.995,9.852,9.944,1672584,0
1995-07-14,9.901,9.944,9.852,9.901,1200129,0
1995-07-17,9.901,9.901,9.806,9.852,1153854,0
1995-07-18,9.852,9.852,9.567,9.614,885725,0
1995-07-19,9.567,9.567,8.8982,9.0418,679700,0
1995-07-20,8.9475,8.9965,8.9475,8.9965,565726,0
1995-07-21,9.0418,9.2795,9.0418,9.1855,878177,0
1995-07-24,9.1855,9.33,9.1855,9.1855,619792,0
1995-07-25,9.235,9.4238,9.1855,9.235,1031360,0
1995-07-26,9.33,9.567,9.33,9.567,1929753,0
1995-07-27,9.519,9.806,9.519,9.806,2535904,0
1995-07-28,9.806,10.422,9.662,10.422,17827561,0
1995-07-31,10.377,10.377,10.089,10.278,3098468,0
1995-08-01,10.233,10.233,10.089,10.138,2381751,0
1995-08-02,10.138,10.138,9.614,9.662,2809878,0
1995-08-03,9.567,9.901,9.567,9.901,2146496,0
1995-08-04,9.806,9.852,9.519,9.662,1100523,0
1995-08-07,9.614,9.614,9.4693,9.567,1019184,0
1995-08-08,9.519,9.567,9.4693,9.4693,887677,0
1995-08-09,9.4693,9.4693,9.2795,9.33,714282,0
1995-08-10,9.33,9.567,9.33,9.4238,1606588,0
1995-08-11,9.4238,9.614,9.4238,9.519,1402748,0
1995-08-14,9.519,9.519,9.235,9.33,462466,0
1995-08-15,9.33,9.4238,9.33,9.3745,425693,0
1995-08-16,9.4693,9.519,9.3745,9.4238,536017,0
1995-08-17,9.4238,9.567,9.3745,9.567,499973,0
1995-08-18,9.567,9.567,9.2795,9.33,729138,0
1995-08-21,9.3745,9.4693,9.235,9.235,536260,0
1995-08-22,9.2795,9.33,9.0418,9.1365,540888,0
1995-08-23,9.1855,9.1855,8.8037,8.9965,235253,0
1995-08-24,8.9965,8.9965,8.8037,8.8531,1563478,0
1995-08-25,8.8531,9.0907,8.7092,8.9965,893032,0
1995-08-28,8.9965,8.9965,8.7587,8.8531,545026,0
1995-08-29,8.8531,8.8531,8.6149,8.7092,448832,0
1995-08-30,8.6149,8.9475,8.6149,8.8037,484631,0
1995-08-31,8.8531,8.8982,8.8037,8.8982,508251,0
1995-09-01,8.8531,8.9965,8.8531,8.9475,724022,0
1995-09-05,9.0418,9.0907,8.8982,8.9965,593732,0
