Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,14.353,14.42,14.267,14.391,691038,0
1995-01-04,14.391,14.391,14.267,14.353,785093,0
1995-01-05,14.353,14.534,14.353,14.505,622475,0
1995-01-06,14.505,14.534,14.448,14.477,435189,0
1995-01-09,14.505,14.534,14.42,14.534,330680,0
1995-01-10,14.505,14.716,14.477,14.505,623313,0
1995-01-11,14.534,14.564,14.391,14.391,687690,0
1995-01-12,14.448,14.448,14.267,14.294,483265,0
1995-01-13,14.353,14.534,14.267,14.534,1239100,0
1995-01-16,14.564,14.687,14.534,14.687,470308,0
1995-01-17,14.716,14.924,14.687,14.886,680168,0
1995-01-18,14.924,15.041,14.924,15.041,892118,0
1995-01-19,15.041,15.196,15.012,15.099,1075226,0
1995-01-20,15.071,15.071,14.744,14.886,1397120,0
1995-01-23,14.716,14.886,14.716,14.803,804745,0
1995-01-24,14.858,14.858,14.629,14.659,232019,0
1995-01-25,14.593,15.099,14.593,14.953,318137,0
1995-01-26,14.953,14.953,14.593,14.593,324826,0
1995-01-27,14.687,14.774,14.629,14.659,458599,0
1995-01-30,14.744,14.886,14.687,14.774,298488,0
1995-01-31,14.774,14.774,14.448,14.477,715701,0
1995-02-01,14.477,14.744,14.42,14.477,420138,0
1995-02-02,14.534,14.803,14.534,14.803,442717,0
1995-02-03,14.803,14.924,14.774,14.774,854495,0
1995-02-06,14.832,14.858,14.593,14.659,345727,0
1995-02-07,14.716,14.716,14.534,14.564,178925,0
1995-02-08,14.564,14.593,14.391,14.391,405092,0
1995-02-09,14.391,14.534,14.323,14.448,1564344,0
1995-02-10,14.448,14.803,14.42,14.774,1086930,0
1995-02-13,15.012,15.338,14.924,15.338,1565178,0
1995-02-14,15.284,15.338,14.924,14.953,755833,0
1995-02-15,15.012,15.071,14.886,14.953,1140443,0
1995-02-16,15.012,15.012,14.774,14.886,478667,0
1995-02-17,14.924,15.012,14.886,14.886,429338,0
1995-02-21,14.983,14.983,14.832,14.924,486194,0
1995-02-22,14.886,14.953,14.774,14.953,936849,0
1995-02-23,14.983,15.549,14.983,15.549,1057665,0
1995-02-24,15.605,15.788,15.284,15.338,702327,0
1995-02-27,15.576,15.605,15.338,15.422,979907,0
1995-02-28,15.451,15.549,15.393,15.519,316047,0
1995-03-01,15.422,15.422,15.167,15.167,844464,0
1995-03-02,15.226,15.311,14.983,15.099,1356573,0
1995-03-03,15.041,15.099,14.924,14.953,466542,0
1995-03-06,14.953,14.953,14.832,14.924,506256,0
1995-03-07,14.886,14.886,14.744,14.832,515873,0
1995-03-08,14.886,14.886,14.774,14.774,381683,0
1995-03-09,14.774,14.803,14.716,14.744,427246,0
1995-03-10,14.774,14.983,14.716,14.983,360776,0
1995-03-13,14.983,15.605,14.983,15.605,867453,0
1995-03-14,15.788,15.933,15.663,15.933,976565,0
1995-03-15,15.904,15.933,15.393,15.758,2957704,0
1995-03-16,15.605,15.692,15.549,15.663,802235,0
1995-03-17,15.663,15.663,15.605,15.663,657175,0
1995-03-20,15.663,15.817,15.634,15.817,845717,0
1995-03-21,15.663,15.788,15.393,15.49,704835,0
1995-03-22,15.49,15.692,15.393,15.692,415959,0
1995-03-23,15.634,15.692,15.576,15.605,399235,0
1995-03-24,15.605,15.788,15.605,15.634,335275,0
1995-03-27,15.634,16.197,15.605,16.197,857005,0
1995-03-28,16.168,16.412,16.112,16.382,593213,0
1995-03-29,16.382,16.648,16.197,16.226,1017114,0
1995-03-30,16.226,16.439,16.14,16.353,495804,0
