Date,Open,High,Low,Close,Volume,OpenInt
1997-11-10,18.768,18.768,18.309,18.36,1305036,0
1997-11-11,18.36,18.542,18.309,18.447,709729,0
1997-11-12,18.404,18.856,18.309,18.674,476493,0
1997-11-13,18.629,18.906,18.629,18.856,1388454,0
1997-11-14,18.856,18.951,18.725,18.951,1917632,0
1997-11-17,18.906,19.133,18.856,19.038,974524,0
1997-11-18,18.951,19.219,18.906,18.993,863121,0
1997-11-19,18.951,19.133,18.951,19.133,471689,0
1997-11-20,19.09,19.402,19.09,19.314,773526,0
1997-11-21,19.497,19.585,19.314,19.585,879720,0
1997-11-24,19.402,19.678,19.314,19.585,454538,0
1997-11-25,19.541,19.861,19.497,19.766,1401626,0
1997-11-26,19.819,19.819,19.585,19.585,677217,0
1997-11-28,19.678,19.678,19.585,19.678,338332,0
1997-12-01,19.678,19.949,19.637,19.949,1152064,0
1997-12-02,19.861,19.949,19.725,19.766,606694,0
1997-12-03,19.861,19.861,19.585,19.766,470730,0
1997-12-04,19.861,20.182,19.725,19.949,1933270,0
1997-12-05,19.766,20.313,19.766,19.905,499268,0
1997-12-08,19.949,20,19.766,19.905,431492,0
1997-12-09,19.819,19.905,19.637,19.819,505304,0
1997-12-10,20,20.043,19.819,19.905,488980,0
1997-12-11,19.861,19.905,19.637,19.766,281257,0
1997-12-12,19.861,19.905,19.678,19.819,934054,0
1997-12-15,19.819,20.086,19.819,20.043,678860,0
1997-12-16,20.043,20.086,19.949,20,425730,0
1997-12-17,20.086,20.086,19.905,20,534392,0
1997-12-18,20,20.27,19.949,20.27,2251988,0
1997-12-19,20.27,20.632,20.182,20.632,2972281,0
1997-12-22,20.632,20.999,20.593,20.861,1169210,0
1997-12-23,20.729,20.955,20.632,20.773,679134,0
1997-12-24,20.817,20.913,20.729,20.861,128144,0
1997-12-26,20.817,20.861,20.452,20.593,299503,0
1997-12-29,20.593,20.955,20.496,20.817,385806,0
1997-12-30,20.861,20.999,20.773,20.999,375104,0
1997-12-31,20.861,21.137,20.817,21.137,664730,0
1998-01-02,20.955,21.094,20.773,21.042,440821,0
1998-01-05,20.913,21.07,20.544,20.68,1010609,0
1998-01-06,20.593,20.861,20.593,20.817,2074726,0
1998-01-07,20.729,20.729,20.452,20.729,996341,0
1998-01-08,20.632,20.729,20.452,20.68,634545,0
1998-01-09,20.632,20.817,20.496,20.632,1188280,0
1998-01-12,20.313,20.955,20.313,20.955,938989,0
1998-01-13,20.955,20.955,20.68,20.729,1466247,0
1998-01-14,20.729,20.729,20.496,20.729,485138,0
1998-01-15,20.632,20.68,20.593,20.593,881915,0
1998-01-16,20.773,20.773,20.593,20.68,677217,0
1998-01-20,20.68,20.773,20.408,20.773,476493,0
1998-01-21,20.773,20.955,20.593,20.773,640305,0
1998-01-22,20.729,20.773,20.593,20.773,580077,0
1998-01-23,20.729,20.773,20.544,20.632,440821,0
1998-01-26,20.593,20.861,20.593,20.861,1406017,0
1998-01-27,20.861,21.042,20.817,20.861,574727,0
1998-01-28,20.817,21.137,20.773,21.094,451522,0
1998-01-29,21.094,21.501,20.955,21.459,2489892,0
1998-01-30,21.405,21.501,21.137,21.137,391706,0
