Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.2165,7.2529,7.1712,7.2529,501209,0
1995-01-04,7.2529,7.2529,7.1712,7.2529,69711,0
1995-01-05,7.2529,7.2529,7.0353,7.0808,1532299,0
1995-01-06,7.1258,7.1258,7.0353,7.0353,76769,0
1995-01-09,7.1258,7.1258,7.0353,7.1258,145598,0
1995-01-10,7.0808,7.1258,7.0353,7.0353,101036,0
1995-01-11,7.0808,7.0808,6.9901,7.0353,386934,0
1995-01-12,7.0808,7.0808,6.9901,6.9901,74560,0
1995-01-13,7.0353,7.0808,6.9901,7.0172,151335,0
1995-01-16,7.0624,7.2165,7.0353,7.1712,857258,0
1995-01-17,7.2165,7.2529,7.1258,7.1712,558122,0
1995-01-18,7.1712,7.1712,6.9901,7.0172,362230,0
1995-01-19,7.0353,7.0353,6.9901,7.0172,121327,0
1995-01-20,6.9901,7.0353,6.9901,7.0353,293401,0
1995-01-23,6.9901,7.0353,6.9448,6.9901,274429,0
1995-01-24,6.9901,7.0353,6.9448,6.9717,1137864,0
1995-01-25,7.0353,7.0353,6.9448,6.9448,396200,0
1995-01-26,6.9448,7.0353,6.9448,6.9901,1311697,0
1995-01-27,6.9901,7.0808,6.9901,7.0353,415615,0
1995-01-30,7.0353,7.0353,6.9901,6.9901,144276,0
1995-01-31,7.0353,7.0353,6.9448,6.9717,1191247,0
1995-02-01,7.0353,7.0353,6.9448,6.9901,351639,0
1995-02-02,7.0353,7.0353,6.9901,7.0353,417819,0
1995-02-03,7.0353,7.1258,7.0353,7.0808,1041238,0
1995-02-06,7.0808,7.1712,7.0808,7.0899,541356,0
1995-02-07,7.1258,7.1712,7.0808,7.1712,498560,0
1995-02-08,7.1712,7.2165,7.0808,7.2165,303106,0
1995-02-09,7.2165,7.2165,7.1258,7.1894,332225,0
1995-02-10,7.2165,7.2529,7.1712,7.2529,302226,0
1995-02-13,7.2529,7.3435,7.2165,7.2981,440322,0
1995-02-14,7.3435,7.3435,7.2529,7.3435,85594,0
1995-02-15,7.2529,7.389,7.2529,7.389,196336,0
1995-02-16,7.2981,7.4341,7.2981,7.4341,161481,0
1995-02-17,7.4341,7.5703,7.2981,7.4162,801224,0
1995-02-21,7.4341,7.4341,7.3435,7.389,211778,0
1995-02-22,7.4341,7.4341,7.3435,7.389,283252,0
1995-02-23,7.389,7.4795,7.3435,7.4795,294283,0
1995-02-24,7.4341,7.4341,7.3435,7.389,221926,0
1995-02-27,7.3435,7.389,7.2981,7.3525,281926,0
1995-02-28,7.3707,7.389,7.3435,7.3435,150008,0
1995-03-01,7.389,7.389,7.3435,7.3435,132360,0
1995-03-02,7.389,7.4341,7.3435,7.4341,232514,0
1995-03-03,7.4341,7.4341,7.3799,7.4341,242223,0
1995-03-06,7.3435,7.389,7.2981,7.3435,324285,0
1995-03-07,7.389,7.389,7.2981,7.2981,292080,0
1995-03-08,7.2981,7.389,7.2981,7.3164,273107,0
1995-03-09,7.389,7.389,7.2981,7.2981,25148,0
1995-03-10,7.2981,7.389,7.2981,7.389,489292,0
1995-03-13,7.4253,7.5884,7.4253,7.5613,1096394,0
1995-03-14,7.6067,7.697,7.516,7.6067,673277,0
1995-03-15,7.6067,7.697,7.6067,7.697,1057123,0
1995-03-16,7.697,7.697,7.6067,7.6067,52504,0
1995-03-17,7.6515,7.697,7.6067,7.697,154422,0
1995-03-20,7.697,7.697,7.6067,7.6067,172068,0
1995-03-21,7.6067,7.6515,7.5613,7.6067,435908,0
1995-03-22,7.6067,7.6067,7.4253,7.4524,213981,0
1995-03-23,7.4253,7.516,7.4253,7.516,208251,0
1995-03-24,7.516,7.6067,7.4253,7.5884,396641,0
1995-03-27,7.516,7.6067,7.4706,7.4706,193689,0
1995-03-28,7.4706,7.5613,7.4253,7.4253,183542,0
1995-03-29,7.4706,7.4706,7.389,7.4253,102801,0
1995-03-30,7.4706,7.4706,7.389,7.4706,70591,0
1995-03-31,7.4706,7.4706,7.389,7.4706,147362,0
1995-04-03,7.4706,7.5613,7.4253,7.5613,378995,0
1995-04-04,7.5613,7.697,7.516,7.6515,900052,0
1995-04-05,7.697,7.697,7.6067,7.6515,1051385,0
1995-04-06,7.697,7.697,7.6067,7.6067,658715,0
1995-04-07,7.697,7.697,7.6067,7.697,667101,0
1995-04-10,7.697,7.697,7.6067,7.6515,238250,0
1995-04-11,7.6337,7.697,7.6067,7.697,266489,0
1995-04-12,7.6067,7.697,7.6067,7.6515,359142,0
1995-04-13,7.6515,7.697,7.6515,7.697,356935,0
1995-04-17,7.697,7.697,7.6067,7.6067,131918,0
1995-04-18,7.6067,7.6515,7.5613,7.6067,390464,0
1995-04-19,7.6067,7.6515,7.516,7.6067,282813,0
1995-04-20,7.516,7.6067,7.516,7.6067,47212,0
1995-04-21,7.6067,7.6067,7.516,7.5613,1050948,0
1995-04-24,7.5613,7.6067,7.5613,7.5613,402823,0
1995-04-25,7.6067,7.6067,7.516,7.5613,1098156,0
1995-04-26,7.516,7.6067,7.516,7.5613,503413,0
1995-04-27,7.5613,7.6067,7.516,7.5613,610626,0
1995-04-28,7.6067,7.6067,7.516,7.6067,606214,0
1995-05-01,7.516,7.6067,7.516,7.516,184423,0
1995-05-02,7.5613,7.6067,7.4706,7.4706,714309,0
1995-05-03,7.5613,7.5613,7.4706,7.4706,157952,0
1995-05-04,7.5613,7.5613,7.4706,7.4706,547537,0
1995-05-05,7.5613,7.5613,7.4706,7.4706,610626,0
1995-05-08,7.5613,7.6067,7.4706,7.5884,1312138,0
1995-05-09,7.6067,7.6067,7.5613,7.5884,95741,0
1995-05-10,7.6515,7.7881,7.5613,7.7881,1086243,0
1995-05-11,7.7698,7.7881,7.6515,7.679,648570,0
1995-05-12,7.6515,7.697,7.6067,7.697,248837,0
1995-05-15,7.697,7.697,7.6067,7.6515,680337,0
1995-05-16,7.6067,7.6515,7.6067,7.6067,608862,0
1995-05-17,7.6515,7.6515,7.4706,7.5613,320757,0
1995-05-18,7.5613,7.5613,7.4253,7.516,179568,0
1995-05-19,7.4253,7.516,7.389,7.389,216189,0
1995-05-22,7.4706,7.5068,7.389,7.4253,757989,0
1995-05-23,7.516,7.516,7.4253,7.4706,444734,0
1995-05-24,7.516,7.697,7.4706,7.6515,2165425,0
1995-05-25,7.8512,7.969,7.8333,7.9238,3541097,0
1995-05-26,7.9238,7.9238,7.8333,7.9238,1403467,0
1995-05-30,7.8333,7.8786,7.7881,7.8786,376345,0
1995-05-31,7.8786,7.8786,7.7881,7.8512,990499,0
1995-06-01,7.7881,8.0598,7.7881,8.0598,1101683,0
1995-06-02,8.0598,8.1864,8.0145,8.1052,1968649,0
1995-06-05,8.0598,8.1415,8.0598,8.1052,1061974,0
1995-06-06,8.0598,8.1052,8.0598,8.1052,573564,0
1995-06-07,8.1052,8.1052,8.0145,8.0145,317222,0
1995-06-08,8.1052,8.1052,8.0145,8.1052,374136,0
1995-06-09,7.969,8.0779,7.969,7.969,269575,0
1995-06-12,8.0598,8.0598,7.969,8.0598,531209,0
1995-06-13,7.969,8.1052,7.969,8.0327,628715,0
1995-06-14,8.0507,8.1415,8.0507,8.0958,307076,0
1995-06-15,8.0507,8.0958,8.0507,8.0958,644600,0
1995-06-16,8.0958,8.0958,8.0507,8.0958,426641,0
1995-06-19,8.0507,8.3228,8.0507,8.2957,1013888,0
1995-06-20,8.3228,8.3228,8.232,8.2957,470322,0
1995-06-21,8.3228,8.3228,8.2773,8.3228,395320,0
1995-06-22,8.2773,8.4134,8.2773,8.3228,625626,0
1995-06-23,8.3228,8.3681,8.232,8.3228,269132,0
1995-06-26,8.232,8.3228,8.2047,8.2047,153542,0
