Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.931,7.0071,6.931,6.9479,328825,0
1995-01-04,6.931,7.0071,6.931,6.9732,110803,0
1995-01-05,6.9732,7.0071,6.9732,6.9732,145544,0
1995-01-06,6.9732,7.0071,6.931,6.9479,733718,0
1995-01-09,6.931,6.9732,6.931,6.9479,898430,0
1995-01-10,6.9732,6.9732,6.931,6.931,233591,0
1995-01-11,6.9732,6.9732,6.897,6.9055,736116,0
1995-01-12,6.897,6.9732,6.897,6.9732,799006,0
1995-01-13,6.897,6.9732,6.897,6.9732,2507826,0
1995-01-16,6.9732,7.0829,6.931,7.0829,1014032,0
1995-01-17,7.0829,7.0829,7.0407,7.0829,339606,0
1995-01-18,7.0407,7.1169,7.0407,7.1,837340,0
1995-01-19,7.0407,7.1169,7.0407,7.0407,279113,0
1995-01-20,7.0407,7.1169,7.0407,7.1169,370752,0
1995-01-23,7.1169,7.1169,7.0407,7.0407,227002,0
1995-01-24,7.0829,7.1169,7.066,7.1169,53906,0
1995-01-25,7.066,7.1586,7.066,7.1169,241976,0
1995-01-26,7.1586,7.2266,7.1586,7.1929,633095,0
1995-01-27,7.1929,7.2266,7.1929,7.1929,149136,0
1995-01-30,7.2266,7.3791,7.1929,7.3029,422264,0
1995-01-31,7.3791,7.4464,7.3365,7.3791,884059,0
1995-02-01,7.4464,7.4464,7.3791,7.3791,247969,0
1995-02-02,7.3791,7.4464,7.3791,7.4294,97030,0
1995-02-03,7.4464,7.5226,7.3791,7.514,791219,0
1995-02-06,7.4886,7.5985,7.4886,7.5395,112606,0
1995-02-07,7.5226,7.6323,7.4886,7.6323,761871,0
1995-02-08,7.5562,7.6323,7.4886,7.4886,129972,0
1995-02-09,7.4886,7.5562,7.4886,7.5226,194063,0
1995-02-10,7.5226,7.5226,7.4126,7.4886,307265,0
1995-02-13,7.4464,7.4886,7.4126,7.4126,92239,0
1995-02-14,7.4886,7.4886,7.3791,7.4464,396509,0
1995-02-15,7.4464,7.4886,7.3791,7.4886,1437492,0
1995-02-16,7.4886,7.4886,7.3791,7.4886,137161,0
1995-02-17,7.4886,7.4886,7.3791,7.3791,171900,0
1995-02-21,7.5226,7.5226,7.4126,7.5226,228800,0
1995-02-22,7.4464,7.5562,7.4464,7.5226,518096,0
1995-02-23,7.5562,7.6323,7.4886,7.6323,342603,0
1995-02-24,7.5985,7.5985,7.5562,7.5562,422264,0
1995-02-27,7.5562,7.5985,7.5226,7.5562,300673,0
1995-02-28,7.5562,7.5985,7.5562,7.5562,182084,0
1995-03-01,7.5562,7.6323,7.5562,7.5985,815775,0
1995-03-02,7.5562,7.6323,7.5562,7.6323,373747,0
1995-03-03,7.5562,7.6323,7.5562,7.6323,341403,0
1995-03-06,7.5562,7.6323,7.5562,7.6323,925981,0
1995-03-07,7.5985,7.6661,7.5985,7.5985,1039786,0
1995-03-08,7.5985,7.6661,7.5985,7.6154,472576,0
1995-03-09,7.6661,7.6661,7.5985,7.6661,584579,0
1995-03-10,7.5985,7.6661,7.5985,7.6661,260547,0
1995-03-13,7.5985,7.6661,7.5985,7.6661,231195,0
1995-03-14,7.6323,7.7083,7.5985,7.6154,604346,0
1995-03-15,7.6323,7.6661,7.5985,7.6661,918799,0
1995-03-16,7.6661,7.7083,7.5985,7.6661,238984,0
1995-03-17,7.6828,7.7423,7.6661,7.7423,524084,0
1995-03-20,7.7083,7.7423,7.5985,7.5985,514503,0
1995-03-21,7.5985,7.6661,7.5985,7.649,391115,0
1995-03-22,7.5985,7.6661,7.5985,7.6661,171297,0
1995-03-23,7.6661,7.6661,7.5985,7.6661,250366,0
1995-03-24,7.5985,7.6661,7.5985,7.6661,510310,0
1995-03-27,7.649,7.7168,7.649,7.7168,1161975,0
1995-03-28,7.7168,7.7168,7.649,7.7,368355,0
1995-03-29,7.7168,7.759,7.649,7.7168,535466,0
1995-03-30,7.7168,7.7168,7.649,7.7168,905617,0
1995-03-31,7.649,7.7168,7.649,7.649,1167958,0
1995-04-03,7.7168,7.7168,7.649,7.6661,975099,0
1995-04-04,7.649,7.759,7.649,7.759,611534,0
1995-04-05,7.759,7.759,7.6068,7.6068,881062,0
1995-04-06,7.6828,7.6828,7.4971,7.6068,1579448,0
1995-04-07,7.4971,7.6068,7.4971,7.5562,1645929,0
1995-04-10,7.5395,7.6068,7.5395,7.6068,361170,0
1995-04-11,7.6068,7.6068,7.4971,7.5734,866089,0
1995-04-12,7.5734,7.5734,7.4971,7.5479,1255409,0
1995-04-13,7.5734,7.6068,7.4971,7.5734,1528534,0
1995-04-17,7.6068,7.6068,7.5734,7.6068,1294344,0
1995-04-18,7.6068,7.6068,7.5734,7.5734,971508,0
1995-04-19,7.6068,7.649,7.5734,7.6238,424660,0
1995-04-20,7.6828,7.6828,7.5734,7.5905,2240691,0
1995-04-21,7.649,7.649,7.3873,7.421,1466842,0
1995-04-24,7.4633,7.4633,7.3533,7.3533,948145,0
1995-04-25,7.3533,7.421,7.2012,7.2773,1264993,0
1995-04-26,7.2012,7.3113,7.1675,7.2773,1086505,0
1995-04-27,7.3113,7.3113,7.0913,7.1675,1736969,0
1995-04-28,7.1675,7.1675,7.0578,7.1084,3793782,0
1995-05-01,7.1675,7.2432,7.0578,7.2432,3636856,0
1995-05-02,7.3113,7.3873,7.3113,7.3533,1766320,0
1995-05-03,7.3873,7.3873,7.1675,7.1844,1339863,0
1995-05-04,7.2012,7.2432,7.1675,7.1675,2285614,0
1995-05-05,7.2432,7.3113,7.2012,7.2773,201848,0
1995-05-08,7.3113,7.4464,7.2773,7.3533,988875,0
1995-05-09,7.4971,7.5395,7.421,7.4971,353983,0
1995-05-10,7.421,7.5395,7.421,7.5226,286897,0
1995-05-11,7.5395,7.5734,7.4633,7.5395,1405148,0
1995-05-12,7.5395,7.5734,7.4971,7.5395,634294,0
1995-05-15,7.5395,7.5734,7.4971,7.4971,356376,0
1995-05-16,7.5395,7.5905,7.4971,7.5395,340208,0
1995-05-17,7.5395,7.5905,7.4971,7.5905,521689,0
1995-05-18,7.5395,7.5734,7.4803,7.5562,522888,0
1995-05-19,7.514,7.6068,7.4803,7.5395,600753,0
1995-05-22,7.6068,7.759,7.5395,7.7168,950539,0
1995-05-23,7.759,7.7929,7.6828,7.7929,782238,0
1995-05-24,7.8351,7.945,7.7929,7.903,1490199,0
1995-05-25,7.945,7.945,7.8351,7.8692,276120,0
1995-05-26,7.945,7.945,7.8351,7.9197,112606,0
1995-05-30,7.8692,7.945,7.8351,7.903,486353,0
1995-05-31,7.903,7.945,7.8351,7.8692,492937,0
1995-06-01,7.945,7.979,7.8692,7.979,282703,0
1995-06-02,7.903,8.1984,7.903,8.1395,1038585,0
1995-06-05,8.1227,8.1984,8.1227,8.1648,475568,0
1995-06-06,8.0887,8.1816,8.0887,8.1648,994865,0
1995-06-07,8.1984,8.1984,8.0887,8.1648,368355,0
1995-06-08,8.1648,8.1984,8.0551,8.0551,280310,0
1995-06-09,8.0551,8.1227,7.7929,7.903,682207,0
1995-06-12,7.903,7.979,7.8692,7.945,329424,0
1995-06-13,7.9958,8.0551,7.945,8.0551,222212,0
1995-06-14,7.979,8.1648,7.979,8.0887,685203,0
1995-06-15,8.0887,8.1984,8.0887,8.1227,521090,0
1995-06-16,8.1227,8.1648,8.0887,8.1648,227002,0
1995-06-19,8.1984,8.2408,8.1227,8.2408,219816,0
1995-06-20,8.1648,8.2747,8.1648,8.2747,130570,0
1995-06-21,8.1984,8.4606,8.1984,8.4606,736116,0
1995-06-22,8.4183,8.4946,8.385,8.4439,586976,0
1995-06-23,8.385,8.5366,8.385,8.4776,354578,0
1995-06-26,8.4183,8.4946,8.3506,8.4183,501327,0
1995-06-27,8.4183,8.4776,8.3506,8.4606,602548,0
1995-06-28,8.5285,8.5285,8.4354,8.4776,316850,0
1995-06-29,8.4776,8.4776,8.4354,8.4354,189270,0
1995-06-30,8.4776,8.4776,8.3592,8.3592,428249,0
1995-07-03,8.3592,8.4354,8.3254,8.385,117394,0
1995-07-05,8.4354,8.4439,8.3592,8.4439,658851,0
1995-07-06,8.4014,8.4776,8.4014,8.4776,181481,0
1995-07-07,8.4014,8.5113,8.4014,8.5113,323437,0
1995-07-10,8.5113,8.5113,8.4354,8.5113,156327,0
1995-07-11,8.4354,8.5113,8.4014,8.4522,516299,0
1995-07-12,8.4014,8.5113,8.4014,8.4183,615127,0
1995-07-13,8.4014,8.5113,8.4014,8.4776,815775,0
1995-07-14,8.4014,8.5113,8.4014,8.5113,648072,0
1995-07-17,8.5113,8.5113,8.4354,8.4354,579787,0
1995-07-18,8.4354,8.5113,8.4014,8.4014,256351,0
1995-07-19,8.3592,8.4776,8.3592,8.4014,193461,0
1995-07-20,8.4354,8.4776,8.3592,8.3592,171900,0
1995-07-21,8.4354,8.4776,8.4014,8.4014,178491,0
1995-07-24,8.4776,8.5113,8.4014,8.4014,845122,0
1995-07-25,8.4014,8.5113,8.4014,8.4354,487549,0
1995-07-26,8.4776,8.4776,8.4014,8.4183,596559,0
1995-07-27,8.4776,8.4776,8.4014,8.4354,259946,0
1995-07-28,8.4014,8.4776,8.4014,8.4776,280911,0
1995-07-31,8.4014,8.4776,8.4014,8.4776,226406,0
1995-08-01,8.4014,8.4776,8.3254,8.3338,395908,0
1995-08-02,8.3254,8.385,8.2493,8.2917,1069136,0
1995-08-03,8.2325,8.2917,8.1395,8.1395,1037390,0
1995-08-04,8.1565,8.1984,8.1395,8.1395,210832,0
1995-08-07,8.1984,8.1984,8.1395,8.1565,227002,0
1995-08-08,8.1733,8.1733,8.1395,8.1395,322237,0
1995-08-09,8.1395,8.1733,8.106,8.1227,164112,0
1995-08-10,8.106,8.1733,8.106,8.1733,1010435,0
1995-08-11,8.106,8.1733,8.106,8.1733,213828,0
1995-08-14,8.106,8.1733,8.106,8.1648,333017,0
1995-08-15,8.1733,8.1733,8.106,8.106,350988,0
1995-08-16,8.1733,8.1733,8.106,8.106,183279,0
1995-08-17,8.1733,8.2493,8.106,8.2493,1148795,0
1995-08-18,8.1733,8.2493,8.1733,8.1733,140754,0
1995-08-21,8.2156,8.4014,8.2156,8.385,1109267,0
1995-08-22,8.385,8.4014,8.3254,8.3592,660649,0
1995-08-23,8.3254,8.4014,8.2917,8.2917,314450,0
1995-08-24,8.2493,8.3254,8.2493,8.2493,143750,0
1995-08-25,8.3254,8.3254,8.2493,8.3254,126976,0
1995-08-28,8.2493,8.3592,8.2493,8.2917,228800,0
1995-08-29,8.2917,8.3592,8.2917,8.3423,137761,0
1995-08-30,8.3592,8.3592,8.2917,8.3592,165315,0
1995-08-31,8.3592,8.3592,8.2917,8.3592,176689,0
1995-09-01,8.2917,8.4014,8.2917,8.385,515701,0
1995-09-05,8.3254,8.4776,8.3254,8.4014,546250,0
1995-09-06,8.4014,8.5113,8.4014,8.4099,341403,0
1995-09-07,8.5113,8.5113,8.4014,8.4776,259348,0
1995-09-08,8.4776,8.4776,8.3592,8.4776,172497,0
1995-09-11,8.3592,8.5113,8.2917,8.3338,670229,0
1995-09-12,8.3254,8.3592,8.2917,8.3592,276717,0
1995-09-13,8.3592,8.3592,8.2917,8.3087,328825,0
1995-09-14,8.3592,8.5874,8.3254,8.5874,586976,0
1995-09-15,8.5453,8.5874,8.4776,8.5874,426456,0
1995-09-18,8.4776,8.5113,8.4354,8.4776,343802,0
1995-09-19,8.4776,8.5874,8.4354,8.5874,1210485,0
1995-09-20,8.5113,8.6213,8.5113,8.5453,744498,0
1995-09-21,8.6213,8.6636,8.5453,8.6636,301873,0
1995-09-22,8.6213,8.6636,8.5453,8.6213,400701,0
1995-09-25,8.5874,8.6636,8.5874,8.6636,246771,0
1995-09-26,8.6636,8.6636,8.5874,8.5874,186275,0
1995-09-27,8.6046,8.6976,8.5621,8.638,633689,0
1995-09-28,8.638,8.638,8.5621,8.6046,476167,0
1995-09-29,8.5621,8.6046,8.5621,8.5789,211432,0
1995-10-02,8.5621,8.6046,8.4861,8.5031,465988,0
1995-10-03,8.5285,8.5285,8.4522,8.5285,153932,0
1995-10-04,8.5285,8.5453,8.4691,8.4691,101223,0
1995-10-05,8.5621,9.0103,8.5285,8.9773,2393425,0
1995-10-06,9.0103,9.1967,8.9773,9.0697,1772909,0
1995-10-09,9.0697,9.0697,8.9341,9.0103,324633,0
1995-10-10,8.9341,8.9923,8.9004,8.9341,214424,0
1995-10-11,9.0103,9.145,8.9004,9.087,1177548,0
1995-10-12,9.087,9.163,9.0517,9.163,746896,0
1995-10-13,9.12,9.425,9.12,9.425,1808246,0
1995-10-16,9.425,9.796,9.3491,9.796,1916055,0
1995-10-17,9.685,9.837,9.645,9.762,1699836,0
1995-10-18,9.796,9.905,9.72,9.781,1834000,0
