Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.91,1.91,1.88,1.88,25600,0
1995-01-04,1.94,2.03,1.92,2.02,2107200,0
1995-01-05,2.09,2.22,2.03,2.14,2080800,0
1995-01-06,2.09,2.19,2.09,2.16,309600,0
1995-01-09,2.19,2.19,2.09,2.09,743200,0
1995-01-10,2.09,2.19,2.09,2.09,275200,0
1995-01-11,2.09,2.19,2.06,2.09,696000,0
1995-01-12,2.06,2.16,2.06,2.09,52000,0
1995-01-13,2.06,2.12,2.03,2.09,119200,0
1995-01-16,2.09,2.12,2.03,2.08,271200,0
1995-01-17,2.12,2.3,2.03,2.25,1117600,0
1995-01-18,2.28,2.34,2.16,2.19,764800,0
1995-01-19,2.16,2.22,2.12,2.22,292800,0
1995-01-20,2.22,2.22,2.09,2.19,35200,0
1995-01-23,2.09,2.19,2.06,2.06,1658400,0
1995-01-24,2.06,2.12,1.91,1.95,1881600,0
1995-01-25,1.94,1.98,1.94,1.97,278400,0
1995-01-26,1.94,2,1.91,1.91,353600,0
1995-01-27,2,2,1.91,1.91,10400,0
1995-01-30,2,2,1.91,1.92,124800,0
1995-01-31,1.88,1.97,1.88,1.94,318400,0
1995-02-01,1.88,1.97,1.88,1.91,204000,0
1995-02-02,1.97,1.97,1.91,1.97,10400,0
1995-02-03,1.97,2.02,1.91,1.95,473600,0
1995-02-06,1.94,2,1.94,2,575200,0
1995-02-07,2,2,1.91,1.92,163200,0
1995-02-08,1.91,1.97,1.88,1.94,221600,0
1995-02-09,2,2,1.94,1.95,12800,0
1995-02-10,1.94,1.97,1.91,1.97,42400,0
1995-02-13,1.97,1.97,1.91,1.97,53600,0
1995-02-14,1.97,1.97,1.88,1.88,145600,0
1995-02-15,1.88,2.03,1.88,1.97,724800,0
1995-02-16,2.03,2.09,1.98,2.02,642400,0
1995-02-17,1.97,2.03,1.91,1.92,256800,0
1995-02-21,1.88,1.95,1.88,1.92,330400,0
1995-02-22,1.95,1.95,1.89,1.95,24800,0
1995-02-23,1.97,1.98,1.95,1.98,32800,0
1995-02-27,1.91,1.97,1.89,1.89,163200,0
