Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,7.9332,7.9765,7.9078,7.9591,341953,0
1995-01-04,7.9332,8.0706,7.9332,8.0537,535297,0
1995-01-05,8.002,8.0537,7.9332,8.002,555328,0
1995-01-06,8.002,8.0537,7.8904,7.9765,636854,0
1995-01-09,7.9935,8.0878,7.9511,8.0193,204986,0
1995-01-10,7.9935,8.1309,7.9935,8.0624,1211282,0
1995-01-11,8.0624,8.0624,8.0193,8.0193,564645,0
1995-01-12,8.0193,8.0624,7.9935,8.0451,402517,0
1995-01-13,8.0878,8.1137,8.0451,8.0878,477989,0
1995-01-16,8.0878,8.0878,7.9935,8.0624,336361,0
1995-01-17,8.0624,8.1995,8.0451,8.1826,634525,0
1995-01-18,8.1826,8.2512,8.1826,8.2338,315865,0
1995-01-19,8.2338,8.2512,8.1826,8.1826,202658,0
1995-01-20,8.1826,8.1995,8.0878,8.0878,730029,0
1995-01-23,8.0193,8.1137,8.0193,8.0193,317263,0
1995-01-24,8.0193,8.0624,8.0193,8.0451,366180,0
1995-01-25,8.0624,8.0878,8.0193,8.0451,142095,0
1995-01-26,8.0878,8.0878,7.9765,8.0451,563714,0
1995-01-27,8.0624,8.1137,8.0193,8.0878,365250,0
1995-01-30,8.0451,8.0878,8.0193,8.0451,200326,0
1995-01-31,8.0451,8.0451,7.9247,7.9511,271141,0
1995-02-01,7.9247,7.9247,7.8134,7.8134,534363,0
1995-02-02,7.8303,7.882,7.8134,7.8562,972751,0
1995-02-03,7.9078,7.9765,7.8303,7.9247,596324,0
1995-02-06,7.9765,7.9765,7.9247,7.9765,487307,0
1995-02-07,7.9765,8.2682,7.9247,8.1995,886106,0
1995-02-08,8.1564,8.1826,8.1137,8.1826,1388783,0
1995-02-09,8.1826,8.2938,8.1309,8.2512,1303992,0
1995-02-10,8.1995,8.2512,8.1564,8.1995,542751,0
1995-02-13,8.2338,8.3628,8.2338,8.2938,1222931,0
1995-02-14,8.2938,8.2938,8.2512,8.2938,1553703,0
1995-02-15,8.2682,8.2938,8.2338,8.2512,321921,0
1995-02-16,8.2512,8.2512,8.1995,8.2512,247848,0
1995-02-17,8.2512,8.2512,8.1995,8.1995,632195,0
1995-02-21,8.2338,8.2682,8.1995,8.2338,279992,0
1995-02-22,8.2338,8.4829,8.1995,8.4314,1532740,0
1995-02-23,8.4829,8.5945,8.4829,8.5002,1523424,0
1995-02-24,8.5257,8.7063,8.5257,8.6887,1381794,0
1995-02-27,8.5945,8.5945,8.4829,8.5257,773823,0
1995-02-28,8.5514,8.7063,8.5257,8.7063,639183,0
1995-03-01,8.7063,8.7577,8.5514,8.5945,917315,0
1995-03-02,8.5945,8.6717,8.5514,8.6375,778016,0
1995-03-03,8.5686,8.6201,8.5002,8.6201,210109,0
1995-03-06,8.5945,8.5945,8.4314,8.5257,496626,0
1995-03-07,8.4829,8.5257,8.3369,8.3369,208715,0
1995-03-08,8.3369,8.4829,8.32,8.4142,393201,0
1995-03-09,8.3885,8.4314,8.2938,8.3885,524579,0
1995-03-10,8.4142,8.4829,8.3628,8.4314,252973,0
1995-03-13,8.4314,8.4314,8.3885,8.4314,805969,0
1995-03-14,8.4572,8.6201,8.4314,8.5945,665275,0
1995-03-15,8.6375,8.7063,8.5686,8.6201,817618,0
1995-03-16,8.5686,8.6717,8.5686,8.6201,547874,0
1995-03-17,8.7577,8.7577,8.6201,8.6375,978808,0
1995-03-20,8.5945,8.6201,8.5257,8.5945,269741,0
1995-03-21,8.4314,8.5002,8.3885,8.4829,1401361,0
1995-03-22,8.4314,8.5686,8.4142,8.5686,666674,0
1995-03-23,8.5514,8.5686,8.4142,8.5686,1064999,0
1995-03-24,8.5686,8.6717,8.5002,8.5686,796186,0
1995-03-27,8.5945,8.6717,8.5686,8.6717,743074,0
1995-03-28,8.6375,8.6375,8.5945,8.5945,526910,0
1995-03-29,8.5945,8.6887,8.5945,8.6375,348943,0
1995-03-30,8.6717,8.6717,8.6201,8.6201,287449,0
1995-03-31,8.6201,8.6717,8.5514,8.6717,440257,0
1995-04-03,8.6887,8.8774,8.6717,8.8518,645708,0
1995-04-04,8.8518,8.8518,8.8091,8.8518,507343,0
1995-04-05,8.8518,8.8518,8.775,8.8091,399721,0
1995-04-06,8.8091,8.8518,8.775,8.8518,368506,0
1995-04-07,8.8518,8.8518,8.8091,8.8518,390872,0
1995-04-10,8.8091,8.8774,8.775,8.8774,468207,0
1995-04-11,8.8774,8.9728,8.8774,8.8774,509205,0
1995-04-12,8.8518,8.9213,8.8266,8.8951,252511,0
1995-04-13,8.9213,8.9213,8.8518,8.8774,195201,0
