Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.771,6.803,6.6903,6.803,14776778,0
1995-01-04,6.803,6.8675,6.771,6.803,12599910,0
1995-01-05,6.771,6.8917,6.771,6.8193,13635058,0
1995-01-06,6.803,6.8917,6.771,6.7872,12143818,0
1995-01-09,6.7546,6.7872,6.7227,6.7227,10530353,0
1995-01-10,6.7227,6.8675,6.7227,6.771,14901232,0
1995-01-11,6.7872,6.8675,6.771,6.8675,13133506,0
1995-01-12,6.8513,6.8675,6.8193,6.8513,10092892,0
1995-01-13,6.8675,6.9402,6.8675,6.9402,12514207,0
1995-01-16,6.9402,7.069,6.9237,7.0206,16715914,0
1995-01-17,6.9722,6.9722,6.9078,6.9402,17759262,0
1995-01-18,6.9237,6.9882,6.9237,6.9722,14592699,0
1995-01-19,6.9237,6.9402,6.7872,6.803,18191505,0
1995-01-20,6.771,6.8193,6.7227,6.803,27682239,0
1995-01-23,6.7227,6.7546,6.6583,6.7065,19336949,0
1995-01-24,6.7546,6.803,6.7065,6.7227,12940487,0
1995-01-25,6.7227,6.803,6.6903,6.771,12856272,0
1995-01-26,6.7872,6.8193,6.771,6.803,13409247,0
1995-01-27,6.8354,6.8675,6.7227,6.7389,10213627,0
1995-01-30,6.7389,6.8193,6.7065,6.8193,8087431,0
1995-01-31,6.8354,6.9078,6.8193,6.8675,10782247,0
1995-02-01,6.8917,6.8917,6.771,6.8193,12430736,0
1995-02-02,6.7872,6.8354,6.771,6.8354,9867831,0
1995-02-03,6.8675,7.0206,6.8675,6.956,18911412,0
1995-02-06,6.9882,6.9882,6.9237,6.9402,14349004,0
1995-02-07,6.9402,6.956,6.9078,6.9402,11287527,0
1995-02-08,6.9237,6.9722,6.9078,6.9402,9935646,0
1995-02-09,6.9402,6.9722,6.9078,6.9722,10264303,0
1995-02-10,6.9882,7.0365,6.9237,6.956,11363543,0
1995-02-13,6.956,7.0525,6.9237,7.0206,9337213,0
1995-02-14,7.0044,7.0206,6.9722,7.0206,12002218,0
1995-02-15,7.0525,7.1897,7.0206,7.1574,19348875,0
1995-02-16,7.2056,7.2218,7.1574,7.2218,24825703,0
1995-02-17,7.2218,7.2378,7.1412,7.1574,31408481,0
1995-02-21,7.1897,7.2056,7.1251,7.1897,13043332,0
1995-02-22,7.2056,7.3907,7.1897,7.3587,20281927,0
1995-02-23,7.3907,7.4714,7.3587,7.3907,27809673,0
1995-02-24,7.3587,7.407,7.27,7.3023,17508111,0
