Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.552,13.589,13.206,13.434,118032,0
1995-01-04,12.87,12.978,12.751,12.751,52374,0
1995-01-05,12.87,13.097,12.751,13.097,38430,0
1995-01-06,12.751,12.87,12.413,12.413,88497,0
1995-01-09,12.185,12.641,12.185,12.524,110127,0
1995-01-10,12.296,12.524,12.068,12.296,81689,0
1995-01-11,12.413,12.978,12.185,12.806,322147,0
1995-01-12,12.978,13.206,12.641,12.751,364856,0
1995-01-13,12.524,12.695,12.413,12.641,23168,0
1995-01-16,12.185,12.185,11.959,12.185,24703,0
1995-01-17,12.068,12.241,11.959,12.241,300077,0
1995-01-18,12.524,12.641,12.185,12.185,165025,0
1995-01-19,11.959,12.185,11.959,11.959,104309,0
1995-01-20,12.068,12.413,12.068,12.413,243091,0
1995-01-23,12.068,12.185,11.84,11.959,71368,0
1995-01-24,11.731,11.731,11.731,11.731,33927,0
1995-01-25,11.731,11.731,11.157,11.33,124510,0
1995-01-26,10.929,11.33,10.929,11.157,197635,0
1995-01-27,11.274,11.385,10.592,10.646,232440,0
1995-01-30,10.246,10.592,10.246,10.246,201697,0
1995-01-31,10.474,10.592,10.246,10.592,49079,0
1995-02-01,11.157,11.385,10.885,11.274,84873,0
1995-02-02,11.612,11.84,11.612,11.84,32062,0
1995-02-03,11.612,11.959,11.612,11.959,33927,0
1995-02-06,11.612,11.612,11.385,11.502,53141,0
1995-02-07,11.157,11.502,11.157,11.157,240346,0
1995-02-08,11.502,12.185,11.385,12.185,192694,0
1995-02-09,12.413,12.413,12.185,12.296,47324,0
1995-02-10,12.068,12.413,12.068,12.185,70491,0
1995-02-13,12.068,12.241,11.731,11.896,145152,0
1995-02-14,12.068,12.296,12.068,12.068,25585,0
1995-02-15,12.241,12.296,12.185,12.277,81689,0
1995-02-16,11.959,12.185,11.959,12.013,156681,0
1995-02-17,12.068,12.296,11.84,12.068,67965,0
1995-02-21,12.185,12.185,12.068,12.068,31401,0
1995-02-22,11.959,12.296,11.959,12.068,77405,0
