Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,0.27876,0.27876,0.27403,0.27403,3146049,0
1995-01-04,0.27403,0.27403,0.27403,0.27403,331874,0
1995-01-05,0.2882,0.30237,0.27403,0.30237,16272089,0
1995-01-06,0.31656,0.34489,0.31184,0.32599,8371405,0
1995-01-09,0.32599,0.33072,0.30237,0.32599,16851179,0
1995-01-10,0.34017,0.35434,0.32599,0.34017,23793484,0
1995-01-11,0.34489,0.36381,0.33072,0.34017,10481191,0
1995-01-12,0.35434,0.35434,0.33072,0.33072,10667447,0
1995-01-13,0.34489,0.34489,0.32599,0.32599,6593500,0
1995-01-16,0.33072,0.33072,0.31656,0.32599,6830552,0
1995-01-17,0.33072,0.33072,0.31656,0.32599,7321592,0
1995-01-18,0.32128,0.34017,0.32128,0.34017,2187675,0
1995-01-19,0.32599,0.36381,0.32599,0.35434,10322024,0
1995-01-20,0.36381,0.36381,0.34489,0.35907,3237485,0
1995-01-23,0.36381,0.36852,0.34489,0.36381,10257681,0
1995-01-24,0.36381,0.40633,0.36381,0.3827,7064220,0
1995-01-25,0.36852,0.3827,0.35434,0.37797,5509822,0
1995-01-26,0.37797,0.41576,0.36381,0.39688,11578412,0
1995-01-27,0.42049,0.44885,0.39688,0.42049,23231328,0
1995-01-30,0.42994,0.42994,0.39688,0.40162,9536358,0
1995-01-31,0.44409,0.44885,0.33072,0.3827,65047719,0
1995-02-01,0.37797,0.39216,0.35434,0.36852,23238101,0
1995-02-02,0.37797,0.40162,0.36852,0.3827,14084416,0
1995-02-03,0.39688,0.39688,0.37797,0.3827,3565977,0
1995-02-06,0.3827,0.39216,0.36852,0.3827,2431500,0
1995-02-07,0.39216,0.39216,0.37797,0.37797,3311988,0
1995-02-08,0.37797,0.39216,0.36852,0.36852,5398066,0
1995-02-09,0.38743,0.39688,0.36852,0.3827,5012006,0
1995-02-10,0.39216,0.39688,0.37797,0.39216,3118959,0
1995-02-13,0.39688,0.40633,0.39216,0.39216,5817991,0
1995-02-14,0.39688,0.40633,0.39216,0.40633,3525337,0
1995-02-15,0.40633,0.42049,0.39688,0.41576,18293824,0
1995-02-16,0.41576,0.41576,0.39688,0.41576,2959794,0
1995-02-17,0.39688,0.41576,0.39688,0.40633,3562589,0
1995-02-21,0.39688,0.41576,0.39688,0.40633,4856229,0
1995-02-22,0.40633,0.40633,0.39688,0.40633,589250,0
1995-02-23,0.39688,0.42994,0.39688,0.41576,5916199,0
1995-02-24,0.41576,0.44409,0.41576,0.44409,7653469,0
1995-02-27,0.44409,0.44409,0.42049,0.42994,10877408,0
1995-02-28,0.42994,0.44409,0.42049,0.42049,8635552,0
1995-03-01,0.42049,0.44409,0.42049,0.43467,1510374,0
1995-03-02,0.44409,0.44409,0.41576,0.42994,5560617,0
1995-03-03,0.42994,0.44885,0.42049,0.44409,9864849,0
1995-03-06,0.43467,0.44409,0.42049,0.43467,3047842,0
1995-03-07,0.44409,0.44409,0.42049,0.43467,1425712,0
1995-03-08,0.42049,0.44409,0.42049,0.42049,822917,0
1995-03-09,0.42049,0.43467,0.42049,0.42994,992242,0
1995-03-10,0.43467,0.44885,0.42049,0.44409,2692260,0
1995-03-13,0.42994,0.44409,0.42994,0.43467,3552429,0
1995-03-14,0.44409,0.44409,0.40633,0.42049,8422205,0
1995-03-15,0.41576,0.42522,0.41576,0.41576,663753,0
1995-03-16,0.41576,0.42994,0.41576,0.42994,887261,0
1995-03-17,0.41576,0.42994,0.39688,0.39688,5062804,0
1995-03-20,0.39688,0.42049,0.39688,0.39688,1181886,0
1995-03-21,0.41576,0.41576,0.39688,0.39688,1449419,0
1995-03-22,0.39688,0.41576,0.39688,0.41576,680685,0
1995-03-23,0.39688,0.40633,0.39216,0.40633,467336,0
1995-03-24,0.39216,0.41576,0.39216,0.39688,1473124,0
1995-03-27,0.39688,0.41576,0.3827,0.39216,1032879,0
1995-03-28,0.38743,0.39688,0.36852,0.37797,10206885,0
1995-03-29,0.36852,0.3827,0.36852,0.37797,2312972,0
1995-03-30,0.36852,0.37797,0.34489,0.37797,5052643,0
1995-03-31,0.36381,0.3827,0.36381,0.3827,2008189,0
1995-04-03,0.3827,0.41576,0.36852,0.40633,2793855,0
1995-04-04,0.41576,0.42522,0.40633,0.42049,3677729,0
1995-04-05,0.41576,0.41576,0.39688,0.40633,2949632,0
1995-04-06,0.42049,0.42994,0.39688,0.40162,2797242,0
1995-04-07,0.39688,0.41576,0.39688,0.39688,877100,0
1995-04-10,0.41576,0.41576,0.39688,0.41576,738255,0
1995-04-11,0.41576,0.44885,0.41576,0.44885,7253865,0
1995-04-12,0.44409,0.45827,0.42994,0.44409,6508835,0
1995-04-13,0.42994,0.44409,0.42994,0.42994,992242,0
1995-04-17,0.42994,0.44885,0.42522,0.44409,4436304,0
1995-04-18,0.44409,0.44885,0.43467,0.43467,6156640,0
1995-04-19,0.43467,0.44885,0.42049,0.42522,629887,0
1995-04-20,0.42994,0.42994,0.39688,0.42049,1303799,0
1995-04-21,0.41576,0.44409,0.39688,0.40633,5357429,0
1995-04-24,0.42994,0.44409,0.42049,0.42049,2709192,0
1995-04-25,0.43467,0.43467,0.41576,0.41576,5983930,0
1995-04-26,0.42049,0.42049,0.39688,0.42049,1449419,0
1995-04-27,0.39688,0.43939,0.39688,0.43939,8757467,0
1995-04-28,0.42049,0.44409,0.42049,0.44409,5086509,0
1995-05-01,0.43467,0.44409,0.42994,0.44409,2119946,0
1995-05-02,0.43467,0.44885,0.42994,0.44409,10471030,0
1995-05-03,0.44885,0.48672,0.43467,0.48672,28388956,0
1995-05-04,0.48672,0.49598,0.47248,0.48195,16732652,0
1995-05-05,0.47248,0.5102,0.47248,0.5056,18005974,0
1995-05-08,0.5102,0.5102,0.48672,0.5008,7721199,0
1995-05-09,0.5102,0.5102,0.48672,0.49598,3162982,0
1995-05-10,0.49598,0.5102,0.49598,0.49598,2888676,0
1995-05-11,0.49598,0.5008,0.48672,0.49132,1622130,0
1995-05-12,0.49598,0.5008,0.48672,0.48672,2153809,0
1995-05-15,0.5008,0.5008,0.48672,0.49598,10670834,0
1995-05-16,0.49598,0.49598,0.48672,0.48672,1530694,0
1995-05-17,0.48672,0.5008,0.48195,0.49132,4222954,0
1995-05-18,0.48672,0.5008,0.48672,0.5008,2831106,0
1995-05-19,0.49598,0.49598,0.47721,0.48195,1002401,0
1995-05-22,0.49598,0.49598,0.47721,0.48672,1141248,0
1995-05-23,0.48672,0.49598,0.47721,0.47721,4937501,0
1995-05-24,0.47721,0.49598,0.47721,0.49132,1591651,0
1995-05-25,0.47721,0.49598,0.47721,0.47721,5580936,0
1995-05-26,0.47721,0.48672,0.46301,0.46301,1080290,0
1995-05-30,0.47248,0.47248,0.43467,0.47248,6403856,0
1995-05-31,0.47248,0.49132,0.47248,0.47721,1896436,0
1995-06-01,0.47721,0.49598,0.47248,0.48195,1571332,0
1995-06-02,0.47721,0.47721,0.46775,0.47248,2705806,0
1995-06-05,0.47721,0.47721,0.46301,0.47721,1666154,0
1995-06-06,0.46301,0.47721,0.46301,0.47721,223510,0
1995-06-07,0.46301,0.47721,0.46301,0.47248,1872730,0
1995-06-08,0.46301,0.5623,0.46301,0.5386,27064837,0
1995-06-09,0.5623,0.5859,0.5008,0.5102,8794718,0
1995-06-12,0.515,0.5243,0.5008,0.515,1493442,0
1995-06-13,0.515,0.5291,0.515,0.5243,2387476,0
1995-06-14,0.515,0.5291,0.5102,0.515,3362785,0
1995-06-15,0.5102,0.5243,0.49132,0.49598,3819962,0
1995-06-16,0.49132,0.5008,0.48672,0.49598,1405396,0
1995-06-19,0.5008,0.5008,0.48672,0.5008,3921557,0
1995-06-20,0.49598,0.5102,0.48672,0.49598,5113602,0
1995-06-21,0.48672,0.5102,0.48672,0.49598,816146,0
1995-06-22,0.5008,0.5008,0.47248,0.47721,5293086,0
1995-06-23,0.47721,0.47721,0.45827,0.47248,1639062,0
1995-06-26,0.47721,0.47721,0.46301,0.47248,2709192,0
1995-06-27,0.46301,0.47721,0.46301,0.46775,2726127,0
1995-06-28,0.46301,0.49598,0.46301,0.48195,7778770,0
1995-06-29,0.48672,0.48672,0.47721,0.48672,4107814,0
1995-06-30,0.49598,0.5243,0.47721,0.5198,10999322,0
1995-07-03,0.5198,0.5198,0.49598,0.49598,890648,0
1995-07-05,0.5102,0.5243,0.49598,0.5008,3318760,0
1995-07-06,0.49598,0.515,0.49598,0.5102,2031894,0
1995-07-07,0.49598,0.5386,0.49598,0.534,6105843,0
1995-07-10,0.5291,0.5623,0.5291,0.5291,5513208,0
1995-07-11,0.5291,0.5953,0.5291,0.5763,10420233,0
1995-07-12,0.5859,0.6284,0.5859,0.5905,21643063,0
1995-07-13,0.5859,0.6143,0.5859,0.6048,8283357,0
1995-07-14,0.5671,0.5859,0.5243,0.5671,13525644,0
1995-07-17,0.5623,0.5671,0.5386,0.5528,6806847,0
1995-07-18,0.5575,0.5575,0.5291,0.5291,4724156,0
1995-07-19,0.5243,0.5386,0.5008,0.515,1879504,0
1995-07-20,0.5291,0.5481,0.515,0.534,2861582,0
1995-07-21,0.5386,0.5763,0.515,0.5528,6187119,0
1995-07-24,0.5386,0.5528,0.5386,0.5528,1605196,0
1995-07-25,0.5481,0.5528,0.5481,0.5528,3308604,0
1995-07-26,0.5528,0.5528,0.5386,0.5481,369127,0
1995-07-27,0.5481,0.5528,0.5386,0.5528,690846,0
1995-07-28,0.5528,0.5671,0.5386,0.5575,5076350,0
1995-07-31,0.5528,0.5859,0.5528,0.5623,9174004,0
1995-08-01,0.5671,0.5671,0.5481,0.5481,7846498,0
1995-08-02,0.5623,0.6143,0.5623,0.5905,32588202,0
1995-08-03,0.5953,0.6048,0.5859,0.5859,18480082,0
1995-08-04,0.5763,0.5953,0.5763,0.5953,3217168,0
1995-08-07,0.5859,0.6143,0.5859,0.5905,5665600,0
1995-08-08,0.6143,0.6426,0.5905,0.6426,13153130,0
1995-08-09,0.6426,0.6852,0.6284,0.6661,27068224,0
1995-08-10,0.6709,0.7228,0.6661,0.699,13620467,0
1995-08-11,0.704,0.7511,0.6852,0.737,10274614,0
1995-08-14,0.7323,0.7465,0.704,0.7088,8049690,0
1995-08-15,0.704,0.7228,0.699,0.699,2560186,0
1995-08-16,0.6852,0.7088,0.6709,0.704,4040085,0
1995-08-17,0.704,0.7228,0.6852,0.6946,54891632,0
1995-08-18,0.6852,0.7088,0.6852,0.6852,8296903,0
1995-08-21,0.6852,0.704,0.6852,0.6898,16539624,0
1995-08-22,0.6852,0.704,0.6473,0.6803,16014715,0
1995-08-23,0.6803,0.6803,0.6568,0.6709,7003263,0
1995-08-24,0.6568,0.6709,0.5953,0.6519,15157933,0
1995-08-25,0.6568,0.6568,0.6378,0.6519,8371405,0
1995-08-28,0.6331,0.6568,0.6188,0.6331,9627794,0
1995-08-29,0.6284,0.6426,0.6143,0.6237,10430392,0
1995-08-30,0.6143,0.6426,0.6143,0.6284,4426143,0
1995-08-31,0.6284,0.6426,0.6188,0.6426,7907456,0
1995-09-01,0.6188,0.6946,0.6188,0.6709,6546086,0
1995-09-05,0.6946,0.7465,0.6756,0.7323,17565729,0
1995-09-06,0.7323,0.7465,0.7228,0.7228,14744781,0
1995-09-07,0.7228,0.7465,0.7228,0.737,11304107,0
