Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,9.0287,9.0448,8.9464,9.0287,752173,0
1995-01-04,8.9812,9.0805,8.9812,9.0401,1003066,0
1995-01-05,9.0202,9.0597,8.8851,8.9239,1218320,0
1995-01-06,8.9428,9.0022,8.9036,8.9428,1643400,0
1995-01-09,8.9428,9.0202,8.9428,8.9643,901619,0
1995-01-10,8.9428,9.1429,8.9428,9.0597,3117558,0
1995-01-11,9.1026,9.2632,9.0401,9.2632,2192185,0
1995-01-12,9.2237,9.3402,9.2237,9.2459,1718615,0
1995-01-13,9.2632,9.2632,9.1802,9.2459,1351932,0
1995-01-16,9.2459,9.3197,9.2459,9.2973,1305909,0
1995-01-17,9.3197,9.3618,9.2973,9.3618,920919,0
1995-01-18,9.3197,9.3805,9.2973,9.3805,925863,0
1995-01-19,9.3402,9.3618,9.2632,9.2837,1491479,0
1995-01-20,9.2632,9.2632,9.0022,9.0805,2100638,0
1995-01-23,9.0401,9.0401,8.7825,8.8037,10355241,0
1995-01-24,8.8425,8.9036,8.702,8.8851,2258005,0
1995-01-25,8.9036,9.0401,8.8851,9.0202,1955651,0
1995-01-26,9.0202,9.1026,9.0202,9.0401,1731484,0
1995-01-27,9.0597,9.1026,9.0597,9.0597,1582533,0
1995-01-30,9.0805,9.0805,9.0022,9.0022,1252960,0
1995-01-31,9.0022,9.0597,8.9239,9.0401,2086288,0
1995-02-01,9.0401,9.1026,9.0401,9.0597,2215450,0
1995-02-02,9.1026,9.1623,9.0597,9.1239,1692884,0
1995-02-03,9.1623,9.3618,9.1429,9.3402,2581633,0
1995-02-06,9.2632,9.541,9.2459,9.4205,5693750,0
1995-02-07,9.3805,9.605,9.3618,9.541,2626669,0
1995-02-08,9.502,9.521,9.4404,9.4612,1852720,0
1995-02-09,9.502,9.521,9.3805,9.4205,1839857,0
1995-02-10,9.3805,9.502,9.3197,9.502,3079948,0
1995-02-13,9.502,9.622,9.4612,9.502,2305013,0
1995-02-14,9.502,9.637,9.502,9.637,1511272,0
1995-02-15,9.605,9.622,9.541,9.584,1351437,0
1995-02-16,9.584,9.605,9.541,9.584,712087,0
1995-02-17,9.584,9.584,9.521,9.521,1333621,0
