Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.5493,6.5751,6.4375,6.4893,1175256,0
1995-01-04,6.4893,6.5493,6.386,6.4893,2213684,0
1995-01-05,6.5233,6.5493,6.4117,6.4117,1483118,0
1995-01-06,6.4375,6.6264,6.386,6.5751,2192743,0
1995-01-09,6.6008,6.7383,6.5751,6.7128,1860094,0
1995-01-10,6.7383,6.8157,6.6264,6.6525,1982612,0
1995-01-11,6.6525,6.7383,6.6008,6.6525,886240,0
1995-01-12,6.7128,6.7128,6.6008,6.6008,673669,0
1995-01-13,6.6868,6.6868,6.6264,6.6264,949071,0
1995-01-16,6.6525,6.6525,6.5493,6.6008,1346990,0
1995-01-17,6.6868,6.9274,6.6525,6.8756,1752239,0
1995-01-18,6.8756,6.9531,6.8502,6.9274,2333411,0
1995-01-19,6.9016,7.2281,6.9016,7.1165,2961701,0
1995-01-20,7.0906,7.0906,6.9274,7.0132,2131657,0
1995-01-23,6.8756,6.9274,6.79,6.8157,1231805,0
1995-01-24,6.8157,6.9274,6.8157,6.9016,2048931,0
1995-01-25,6.9016,6.9274,6.8756,6.8756,1205973,0
1995-01-26,6.9016,6.9274,6.8502,6.8756,542075,0
1995-01-27,6.9016,6.9274,6.8502,6.8756,745573,0
1995-01-30,6.9016,6.9274,6.8502,6.8502,997938,0
1995-01-31,6.8502,6.8756,6.7639,6.8157,1073678,0
1995-02-01,6.8756,6.9016,6.7128,6.7639,4220032,0
1995-02-02,6.7383,6.8157,6.7128,6.79,2219619,0
1995-02-03,6.79,6.9274,6.79,6.8157,1343850,0
1995-02-06,6.8157,6.9016,6.8157,6.8157,1497779,0
1995-02-07,6.8756,7.0132,6.8502,7.0132,1802504,0
1995-02-08,6.9531,7.0132,6.8157,6.8502,1231454,0
1995-02-09,6.8756,6.9788,6.8157,6.9274,828998,0
1995-02-10,6.8756,7.1165,6.8502,7.0392,1560956,0
1995-02-13,7.0648,7.0906,6.9531,6.9788,775244,0
1995-02-14,7.0132,7.0132,6.9531,6.9788,1160945,0
1995-02-15,6.9788,7.1766,6.9788,7.1508,1967952,0
1995-02-16,7.1165,7.1165,6.8756,6.9274,2012980,0
1995-02-17,6.9788,7.0392,6.8157,6.8157,1703020,0
1995-02-21,6.8157,6.8756,6.79,6.8157,1420990,0
1995-02-22,6.8157,6.9788,6.8157,6.9274,916608,0
1995-02-23,6.9788,7.0648,6.9274,7.0132,1006662,0
1995-02-24,7.0392,7.0906,6.9788,7.0906,2311072,0
1995-02-27,7.0648,7.0906,7.0132,7.0132,1071585,0
1995-02-28,6.9961,7.0475,6.9359,7.0475,1772487,0
1995-03-01,7.0219,7.1076,6.9961,7.0219,727774,0
1995-03-02,7.0219,7.0733,6.9961,6.9961,2239516,0
1995-03-03,6.9961,7.0219,6.9705,6.9961,514853,0
1995-03-06,6.9705,7.0219,6.9705,6.9961,1474395,0
1995-03-07,6.9705,6.9961,6.9359,6.9705,834584,0
1995-03-08,6.9961,7.0219,6.9705,7.0219,936503,0
1995-03-09,7.0219,7.0475,6.9961,7.0219,1044362,0
1995-03-10,7.0475,7.2107,7.0219,7.2107,1216792,0
1995-03-13,7.1851,7.2107,7.1076,7.1337,890432,0
1995-03-14,7.1597,7.2452,7.1337,7.2452,998984,0
1995-03-15,7.1597,7.2966,7.1597,7.2713,2194485,0
1995-03-16,7.2713,7.2966,7.2107,7.2452,1123597,0
1995-03-17,7.2452,7.4088,7.2107,7.3486,2363780,0
1995-03-20,7.3227,7.4088,7.3227,7.4088,1120455,0
1995-03-21,7.3486,7.3486,7.2452,7.2966,2371457,0
1995-03-22,7.3486,7.4088,7.2966,7.3829,1828333,0
1995-03-23,7.3486,7.6234,7.3486,7.5465,3999433,0
1995-03-24,7.572,8.0104,7.572,8.0104,6348897,0
1995-03-27,8.0104,8.0104,7.8728,7.8985,2484898,0
1995-03-28,7.8728,7.8728,7.7609,7.7868,1824145,0
1995-03-29,7.8471,8.0362,7.8213,7.9587,3166247,0
1995-03-30,7.9844,8.0104,7.9242,7.9587,1098466,0
1995-03-31,7.8985,7.9587,7.8213,7.8985,1462874,0
1995-04-03,7.8985,7.9242,7.8471,7.8985,871932,0
1995-04-04,7.9242,8.0362,7.9242,8.0104,1631465,0
1995-04-05,8.0362,8.122,7.9844,8.0362,2449991,0
1995-04-06,8.0362,8.0962,7.9844,8.0618,1677540,0
1995-04-07,8.0962,8.0962,7.8985,8.0618,1444376,0
1995-04-10,8.0362,8.0962,7.9844,8.0104,649931,0
1995-04-11,8.0104,8.0362,7.7868,7.7868,1531991,0
1995-04-12,7.8728,8.0618,7.8471,8.0618,1955384,0
1995-04-13,8.0618,8.1993,8.0362,8.1736,2040556,0
1995-04-17,8.1476,8.1993,8.0362,8.0618,1382942,0
1995-04-18,8.0618,8.0962,7.8985,8.0362,1486957,0
1995-04-19,8.0618,8.0962,7.9587,7.9844,2060102,0
1995-04-20,8.0362,8.0618,7.8985,7.8985,841912,0
1995-04-21,7.9242,7.9242,7.8471,7.8728,1670911,0
1995-04-24,7.8728,8.0362,7.8728,8.0104,1278925,0
1995-04-25,7.9587,8.0104,7.8471,7.8471,1424131,0
1995-04-26,7.8728,7.9844,7.7352,7.9844,1205624,0
1995-04-27,7.9844,8.0962,7.9587,8.0618,832488,0
