Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,1.3283,1.3283,1.2371,1.2501,2758859,0
1995-01-04,1.2589,1.2589,1.2371,1.2545,1142615,0
1995-01-05,1.2589,1.2589,1.2066,1.2501,945415,0
1995-01-06,1.2501,1.2589,1.2371,1.2501,1654950,0
1995-01-09,1.2589,1.2762,1.2371,1.2589,1126033,0
1995-01-10,1.2893,1.2893,1.2589,1.2893,939891,0
1995-01-11,1.2893,1.2893,1.2589,1.2893,2500843,0
1995-01-12,1.2893,1.3022,1.2762,1.3022,3120073,0
1995-01-13,1.3022,1.3283,1.2762,1.3283,3704278,0
1995-01-16,1.3283,1.424,1.3022,1.424,5860497,0
1995-01-17,1.3977,1.4672,1.3977,1.4498,6662172,0
1995-01-18,1.4542,1.493,1.4542,1.4672,5573004,0
1995-01-19,1.4368,1.4759,1.4108,1.4672,5049615,0
1995-01-20,1.4542,1.4542,1.3544,1.4108,4775021,0
1995-01-23,1.3977,1.3977,1.3455,1.3846,1898213,0
1995-01-24,1.3674,1.3846,1.2893,1.3674,3261980,0
1995-01-25,1.3544,1.4108,1.3544,1.4022,4209236,0
1995-01-26,1.424,1.424,1.2371,1.2371,8083066,0
1995-01-27,1.2371,1.2589,1.2066,1.2501,3306209,0
1995-01-30,1.2501,1.2501,1.1937,1.2197,2672241,0
1995-01-31,1.2197,1.2197,1.1808,1.2066,2782820,0
1995-02-01,1.2066,1.2197,1.1808,1.2066,399916,0
1995-02-02,1.1937,1.2197,1.1808,1.2066,2845476,0
1995-02-03,1.2197,1.2197,1.1808,1.2197,1175788,0
1995-02-06,1.1937,1.2589,1.1937,1.2371,2165435,0
1995-02-07,1.2371,1.2762,1.2371,1.2589,2487944,0
1995-02-08,1.2589,1.3022,1.2501,1.2545,7065770,0
1995-02-09,1.2762,1.2762,1.2501,1.2501,1262399,0
1995-02-10,1.2675,1.3283,1.2589,1.3283,1774739,0
1995-02-13,1.3283,1.3283,1.2893,1.2893,1396938,0
1995-02-14,1.2893,1.3455,1.2501,1.2501,1262399,0
1995-02-15,1.2762,1.2893,1.2501,1.2762,1356389,0
1995-02-16,1.2893,1.2893,1.2501,1.2501,506804,0
1995-02-17,1.2501,1.2762,1.2197,1.2371,1251346,0
1995-02-21,1.2589,1.2589,1.2197,1.2589,1559110,0
1995-02-22,1.2589,1.2589,1.2197,1.2371,1654950,0
1995-02-23,1.2197,1.3022,1.2197,1.3022,1540683,0
1995-02-24,1.2762,1.3022,1.2762,1.2762,740853,0
1995-02-27,1.2893,1.2893,1.1678,1.2066,3282249,0
1995-02-28,1.2066,1.2197,1.1808,1.2197,2679613,0
1995-03-01,1.2197,1.2675,1.1937,1.2589,1243970,0
1995-03-02,1.2762,1.2762,1.2371,1.2501,941734,0
1995-03-03,1.2501,1.2762,1.2371,1.2589,269069,0
1995-03-06,1.2371,1.2589,1.2197,1.2197,646870,0
1995-03-07,1.2066,1.2501,1.1808,1.1851,1343487,0
1995-03-08,1.1808,1.2371,1.1808,1.2066,1715763,0
1995-03-09,1.2371,1.2371,1.2066,1.2197,1979302,0
1995-03-10,1.2371,1.2371,1.2066,1.2112,2821517,0
1995-03-13,1.2197,1.2197,1.1937,1.2197,1874255,0
1995-03-14,1.1937,1.2066,1.1808,1.1808,1168414,0
1995-03-15,1.1937,1.2066,1.1808,1.1937,1199744,0
1995-03-16,1.2066,1.2066,1.1937,1.1937,1225543,0
1995-03-17,1.2024,1.2066,1.1808,1.1937,3000277,0
1995-03-20,1.1937,1.2371,1.1937,1.2066,1592291,0
1995-03-21,1.1937,1.2371,1.1808,1.2066,1052308,0
1995-03-22,1.2066,1.2066,1.1503,1.1503,2587465,0
1995-03-23,1.1678,1.1678,1.1114,1.1678,4924297,0
1995-03-24,1.1678,1.1678,1.1288,1.1288,3381767,0
1995-03-27,1.1373,1.1503,1.098,1.1199,6166422,0
1995-03-28,1.098,1.1288,1.0852,1.1288,2946833,0
1995-03-29,1.1678,1.1937,1.1373,1.1373,4811878,0
1995-03-30,1.1808,1.1808,1.1373,1.1373,1137083,0
1995-03-31,1.1373,1.1678,1.1114,1.1373,2428974,0
1995-04-03,1.1503,1.1503,1.098,1.1288,3317259,0
1995-04-04,1.1288,1.1288,1.0593,1.0765,3744824,0
1995-04-05,1.0723,1.098,1.0723,1.0897,1726820,0
1995-04-06,1.0723,1.098,1.0723,1.0897,1798696,0
1995-04-07,1.0723,1.098,1.0723,1.0852,967537,0
1995-04-10,1.098,1.098,1.0333,1.0593,2710945,0
1995-04-11,1.0723,1.0723,1.0202,1.0419,2231780,0
1995-04-12,1.0593,1.0723,1.0202,1.0202,2504530,0
1995-04-13,1.0593,1.0852,0.9766,0.994,7670246,0
1995-04-17,1.0202,1.0333,0.9637,0.9898,4203711,0
1995-04-18,0.9898,0.9898,0.9333,0.9593,5123329,0
1995-04-19,0.9766,1.0028,0.9333,0.9637,9328880,0
1995-04-20,0.9637,0.9637,0.9333,0.9637,2124889,0
1995-04-21,0.9637,0.9637,0.9508,0.9637,3112700,0
1995-04-24,0.9637,0.9766,0.9508,0.9766,2755170,0
1995-04-25,0.9508,0.9766,0.9508,0.9766,3002120,0
1995-04-26,0.9766,0.9766,0.9508,0.9766,1968251,0
1995-04-27,0.9637,1.0333,0.9508,1.0202,3776152,0
1995-04-28,1.0419,1.0593,1.0202,1.0419,4271898,0
1995-05-01,1.0333,1.0593,1.0333,1.0419,1494610,0
1995-05-02,1.0419,1.0593,1.0202,1.0333,1439327,0
1995-05-03,1.0593,1.0593,1.0202,1.0333,2298130,0
1995-05-04,1.0333,1.0333,1.0028,1.0333,1168414,0
1995-05-05,1.0028,1.0333,0.9766,0.9898,2423448,0
1995-05-08,0.9898,1.0202,0.9898,1.0028,1345332,0
1995-05-09,0.9898,1.0202,0.9898,1.0202,2482421,0
1995-05-10,1.0202,1.0723,0.9898,1.0723,3789048,0
1995-05-11,1.0723,1.098,1.0506,1.0593,7555988,0
1995-05-12,1.0723,1.0852,1.0593,1.0765,2569043,0
1995-05-15,1.0852,1.098,1.0679,1.0723,2919188,0
1995-05-16,1.098,1.098,1.0679,1.0852,3859078,0
1995-05-17,1.0852,1.1114,1.0679,1.1114,3328320,0
1995-05-18,1.0852,1.1114,1.0593,1.0852,1642042,0
1995-05-19,1.0593,1.0723,1.0028,1.0333,2740426,0
1995-05-22,1.0333,1.0333,1.0028,1.0202,1133396,0
1995-05-23,1.0028,1.0593,1.0028,1.0419,1028348,0
1995-05-24,1.0593,1.0593,1.0028,1.0113,1138928,0
1995-05-25,1.0333,1.0333,0.9898,1.0113,1395099,0
1995-05-26,0.9898,1.0333,0.9898,0.9898,258007,0
1995-05-30,0.9898,1.0333,0.9898,1.0333,744541,0
1995-05-31,0.9898,1.0333,0.9766,0.9898,978598,0
1995-06-01,0.9766,1.0028,0.9508,0.9766,3508928,0
1995-06-02,0.9681,0.9766,0.9508,0.9766,2983693,0
1995-06-05,0.9508,0.9766,0.9508,0.9508,2933933,0
1995-06-06,0.9766,0.9766,0.9333,0.9766,8910536,0
1995-06-07,0.9766,1.0202,0.9766,1.0028,4609155,0
1995-06-08,1.0333,1.0593,1.0202,1.0419,4487521,0
1995-06-09,1.0202,1.0419,1.0028,1.0333,2961576,0
1995-06-12,1.0419,1.0419,1.0202,1.0202,823783,0
1995-06-13,1.0202,1.0419,1.0202,1.0333,3459170,0
1995-06-14,1.0333,1.0419,1.0202,1.0419,396228,0
1995-06-15,0.8683,1.0028,0.8551,0.9898,14684417,0
1995-06-16,0.9766,1.0333,0.9766,1.0333,3514459,0
1995-06-19,1.0333,1.0593,1.0028,1.0419,4352986,0
1995-06-20,1.0333,1.0593,1.0202,1.0244,2655656,0
1995-06-21,1.0202,1.0419,1.0028,1.0028,4400900,0
1995-06-22,1.0333,1.0333,1.0028,1.0333,727952,0
1995-06-23,1.0028,1.0333,1.0028,1.0244,3569749,0
