Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,14.809,14.858,14.701,14.858,165553,0
1995-01-04,14.906,15.013,14.858,14.906,155512,0
1995-01-05,14.906,15.013,14.858,15.013,106777,0
1995-01-06,15.013,15.063,14.858,14.967,429118,0
1995-01-09,14.906,15.17,14.906,15.114,101851,0
1995-01-10,15.063,15.376,15.063,15.269,156607,0
1995-01-11,15.326,15.326,14.906,15.013,347347,0
1995-01-12,14.906,15.013,14.858,15.013,231992,0
1995-01-13,15.063,15.22,15.063,15.22,201326,0
1995-01-16,15.17,15.425,15.17,15.326,251340,0
1995-01-17,15.326,15.425,15.269,15.425,137077,0
1995-01-18,15.326,15.376,15.22,15.326,127406,0
1995-01-19,15.269,15.326,15.114,15.114,75201,0
1995-01-20,15.17,15.326,15.17,15.326,195304,0
1995-01-23,15.22,15.425,15.17,15.425,182163,0
1995-01-24,15.376,15.531,15.269,15.326,225237,0
1995-01-25,15.376,15.531,15.269,15.326,146021,0
1995-01-26,15.326,15.425,15.269,15.425,125213,0
1995-01-27,15.531,15.583,15.326,15.482,228524,0
1995-01-30,15.425,15.482,15.269,15.269,125213,0
1995-01-31,15.269,15.531,15.17,15.17,156242,0
1995-02-01,15.269,15.326,15.17,15.17,138537,0
1995-02-02,15.17,15.22,14.967,15.013,160440,0
1995-02-03,15.114,15.583,15.063,15.376,357023,0
1995-02-06,15.22,15.482,15.22,15.376,251340,0
1995-02-07,15.482,15.482,15.326,15.482,159711,0
1995-02-08,15.482,15.787,15.482,15.686,333839,0
1995-02-09,15.686,16.05,15.686,16.001,357751,0
1995-02-10,15.941,16.001,15.739,16.001,354467,0
1995-02-13,16.05,16.151,16.001,16.098,164091,0
1995-02-14,16.098,16.098,15.893,16.05,247505,0
1995-02-15,16.05,16.255,16.05,16.255,422368,0
1995-02-16,16.255,16.255,16.098,16.205,254079,0
1995-02-17,16.255,16.359,16.205,16.255,325446,0
1995-02-21,16.255,16.306,16.098,16.151,274883,0
1995-02-22,16.205,16.205,16.05,16.05,323072,0
1995-02-23,16.098,16.205,16.05,16.151,340596,0
1995-02-24,16.151,16.205,16.098,16.205,198224,0
1995-02-27,16.205,16.205,15.941,16.05,178512,0
1995-02-28,15.941,16.098,15.844,16.098,387321,0
1995-03-01,15.941,16.05,15.893,16.001,241667,0
1995-03-02,15.941,15.941,15.739,15.893,334937,0
1995-03-03,15.787,16.001,15.787,15.893,121927,0
1995-03-06,15.714,16.133,15.663,16.133,210272,0
1995-03-07,16.133,16.133,15.818,16.074,152227,0
1995-03-08,16.026,16.074,15.917,16.026,176503,0
1995-03-09,15.976,16.026,15.818,15.917,126675,0
1995-03-10,16.026,16.29,15.917,16.29,184170,0
1995-03-13,16.29,16.386,16.29,16.336,114993,0
1995-03-14,16.29,16.49,16.29,16.386,217389,0
1995-03-15,16.336,16.446,16.181,16.29,156973,0
1995-03-16,16.336,16.446,16.29,16.446,63335,0
1995-03-17,16.446,16.49,16.336,16.446,448467,0
1995-03-20,16.386,16.647,16.386,16.446,502860,0
1995-03-21,16.446,16.601,16.386,16.49,552148,0
1995-03-22,16.49,16.49,16.229,16.229,176687,0
1995-03-23,16.229,16.336,16.074,16.229,170296,0
1995-03-24,16.29,16.49,16.229,16.29,228890,0
1995-03-27,16.386,16.601,16.336,16.386,189280,0
1995-03-28,16.49,16.552,16.446,16.552,355745,0
1995-03-29,16.49,16.709,16.446,16.709,267219,0
1995-03-30,16.709,16.709,16.49,16.552,139082,0
1995-03-31,16.552,16.647,16.336,16.647,196398,0
1995-04-03,16.647,16.709,16.601,16.709,199137,0
1995-04-04,16.709,16.709,16.552,16.647,130143,0
1995-04-05,16.601,16.647,16.49,16.647,168838,0
1995-04-06,16.647,16.709,16.601,16.647,120652,0
1995-04-07,16.709,16.709,16.601,16.709,213375,0
1995-04-10,16.709,16.709,16.49,16.601,109515,0
1995-04-11,16.709,16.757,16.601,16.709,221768,0
1995-04-12,16.647,16.647,16.49,16.49,139632,0
1995-04-13,16.552,16.709,16.552,16.647,113712,0
1995-04-17,16.709,16.709,16.386,16.386,307560,0
1995-04-18,16.49,16.552,16.386,16.386,127585,0
1995-04-19,16.446,16.552,16.386,16.446,268864,0
1995-04-20,16.49,16.552,16.336,16.446,250791,0
1995-04-21,16.647,16.757,16.552,16.601,602157,0
1995-04-24,16.647,16.709,16.446,16.446,628073,0
1995-04-25,16.386,16.386,16.336,16.336,125213,0
1995-04-26,16.446,16.552,16.336,16.446,249876,0
1995-04-27,16.446,16.446,16.074,16.133,208261,0
1995-04-28,16.229,16.229,16.074,16.181,233086,0
1995-05-01,16.133,16.181,15.871,15.976,264662,0
1995-05-02,15.871,16.181,15.871,16.181,333475,0
1995-05-03,16.29,16.386,16.181,16.336,196763,0
1995-05-04,16.386,16.446,16.133,16.181,219033,0
1995-05-05,16.229,16.229,15.917,15.917,132334,0
1995-05-08,15.976,16.181,15.976,16.074,302263,0
1995-05-09,16.074,16.336,16.026,16.29,605258,0
1995-05-10,16.336,16.386,16.181,16.229,315043,0
1995-05-11,16.229,16.29,16.133,16.133,106047,0
1995-05-12,16.181,16.29,16.133,16.29,245131,0
1995-05-15,16.29,16.552,16.229,16.446,95277,0
1995-05-16,16.49,16.864,16.49,16.647,271782,0
1995-05-17,16.647,16.647,16.29,16.386,185448,0
1995-05-18,16.386,16.49,16.181,16.229,127037,0
1995-05-19,16.181,16.29,16.074,16.133,196398,0
1995-05-22,16.229,16.386,16.133,16.181,146570,0
1995-05-23,16.229,16.229,15.917,16.181,249695,0
1995-05-24,16.133,16.29,16.074,16.229,107877,0
1995-05-25,16.181,16.229,15.976,16.133,124666,0
1995-05-26,16.074,16.133,15.871,16.026,195483,0
1995-05-30,16.026,16.074,15.917,15.976,211550,0
1995-05-31,15.917,16.49,15.917,16.386,837980,0
1995-06-01,16.29,16.386,16.133,16.336,258275,0
1995-06-02,16.29,16.49,16.133,16.336,356839,0
1995-06-05,16.336,16.552,16.29,16.49,279997,0
1995-06-06,16.578,16.733,16.516,16.625,492640,0
1995-06-07,16.516,16.578,16.359,16.421,138722,0
1995-06-08,16.516,16.578,16.421,16.469,736497,0
1995-06-09,16.421,16.469,16.315,16.315,74655,0
1995-06-12,16.359,16.516,16.255,16.516,247141,0
1995-06-13,16.516,16.578,16.421,16.516,125398,0
1995-06-14,16.516,16.625,16.359,16.578,102580,0
1995-06-15,16.516,16.625,16.359,16.625,219033,0
1995-06-16,16.578,16.625,16.469,16.625,640484,0
1995-06-19,16.682,16.682,16.516,16.682,154782,0
1995-06-20,16.625,16.625,16.359,16.516,140365,0
1995-06-21,16.516,16.516,16.359,16.359,171940,0
1995-06-22,16.359,16.359,16.159,16.315,534075,0
1995-06-23,16.205,16.315,16.159,16.315,386590,0
1995-06-26,16.205,16.359,16.098,16.098,130506,0
1995-06-27,16.255,16.359,16.205,16.255,407765,0
1995-06-28,16.315,16.421,16.098,16.159,275800,0
1995-06-29,16.159,16.159,15.787,15.893,353009,0
1995-06-30,15.993,16.05,15.893,15.941,469824,0
1995-07-03,15.941,15.993,15.893,15.941,230533,0
1995-07-05,15.993,15.993,15.63,15.787,1058291,0
1995-07-06,15.893,15.993,15.835,15.941,1159774,0
1995-07-07,15.941,15.993,15.787,15.835,926508,0
1995-07-10,15.835,15.993,15.835,15.893,764420,0
1995-07-11,15.893,15.893,15.732,15.835,1657160,0
1995-07-12,15.941,15.941,15.63,15.732,468912,0
1995-07-13,15.787,15.787,15.574,15.574,736497,0
1995-07-14,15.63,15.679,15.26,15.523,867367,0
1995-07-17,15.523,15.523,15.046,15.368,416892,0
1995-07-18,15.368,15.574,15.368,15.574,390244,0
1995-07-19,15.523,15.574,15.467,15.574,569303,0
1995-07-20,15.523,15.732,15.523,15.63,527504,0
1995-07-21,15.679,15.787,15.63,15.679,515638,0
1995-07-24,15.732,15.893,15.679,15.835,432406,0
1995-07-25,15.787,15.993,15.787,15.941,246047,0
1995-07-26,15.893,16.098,15.732,15.787,432589,0
1995-07-27,15.835,15.835,15.679,15.787,621869,0
1995-07-28,15.787,15.993,15.787,15.941,629534,0
1995-07-31,15.835,15.941,15.835,15.893,105504,0
1995-08-01,15.893,15.941,15.835,15.941,583355,0
1995-08-02,15.941,16.159,15.941,16.098,630082,0
1995-08-03,15.993,16.05,15.835,15.941,307190,0
1995-08-04,15.941,15.993,15.941,15.993,209540,0
1995-08-07,16.098,16.205,15.993,16.05,530605,0
