Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.5885,3.5968,3.5216,3.5552,4687929,0
1995-01-04,3.5885,3.5968,3.5552,3.5552,5365718,0
1995-01-05,3.5717,3.6555,3.5717,3.5968,5914101,0
1995-01-06,3.5968,3.6555,3.5885,3.6134,4242267,0
1995-01-09,3.6302,3.647,3.5968,3.6134,2489551,0
1995-01-10,3.647,3.6885,3.6302,3.6719,9878942,0
1995-01-11,3.6719,3.7054,3.6555,3.6719,3011242,0
1995-01-12,3.6885,3.7054,3.6134,3.647,4721899,0
1995-01-13,3.647,3.6555,3.6134,3.647,6954242,0
1995-01-16,3.6555,3.6719,3.647,3.6555,2000215,0
1995-01-17,3.6555,3.7887,3.6555,3.7722,5646380,0
1995-01-18,3.7887,3.7887,3.7054,3.7472,4275426,0
1995-01-19,3.7472,3.8222,3.7305,3.7887,4413736,0
1995-01-20,3.8054,3.8054,3.7639,3.7887,4527781,0
1995-01-23,3.7639,3.7639,3.6885,3.7639,2439404,0
1995-01-24,3.7639,3.7639,3.7305,3.7305,2609257,0
1995-01-25,3.7305,3.8222,3.7139,3.7887,2144182,0
1995-01-26,3.7887,3.8054,3.7472,3.8054,3453664,0
1995-01-27,3.8054,3.8642,3.7722,3.8642,1889404,0
1995-01-30,3.8222,3.8222,3.7639,3.7887,4231752,0
1995-01-31,3.7887,3.8476,3.7639,3.8222,4198590,0
1995-02-01,3.8303,3.8975,3.8054,3.8806,6396155,0
1995-02-02,3.8806,3.9556,3.8476,3.9389,6878214,0
1995-02-03,3.9389,3.9975,3.9389,3.9556,4156533,0
1995-02-06,3.9556,4.0142,3.9222,4.0142,5829982,0
1995-02-07,3.9811,4.0142,3.8975,3.9054,3236093,0
1995-02-08,3.9389,3.9556,3.9222,3.9389,3244991,0
1995-02-09,3.9389,3.9556,3.9054,3.9222,3040361,0
1995-02-10,3.9222,4.0725,3.9222,4.0561,4473590,0
1995-02-13,4.0224,4.0224,3.9389,3.9389,3334770,0
1995-02-14,3.9641,4.0392,3.9641,4.0224,2610063,0
1995-02-15,4.0224,4.0975,3.9975,4.0224,2589844,0
1995-02-16,3.9641,4.0142,3.9556,3.9641,2339919,0
1995-02-17,3.9641,3.9811,3.9556,3.9641,2212126,0
1995-02-21,3.9556,3.9811,3.9389,3.9389,1450219,0
1995-02-22,3.9389,3.9811,3.9389,3.9389,1834406,0
1995-02-23,3.9641,3.9811,3.8806,3.8806,2885067,0
1995-02-24,3.8642,3.8975,3.8054,3.8303,4069986,0
1995-02-27,3.8222,3.9054,3.8222,3.8806,3190802,0
1995-02-28,3.8642,3.9054,3.8054,3.8054,3215064,0
1995-03-01,3.8222,3.8975,3.7639,3.8806,3016903,0
1995-03-02,3.8476,3.8642,3.6555,3.6719,6368658,0
1995-03-03,3.6302,3.6969,3.6302,3.6719,5699761,0
1995-03-06,3.6388,3.7305,3.6388,3.6969,2157124,0
1995-03-07,3.6885,3.7639,3.6555,3.6555,2687711,0
1995-03-08,3.6969,3.7139,3.6719,3.6719,2725726,0
1995-03-09,3.6885,3.7139,3.6719,3.6885,3697122,0
1995-03-10,3.6969,3.7472,3.6969,3.7139,2336684,0
1995-03-13,3.7305,3.7472,3.6719,3.7305,2627861,0
1995-03-14,3.7472,3.7639,3.6885,3.6885,2508154,0
1995-03-15,3.6969,3.7472,3.6719,3.7472,2625431,0
1995-03-16,3.7139,3.7639,3.6885,3.7139,2658592,0
1995-03-17,3.7472,3.7887,3.6969,3.6969,6197995,0
1995-03-20,3.6969,3.8054,3.6969,3.7722,5503218,0
1995-03-21,3.8054,3.8222,3.7139,3.7139,5511310,0
1995-03-22,3.7472,3.8054,3.7472,3.7887,5357631,0
1995-03-23,3.7639,3.8054,3.7472,3.7722,5838070,0
1995-03-24,3.8054,3.8476,3.7639,3.7887,4755060,0
1995-03-27,3.8222,3.8806,3.8054,3.8806,3951090,0
1995-03-28,3.8642,4.0224,3.8642,3.9975,7045642,0
1995-03-29,4.0142,4.1142,3.9811,3.9811,7661961,0
1995-03-30,3.9811,4.1142,3.9811,4.0975,7290713,0
1995-03-31,4.0561,4.1896,4.0142,4.1896,7309316,0
1995-04-03,4.1729,4.1729,4.0811,4.0811,3985061,0
1995-04-04,4.0975,4.1394,4.0561,4.0975,3769912,0
1995-04-05,4.0561,4.1142,3.9556,3.9811,2927934,0
1995-04-06,3.8303,4.1142,3.8303,4.1142,5626968,0
1995-04-07,4.0725,4.0725,3.9641,3.9975,3028227,0
1995-04-10,4.0142,4.0142,3.9054,3.9222,2475801,0
1995-04-11,3.9389,3.9389,3.8642,3.8887,2851901,0
1995-04-12,3.8887,3.9054,3.8303,3.8806,1026393,0
1995-04-13,3.8642,3.9054,3.8222,3.8642,4488148,0
1995-04-17,3.8476,3.8642,3.7639,3.7722,6109835,0
1995-04-18,3.7722,3.8222,3.7472,3.7887,4396751,0
1995-04-19,3.7887,3.7887,3.6969,3.7305,3517564,0
1995-04-20,3.7722,3.7722,3.7139,3.7139,1564257,0
1995-04-21,3.7472,3.8222,3.7139,3.7722,4966969,0
1995-04-24,3.7639,3.8476,3.7472,3.8054,4638590,0
1995-04-25,3.7722,3.8054,3.7139,3.7639,5025207,0
1995-04-26,3.7639,3.7639,3.7139,3.7639,3782855,0
1995-04-27,3.7722,3.7722,3.6969,3.7639,2220211,0
1995-04-28,3.7639,3.7887,3.7139,3.7639,3308886,0
1995-05-01,3.7639,3.7639,3.6555,3.6719,6976895,0
1995-05-02,3.6555,3.6555,3.6302,3.6555,5234688,0
1995-05-03,3.6719,3.7305,3.5968,3.6302,6234396,0
1995-05-04,3.6134,3.6302,3.5138,3.5552,14067824,0
1995-05-05,3.58,3.6555,3.5552,3.6302,5758803,0
1995-05-08,3.6302,3.7472,3.6302,3.7472,4142782,0
1995-05-09,3.7639,3.8054,3.7639,3.7722,4325577,0
1995-05-10,3.8303,3.8642,3.7887,3.8303,6089615,0
1995-05-11,3.8303,3.9389,3.7305,3.9389,8987620,0
1995-05-12,3.9222,4.0224,3.8806,3.9975,6749612,0
1995-05-15,4.0392,4.0392,3.9556,3.9811,5357631,0
1995-05-16,3.9641,4.0224,3.9222,3.9811,4037633,0
1995-05-17,3.9811,3.9975,3.8887,3.9054,2502493,0
1995-05-18,3.9222,3.9811,3.8642,3.9556,2525139,0
1995-05-19,3.9222,4.0224,3.9054,4.0224,6297482,0
1995-05-22,4.0142,4.0142,3.9389,3.9811,2870506,0
1995-05-23,3.9811,4.0224,3.9641,3.9641,2478228,0
1995-05-24,4.0224,4.0725,3.9975,4.0142,6700273,0
1995-05-25,4.0142,4.0725,3.9975,4.0561,4021459,0
