Date,Open,High,Low,Close,Volume,OpenInt
1999-05-04,67.665,68.78,62.329,62.659,24472946,0
1999-05-05,62.213,62.213,58.991,61.547,8295140,0
1999-05-06,60.542,61.773,59.712,60.488,3185852,0
1999-05-07,60.488,66.671,59.429,65.998,5331091,0
1999-05-10,65.331,65.441,62.549,62.941,2839054,0
1999-05-11,62.329,63.389,61.885,62.888,2017182,0
1999-05-12,63.216,66.671,61.547,65.441,2915697,0
1999-05-13,65.222,67,64.555,65.166,1253094,0
1999-05-14,63.444,64.329,61.491,62.497,2256860,0
1999-05-17,61.547,62.549,60.542,61.098,2275059,0
1999-05-18,60.77,62.714,60.662,61.098,1542762,0
1999-05-19,61.773,62.158,61.218,61.71,797532,0
1999-05-20,61.939,62.441,60.879,60.879,571013,0
1999-05-21,60.662,61.274,60.107,60.107,1026465,0
1999-05-24,59.656,59.878,57.872,58.154,1636945,0
1999-05-25,57.096,58.71,56.986,57.432,1822679,0
1999-05-26,58.427,59.32,56.146,58.819,1757445,0
1999-05-27,57.872,60.323,57.598,60.323,1338175,0
1999-05-28,60.323,61.274,59.656,60.488,988859,0
1999-06-01,59.32,59.32,56.593,57.149,1045870,0
1999-06-02,56.758,57.041,55.207,56.32,2416825,0
1999-06-03,56.986,57.149,56.202,56.65,934803,0
1999-06-04,57.259,59.656,57.259,58.209,1488270,0
1999-06-07,58.043,60.323,58.043,58.71,977894,0
1999-06-08,58.209,58.49,56.758,56.758,626820,0
1999-06-09,57.204,58.318,56.65,58.318,670349,0
1999-06-10,57.759,57.816,56.376,56.43,728238,0
1999-06-11,56.933,57.259,55.481,56.32,1062753,0
1999-06-14,56.538,56.986,53.867,54.533,900265,0
1999-06-15,55.982,56.43,55.426,55.872,911885,0
1999-06-16,56.933,58.262,56.933,58.098,756856,0
1999-06-17,57.432,59.55,57.432,57.872,1047843,0
1999-06-18,57.204,57.759,56.538,57.706,673088,0
1999-06-21,59.375,62.267,59.265,61.885,1985606,0
1999-06-22,62.441,62.441,60.323,60.542,1278311,0
1999-06-23,59.712,60.041,57.759,57.872,1482025,0
1999-06-24,58.819,59.212,57.432,57.936,1544736,0
1999-06-25,58.318,59.485,58.209,58.991,1218665,0
1999-06-28,59.158,60.107,58.545,59.265,860246,0
1999-06-29,58.762,60.991,58.762,60.323,690521,0
1999-06-30,60.991,64.329,58.874,64.329,2332730,0
1999-07-01,63.551,63.606,62.103,63.05,892044,0
1999-07-02,62.831,63.389,62.047,63.162,588665,0
1999-07-06,62.329,63.389,61.657,62.768,819678,0
1999-07-07,61.939,62.329,60.542,60.542,711356,0
1999-07-08,60.542,61.329,59.825,59.878,465318,0
1999-07-09,60.041,60.719,59.878,59.878,342849,0
1999-07-12,60.542,61.38,60.436,60.879,600504,0
1999-07-13,60.77,61.152,60.214,60.436,1063083,0
1999-07-14,59.984,60.323,59.93,60.214,973835,0
1999-07-15,60.542,60.542,60.107,60.488,948071,0
1999-07-16,60.323,61.218,60.323,60.597,522662,0
1999-07-19,60.77,62.997,60.77,61.829,708391,0
1999-07-20,61.547,62.714,60.436,60.662,971536,0
1999-07-21,60.542,60.597,59.768,60.436,686469,0
1999-07-22,60.662,60.77,59.212,59.212,635373,0
1999-07-23,59.101,59.101,56.986,57.041,841169,0
1999-07-26,57.204,57.652,56.263,56.32,821762,0
1999-07-27,57.204,58.545,56.376,58.318,649299,0
1999-07-28,58.098,59.101,56.986,58.819,641181,0
1999-07-29,58.318,58.318,57.432,57.872,708284,0
1999-07-30,57.872,57.872,56.65,57.259,690301,0
1999-08-02,57.204,57.486,55.535,55.929,621010,0
1999-08-03,55.929,55.929,54.095,54.15,918467,0
1999-08-04,53.921,54.761,53.419,53.419,1405166,0
1999-08-05,53.255,53.419,51.477,52.755,1688367,0
1999-08-06,52.48,52.48,49.864,50.08,1434657,0
1999-08-09,50.309,51.193,49.698,49.698,1477416,0
1999-08-10,50.191,51.031,49.242,50.856,1992624,0
1999-08-11,51.643,54.93,51.248,54.88,1501212,0
1999-08-12,54.827,55.489,54.037,54.15,913092,0
1999-08-13,55.708,56.439,55.382,56.329,611139,0
1999-08-16,56.211,56.211,54.321,56.099,836126,0
1999-08-17,56.439,57.552,55.882,56.211,1027230,0
1999-08-18,56.211,56.211,54.488,55.599,898292,0
1999-08-19,54.987,55.773,54.26,54.93,684820,0
1999-08-20,55.152,56.156,54.987,55.599,481985,0
1999-08-23,56.047,56.941,55.882,56.776,917917,0
1999-08-24,56.722,57.997,56.047,56.602,980411,0
1999-08-25,56.329,57.387,55.599,57.104,493278,0
1999-08-26,57.104,57.89,55.991,55.991,414882,0
1999-08-27,56.211,56.211,54.88,54.93,290878,0
1999-08-30,55.1,55.1,52.925,52.925,480340,0
1999-08-31,53.093,53.987,52.37,53.377,544480,0
1999-09-01,54.037,54.15,53.377,53.821,614099,0
1999-09-02,53.093,53.931,52.537,52.873,797752,0
1999-09-03,54.205,56.329,54.205,56.329,827682,0
1999-09-07,56.211,57.496,55.708,55.773,892044,0
1999-09-08,55.708,56.776,55.436,55.826,802685,0
1999-09-09,55.773,55.826,54.432,55.1,492069,0
1999-09-10,55.656,56.301,54.987,56.301,697648,0
1999-09-13,55.489,56.047,55.326,55.436,274873,0
1999-09-14,54.771,54.771,52.426,52.981,1272496,0
1999-09-15,53.649,53.649,51.805,52.031,1063740,0
1999-09-16,52.253,52.755,51.248,51.477,825819,0
1999-09-17,52.306,53.593,52.199,53.593,1224364,0
1999-09-20,53.593,54.205,53.093,54.205,791390,0
1999-09-21,54.037,55.1,52.087,52.755,2597513,0
1999-09-22,53.482,55.326,52.697,54.705,1682669,0
1999-09-23,55.1,55.545,54.205,54.26,975590,0
1999-09-24,54.488,55.489,54.321,55.271,911557,0
1999-09-27,55.326,55.882,54.649,54.93,684929,0
1999-09-28,54.705,55.545,54.488,55.545,898949,0
1999-09-29,55.656,55.991,54.542,54.827,878118,0
1999-09-30,55.271,55.773,54.432,54.432,1220748,0
1999-10-01,54.432,54.649,52.031,52.81,869784,0
1999-10-04,53.093,55.044,53.093,55.044,810689,0
1999-10-05,55.436,56.439,54.771,55.545,1140818,0
1999-10-06,55.436,57.104,55.152,57.104,1035235,0
1999-10-07,57.104,57.223,56.385,56.385,401615,0
1999-10-08,55.773,57.05,55.207,57.05,535926,0
1999-10-11,56.885,57.05,56.659,56.83,251411,0
1999-10-12,56.83,56.885,55.991,56.156,706311,0
1999-10-13,55.656,55.882,54.15,54.432,430891,0
1999-10-14,53.987,55.826,52.537,55.326,1113955,0
1999-10-15,53.987,54.095,51.978,53.321,1192898,0
1999-10-18,53.756,53.756,51.697,52.873,803342,0
1999-10-19,53.093,54.432,53.093,53.876,1187087,0
1999-10-20,53.987,55.656,53.987,55.1,547988,0
1999-10-21,54.761,55.261,54.649,55.261,309078,0
1999-10-22,56.099,58.782,56.047,58.563,1803272,0
1999-10-25,58.051,58.117,56.546,57.223,729116,0
1999-10-26,56.767,57.722,55.261,55.261,712886,0
1999-10-27,55.489,57.89,55.426,57.552,1548687,0
1999-10-28,57.672,64.82,57.672,64.376,4367453,0
1999-10-29,64.428,65.934,62.752,63.48,2730620,0
1999-11-01,63.031,63.48,61.967,62.019,1040826,0
1999-11-02,61.856,64.146,61.801,62.357,595352,0
1999-11-03,62.412,62.469,61.07,61.463,1013086,0
1999-11-04,62.302,63.25,62.084,62.695,625394,0
1999-11-05,64.376,66.434,63.699,65.878,1430712,0
1999-11-08,65.714,65.714,64.82,65.269,714423,0
1999-11-09,65.714,65.768,64.146,64.255,762667,0
1999-11-10,63.48,65.039,63.143,64.319,744138,0
1999-11-11,64.376,65.714,63.981,65.541,629670,0
1999-11-12,66.106,71.36,65.934,71.297,2442479,0
1999-11-15,70.403,71.47,69.063,69.736,1093235,0
1999-11-17,72.526,72.757,70.239,71.132,1365474,0
1999-11-18,71.36,72.526,70.849,71.686,1218665,0
1999-11-19,71.525,72.309,71.187,71.47,361379,0
1999-11-22,71.078,71.744,70.183,71.242,361706,0
1999-11-23,71.47,72.081,69.29,69.508,719575,0
1999-11-24,69.29,69.508,68.613,68.953,565422,0
1999-11-26,69.006,69.508,68.507,69.116,117976,0
1999-11-29,69.063,69.063,66.499,66.609,567832,0
1999-11-30,66.827,68.953,66.609,67.165,1014182,0
1999-12-01,66.827,68.113,66.827,68.113,548207,0
1999-12-02,68.169,69.399,68.169,69.29,497334,0
1999-12-03,70.183,72.135,70.075,70.685,734049,0
1999-12-06,70.794,70.913,68.452,68.843,323550,0
1999-12-07,69.063,72.363,69.063,72.363,968247,0
1999-12-08,73.148,73.148,71.525,71.525,802795,0
1999-12-09,72.19,73.531,71.297,71.525,1321948,0
1999-12-10,71.525,73.703,71.132,73.314,1519960,0
1999-12-13,72.863,74.151,72.473,73.366,1028983,0
1999-12-14,72.81,72.81,69.563,70.403,1212413,0
1999-12-15,69.508,71.078,69.508,71.022,1177330,0
1999-12-16,70.794,71.078,69.508,70.239,337586,0
1999-12-17,70.294,72.026,70.127,71.686,594364,0
1999-12-20,73.314,74.76,72.19,73.2,1428190,0
1999-12-21,72.081,74.206,71.078,72.363,1304624,0
1999-12-22,72.418,72.757,70.739,71.242,577595,0
1999-12-23,72.418,73.703,72.135,72.418,583292,0
1999-12-27,71.97,74.096,71.97,73.366,426725,0
1999-12-28,73.366,76.602,73.366,75.991,901034,0
1999-12-29,76.441,78.839,76.329,78.673,871429,0
1999-12-30,80.461,83.036,80.069,82.425,1062645,0
1999-12-31,82.194,84.766,81.804,84.212,420478,0
2000-01-03,84.212,84.375,78.456,78.956,1998322,0
2000-01-04,77.781,78.228,73.531,73.978,1806563,0
2000-01-05,72.309,73.2,70.075,70.52,1662821,0
2000-01-06,70.294,75.546,70.294,73.531,2022996,0
2000-01-07,74.262,74.37,71.413,73.813,1236095,0
2000-01-10,73.083,75.884,73.083,75.436,880529,0
2000-01-11,75.991,77.116,75.602,75.831,886565,0
2000-01-12,75.21,76.887,74.542,75.436,1004425,0
2000-01-13,76.104,76.104,74.096,75.546,779548,0
2000-01-14,76.441,77.725,76.275,76.551,665524,0
2000-01-18,75.991,79.679,75.765,77.672,1201344,0
2000-01-19,77.672,79.908,77.561,78.283,698307,0
2000-01-20,77.891,78.731,75.982,76.931,681754,0
2000-01-21,77.16,77.16,75.7,76.714,594806,0
2000-01-24,78.337,78.337,72.965,73.183,781634,0
2000-01-25,74.306,75.373,73.749,75.089,821542,0
2000-01-26,75.32,79.23,75.32,79.004,1191364,0
2000-01-27,79.004,80.517,78.447,79.679,769683,0
2000-01-28,78.337,78.784,77.107,77.891,851692,0
2000-01-31,77.891,82.087,77.443,82.031,879105,0
2000-02-01,83.143,83.263,81.019,81.694,891493,0
2000-02-02,81.247,82.031,79.341,81.583,1057712,0
2000-02-03,80.573,81.583,75.929,76.432,2426693,0
2000-02-04,78.11,78.11,74.807,75.822,1591664,0
2000-02-07,75.592,77.443,74.751,76.769,1019449,0
2000-02-08,76.769,80.234,76.769,80.069,1123603,0
2000-02-09,80.069,80.069,77.499,77.662,435386,0
2000-02-10,77.662,78.163,76.551,77.552,551719,0
2000-02-11,77.39,79.459,76.096,76.212,939517,0
2000-02-14,76.212,77.771,75.765,77.443,688327,0
2000-02-15,77.214,77.552,76.212,77.443,594697,0
2000-02-16,77.662,78.163,74.197,74.252,789747,0
2000-02-17,75.876,75.876,72.627,73.522,981841,0
2000-02-18,75.646,75.646,72.29,72.346,1014731,0
2000-02-22,72.738,73.749,72.234,73.022,789525,0
2000-02-23,72.791,77.891,72.572,76.769,770670,0
2000-02-24,76.824,80.517,76.551,80.234,1315477,0
2000-02-25,80.069,84.158,79.004,79.908,1461520,0
2000-02-28,79.908,79.908,77.891,78.784,567942,0
2000-02-29,79.459,82.814,78.784,82.814,1514366,0
2000-03-01,83.48,86.618,83.425,84.822,1632449,0
2000-03-02,85.279,87.621,84.265,86.173,1994597,0
2000-03-03,86.835,91.765,86.618,91.765,2517259,0
2000-03-06,91.992,94.226,91.653,92.829,1558004,0
2000-03-07,93.047,94.672,91.709,93.888,1141696,0
2000-03-08,94.006,94.335,89.248,91.096,1141475,0
2000-03-09,91.096,96.856,90.649,95.961,587129,0
2000-03-10,98.247,106.56,97.139,100.5,2230543,0
2000-03-13,96.244,103.41,95.351,98.809,1594406,0
2000-03-14,99.83,101.03,92.658,93.779,716067,0
2000-03-15,91.765,94.451,90.759,92.712,767817,0
2000-03-16,92.996,94.006,88.853,92.493,2220017,0
2000-03-17,93.224,105.07,92.438,104.29,2301810,0
2000-03-20,105.29,110.1,100.77,101.55,2471318,0
2000-03-21,99.391,107.25,95.351,105.86,2952422,0
2000-03-22,102.85,105.58,102.79,104.87,1380276,0
2000-03-23,104.29,106.56,103.06,106.56,1816651,0
2000-03-24,106.56,114.59,105.35,108.6,2120904,0
2000-03-27,105.86,106.88,100.05,100.28,1441783,0
2000-03-28,98.021,103.41,97.139,101.37,1808426,0
2000-03-29,102.07,103.97,99.156,102.23,827023,0
2000-03-30,100.82,102.95,94.116,95.686,1360870,0
2000-03-31,96.699,100.16,92.493,94.226,1856557,0
2000-04-03,97.363,99.211,94.451,94.451,1962033,0
2000-04-04,94.902,95.124,81.583,87.96,4100151,0
2000-04-05,87.285,89.19,83.71,87.23,3550956,0
2000-04-06,90.423,94.902,89.53,94.902,1837258,0
2000-04-07,95.124,96.021,90.588,91.765,1505925,0
2000-04-10,93.102,97.689,92.712,95.846,1918615,0
2000-04-11,95.903,96.975,93.385,93.833,1257808,0
2000-04-12,95.351,96.021,86.393,86.448,2849032,0
2000-04-13,86.618,87.849,82.643,85.279,3703357,0
2000-04-14,83.036,83.036,71.113,74.086,5323967,0
2000-04-17,73.183,78.556,72.518,78.337,3826048,0
2000-04-18,78.337,84.995,77.771,83.927,2402792,0
2000-04-19,83.754,83.819,80.346,82.522,1524236,0
2000-04-20,82.303,82.303,78.884,79.615,1163403,0
2000-04-24,79.615,82.021,75.858,77.872,1934404,0
2000-04-25,79.441,87.74,78.438,87.01,1470838,0
2000-04-26,87.458,88.853,84.265,84.714,1782877,0
2000-04-27,82.021,86.28,81.009,85.322,1943285,0
2000-04-28,86.28,87.403,81.467,83.592,1256051,0
2000-05-01,83.592,91.096,83.592,86.957,2542912,0
2000-05-02,85.159,87.512,82.916,83.363,1827172,0
2000-05-03,82.698,85.834,80.396,81.684,2117175,0
2000-05-04,81.912,82.47,78.994,80.845,1009467,0
2000-05-05,80.115,82.643,78.383,80.563,1510965,0
2000-05-08,77.088,78.776,76.869,78.264,3088599,0
2000-05-09,77.088,77.99,75.974,76.76,1906775,0
2000-05-10,74.406,75.019,72.217,73.003,2566266,0
2000-05-11,73.058,74.626,72.107,72.5,2495439,0
2000-05-12,71.934,76.086,71.934,75.099,2095467,0
2000-05-15,75.126,78.884,75.126,78.045,1829804,0
2000-05-16,78.884,80.006,75.301,76.64,2783137,0
2000-05-17,76.301,77.088,74.406,75.911,1349687,0
2000-05-18,75.192,78.438,75.192,76.424,1636945,0
2000-05-19,75.52,76.195,73.622,75.803,1685738,0
2000-05-22,74.853,75.192,72.271,73.503,1475335,0
2000-05-23,73.393,76.64,73.058,74.233,1319976,0
2000-05-24,74.069,74.963,71.269,71.715,1677730,0
2000-05-25,72.163,74.736,64.482,65.441,4418659,0
2000-05-26,65.551,65.777,62.185,62.576,2607383,0
2000-05-30,64.09,65.833,63.305,64.536,2417919,0
2000-05-31,64.536,67.117,63.754,65.943,1495289,0
2000-06-01,66.837,69.637,65.998,68.46,1847350,0
2000-06-02,75.746,78.208,74.853,77.872,3911894,0
2000-06-05,77.872,78.776,75.746,75.746,1728607,0
2000-06-06,75.301,76.301,73.285,74.517,1132813,0
2000-06-07,74.289,78.884,73.842,77.707,1447156,0
2000-06-08,77.872,78.548,76.248,76.248,1375999,0
2000-06-09,76.301,77.6,74.626,74.626,1103870,0
2000-06-12,74.68,75.584,73.285,74.68,803454,0
2000-06-13,74.853,76.869,74.069,76.301,847748,0
2000-06-14,76.367,81.009,76.028,80.618,2141954,0
2000-06-15,80.618,81.401,77.99,80.902,2325385,0
2000-06-16,80.902,81.965,78.548,80.618,1965103,0
2000-06-19,80.845,83.363,80.226,82.134,2294687,0
2000-06-20,82.021,83.754,78.328,79.779,2590388,0
2000-06-21,78.884,79.221,75.52,77.654,3152407,0
2000-06-22,77.654,77.654,73.503,75.52,1622801,0
2000-06-23,76.424,77.99,75.301,77.088,1772572,0
2000-06-26,77.762,78.884,76.869,78.656,1289052,0
2000-06-27,78.656,80.115,78.548,79.168,1289052,0
2000-06-28,78.884,81.521,78.884,80.563,1294206,0
2000-06-29,80.789,83.48,79.168,83.036,1518973,0
2000-06-30,83.363,85.997,82.971,84.959,2785550,0
2000-07-03,84.602,85.105,83.754,85.105,496783,0
2000-07-05,84.602,86.957,84.149,85.997,1180839,0
2000-07-06,80.681,84.265,79.221,83.537,3665423,0
2000-07-07,83.537,85.386,81.521,85.105,1387619,0
2000-07-10,85.05,88.637,84.093,87.568,1643196,0
2000-07-11,87.458,88.918,87.01,88.297,1369531,0
2000-07-12,89.756,93.451,89.756,91.38,3016237,0
2000-07-13,90.094,93.451,89.19,93.451,2420114,0
2000-07-14,93.451,94.344,92.217,93.395,1253199,0
2000-07-17,93.287,93.34,89.637,89.637,1343109,0
2000-07-18,91.436,93.451,90.649,93.111,2685884,0
2000-07-19,92.502,92.838,89.919,90.312,958484,0
2000-07-20,90.649,94.179,90.649,93.057,1126784,0
2000-07-21,93.004,94.854,92.274,93.56,1266686,0
2000-07-24,94.006,95.981,92.217,94.574,1598243,0
2000-07-25,94.911,95.799,93.057,95.143,1197833,0
2000-07-26,94.802,95.076,92.217,95.076,1367668,0
2000-07-27,94.911,95.467,89.637,89.747,1424349,0
2000-07-28,89.858,90.705,86.098,88.407,1502967,0
2000-07-31,86.164,88.797,84.813,88.571,1901292,0
2000-08-01,88.853,91.765,87.057,90.312,2182521,0
2000-08-02,89.071,92.383,89.071,91.653,14441420,0
2000-08-03,91.208,94.802,90.194,94.802,2960536,0
2000-08-04,97.838,101.34,96.926,99.85,4066930,0
2000-08-07,100.08,103.21,98.494,102.36,2694656,0
2000-08-08,102.36,103.51,101.22,101.4,2175944,0
2000-08-09,101.4,104.78,100.41,103.15,1632341,0
2000-08-10,103.57,104.78,99.97,100.53,1303526,0
2000-08-11,100.3,107.57,100.3,107.57,1633220,0
2000-08-14,105.9,109.27,104.66,108.36,2326260,0
2000-08-15,108.42,108.42,105.68,106.08,1698236,0
2000-08-16,105,106.25,100.19,101.4,2764060,0
2000-08-17,101.45,106.72,101.45,106.49,1952055,0
2000-08-18,106.72,106.82,104.09,105,936229,0
2000-08-21,104.94,106.6,104.33,105.74,1186321,0
2000-08-22,105.85,109.06,105.68,107.57,2388866,0
2000-08-23,107.45,107.45,105.97,106.82,1809742,0
2000-08-24,106.87,108.48,105.85,106.14,1150797,0
2000-08-25,106.37,107.87,105.1,107.12,1079090,0
2000-08-28,106.14,111.73,106.14,109.87,1559868,0
2000-08-29,109.06,114.36,108.94,114.36,2736100,0
2000-08-30,112.63,113.53,110.49,111.01,2341938,0
