Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,25.182,25.459,24.81,25.459,628045,0
1995-01-04,25.555,26.399,25.555,26.399,794171,0
1995-01-05,26.215,26.399,26.215,26.215,509248,0
1995-01-06,26.215,27.057,26.215,26.589,911193,0
1995-01-09,26.49,27.526,26.49,27.152,867102,0
1995-01-10,27.057,27.25,26.49,26.49,902313,0
1995-01-11,26.684,27.057,26.589,26.961,640164,0
1995-01-12,26.876,27.152,26.876,27.152,486158,0
1995-01-13,27.43,28.187,27.43,28.089,1336749,0
1995-01-16,28.465,28.847,28.378,28.751,1010974,0
1995-01-17,28.751,29.03,28.56,28.751,918089,0
1995-01-18,28.751,29.125,28.465,29.125,557937,0
1995-01-19,28.933,28.933,27.995,27.995,763557,0
1995-01-20,27.995,27.995,27.057,27.43,797515,0
1995-01-23,27.152,27.344,27.057,27.344,482502,0
1995-01-24,27.344,27.526,27.25,27.25,331211,0
1995-01-25,26.961,27.526,26.779,27.526,500052,0
1995-01-26,27.43,27.902,27.43,27.716,430887,0
1995-01-27,27.716,27.995,26.876,26.876,450424,0
1995-01-30,26.876,27.057,26.684,26.961,420543,0
1995-01-31,26.961,27.25,26.684,27.057,465261,0
1995-02-01,26.961,27.623,26.876,27.344,573085,0
1995-02-02,27.344,27.526,27.25,27.344,408318,0
1995-02-03,27.716,28.281,27.716,27.902,803994,0
1995-02-06,27.902,27.902,27.623,27.812,343122,0
1995-02-07,27.902,28.281,27.526,27.716,506638,0
1995-02-08,27.152,27.344,26.876,26.961,1056111,0
1995-02-09,27.25,27.43,27.152,27.25,505903,0
1995-02-10,27.306,27.584,27.21,27.489,529519,0
1995-02-13,27.489,27.774,27.4,27.489,443008,0
1995-02-14,27.584,27.678,27.21,27.4,473829,0
1995-02-15,27.584,27.967,27.306,27.584,699511,0
1995-02-16,27.584,27.678,27.306,27.489,383032,0
1995-02-17,27.306,27.4,26.923,27.4,479052,0
1995-02-21,27.4,27.584,27.21,27.4,307285,0
1995-02-22,27.584,27.678,27.4,27.489,412707,0
1995-02-23,27.584,27.584,27.21,27.306,490338,0
1995-02-24,27.489,27.584,27.306,27.489,516458,0
1995-02-27,27.678,27.967,27.306,27.4,337687,0
1995-02-28,27.489,28.061,27.4,27.872,618119,0
1995-03-01,27.872,27.921,27.4,27.4,374257,0
1995-03-02,27.21,27.306,26.923,27.02,996658,0
1995-03-03,27.21,28.061,26.923,28.061,616134,0
1995-03-06,27.967,27.967,27.678,27.678,389408,0
1995-03-07,27.678,27.872,27.114,27.21,528368,0
1995-03-08,27.21,27.21,26.923,27.114,303732,0
1995-03-09,27.02,27.21,27.02,27.114,354824,0
1995-03-10,27.02,27.774,27.02,27.21,687914,0
1995-03-13,27.21,27.489,27.21,27.21,771292,0
1995-03-14,27.306,27.489,26.646,27.114,773277,0
1995-03-15,27.02,27.02,26.262,26.454,827812,0
1995-03-16,26.646,27.02,26.549,27.02,947970,0
1995-03-17,27.02,27.02,26.549,26.646,827502,0
1995-03-20,26.549,26.646,26.166,26.262,535368,0
1995-03-21,26.262,26.549,25.507,25.698,757185,0
1995-03-22,25.89,26.262,25.603,26.166,612479,0
1995-03-23,26.166,26.454,26.073,26.454,429215,0
1995-03-24,26.454,26.731,26.166,26.454,718838,0
1995-03-27,26.454,26.646,26.454,26.549,564625,0
1995-03-28,26.646,26.829,26.359,26.731,581863,0
1995-03-29,26.731,27.4,26.646,27.306,769308,0
1995-03-30,27.678,28.34,27.584,28.061,1100200,0
1995-03-31,27.4,28.157,27.114,27.774,725527,0
1995-04-03,27.678,28.245,27.678,28.245,438096,0
1995-04-04,28.245,28.245,27.678,28.157,624807,0
1995-04-05,28.157,29.191,28.157,29.095,2029364,0
1995-04-06,28.34,29.001,28.34,29.001,822172,0
1995-04-07,29.001,29.095,28.626,28.818,723646,0
1995-04-10,28.723,28.904,28.626,28.818,535471,0
1995-04-11,29.001,29.286,28.818,29.095,929166,0
1995-04-12,29.384,29.384,29.095,29.191,511650,0
1995-04-13,29.095,29.286,28.904,28.904,289629,0
1995-04-17,29.001,29.095,28.531,28.531,591893,0
1995-04-18,28.531,28.626,28.061,28.245,576221,0
1995-04-19,28.435,28.531,28.061,28.435,709853,0
1995-04-20,28.435,28.723,28.34,28.626,438200,0
1995-04-21,28.723,28.723,28.435,28.626,355660,0
1995-04-24,28.626,28.626,28.34,28.435,363391,0
1995-04-25,28.435,28.723,28.34,28.626,358897,0
1995-04-26,28.723,28.723,28.531,28.531,268206,0
1995-04-27,28.531,28.818,28.34,28.723,1104799,0
1995-04-28,28.723,29.001,28.34,28.723,1269358,0
1995-05-01,28.531,29.095,28.157,28.818,817155,0
