Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,22.444,22.488,21.952,22.006,167007,0
1995-01-04,22.006,22.101,21.759,21.759,239942,0
1995-01-05,21.856,22.101,21.856,22.058,177229,0
1995-01-06,22.058,22.058,21.759,21.856,110430,0
1995-01-09,21.952,22.006,21.814,21.856,345597,0
1995-01-10,21.909,22.154,21.856,21.909,374680,0
1995-01-11,21.952,22.295,21.952,22.252,158600,0
1995-01-12,22.252,22.252,22.006,22.201,129969,0
1995-01-13,22.252,22.488,22.252,22.444,162233,0
1995-01-16,22.488,23.274,22.488,22.981,686651,0
1995-01-17,22.932,23.175,22.886,23.175,192002,0
1995-01-18,23.175,23.274,23.131,23.131,222676,0
1995-01-19,23.081,23.325,23.026,23.026,189953,0
1995-01-20,23.026,23.175,22.932,23.175,170640,0
1995-01-23,23.026,23.425,23.026,23.274,323558,0
1995-01-24,23.131,23.466,23.081,23.466,238354,0
1995-01-25,23.466,23.713,23.325,23.565,291748,0
1995-01-26,23.518,23.808,23.518,23.67,258575,0
1995-01-27,23.766,24.099,23.766,23.865,223582,0
1995-01-30,23.766,23.808,23.614,23.713,105430,0
1995-01-31,23.739,23.739,23.258,23.352,151099,0
1995-02-01,23.448,23.448,23.203,23.352,271751,0
1995-02-02,23.298,23.642,23.258,23.5,127238,0
1995-02-03,23.5,23.694,23.298,23.448,176553,0
1995-02-06,23.5,23.599,23.448,23.546,204043,0
1995-02-07,23.5,23.5,23.352,23.397,119291,0
1995-02-08,23.397,23.599,23.352,23.397,166777,0
1995-02-09,23.448,23.546,23.352,23.448,247213,0
1995-02-10,23.5,23.985,23.5,23.739,434897,0
1995-02-13,23.739,23.985,23.739,23.888,102246,0
1995-02-14,23.837,24.039,23.546,24.039,306973,0
1995-02-15,23.985,24.286,23.942,24.286,214265,0
1995-02-16,24.382,24.426,23.985,24.083,205860,0
1995-02-17,24.083,24.382,24.039,24.286,272661,0
1995-02-21,24.426,24.725,24.426,24.725,161098,0
1995-02-22,24.725,24.821,24.574,24.672,195181,0
1995-02-23,24.574,24.62,24.328,24.328,234260,0
1995-02-24,24.426,24.426,24.286,24.382,107928,0
1995-02-27,24.426,24.479,24.039,24.039,106113,0
1995-02-28,24.039,24.178,23.791,23.942,97252,0
1995-03-01,24.083,24.083,23.985,23.985,149736,0
1995-03-02,24.039,24.135,23.985,24.135,236984,0
1995-03-03,24.039,24.178,23.985,24.083,146099,0
1995-03-06,24.039,24.083,23.791,24.083,199495,0
1995-03-07,23.985,24.039,23.203,23.642,265847,0
1995-03-08,23.791,24.039,23.739,23.942,91340,0
1995-03-09,24.039,24.039,23.694,23.837,142015,0
1995-03-10,23.942,24.039,23.791,23.942,225855,0
1995-03-13,23.942,23.942,23.739,23.888,127923,0
1995-03-14,23.985,24.039,23.888,23.985,235624,0
1995-03-15,24.039,24.178,23.942,24.135,301745,0
1995-03-16,24.178,24.672,24.083,24.426,305154,0
1995-03-17,24.479,24.479,24.328,24.382,398767,0
