Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.5211,6.6219,6.5027,6.6219,1102576,0
1995-01-04,6.5668,6.8228,6.5668,6.7862,632854,0
1995-01-05,6.7681,6.8228,6.7131,6.7496,377219,0
1995-01-06,6.7496,6.7496,6.6672,6.7496,380063,0
1995-01-09,6.7681,6.9419,6.7681,6.9142,1358867,0
1995-01-10,6.8959,6.8959,6.7681,6.8228,906858,0
1995-01-11,6.7862,6.8228,6.7131,6.7131,1121164,0
1995-01-12,6.6672,6.6948,6.6219,6.6948,462724,0
1995-01-13,6.7131,6.8228,6.6672,6.6948,457695,0
1995-01-16,6.6672,6.7496,6.6398,6.7496,250167,0
1995-01-17,6.7496,6.9142,6.7496,6.8959,1065401,0
1995-01-18,6.9142,7.0149,6.8228,6.9875,1131878,0
1995-01-19,6.9875,7.1156,6.9692,7.0424,1155931,0
1995-01-20,7.0424,7.1156,7.0149,7.0606,846504,0
1995-01-23,6.9875,7.1338,6.9875,7.0149,1773479,0
1995-01-24,7.0149,7.0606,7.0149,7.0424,806707,0
1995-01-25,7.0149,7.2069,7.0149,7.1887,2504959,0
1995-01-26,7.1887,7.262,7.161,7.2069,1277740,0
1995-01-27,7.2069,7.2436,7.1887,7.2069,483495,0
1995-01-30,7.2069,7.2436,7.161,7.161,619513,0
1995-01-31,7.1338,7.2069,7.0883,7.161,1171240,0
1995-02-01,7.1338,7.1887,6.9419,7.161,1254339,0
1995-02-02,7.0606,7.0883,6.7496,6.9142,2909952,0
1995-02-03,6.9692,7.0149,6.8959,6.8959,1092297,0
1995-02-06,6.9142,6.9692,6.7862,6.8959,1034788,0
1995-02-07,6.8959,6.8959,6.7862,6.8959,746788,0
1995-02-08,6.8959,6.9419,6.8411,6.8411,386624,0
1995-02-09,6.8411,6.9692,6.8411,6.9419,588463,0
1995-02-10,6.8683,6.9142,6.8411,6.9142,649039,0
1995-02-13,6.9419,6.9419,6.8411,6.8411,509739,0
1995-02-14,6.8959,6.9692,6.8959,6.9419,650569,0
1995-02-15,6.9692,7.0883,6.9142,7.0149,1638116,0
1995-02-16,7.0149,7.0424,7.0149,7.0424,527014,0
1995-02-17,7.0149,7.161,6.9692,7.1338,1228537,0
1995-02-21,7.161,7.3623,7.1338,7.2801,1823555,0
1995-02-22,7.2801,7.4538,7.2069,7.4358,1641399,0
1995-02-23,7.3807,7.4358,7.262,7.2801,1648175,0
1995-02-24,7.262,7.3165,7.2069,7.2343,630231,0
1995-02-27,7.2343,7.262,7.0883,7.161,989081,0
1995-02-28,7.1887,7.4171,7.1887,7.4171,753347,0
1995-03-01,7.4171,7.4903,7.3807,7.4358,1697601,0
1995-03-02,7.4358,7.5818,7.4358,7.5086,1036969,0
1995-03-03,7.4903,7.5086,7.4171,7.5086,511271,0
1995-03-06,7.5086,7.536,7.4171,7.536,919980,0
1995-03-07,7.5086,7.6093,7.4358,7.5818,1072614,0
1995-03-08,7.5818,7.7831,7.5818,7.7375,1578422,0
1995-03-09,7.7557,7.7557,7.4358,7.6093,2617140,0
1995-03-10,7.5818,7.6093,7.4538,7.4903,1046374,0
1995-03-13,7.3623,7.4903,7.262,7.4358,1226348,0
1995-03-14,7.4171,7.5635,7.3807,7.5635,1085517,0
1995-03-15,7.5635,7.5818,7.4538,7.4903,658003,0
1995-03-16,7.3807,7.4171,7.3351,7.3807,1214976,0
1995-03-17,7.3807,7.4538,7.3165,7.4538,2068257,0
1995-03-20,7.4903,7.6093,7.4358,7.5818,1503632,0
