Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,10.253,10.253,10.081,10.172,261062,0
1995-01-04,10.172,10.253,10.038,10.214,1115941,0
1995-01-05,10.12,10.172,10.038,10.12,211014,0
1995-01-06,10.12,10.12,9.989,10.081,214261,0
1995-01-09,10.038,10.081,10.038,10.038,106046,0
1995-01-10,10.038,10.12,10.038,10.081,291362,0
1995-01-11,10.12,10.12,10.038,10.081,397414,0
1995-01-12,10.081,10.081,10.038,10.038,385506,0
1995-01-13,10.038,10.12,10.038,10.081,565414,0
1995-01-16,10.081,10.172,10.038,10.172,200735,0
1995-01-17,10.081,10.305,10.081,10.305,446380,0
1995-01-18,10.347,10.522,10.347,10.428,435287,0
1995-01-19,10.428,10.612,10.428,10.428,298937,0
1995-01-20,10.48,10.48,10.253,10.305,379286,0
1995-01-23,10.214,10.48,10.214,10.428,130399,0
1995-01-24,10.428,10.48,10.347,10.388,604640,0
1995-01-25,10.388,10.564,10.388,10.522,241586,0
1995-01-26,10.48,10.654,10.48,10.612,475323,0
1995-01-27,10.696,10.737,10.428,10.48,280541,0
1995-01-30,10.428,10.428,10.253,10.428,285682,0
1995-01-31,10.347,10.654,10.347,10.612,957145,0
1995-02-01,10.654,10.654,10.428,10.428,192346,0
1995-02-02,10.388,10.428,10.253,10.253,589759,0
1995-02-03,10.305,10.347,10.253,10.347,151225,0
1995-02-06,10.347,10.347,10.253,10.347,619788,0
1995-02-07,10.388,10.48,10.347,10.48,303539,0
1995-02-08,10.428,10.48,10.388,10.388,423651,0
1995-02-09,10.48,10.696,10.48,10.654,506973,0
1995-02-10,10.696,11.002,10.696,11.002,377121,0
1995-02-13,11.002,11.23,10.919,11.135,459904,0
1995-02-14,11.135,11.485,11.135,11.404,1131093,0
1995-02-15,11.443,11.443,11.178,11.178,753699,0
1995-02-16,11.178,11.178,11.054,11.135,188830,0
1995-02-17,11.178,11.269,11.135,11.178,161236,0
1995-02-21,11.178,11.178,11.054,11.054,106863,0
1995-02-22,11.054,11.095,11.002,11.054,326803,0
1995-02-23,11.054,11.095,11.002,11.054,143111,0
1995-02-24,11.054,11.095,11.002,11.095,122283,0
1995-02-27,11.054,11.095,11.002,11.095,112814,0
1995-02-28,11.095,11.095,11.002,11.095,149875,0
1995-03-01,11.095,11.095,11.002,11.002,134455,0
1995-03-02,10.962,11.269,10.962,11.269,131751,0
1995-03-03,11.269,11.404,11.178,11.178,916019,0
1995-03-06,11.135,11.178,11.095,11.178,159614,0
1995-03-07,11.095,11.135,10.919,10.919,299478,0
1995-03-08,10.962,11.054,10.962,11.002,155824,0
1995-03-09,10.962,11.054,10.919,11.002,124715,0
1995-03-10,11.054,11.178,11.054,11.135,130941,0
1995-03-13,11.178,11.23,11.054,11.095,968771,0
1995-03-14,11.054,11.054,10.564,10.737,1618317,0
1995-03-15,10.737,10.829,10.654,10.788,657662,0
1995-03-16,11.135,11.269,11.054,11.178,3310225,0
1995-03-17,11.178,11.269,11.178,11.269,1752234,0
1995-03-20,11.23,11.269,11.178,11.23,642783,0
1995-03-21,11.23,11.269,11.178,11.23,654145,0
1995-03-22,11.269,11.312,11.23,11.269,477219,0
1995-03-23,11.312,11.404,11.269,11.269,470185,0
1995-03-24,11.312,11.575,11.269,11.538,933877,0
1995-03-27,11.575,11.886,11.575,11.801,481004,0
1995-03-28,11.713,11.845,11.713,11.845,530784,0
1995-03-29,11.845,11.886,11.801,11.886,358185,0
1995-03-30,11.845,11.886,11.801,11.886,676599,0
1995-03-31,11.801,11.926,11.713,11.886,328424,0
1995-04-03,11.886,11.977,11.845,11.886,282438,0
1995-04-04,11.886,12.061,11.801,12.061,308948,0
1995-04-05,12.018,12.061,11.977,12.018,534569,0
1995-04-06,12.018,12.018,11.845,11.886,150414,0
1995-04-07,11.886,11.886,11.801,11.845,269992,0
1995-04-10,11.845,11.886,11.845,11.886,404986,0
1995-04-11,11.926,11.926,11.751,11.845,436638,0
1995-04-12,11.801,11.886,11.751,11.801,992851,0
1995-04-13,11.751,11.801,11.618,11.618,374143,0
1995-04-17,11.669,11.713,11.443,11.443,282438,0
1995-04-18,11.443,11.485,11.135,11.23,1252021,0
1995-04-19,11.269,11.269,11.23,11.23,638725,0
1995-04-20,11.269,11.404,11.23,11.312,1185470,0
1995-04-21,11.362,11.362,11.178,11.23,640621,0
1995-04-24,11.135,11.312,11.135,11.23,365758,0
1995-04-25,11.269,11.312,11.23,11.269,870569,0
1995-04-26,11.269,11.362,11.23,11.23,351152,0
1995-04-27,11.178,11.269,11.178,11.269,186127,0
1995-04-28,11.178,11.312,11.178,11.178,338977,0
1995-05-01,11.095,11.269,11.095,11.269,429877,0
1995-05-02,11.23,11.23,11.135,11.178,131751,0
1995-05-03,11.23,11.362,11.23,11.362,314357,0
1995-05-04,11.362,11.362,11.178,11.23,402822,0
1995-05-05,11.269,11.269,11.095,11.135,101717,0
1995-05-08,11.095,11.269,11.095,11.178,182068,0
1995-05-09,11.135,11.404,11.135,11.312,698242,0
1995-05-10,11.269,11.362,11.054,11.135,815114,0
1995-05-11,11.178,11.443,11.095,11.443,636833,0
1995-05-12,11.404,11.977,11.404,11.977,945238,0
1995-05-15,11.977,12.11,11.886,11.926,528890,0
1995-05-16,11.977,12.018,11.801,11.977,1237683,0
1995-05-17,11.977,11.977,11.801,11.886,384156,0
1995-05-18,11.886,11.926,11.669,11.669,568927,0
1995-05-19,11.713,11.751,11.575,11.575,207226,0
1995-05-22,11.618,11.845,11.618,11.801,223459,0
1995-05-23,11.845,11.977,11.845,11.886,433934,0
1995-05-24,11.886,11.926,11.669,11.801,755326,0
1995-05-25,11.801,11.886,11.713,11.845,208039,0
1995-05-26,11.845,11.845,11.713,11.801,92251,0
