Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,6.7008,6.7951,6.6495,6.7008,306004,0
1995-01-04,6.6495,6.8461,6.6495,6.7435,552364,0
1995-01-05,6.7435,6.8461,6.7435,6.7951,261155,0
1995-01-06,6.8461,6.8461,6.7435,6.8461,196373,0
1995-01-09,6.8461,6.9488,6.7435,6.8974,278441,0
1995-01-10,6.8461,7.0428,6.8461,6.8974,284825,0
1995-01-11,6.9915,7.0428,6.7008,6.7951,250722,0
1995-01-12,6.8461,6.8461,6.7435,6.7435,188432,0
1995-01-13,6.7435,6.9488,6.7435,6.9488,362221,0
1995-01-16,6.8461,7.3844,6.8461,7.3421,585379,0
1995-01-17,7.2905,7.3844,7.0941,7.1877,397415,0
1995-01-18,7.1452,7.1452,6.9488,6.9915,149029,0
1995-01-19,6.9488,7.0428,6.9488,6.9488,69922,0
1995-01-20,6.9488,7.0428,6.8974,7.0428,389629,0
1995-01-23,6.8974,6.9915,6.8461,6.9915,147314,0
1995-01-24,6.8974,6.9915,6.8974,6.8974,66180,0
1995-01-25,6.8974,7.0941,6.8974,7.0941,183755,0
1995-01-26,7.0941,7.0941,6.8974,6.8974,68830,0
1995-01-27,7.0428,7.1877,6.8974,7.1452,418596,0
1995-01-30,7.1877,7.1877,7.0428,7.0941,71948,0
1995-01-31,7.1452,7.2905,7.0428,7.1877,270652,0
1995-02-01,7.1877,7.3421,7.1877,7.2136,317843,0
1995-02-02,7.2394,7.2905,7.1877,7.2905,166939,0
1995-02-03,7.2905,7.3844,7.2394,7.2905,255393,0
1995-02-06,7.2905,7.4871,7.2394,7.2905,362066,0
1995-02-07,7.3421,7.3421,7.1877,7.2905,220353,0
1995-02-08,7.2905,7.2905,7.1877,7.1877,33636,0
1995-02-09,7.2905,7.3421,7.1877,7.1877,106829,0
1995-02-10,7.1877,7.2905,7.1452,7.2394,109008,0
1995-02-13,7.1877,7.2394,7.1877,7.2394,80818,0
1995-02-14,7.1877,7.2394,7.1452,7.2394,230942,0
1995-02-15,7.2394,7.2905,7.1452,7.2905,163201,0
1995-02-16,7.2905,7.2905,7.1877,7.2905,200419,0
1995-02-17,7.2394,7.2905,7.1877,7.2394,212256,0
1995-02-21,7.1877,7.2905,7.1877,7.1877,236391,0
1995-02-22,7.1877,7.2905,7.1452,7.1877,936547,0
1995-02-23,7.1877,7.3844,7.1877,7.3844,278908,0
1995-02-24,7.3421,7.3844,7.2905,7.3421,87674,0
1995-02-27,7.3844,7.3844,7.2905,7.2905,68520,0
1995-02-28,7.3844,7.3844,7.2394,7.2905,199798,0
1995-03-01,7.3844,7.3844,7.2905,7.2905,59953,0
1995-03-02,7.3844,7.3844,7.1877,7.2136,409716,0
1995-03-03,7.1877,7.2905,7.1877,7.2905,383710,0
1995-03-06,7.1877,7.2905,7.1877,7.2136,100908,0
1995-03-07,7.1877,7.2905,7.0428,7.1452,273923,0
1995-03-08,7.0428,7.1452,7.0428,7.0941,74904,0
1995-03-09,7.0428,7.1877,7.0428,7.0941,219577,0
1995-03-10,7.1877,7.1877,7.0428,7.1452,157598,0
1995-03-13,7.1709,7.2221,7.1199,7.1709,179089,0
1995-03-14,7.1709,7.2221,7.1709,7.1709,202137,0
1995-03-15,7.2221,7.2221,7.0684,7.0684,167096,0
1995-03-16,7.1199,7.1709,7.0257,7.0684,192477,0
1995-03-17,7.1199,7.1199,7.0257,7.1199,121778,0
1995-03-20,7.0684,7.1199,6.9744,7.0257,147785,0
1995-03-21,7.0257,7.1199,6.9744,7.0513,264269,0
1995-03-22,7.0257,7.1199,7.0257,7.1199,192323,0
1995-03-23,7.0257,7.1709,7.0257,7.0684,288097,0
1995-03-24,7.1709,7.1709,7.0684,7.1452,275641,0
1995-03-27,7.1709,7.1709,7.0684,7.1452,89540,0
1995-03-28,7.0684,7.2737,7.0684,7.2737,287627,0
1995-03-29,7.2221,7.3674,7.2221,7.2737,189988,0
1995-03-30,7.3674,7.4186,7.2737,7.3249,417351,0
1995-03-31,7.2221,7.3249,7.2221,7.2737,189676,0
1995-04-03,7.2737,7.3249,7.2221,7.2221,67119,0
1995-04-04,7.3249,7.3674,7.2221,7.2221,126294,0
1995-04-05,7.2221,7.3249,7.2221,7.2221,72876,0
1995-04-06,7.3249,7.3674,7.2737,7.3249,169585,0
1995-04-07,7.2737,7.3674,7.2737,7.2737,155572,0
1995-04-10,7.3674,7.3674,7.2737,7.2737,296816,0
1995-04-11,7.3674,7.47,7.2737,7.3674,163516,0
1995-04-12,7.4186,7.4186,7.3249,7.3249,327653,0
1995-04-13,7.4186,7.4186,7.2737,7.3249,168653,0
1995-04-17,7.3674,7.3674,7.2737,7.3674,272681,0
1995-04-18,7.3249,7.47,7.2737,7.4186,174880,0
1995-04-19,7.4186,7.47,7.3674,7.3933,78174,0
1995-04-20,7.3674,7.47,7.3674,7.47,46248,0
1995-04-21,7.47,7.47,7.3249,7.3674,123648,0
1995-04-24,7.2737,7.3674,7.2737,7.3249,90946,0
1995-04-25,7.3249,7.3249,7.1709,7.2737,187805,0
1995-04-26,7.2221,7.3249,7.2221,7.2737,52323,0
1995-04-27,7.2221,7.3249,7.2221,7.2221,139687,0
1995-04-28,7.3249,7.5727,7.3249,7.4957,504556,0
1995-05-01,7.5727,7.6667,7.5211,7.6241,352723,0
1995-05-02,7.5727,7.6667,7.5727,7.6667,195128,0
1995-05-03,7.6667,7.8717,7.6241,7.7951,376860,0
1995-05-04,7.7691,7.8206,7.6667,7.6667,314255,0
1995-05-05,7.7691,7.7691,7.6241,7.6241,127385,0
1995-05-08,7.6241,7.718,7.5211,7.5727,214746,0
1995-05-09,7.5211,7.6241,7.47,7.5211,198240,0
1995-05-10,7.5211,7.5211,7.2737,7.3674,201355,0
1995-05-11,7.2737,7.4186,7.2737,7.3933,197305,0
1995-05-12,7.4186,7.4186,7.3249,7.3674,120377,0
1995-05-15,7.3674,7.47,7.3249,7.47,174099,0
1995-05-16,7.47,7.5211,7.4186,7.4186,104803,0
1995-05-17,7.4186,7.5211,7.4186,7.4186,36598,0
1995-05-18,7.5211,7.5211,7.3674,7.5211,167560,0
1995-05-19,7.3674,7.47,7.3674,7.4186,129254,0
1995-05-22,7.4186,7.5727,7.4186,7.5211,361441,0
1995-05-23,7.47,7.5727,7.47,7.47,138597,0
1995-05-24,7.5727,7.5727,7.4186,7.4443,73034,0
1995-05-25,7.47,7.6241,7.47,7.5727,384489,0
1995-05-26,7.5211,7.6241,7.47,7.6241,64468,0
1995-05-30,7.47,7.6667,7.47,7.6667,311923,0
1995-05-31,7.6241,7.8717,7.6241,7.8206,426535,0
1995-06-01,7.7691,7.8717,7.7691,7.8206,295724,0
1995-06-02,7.8717,7.8717,7.7691,7.7691,144356,0
1995-06-05,7.8717,7.8717,7.6667,7.8206,218170,0
1995-06-06,7.8206,7.8206,7.718,7.8206,53568,0
1995-06-07,7.8206,7.8717,7.718,7.7691,209139,0
1995-06-08,7.8206,7.923,7.8206,7.8206,62447,0
1995-06-09,7.8206,7.923,7.7691,7.7951,165381,0
1995-06-12,7.923,7.923,7.7691,7.8206,306315,0
1995-06-13,7.8206,7.966,7.8206,7.9403,99821,0
1995-06-14,7.9999,8.0511,7.9487,7.9487,112744,0
1995-06-15,7.9487,8.0511,7.9487,7.9999,103560,0
1995-06-16,8.0511,8.0511,7.8975,8.0511,111344,0
1995-06-19,8.0511,8.1537,7.9487,8.1537,313791,0
1995-06-20,8.1537,8.1965,8.0511,8.0511,205871,0
1995-06-21,8.0511,8.1537,8.0511,8.1537,231256,0
1995-06-22,8.1537,8.1965,8.0511,8.1965,280621,0
1995-06-23,8.1537,8.2479,8.1027,8.2479,94992,0
1995-06-26,8.1537,8.2479,8.1537,8.2479,207270,0
1995-06-27,8.2479,8.2479,8.1537,8.1709,78796,0
1995-06-28,8.1537,8.2993,8.1537,8.2993,217864,0
1995-06-29,8.2479,8.5041,8.2479,8.453,462980,0
1995-06-30,8.453,8.5041,8.3504,8.3504,318772,0
1995-07-03,8.3504,8.453,8.3504,8.3504,29901,0
1995-07-05,8.3504,8.4018,8.3504,8.4018,307559,0
1995-07-06,8.3504,8.453,8.3504,8.453,239508,0
1995-07-07,8.4018,8.5041,8.4018,8.5041,138439,0
1995-07-10,8.4018,8.5554,8.4018,8.5554,117886,0
1995-07-11,8.453,8.6068,8.453,8.5041,398975,0
1995-07-12,8.2221,8.4787,8.2221,8.4787,314728,0
1995-07-13,8.4787,8.5812,8.3761,8.5299,284513,0
1995-07-14,8.5812,8.6839,8.4787,8.6839,269410,0
1995-07-17,8.6839,8.8286,8.6325,8.735,363936,0
1995-07-18,8.735,9.0341,8.735,8.906,1119056,0
1995-07-19,8.8806,8.9823,8.8286,8.8806,1902210,0
1995-07-20,8.8806,9.3403,8.8286,9.1874,1625795,0
1995-07-21,9.1371,9.3403,9.1371,9.3144,944951,0
1995-07-24,9.2911,9.599,9.2911,9.4953,1645263,0
1995-07-25,9.4456,9.4953,9.2402,9.2402,1495452,0
1995-07-26,9.1874,9.2911,8.9823,8.9823,705133,0
1995-07-27,9.0865,9.0865,8.7869,8.7869,588026,0
1995-07-28,8.8806,8.8806,8.6325,8.8119,481975,0
1995-07-31,8.7869,8.8286,8.6325,8.6325,232654,0
1995-08-01,8.6325,8.735,8.5299,8.6325,747493,0
1995-08-02,8.6325,8.6839,8.5299,8.5299,644715,0
1995-08-03,8.6325,8.6325,8.4787,8.5299,236391,0
1995-08-04,8.4787,8.5299,8.4273,8.5299,374369,0
1995-08-07,8.4273,8.5299,8.4273,8.4273,363936,0
1995-08-08,8.4787,8.4787,8.3761,8.4018,150278,0
1995-08-09,8.3761,8.5812,8.3761,8.5299,197774,0
1995-08-10,8.4787,8.6839,8.4787,8.6839,321420,0
1995-08-11,8.5812,8.6839,8.5812,8.5812,47343,0
1995-08-14,8.5812,8.735,8.5812,8.735,300710,0
1995-08-15,8.735,8.7869,8.6325,8.6839,247295,0
1995-08-16,8.6325,8.7869,8.6325,8.735,76929,0
1995-08-17,8.7869,8.7869,8.6325,8.7869,337459,0
1995-08-18,8.7869,8.7869,8.6839,8.6839,208520,0
1995-08-21,8.7869,8.8286,8.6839,8.735,246671,0
1995-08-22,8.7869,8.7869,8.6839,8.735,239508,0
1995-08-23,8.735,8.7869,8.735,8.735,259442,0
1995-08-24,8.8286,8.8806,8.735,8.8806,313324,0
1995-08-25,8.8806,8.8806,8.7869,8.7869,151990,0
1995-08-28,8.8286,8.8806,8.8286,8.8286,161801,0
1995-08-29,8.8806,8.8806,8.8286,8.8545,124894,0
1995-08-30,8.8286,8.8806,8.8286,8.8806,83471,0
1995-08-31,8.8806,8.9318,8.8286,8.9318,184693,0
1995-09-01,8.8806,8.9318,8.8806,8.906,160867,0
1995-09-05,8.9318,8.9318,8.8806,8.906,189363,0
1995-09-06,8.9318,8.9318,8.8806,8.906,316596,0
1995-09-07,8.8806,8.9823,8.8806,8.8806,164602,0
1995-09-08,8.8806,9.0865,8.8806,8.9823,233125,0
1995-09-11,9.0865,9.1371,8.9823,9.0341,164447,0
1995-09-12,9.1371,9.1371,9.0341,9.0865,203381,0
1995-09-13,9.2227,9.2227,9.1188,9.1188,254148,0
1995-09-14,9.1188,9.2227,9.1188,9.169,134703,0
1995-09-15,9.169,9.2227,9.1188,9.2227,120064,0
1995-09-18,9.1188,9.2227,8.9655,8.9655,284669,0
1995-09-19,9.0703,9.0703,8.9655,8.9655,361287,0
1995-09-20,9.0172,9.0703,8.9655,9.0172,455659,0
1995-09-21,9.0172,9.1188,8.9655,9.0703,608892,0
1995-09-22,9.0703,9.0703,8.9655,8.9655,426379,0
1995-09-25,8.9655,9.0703,8.9655,9.0172,419534,0
1995-09-26,9.0703,9.2227,8.9655,9.2227,499417,0
1995-09-27,9.2227,9.2227,9.1188,9.1188,306939,0
1995-09-28,9.2227,9.2742,9.1188,9.196,218797,0
1995-09-29,9.2742,9.2742,9.169,9.2227,155259,0
1995-10-02,9.169,9.2742,9.169,9.169,253210,0
