Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.6949,8.6949,8.5489,8.6001,3698788,0
1995-01-04,8.6688,8.6949,8.5316,8.5489,5347583,0
1995-01-05,8.5489,8.5489,8.4802,8.5059,4912861,0
1995-01-06,8.5316,8.5489,8.4544,8.4802,4393814,0
1995-01-09,8.4802,8.6001,8.4544,8.6001,5135984,0
1995-01-10,8.6261,8.7208,8.6001,8.6949,3374580,0
1995-01-11,8.7208,8.7894,8.5316,8.6949,4258690,0
1995-01-12,8.6949,8.7634,8.6261,8.6688,3056661,0
1995-01-13,8.7208,8.909,8.6949,8.8327,5384769,0
1995-01-16,8.8832,8.9524,8.8581,8.909,4875151,0
1995-01-17,8.8832,8.9524,8.8151,8.909,4839539,0
1995-01-18,8.8327,8.9792,8.8327,8.909,4021423,0
1995-01-19,8.8581,9.0044,8.8327,8.9269,4336730,0
1995-01-20,8.909,8.9269,8.8327,8.8581,4204739,0
1995-01-23,8.7634,8.9269,8.7634,8.8832,3059801,0
1995-01-24,8.8581,8.9524,8.8327,8.8832,3140986,0
1995-01-25,8.909,9.0291,8.8327,8.9524,4149746,0
1995-01-26,8.909,9.0461,8.909,8.9792,3446337,0
1995-01-27,9.0044,9.0993,9.0044,9.0461,3204881,0
1995-01-30,9.0291,9.1937,8.9269,8.9524,4082704,0
1995-01-31,8.9269,9.0044,8.8327,8.8581,5527232,0
1995-02-01,8.8581,9.0723,8.8151,9.0723,8762494,0
1995-02-02,9.1414,9.1937,9.0461,9.0723,7007899,0
1995-02-03,9.0993,9.1684,9.0723,9.1241,6145791,0
1995-02-06,9.1241,9.4087,9.0993,9.3122,8008803,0
1995-02-07,9.3557,9.478,9.3307,9.4245,10579412,0
1995-02-08,9.4245,9.4245,9.3557,9.3557,5326111,0
1995-02-09,9.3307,9.4087,9.3122,9.3307,4457717,0
1995-02-10,9.3307,9.3307,9.2352,9.2877,3488236,0
1995-02-13,9.2352,9.2877,9.2188,9.2352,2845062,0
1995-02-14,9.2188,9.2352,9.1414,9.1937,4545709,0
1995-02-15,9.1241,9.2877,9.0723,9.2188,5920053,0
1995-02-16,9.1937,9.2617,9.0993,9.2352,6542801,0
1995-02-17,9.2352,9.3307,9.1937,9.2188,5846725,0
1995-02-21,8.7378,8.9269,8.6688,8.8327,29128347,0
1995-02-22,8.909,8.9269,8.7634,8.8832,11076462,0
1995-02-23,8.9792,9.0044,8.7634,8.7894,15551463,0
1995-02-24,8.8151,8.8151,8.7378,8.7894,4996662,0
1995-02-27,8.7378,8.7634,8.3423,8.6261,9696879,0
1995-02-28,8.5489,8.5745,8.4544,8.5059,9502564,0
1995-03-01,8.5316,8.6001,8.4112,8.5489,8416813,0
1995-03-02,8.5316,8.5745,8.4372,8.5745,6378340,0
1995-03-03,8.5489,8.6434,8.5059,8.6261,5413579,0
1995-03-06,8.5745,8.5745,8.5059,8.5059,4321015,0
1995-03-07,8.5489,8.5745,8.3169,8.4372,8854675,0
1995-03-08,8.4544,8.4802,8.2911,8.3169,4198454,0
1995-03-09,8.3423,8.4112,8.2911,8.2911,4983046,0
1995-03-10,8.3169,8.3856,8.2911,8.3598,7143551,0
1995-03-13,8.3856,8.5316,8.3856,8.4802,5436094,0
1995-03-14,8.4802,8.5316,8.3169,8.3423,5083084,0
1995-03-15,8.4112,8.5059,8.4112,8.4544,6052038,0
1995-03-16,8.4544,8.6261,8.4544,8.6001,5436094,0
1995-03-17,8.6261,8.7378,8.6001,8.6688,10375150,0
1995-03-20,8.7208,8.8151,8.6001,8.6261,5657122,0
1995-03-21,8.6261,8.6261,8.3856,8.4544,10479901,0
1995-03-22,8.4112,8.5316,8.2911,8.5059,8481758,0
1995-03-23,8.4372,8.4544,8.102,8.1278,14393429,0
1995-03-24,8.1278,8.2911,8.0331,8.145,17850241,0
1995-03-27,8.145,8.2911,8.1278,8.248,10785255,0
1995-03-28,8.145,8.3169,8.1278,8.3169,7488712,0
1995-03-29,8.2911,8.5059,8.2225,8.3423,11144551,0
1995-03-30,8.3598,8.4112,8.2911,8.4112,6898960,0
1995-03-31,8.248,8.4544,8.2225,8.3856,6571083,0
1995-04-03,8.3598,8.3856,8.2911,8.3423,7165551,0
1995-04-04,8.3169,8.3598,8.1706,8.265,7407006,0
1995-04-05,8.1964,8.265,8.1706,8.2225,6427573,0
1995-04-06,8.2225,8.2225,8.0075,8.102,4891914,0
1995-04-07,8.102,8.1964,8.0505,8.1278,7621744,0
1995-04-10,8.102,8.3169,8.102,8.2911,5867152,0
1995-04-11,8.102,8.3856,7.8615,7.9561,16761346,0
1995-04-12,7.9561,8.102,7.8874,8.0505,13465852,0
1995-04-13,8.1964,8.2225,8.1278,8.1964,8247115,0
1995-04-17,8.2225,8.265,8.145,8.1964,9229160,0
1995-04-18,8.1964,8.2225,8.0075,8.0075,8787108,0
1995-04-19,8.0505,8.1706,7.8443,7.913,9510945,0
1995-04-20,7.913,7.9561,7.8443,7.8874,12636216,0
1995-04-21,7.913,8.102,7.8874,7.9388,5532994,0
1995-04-24,7.9561,8.0764,7.8443,7.8874,8086842,0
1995-04-25,7.8443,7.8615,7.6723,7.724,15368142,0
1995-04-26,7.6554,7.8443,7.6294,7.7496,11423713,0
1995-04-27,7.6982,8.0505,7.6723,8.0075,8366528,0
1995-04-28,8.0331,8.0764,7.8874,7.913,6683692,0
1995-05-01,7.913,7.913,7.8186,7.8615,6958144,0
1995-05-02,7.913,7.913,7.7669,7.8443,4898722,0
1995-05-03,7.9388,8.1278,7.8615,8.1278,13461663,0
1995-05-04,8.145,8.248,7.7669,7.9388,10638075,0
1995-05-05,7.9561,7.9817,7.7669,7.8186,7919764,0
1995-05-08,7.8186,7.913,7.7496,7.8874,9809485,0
1995-05-09,7.9561,8.0505,7.8615,7.9388,11558846,0
1995-05-10,8.0331,8.102,7.8615,7.9388,10312294,0
1995-05-11,7.9388,8.1278,7.8874,8.102,11895097,0
1995-05-12,8.102,8.4372,8.102,8.3856,18500225,0
1995-05-15,8.4372,8.5316,8.248,8.248,11060750,0
1995-05-16,7.8615,7.8874,7.6723,7.8186,50644907,0
1995-05-17,7.8186,7.8186,7.6982,7.724,20643972,0
1995-05-18,7.724,7.7496,7.6038,7.6294,13917856,0
1995-05-19,7.5778,7.6554,7.5606,7.5778,13455898,0
1995-05-22,7.6723,7.9561,7.6554,7.9561,12325628,0
1995-05-23,7.9561,8.0075,7.913,7.9388,9345959,0
1995-05-24,7.9388,8.102,7.8186,7.913,11251396,0
1995-05-25,7.9561,7.9561,7.7496,7.7927,10128457,0
1995-05-26,7.7927,7.7927,7.6723,7.6982,5479569,0
1995-05-30,7.6982,7.7927,7.6982,7.7496,5834156,0
1995-05-31,7.7496,7.9388,7.724,7.8874,9106080,0
1995-06-01,7.9388,7.9388,7.8186,7.8443,6619268,0
1995-06-02,7.7927,8.0075,7.7669,7.9561,8937429,0
1995-06-05,7.9561,8.0505,7.8615,7.9561,6638648,0
1995-06-06,7.8874,7.9561,7.8186,7.8443,9347010,0
1995-06-07,7.8874,7.8874,7.724,7.7496,12362293,0
1995-06-08,7.7669,7.8186,7.6982,7.7927,8905482,0
1995-06-09,7.8186,7.8615,7.724,7.7927,5854581,0
1995-06-12,7.8443,7.9817,7.8443,7.9388,7403336,0
1995-06-13,7.9561,8.0505,7.9561,8.0505,12984516,0
1995-06-14,8.0764,8.2225,8.0075,8.1964,8668216,0
1995-06-15,8.248,8.248,8.0075,8.0331,12356005,0
1995-06-16,7.9561,7.9561,7.5606,7.6982,37202102,0
1995-06-19,7.6982,7.6982,7.3888,7.466,31367421,0
1995-06-20,7.466,7.6554,7.3634,7.4147,27558119,0
1995-06-21,7.466,7.5091,7.3201,7.3634,15341958,0
1995-06-22,7.4147,7.5348,7.3461,7.4831,17990082,0
1995-06-23,7.4403,7.6294,7.3888,7.5778,19191065,0
1995-06-26,7.5778,7.6294,7.5348,7.5606,13484182,0
1995-06-27,7.6554,7.6554,7.4403,7.466,10863816,0
1995-06-28,7.466,7.6554,7.466,7.5778,9818393,0
1995-06-29,7.6554,7.6982,7.5348,7.6294,9011801,0
1995-06-30,7.6723,7.724,7.6554,7.724,6981188,0
1995-07-03,7.6723,7.7927,7.6723,7.7585,3470428,0
1995-07-05,7.8443,7.8874,7.7927,7.8443,13019085,0
1995-07-06,7.8615,8.0505,7.8186,8.0331,12433523,0
1995-07-07,8.0331,8.265,8.0075,8.1964,21708778,0
1995-07-10,8.2225,8.265,7.9817,8.0505,7711310,0
1995-07-11,8.0505,8.1706,7.9561,8.0331,12155929,0
1995-07-12,8.0505,8.145,8.0075,8.145,6389340,0
1995-07-13,8.145,8.3169,8.1278,8.2911,12788106,0
1995-07-14,8.248,8.3169,8.145,8.1706,9753969,0
1995-07-17,8.1278,8.1964,8.102,8.1964,4322585,0
1995-07-18,8.1706,8.1706,8.0505,8.0764,6005947,0
1995-07-19,8.0505,8.102,7.8874,7.9561,9187786,0
1995-07-20,8.0075,8.0764,7.913,8.0764,5612606,0
1995-07-21,8.102,8.1964,8.0764,8.102,6600940,0
1995-07-24,8.102,8.1278,8.0331,8.0764,3701406,0
1995-07-25,8.265,8.3598,8.1278,8.3423,13816247,0
1995-07-26,8.3423,8.4802,8.3423,8.4372,8851533,0
1995-07-27,8.5059,8.5316,8.4544,8.5059,5549754,0
1995-07-28,8.4544,8.5745,8.3423,8.4112,6005947,0
1995-07-31,8.4112,8.4112,8.2911,8.3423,5758735,0
