Date,Open,High,Low,Close,Volume,OpenInt
1995-12-18,19.091,19.146,18.517,18.667,1535250,0
1995-12-19,18.667,18.667,18.138,18.28,621193,0
1995-12-20,18.28,18.854,18.28,18.758,2211506,0
1995-12-21,18.712,18.854,18.377,18.517,2204370,0
1995-12-22,18.615,18.758,18.517,18.615,1229361,0
1995-12-26,18.615,18.615,18.473,18.572,529992,0
1995-12-27,18.517,18.572,18.377,18.377,788189,0
1995-12-28,18.28,18.517,18.235,18.377,1123314,0
1995-12-29,18.28,18.473,18.095,18.473,582332,0
1996-01-02,18.377,18.615,18.235,18.517,929690,0
1996-01-03,18.473,18.615,18.43,18.473,1441105,0
1996-01-04,18.334,18.712,18.334,18.667,1330186,0
1996-01-05,18.667,18.712,18.473,18.615,1829135,0
1996-01-08,18.808,19.047,18.712,19.047,615417,0
1996-01-09,19.047,19.047,18.808,18.96,2527258,0
1996-01-10,18.758,18.854,18.28,18.43,1022480,0
1996-01-11,18.615,18.667,18.43,18.615,1428416,0
1996-01-12,18.994,18.994,18.572,18.951,769947,0
1996-01-15,19.047,19.285,18.994,19.285,535656,0
1996-01-16,19.622,19.622,19.329,19.384,1071763,0
1996-01-17,19.19,19.329,19.146,19.146,625835,0
1996-01-18,19.047,19.285,18.854,19.19,1125692,0
1996-01-19,19.047,19.19,18.994,19.091,577347,0
1996-01-22,18.994,19.091,18.907,19.091,693363,0
1996-01-23,19.285,19.481,19.241,19.426,1152430,0
1996-01-24,19.384,19.426,19.241,19.285,1223352,0
1996-01-25,19.19,19.426,18.907,18.994,1229245,0
1996-01-26,18.907,19.241,18.758,19.241,807560,0
1996-01-29,19.091,19.19,18.951,19.091,233839,0
1996-01-30,18.994,19.091,18.854,18.951,359824,0
1996-01-31,18.907,19.146,18.808,19.146,851293,0
1996-02-01,19.329,19.329,19.19,19.241,697552,0
1996-02-02,19.146,19.146,18.854,19.091,519571,0
1996-02-05,18.907,19.146,18.907,19.091,397662,0
1996-02-06,19.091,19.241,19.047,19.19,411712,0
1996-02-07,19.19,19.285,19.047,19.241,922102,0
1996-02-08,19.241,19.569,19.19,19.569,857185,0
1996-02-09,19.569,19.718,19.329,19.384,761795,0
1996-02-12,19.384,19.718,19.384,19.665,512318,0
1996-02-13,19.426,19.955,19.426,19.806,597966,0
1996-02-14,19.718,20,19.718,19.86,406162,0
1996-02-15,19.718,19.955,19.718,19.762,391886,0
1996-02-16,19.665,19.718,19.329,19.426,852087,0
1996-02-20,19.091,19.569,19.047,19.426,922330,0
1996-02-21,19.285,19.906,19.285,19.622,565226,0
1996-02-22,19.481,20.046,19.481,20,646343,0
1996-02-23,20.046,20.284,20,20.141,676254,0
1996-02-26,20.141,20.239,19.955,20.239,423832,0
1996-02-27,20.194,20.194,20,20.1,443093,0
1996-02-28,20.109,20.346,19.913,19.913,414660,0
1996-02-29,19.815,20.203,19.771,19.815,802124,0
1996-03-01,19.815,20.303,19.718,20.149,404800,0
1996-03-04,20.443,20.682,20.203,20.303,595137,0
1996-03-05,20.303,20.346,20.01,20.203,824560,0
1996-03-06,20.203,20.249,20.01,20.203,347477,0
1996-03-07,20.149,20.203,20.01,20.064,627648,0
1996-03-08,19.339,19.622,18.854,19.339,1102582,0
1996-03-11,19.19,19.384,18.808,19.047,481840,0
1996-03-12,18.758,18.854,18.421,18.659,661526,0
