Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,13.316,13.605,13.211,13.316,1127976,0
1995-01-04,13.064,13.261,13.064,13.261,928475,0
1995-01-05,13.261,13.514,13.211,13.408,1080077,0
1995-01-06,13.316,13.659,13.261,13.46,924750,0
1995-01-09,13.408,13.558,13.316,13.36,595497,0
1995-01-10,13.514,13.754,13.514,13.605,1382592,0
1995-01-11,13.659,13.754,13.605,13.703,1171461,0
1995-01-12,13.659,13.802,13.659,13.754,732454,0
1995-01-13,13.802,13.951,13.36,13.901,2498944,0
1995-01-16,13.994,14.142,13.901,14.098,1750909,0
1995-01-17,14.046,14.19,13.994,14.142,1560240,0
1995-01-18,14.098,14.19,13.994,14.142,910797,0
1995-01-19,14.142,14.19,14.046,14.142,611304,0
1995-01-20,14.142,14.19,13.951,14.142,1413285,0
1995-01-23,14.046,14.098,13.901,14.098,1188429,0
1995-01-24,14.098,14.442,13.994,14.389,1795324,0
1995-01-25,14.389,14.389,14.19,14.296,1221219,0
1995-01-26,14.243,14.389,13.951,14.098,866156,0
1995-01-27,14.19,14.243,13.901,13.951,1654414,0
1995-01-30,13.901,14.046,13.659,13.994,2162247,0
1995-01-31,13.994,14.243,13.994,13.994,1076122,0
1995-02-01,14.098,14.098,13.802,13.847,1264699,0
1995-02-02,13.901,13.994,13.847,13.994,852900,0
1995-02-03,14.046,14.586,14.046,14.586,2771695,0
1995-02-06,14.442,14.829,14.442,14.829,1531178,0
1995-02-07,14.829,14.88,14.339,14.735,1689990,0
1995-02-08,14.735,14.933,14.735,14.88,2045520,0
1995-02-09,14.777,14.829,14.389,14.442,1224010,0
1995-02-10,14.537,14.63,14.389,14.442,1038223,0
1995-02-13,14.537,14.933,14.537,14.829,1201919,0
1995-02-14,14.81,15.303,14.81,15.008,2151320,0
1995-02-15,14.81,15.697,14.81,15.303,2384077,0
1995-02-16,15.248,15.303,14.855,15.008,1540009,0
1995-02-17,15.052,15.052,14.81,14.905,981485,0
1995-02-21,14.958,15.155,14.958,15.052,839181,0
1995-02-22,15.052,15.198,14.81,14.958,869642,0
1995-02-23,15.008,15.397,14.958,15.155,1768581,0
1995-02-24,15.052,15.303,15.008,15.052,1244007,0
1995-02-27,15.008,15.104,14.905,15.008,827321,0
1995-02-28,15.008,15.155,14.855,14.905,960559,0
1995-03-01,14.855,15.198,14.81,15.198,1287953,0
1995-03-02,15.052,15.155,14.958,15.052,1314692,0
1995-03-03,14.958,14.958,14.759,14.855,964746,0
1995-03-06,14.759,14.905,14.657,14.905,681763,0
1995-03-07,14.958,14.958,14.562,14.709,743383,0
1995-03-08,14.759,14.958,14.657,14.855,905916,0
1995-03-09,14.81,15.008,14.81,14.855,441330,0
1995-03-10,14.958,15.104,14.855,14.958,953348,0
1995-03-13,15.008,15.303,14.958,15.303,808252,0
1995-03-14,15.248,15.353,15.198,15.198,780584,0
1995-03-15,15.155,15.198,14.855,14.958,731058,0
1995-03-16,15.008,15.052,14.81,14.958,991718,0
1995-03-17,15.008,15.104,14.905,15.104,1391659,0
1995-03-20,15.104,15.155,14.855,14.958,1343063,0
1995-03-21,14.958,15.248,14.855,15.155,2871213,0
1995-03-22,15.052,15.155,15.052,15.155,1804158,0
1995-03-23,15.104,15.155,14.905,15.052,832437,0
1995-03-24,15.104,15.198,15.104,15.155,880802,0
1995-03-27,15.248,15.248,15.008,15.052,692689,0
1995-03-28,15.052,15.104,14.905,14.958,668274,0
1995-03-29,15.008,15.303,14.958,15.248,1577216,0
1995-03-30,15.447,15.447,15.198,15.303,1481183,0
1995-03-31,15.198,15.5,15.052,15.447,1065892,0
1995-04-03,15.397,15.594,15.155,15.447,2263162,0
1995-04-04,15.646,15.792,15.447,15.594,1615115,0
1995-04-05,15.5,15.594,15.104,15.198,1181925,0
1995-04-06,15.303,15.697,15.248,15.697,849876,0
1995-04-07,15.646,15.74,15.447,15.74,1572795,0
1995-04-10,15.74,15.74,15.353,15.447,580847,0
1995-04-11,15.594,15.646,15.397,15.5,406918,0
1995-04-12,15.397,15.543,15.353,15.447,422964,0
1995-04-13,15.447,15.843,15.397,15.74,1215640,0
1995-04-17,15.843,15.938,15.594,15.938,1760907,0
1995-04-18,15.888,15.938,15.447,15.5,1121699,0
1995-04-19,15.5,15.543,15.198,15.303,1402123,0
1995-04-20,15.353,15.792,15.353,15.646,906613,0
1995-04-21,15.792,15.792,15.447,15.447,1080543,0
1995-04-24,15.5,15.938,15.397,15.74,1053801,0
1995-04-25,15.646,15.74,15.543,15.543,979161,0
1995-04-26,15.594,15.646,15.447,15.543,554570,0
1995-04-27,15.5,15.74,15.447,15.74,343440,0
1995-04-28,15.646,15.697,15.5,15.594,732220,0
1995-05-01,15.543,15.543,15.397,15.5,899638,0
1995-05-02,15.353,15.646,15.248,15.594,965212,0
1995-05-03,15.594,15.74,15.543,15.697,1030550,0
1995-05-04,15.646,16.187,15.543,16.137,1933906,0
1995-05-05,16.137,16.48,16.041,16.334,2167363,0
1995-05-08,16.137,16.334,16.084,16.281,1240053,0
1995-05-09,16.281,16.428,16.238,16.238,662698,0
1995-05-10,16.238,16.334,16.137,16.334,878944,0
1995-05-11,16.238,16.238,15.938,16.041,575267,0
1995-05-12,16.041,16.334,15.938,16.281,1885776,0
1995-05-15,16.309,16.507,16.265,16.462,985905,0
1995-05-16,16.507,16.556,16.265,16.507,1251914,0
1995-05-17,16.412,16.412,16.016,16.11,1407005,0
1995-05-18,16.11,16.11,15.517,15.517,2806804,0
1995-05-19,15.517,15.715,15.475,15.475,2010640,0
1995-05-22,15.568,15.818,15.475,15.715,1983900,0
1995-05-23,15.964,16.214,15.869,16.162,1957624,0
1995-05-24,16.11,16.462,16.11,16.309,1780907,0
1995-05-25,16.214,16.265,15.912,16.068,1157975,0
1995-05-26,15.964,16.11,15.912,16.068,650607,0
1995-05-30,16.11,16.214,15.912,16.016,766865,0
1995-05-31,15.964,15.964,15.765,15.964,2011570,0
1995-06-01,15.964,16.11,15.818,15.964,1163787,0
1995-06-02,15.912,15.964,15.715,15.964,1285629,0
1995-06-05,15.912,16.11,15.765,16.068,1255168,0
1995-06-06,15.964,16.214,15.964,16.214,944977,0
1995-06-07,16.11,16.11,15.869,16.016,1113327,0
1995-06-08,16.016,16.11,15.912,15.912,642001,0
1995-06-09,15.869,15.912,15.619,15.715,1074499,0
1995-06-12,15.715,15.912,15.568,15.765,1739516,0
1995-06-13,15.715,15.964,15.715,15.964,2023430,0
1995-06-14,15.912,15.912,15.765,15.869,1044966,0
1995-06-15,15.818,15.818,15.619,15.671,1989016,0
1995-06-16,15.765,15.869,15.715,15.818,2036684,0
1995-06-19,15.818,15.964,15.818,15.869,672229,0
1995-06-20,15.912,16.462,15.765,16.462,1539311,0
1995-06-21,16.462,16.507,16.214,16.265,1035894,0
1995-06-22,16.412,16.556,16.265,16.507,1300046,0
1995-06-23,16.462,16.556,16.359,16.462,861970,0
1995-06-26,16.462,16.507,16.309,16.309,853831,0
1995-06-27,16.265,16.556,16.265,16.462,1288885,0
1995-06-28,16.507,17.004,16.507,16.754,2290137,0
1995-06-29,16.806,16.952,16.754,16.858,1677200,0
1995-06-30,16.952,17.599,16.952,17.599,2462434,0
1995-07-03,17.494,17.494,17.298,17.348,558059,0
1995-07-05,17.348,17.65,17.298,17.547,1265631,0
1995-07-06,17.745,17.796,17.547,17.745,1463277,0
1995-07-07,17.796,18.388,17.745,18.337,3420903,0
1995-07-10,18.388,18.388,18.089,18.139,2268508,0
1995-07-11,18.139,18.191,17.943,17.992,1654645,0
1995-07-12,17.992,18.442,17.992,18.388,2028080,0
1995-07-13,18.388,18.442,17.992,18.046,1699290,0
1995-07-14,17.796,17.847,17.599,17.796,2103881,0
1995-07-17,17.796,18.139,17.693,18.139,984976,0
1995-07-18,18.046,18.046,17.65,17.693,1656276,0
1995-07-19,17.494,17.693,17.057,17.599,1336318,0
1995-07-20,17.599,17.943,17.452,17.796,975673,0
1995-07-21,17.693,17.992,17.693,17.943,912661,0
