Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,4.7769,4.7769,4.6886,4.7082,12552563,0
1995-01-04,4.7314,4.7769,4.7196,4.7425,18218569,0
1995-01-05,4.7425,4.8155,4.7196,4.7196,14521351,0
1995-01-06,4.754,4.8076,4.7236,4.8041,18020019,0
1995-01-09,4.7931,4.8921,4.7931,4.8578,13422006,0
1995-01-10,4.8993,4.9572,4.8921,4.9303,17781758,0
1995-01-11,4.9874,4.9874,4.8188,4.9454,22124788,0
1995-01-12,4.9454,4.9755,4.9303,4.9303,17834005,0
1995-01-13,4.9421,4.9687,4.9031,4.9687,14462831,0
1995-01-16,4.9687,5.0641,4.965,5.0372,19656490,0
1995-01-17,5.0491,5.0831,5.0217,5.0297,16302032,0
1995-01-18,5.0415,5.1331,5.0372,5.0907,25694511,0
1995-01-19,5.0641,5.1369,5.06,5.106,11304832,0
1995-01-20,5.102,5.102,4.9755,5.0217,26246270,0
1995-01-23,4.9303,5.0102,4.9303,4.9834,21322227,0
1995-01-24,4.9874,5.0415,4.9834,5.0415,15507832,0
1995-01-25,4.9107,4.9874,4.9031,4.9303,27268283,0
1995-01-26,4.9145,4.9454,4.8697,4.873,17342857,0
1995-01-27,4.8921,4.9222,4.8578,4.9145,16193357,0
1995-01-30,4.9145,4.9145,4.8301,4.8301,10169959,0
1995-01-31,4.846,4.8578,4.7931,4.8076,20912582,0
1995-02-01,4.8379,4.9222,4.7962,4.8993,19589616,0
1995-02-02,4.8993,4.9572,4.8497,4.8578,14446109,0
1995-02-03,4.8697,4.9454,4.8301,4.8379,21493610,0
1995-02-06,4.873,4.934,4.846,4.8921,15733556,0
1995-02-07,4.8805,4.9222,4.8497,4.9031,12105309,0
1995-02-08,4.9031,4.9454,4.8615,4.9421,15664587,0
1995-02-09,4.9687,5.0945,4.965,5.0793,22016105,0
1995-02-10,5.0793,5.102,4.9989,5.0178,20074489,0
1995-02-13,5.0102,5.06,5.0064,5.0415,13215096,0
1995-02-14,5.0415,5.0945,5.0217,5.0491,11599525,0
1995-02-15,5.0793,5.114,5.0102,5.0415,29521307,0
1995-02-16,5.213,5.5503,5.213,5.5429,65015858,0
1995-02-17,5.5042,5.5388,5.4426,5.4739,33463054,0
1995-02-21,5.4426,5.4739,5.4238,5.4622,20762103,0
1995-02-22,5.4664,5.5808,5.4622,5.527,22503081,0
1995-02-23,5.5846,5.6227,5.4885,5.516,18678372,0
1995-02-24,5.527,5.5736,5.5198,5.5309,12615269,0
1995-02-27,5.5388,5.5736,5.4622,5.4849,12429257,0
1995-02-28,5.5079,5.5309,5.4664,5.5042,11361261,0
1995-03-01,5.5042,5.615,5.5042,5.596,19560350,0
1995-03-02,5.5808,5.596,5.4885,5.5388,16097214,0
1995-03-03,5.5198,5.6343,5.5198,5.5808,15618604,0
1995-03-06,5.5922,5.6879,5.5388,5.6693,17980304,0
1995-03-07,5.6774,5.7345,5.615,5.7185,24687130,0
1995-03-08,5.7421,5.7421,5.6035,5.6579,25201270,0
1995-03-09,5.6579,5.7185,5.6579,5.7185,17347042,0
1995-03-10,5.7304,5.7609,5.6802,5.6879,19269846,0
1995-03-13,5.6774,5.7609,5.6774,5.7609,16671962,0
1995-03-14,5.7723,5.7875,5.7109,5.7345,19949091,0
1995-03-15,5.7421,5.8299,5.7421,5.7723,19332539,0
1995-03-16,5.7531,5.7875,5.7221,5.7221,13885984,0
1995-03-17,5.7304,5.7644,5.7185,5.7531,18810037,0
1995-03-20,5.8144,5.8371,5.7421,5.8065,15064744,0
1995-03-21,5.8065,5.9252,5.8065,5.8682,18626118,0
1995-03-22,5.8908,5.9213,5.8299,5.8604,13029087,0
1995-03-23,5.8446,5.9252,5.8144,5.8908,12168000,0
1995-03-24,5.979,5.979,5.887,5.887,22490534,0
1995-03-27,5.9252,5.9252,5.8259,5.8489,21805011,0
1995-03-28,5.8446,5.9675,5.8371,5.9327,13415739,0
1995-03-29,5.9213,5.979,5.7723,5.8184,19566619,0
1995-03-30,5.8489,5.8489,5.699,5.7185,28597527,0
1995-03-31,5.7185,5.8027,5.6579,5.7609,21219813,0
1995-04-03,5.7723,5.8144,5.7185,5.8065,9764501,0
1995-04-04,5.8144,5.8564,5.7956,5.8184,13045806,0
1995-04-05,5.8065,5.8065,5.7221,5.7304,15564262,0
1995-04-06,5.7421,5.7644,5.6879,5.699,11304832,0
1995-04-07,5.7345,5.7609,5.6879,5.7421,12627805,0
1995-04-10,5.7345,5.8604,5.7304,5.8604,12813815,0
1995-04-11,5.8984,5.9103,5.8184,5.8682,11432322,0
1995-04-12,5.8604,5.9103,5.8259,5.8489,9580583,0
1995-04-13,5.887,5.9137,5.8604,5.9103,8987015,0
1995-04-17,5.979,6.0784,5.9327,6.0284,21066194,0
1995-04-18,6.0784,6.2088,6.0284,6.1247,23440440,0
1995-04-19,6.1015,6.1475,5.9561,6.0284,15509918,0
1995-04-20,6.1127,6.136,6.067,6.1247,16106622,0
1995-04-21,6.1247,6.1703,6.067,6.1247,22658783,0
1995-04-24,6.1015,6.2927,6.0784,6.2695,19642910,0
1995-04-25,6.2695,6.339,6.2314,6.2813,13922565,0
1995-04-26,6.2813,6.2927,6.1703,6.2428,14501494,0
1995-04-27,6.2205,6.2927,6.1703,6.2927,15271660,0
1995-04-28,6.2927,6.3509,6.1703,6.327,11736423,0
1995-05-01,6.3042,6.3151,6.1127,6.1475,14027059,0
1995-05-02,6.1703,6.2088,6.1015,6.1589,15953004,0
1995-05-03,6.2205,6.5186,6.2088,6.4608,23845904,0
1995-05-04,6.4346,6.5413,6.327,6.4113,19655444,0
1995-05-05,6.4608,6.4608,6.327,6.377,14351011,0
1995-05-08,6.3509,6.4608,6.3509,6.4113,11504427,0
1995-05-09,6.4608,6.4729,6.3509,6.4113,12334159,0
1995-05-10,6.4346,6.5186,6.377,6.5186,12575556,0
1995-05-11,6.4957,6.5681,6.4608,6.5302,9860644,0
1995-05-12,6.5076,6.6033,6.4843,6.5413,14235018,0
1995-05-15,6.6372,6.7942,6.5915,6.7942,18330386,0
1995-05-16,6.339,6.7332,6.327,6.6523,54241881,0
1995-05-17,6.7099,6.7824,6.6523,6.7215,24807307,0
1995-05-18,6.7099,6.7824,6.5413,6.5681,17686661,0
1995-05-19,6.5076,6.6033,6.4232,6.446,19353440,0
1995-05-22,6.5076,6.6874,6.5076,6.6147,12990424,0
1995-05-23,6.6372,6.7713,6.5795,6.7713,13591295,0
1995-05-24,6.8782,6.9358,6.6523,6.7099,20215565,0
1995-05-25,6.7215,6.7215,6.5915,6.6257,15616514,0
1995-05-26,6.6257,6.6257,6.377,6.3998,19985666,0
1995-05-30,6.4957,6.4957,6.1703,6.1856,20447556,0
1995-05-31,6.2428,6.377,6.136,6.3151,22581452,0
1995-06-01,6.327,6.5915,6.2927,6.4957,15834920,0
1995-06-02,6.4843,6.6756,6.4113,6.6372,17320915,0
1995-06-05,6.6372,6.8179,6.6033,6.6033,17698157,0
1995-06-06,6.6257,6.6756,6.5186,6.5302,13111640,0
1995-06-07,6.5076,6.5915,6.4957,6.5528,9835562,0
1995-06-08,6.6147,6.698,6.5795,6.6756,6611731,0
1995-06-09,6.6523,6.6639,6.5681,6.6372,7657777,0
1995-06-12,6.6372,6.698,6.5528,6.5915,11526374,0
1995-06-13,6.6523,6.7215,6.6372,6.6756,9399789,0
1995-06-14,6.6756,6.7824,6.6523,6.7599,9834514,0
1995-06-15,6.8062,7.0203,6.7942,6.951,20998276,0
1995-06-16,7.0203,7.2493,6.9975,7.2274,33013710,0
1995-06-19,7.2,7.319,7.1881,7.2963,16713760,0
1995-06-20,7.3072,7.38,7.2378,7.3072,20696265,0
1995-06-21,7.3568,7.3683,7.1543,7.1767,13376027,0
1995-06-22,7.2493,7.3914,7.2,7.3453,10873248,0
1995-06-23,7.38,7.4028,7.2,7.2119,12160688,0
1995-06-26,7.2,7.2844,7.0699,7.1044,11675807,0
1995-06-27,7.0817,7.2724,7.0581,7.1653,14005119,0
1995-06-28,7.1767,7.2274,6.9858,7.0929,12267278,0
1995-06-29,7.1767,7.2,7.0352,7.0699,11648637,0
1995-06-30,7.1044,7.1881,7.0203,7.1281,11041491,0
1995-07-03,7.1423,7.1767,7.0699,7.1767,5100653,0
1995-07-05,7.2,7.38,7.1881,7.2844,11314229,0
1995-07-06,7.3914,7.5707,7.2844,7.5596,14321758,0
1995-07-07,7.5367,7.6786,7.5253,7.6433,15547541,0
1995-07-10,7.6668,7.7742,7.6548,7.7398,12276686,0
1995-07-11,7.7512,7.7628,7.5944,7.5944,9150033,0
1995-07-12,7.6548,7.8353,7.621,7.7852,14911136,0
1995-07-13,7.7742,8.0152,7.7282,8.0038,10638123,0
1995-07-14,7.8811,7.954,7.7742,7.9079,12310126,0
1995-07-17,7.9428,7.9769,7.8702,7.893,10780244,0
1995-07-18,7.9079,7.9079,7.6548,7.7163,13521285,0
1995-07-19,7.4642,7.5367,6.8673,7.4524,32845458,0
1995-07-20,7.4524,7.4873,7.319,7.4405,20013881,0
1995-07-21,7.4405,7.5253,7.2119,7.4185,23790517,0
1995-07-24,7.4873,7.621,7.43,7.4987,15694884,0
1995-07-25,7.5596,7.6786,7.5101,7.621,18398306,0
1995-07-26,7.7018,7.8011,7.621,7.7163,11730152,0
1995-07-27,7.7282,7.8011,7.6786,7.7742,12929812,0
1995-07-28,7.8125,7.9193,7.6668,7.6668,10399861,0
1995-07-31,7.6668,7.7018,7.4405,7.4524,14365650,0
1995-08-01,7.319,7.3683,7.0581,7.2493,41309981,0
1995-08-02,7.3683,7.4524,6.8437,6.9358,31893464,0
