Date,Open,High,Low,Close,Volume,OpenInt
1995-11-03,5.44,5.875,5.095,5.69,18996000,0
1995-11-06,5.625,5.81,5.56,5.72,2947600,0
1995-11-07,5.75,5.75,5.56,5.625,2660000,0
1995-11-08,5.5,5.69,5.5,5.56,667600,0
1995-11-09,5.56,5.75,5.56,5.69,450800,0
1995-11-10,5.56,5.75,5.44,5.44,840000,0
1995-11-13,5.625,5.625,5.44,5.56,386000,0
1995-11-14,5.44,5.625,5.44,5.44,828800,0
1995-11-15,5.44,5.69,5.44,5.55,676800,0
1995-11-16,5.69,5.69,5.44,5.625,498000,0
1995-11-17,5.44,5.69,5.44,5.5,228000,0
1995-11-20,5.5,5.69,5.5,5.5,211200,0
1995-11-21,5.69,5.69,5.5,5.5,274400,0
1995-11-22,5.5,5.69,5.5,5.5,532800,0
1995-11-24,5.69,5.69,5.56,5.675,43600,0
1995-11-27,5.56,5.94,5.56,5.75,432800,0
1995-11-28,5.81,5.875,5.75,5.875,83200,0
1995-11-29,5.75,6.44,5.75,6.375,1223600,0
1995-11-30,6.44,6.5,6.25,6.31,687600,0
1995-12-01,6.31,6.44,6.25,6.31,507600,0
1995-12-04,6.375,6.375,6.06,6.095,312800,0
1995-12-05,6.19,6.19,6.06,6.19,398800,0
1995-12-06,6.19,6.25,6.06,6.22,132000,0
1995-12-07,6.06,6.25,6.06,6.06,384000,0
1995-12-08,6.25,6.25,6.06,6.125,576800,0
1995-12-11,6.125,6.25,6.06,6.125,277200,0
1995-12-12,6.25,6.25,6,6.06,1038000,0
1995-12-13,6,6.06,5.875,5.94,812400,0
1995-12-14,5.81,5.94,5.75,5.81,162800,0
1995-12-15,5.69,5.81,5.69,5.81,246000,0
1995-12-18,5.69,5.81,5.69,5.69,59200,0
1995-12-19,5.81,5.845,5.69,5.81,329600,0
1995-12-20,5.75,5.94,5.75,5.94,375600,0
1995-12-21,5.97,6,5.81,5.81,12800,0
1995-12-22,6,6,5.81,6,13200,0
1995-12-26,5.81,6,5.81,5.81,11600,0
1995-12-27,6,6.69,5.875,6.69,390800,0
1995-12-28,6.75,7.25,6.75,7.06,1364800,0
1995-12-29,7.06,7.375,6.94,7.375,667600,0
1996-01-02,7.25,7.31,6.81,6.81,242400,0
1996-01-03,6.94,6.94,6.44,6.56,615600,0
1996-01-04,6.56,6.56,5.875,6.095,725600,0
1996-01-05,6.125,6.125,5.905,6.06,301600,0
1996-01-08,6.06,6.06,5.905,5.905,21200,0
1996-01-09,6.125,6.125,5.94,5.95,375200,0
1996-01-10,6.06,6.06,5.94,6.06,574000,0
1996-01-11,6.06,6.06,5.94,5.94,193600,0
1996-01-12,6.19,6.19,5.94,5.94,55200,0
1996-01-15,6.19,6.19,5.94,5.94,73600,0
1996-01-16,5.94,6.19,5.94,6.125,21600,0
1996-01-17,6.125,6.19,5.94,6.125,166400,0
1996-01-18,6.095,6.31,6.095,6.31,92800,0
1996-01-19,6.44,6.69,6.31,6.69,410400,0
1996-01-22,6.69,7,6.56,7,294400,0
1996-01-23,7,7.19,7,7.095,258400,0
1996-01-24,7.19,7.19,6.81,7.06,258400,0
1996-01-25,6.81,7.06,6.81,7.06,66400,0
1996-01-26,6.81,7,6.81,6.81,44400,0
1996-01-29,7,7,6.81,7,88400,0
1996-01-30,7,7.19,6.875,7,144400,0
1996-01-31,7.19,7.5,7,7.375,427200,0
1996-02-01,7.5,7.56,7.125,7.125,244400,0
1996-02-02,7.25,7.375,6.81,7.31,292800,0
1996-02-05,7.44,7.5,7.25,7.31,170400,0
1996-02-06,7.5,7.5,7.31,7.375,74800,0
1996-02-07,7.25,7.5,7.25,7.5,44800,0
1996-02-08,7.5,7.5,7.31,7.31,53200,0
1996-02-09,7.31,7.44,7.31,7.375,113200,0
1996-02-12,7.44,7.44,7.31,7.375,326800,0
1996-02-13,7.31,7.5,7.31,7.405,306400,0
1996-02-14,7.5,7.5,7.375,7.375,3440800,0
1996-02-15,7.5,7.5,7.25,7.25,14400,0
1996-02-16,7.25,7.44,7.25,7.31,189600,0
1996-02-20,7.44,7.44,7.25,7.25,41600,0
1996-02-21,7.44,7.44,7.25,7.25,25200,0
1996-02-22,7.44,7.44,7.25,7.44,23200,0
1996-02-23,7.25,7.44,7.25,7.28,234400,0
1996-02-26,7.375,7.375,7.25,7.345,54000,0
1996-02-27,7.375,7.375,7.25,7.25,616000,0
1996-02-28,7.25,7.375,7.25,7.25,11600,0
1996-02-29,7.375,7.375,7.25,7.25,90800,0
1996-03-01,7.345,7.345,7.19,7.31,194000,0
1996-03-04,7.19,7.31,7.19,7.31,100000,0
1996-03-05,7.28,7.5,7.28,7.5,72800,0
1996-03-06,7.5,7.69,7.31,7.625,192400,0
1996-03-07,7.69,7.69,7.5,7.5,31200,0
1996-03-08,7.56,7.56,7.44,7.44,196800,0
1996-03-11,7.44,7.625,7.44,7.56,23600,0
1996-03-12,7.56,7.56,7.44,7.5,236400,0
1996-03-13,7.56,7.56,7.5,7.5,4400,0
1996-03-14,7.5,7.56,7.5,7.56,12400,0
1996-03-15,7.56,7.56,7.5,7.56,19200,0
1996-03-18,7.56,7.56,7.375,7.375,52800,0
1996-03-19,7.5,7.5,7.25,7.25,28000,0
1996-03-20,7.44,7.44,7.25,7.28,129200,0
1996-03-21,7.25,7.375,7.25,7.375,133200,0
1996-03-22,7.25,7.375,7.25,7.25,26400,0
1996-03-25,7.44,7.44,7.25,7.405,7600,0
1996-03-26,7.44,7.44,7.25,7.44,17200,0
1996-03-27,7.44,7.44,7.25,7.375,9600,0
1996-03-28,7.375,7.375,7.25,7.31,18000,0
1996-03-29,7.25,7.375,7.25,7.31,351600,0
1996-04-01,7.44,7.69,7.375,7.69,136400,0
1996-04-02,7.69,7.69,7.625,7.625,32800,0
1996-04-03,7.655,7.69,7.375,7.56,267200,0
1996-04-04,7.56,7.56,7.375,7.375,6400,0
1996-04-08,7.56,7.56,7.375,7.5,363600,0
1996-04-09,7.375,7.56,7.25,7.375,696000,0
1996-04-10,7.44,7.44,7.25,7.25,10800,0
1996-04-11,7.25,7.44,7.25,7.375,14800,0
