Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,8.9313,9.0952,8.9313,9.0683,488624,0
1995-01-04,9.0952,9.161,9.0952,9.161,342878,0
1995-01-05,9.1113,9.137,8.9571,9.025,664269,0
1995-01-06,9.025,9.0683,8.974,9.042,487690,0
1995-01-09,9.0683,9.1113,9.042,9.042,467138,0
1995-01-10,9.0952,9.1113,8.9992,8.9992,308307,0
1995-01-11,9.025,9.0952,8.9992,9.0683,424161,0
1995-01-12,9.0683,9.0952,8.9992,9.042,1084692,0
1995-01-13,9.0683,9.2305,9.042,9.2128,411085,0
1995-01-16,9.2128,9.2128,9.0952,9.137,449387,0
1995-01-17,9.0683,9.0952,9.025,9.0683,436307,0
1995-01-18,9.0683,9.0952,8.9992,9.025,318587,0
1995-01-19,9.025,9.0952,8.9571,9.0683,586728,0
1995-01-20,9.0683,9.1113,9.042,9.042,547019,0
1995-01-23,8.9992,9.0952,8.9992,9.0683,330732,0
1995-01-24,9.0683,9.0952,8.974,8.9992,246650,0
1995-01-25,8.9992,9.179,8.9992,9.0952,298965,0
1995-01-26,9.0683,9.1113,8.9992,9.042,124259,0
1995-01-27,9.0952,9.1113,8.974,8.9992,184985,0
1995-01-30,9.025,9.179,9.025,9.161,312983,0
1995-01-31,9.137,9.179,9.025,9.025,557763,0
1995-02-01,9.0683,9.0683,8.9313,9.025,651656,0
1995-02-02,8.9992,9.042,8.974,9.025,228432,0
1995-02-03,9.0683,9.179,9.042,9.137,313918,0
1995-02-06,9.179,9.179,9.1113,9.161,220022,0
1995-02-07,9.161,9.161,9.0683,9.1113,258329,0
1995-02-08,9.1113,9.4365,9.1113,9.3681,1393006,0
1995-02-09,9.4108,9.4365,9.3415,9.3681,1041717,0
1995-02-10,9.3681,9.3681,9.2985,9.3681,381184,0
1995-02-13,9.3681,9.394,9.3248,9.3248,332134,0
1995-02-14,9.3681,9.394,9.3415,9.394,250853,0
1995-02-15,9.4108,9.548,9.3681,9.4766,980991,0
1995-02-16,9.4766,9.4766,8.974,9.179,3155520,0
1995-02-17,9.2215,9.2404,9.1284,9.2215,1323868,0
1995-02-21,9.2215,9.2404,9.1534,9.2215,1046389,0
1995-02-22,9.2215,9.2404,9.1694,9.1694,698371,0
1995-02-23,9.1954,9.1954,9.1284,9.1694,883829,0
1995-02-24,9.1534,9.1694,9.1025,9.1534,515720,0
1995-02-27,9.1284,9.1284,9.0161,9.0864,1027707,0
1995-02-28,9.1025,9.1025,9.0342,9.1025,394265,0
1995-03-01,9.1284,9.1284,8.9656,9.0161,391461,0
1995-03-02,9.0161,9.0864,8.9899,9.0342,252253,0
1995-03-03,9.0342,9.0588,8.9656,8.9899,340545,0
1995-03-06,9.0342,9.1025,8.9899,9.1025,521792,0
1995-03-07,9.0864,9.1025,8.9656,9.0161,337273,0
1995-03-08,9.0342,9.0342,8.9134,8.9134,528801,0
1995-03-09,8.9134,8.9656,8.9134,8.9134,290560,0
1995-03-10,8.9486,9.0588,8.9134,9.0161,811418,0
1995-03-13,9.0161,9.1025,8.9899,9.0342,654929,0
