Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,21.265,21.265,20.917,21.152,425809,0
1995-01-04,21.386,21.737,20.326,20.569,887678,0
1995-01-05,20.681,20.917,20.326,20.569,622173,0
1995-01-06,20.797,21.04,20.681,20.797,491122,0
1995-01-09,21.04,21.152,20.917,21.04,194555,0
1995-01-10,21.152,23.033,21.04,22.094,1679941,0
1995-01-11,22.327,22.45,21.979,22.094,483672,0
1995-01-12,22.094,22.094,21.265,21.622,277634,0
1995-01-13,21.979,22.563,21.737,22.205,620152,0
1995-01-16,21.855,22.563,21.855,22.327,710142,0
1995-01-17,22.327,22.563,21.855,21.979,700250,0
1995-01-18,21.979,22.094,21.265,21.386,744183,0
1995-01-19,20.917,21.152,20.797,20.917,828004,0
1995-01-20,21.04,21.265,20.797,20.797,824176,0
1995-01-23,20.797,21.04,20.681,21.04,466443,0
1995-01-24,20.797,21.265,20.797,21.04,448787,0
1995-01-25,21.265,21.265,21.04,21.04,290717,0
1995-01-26,21.386,21.737,21.265,21.51,371771,0
1995-01-27,21.622,21.622,21.04,21.04,363263,0
1995-01-30,21.152,22.094,21.152,21.855,665786,0
1995-01-31,21.737,22.327,21.265,21.51,1122761,0
1995-02-01,21.386,22.675,21.386,22.327,1491875,0
1995-02-02,22.327,23.502,22.327,23.388,1015006,0
1995-02-03,23.388,24.207,23.267,23.861,1190840,0
1995-02-06,23.737,24.084,23.737,23.737,565051,0
1995-02-07,23.616,23.737,22.919,22.919,534736,0
1995-02-08,23.267,23.502,23.145,23.267,573667,0
1995-02-09,23.267,23.267,23.033,23.145,262531,0
1995-02-10,23.267,23.267,22.919,23.033,661213,0
1995-02-13,23.145,23.861,22.563,22.563,654831,0
1995-02-14,22.919,22.919,22.205,22.205,887253,0
1995-02-15,22.45,22.675,21.979,21.979,799921,0
1995-02-16,21.979,22.45,21.855,22.327,1022559,0
1995-02-17,22.563,22.563,22.094,22.205,717269,0
1995-02-21,22.094,22.205,21.737,22.094,578026,0
1995-02-22,22.094,22.205,21.737,22.094,588453,0
1995-02-23,22.327,22.45,21.386,21.737,1158927,0
1995-02-24,21.855,22.094,21.51,21.51,414640,0
1995-02-27,21.737,21.979,21.622,21.855,339541,0
1995-02-28,21.737,22.327,21.737,22.094,218171,0
1995-03-01,22.327,22.675,22.205,22.675,813114,0
1995-03-02,22.675,22.675,22.205,22.45,294760,0
1995-03-03,22.563,22.675,22.45,22.563,433680,0
1995-03-06,22.327,22.327,21.979,22.094,573559,0
1995-03-07,21.979,21.979,21.622,21.622,451447,0
1995-03-08,21.737,21.855,21.51,21.737,1079683,0
1995-03-09,21.622,22.094,21.622,21.737,355816,0
1995-03-10,21.979,22.094,21.51,21.51,832575,0
1995-03-13,21.622,22.094,21.622,22.094,472614,0
1995-03-14,22.094,22.563,21.979,22.205,495801,0
1995-03-15,22.327,22.327,21.979,22.327,249765,0
1995-03-16,22.094,23.388,22.094,23.145,947993,0
1995-03-17,23.145,23.388,22.796,22.919,871506,0
1995-03-20,23.145,23.737,22.919,23.616,613664,0
1995-03-21,23.502,23.616,23.145,23.145,290292,0
1995-03-22,23.267,23.388,23.145,23.267,502505,0
1995-03-23,23.145,23.267,22.796,22.796,288375,0
1995-03-24,23.033,23.267,22.563,22.675,373049,0
1995-03-27,22.919,23.267,22.919,23.145,703121,0
1995-03-28,23.267,24.33,23.267,24.33,1031494,0
1995-03-29,24.677,25.494,24.677,24.915,1217540,0
1995-03-30,25.026,25.026,24.33,24.33,554944,0
1995-03-31,24.33,24.33,23.861,24.084,504312,0
1995-04-03,24.207,24.443,23.861,24.443,449532,0
1995-04-04,24.33,25.494,24.33,25.494,714823,0
1995-04-05,25.383,25.383,24.677,24.915,711100,0
1995-04-06,24.915,25.026,23.737,23.861,947568,0
1995-04-07,24.084,24.207,23.616,23.616,798539,0
1995-04-10,23.616,23.616,23.033,23.033,737375,0
1995-04-11,23.033,23.388,23.033,23.267,613346,0
1995-04-12,23.145,23.861,23.145,23.737,821834,0
1995-04-13,23.737,24.443,23.737,24.443,489845,0
1995-04-17,24.207,24.33,23.737,23.737,574732,0
1995-04-18,23.737,23.737,23.033,23.145,932463,0
1995-04-19,22.563,22.563,18.688,20.569,9634372,0
1995-04-20,19.158,19.853,18.688,19.631,6997823,0
1995-04-21,19.631,20.681,19.507,20.326,3913766,0
1995-04-24,20.098,20.569,20.098,20.326,1949702,0
1995-04-25,20.213,20.326,18.916,19.271,2613254,0
1995-04-26,19.385,19.853,19.271,19.631,1582929,0
1995-04-27,19.507,19.631,18.567,18.8,3736014,0
1995-04-28,18.688,18.8,17.748,18.333,2793662,0
1995-05-01,18.444,19.037,17.975,18.8,1881197,0
1995-05-02,18.8,19.158,18.567,19.037,1764081,0
1995-05-03,19.271,19.385,18.567,18.567,1549526,0
1995-05-04,18.444,18.567,16.81,17.157,3450406,0
1995-05-05,17.506,17.861,17.279,17.628,2115216,0
1995-05-08,17.748,18.688,17.628,18.333,2776431,0
1995-05-09,18.567,19.385,18.444,19.037,3381474,0
1995-05-10,19.743,20.326,19.507,20.213,3686765,0
1995-05-11,20.213,20.797,20.098,20.213,1966299,0
1995-05-12,19.976,19.976,19.385,19.743,2156701,0
1995-05-15,19.631,20.098,19.631,19.631,1078617,0
1995-05-16,19.743,19.976,19.631,19.631,718012,0
1995-05-17,19.631,20.098,19.507,19.853,913102,0
1995-05-18,19.853,19.976,19.631,19.631,736631,0
1995-05-19,19.631,19.631,19.158,19.507,993735,0
1995-05-22,19.631,19.743,19.037,19.158,713864,0
1995-05-23,19.385,20.213,19.271,20.213,1367738,0
1995-05-24,20.681,20.797,19.976,20.213,1372418,0
1995-05-25,20.213,20.213,19.631,19.976,516440,0
1995-05-26,19.853,19.976,19.563,19.631,513991,0
1995-05-30,19.853,19.976,19.631,19.631,673978,0
1995-05-31,19.743,19.853,19.631,19.853,1396777,0
1995-06-01,20.098,20.213,19.853,20.098,1231686,0
1995-06-02,20.098,20.917,19.976,20.569,1792058,0
1995-06-05,20.447,21.386,20.326,21.152,1268174,0
1995-06-06,21.152,21.737,21.152,21.265,1039687,0
1995-06-07,22.327,22.45,21.855,21.979,2067882,0
1995-06-08,22.205,22.205,21.737,21.855,916930,0
1995-06-09,22.094,22.094,21.51,21.51,458786,0
1995-06-12,21.622,21.622,21.386,21.386,676531,0
1995-06-13,21.51,21.622,21.386,21.51,765668,0
1995-06-14,18.333,18.916,18.098,18.444,12754063,0
1995-06-15,18.688,18.916,18.444,18.8,3754736,0
1995-06-16,18.8,19.037,18.688,18.688,1250409,0
1995-06-19,18.8,18.8,18.688,18.8,1229134,0
1995-06-20,18.8,18.8,18.444,18.8,1867797,0
1995-06-21,18.8,18.8,18.333,18.688,1465388,0
1995-06-22,18.688,18.8,18.444,18.688,3587305,0
1995-06-23,18.567,18.8,18.098,18.218,2936517,0
1995-06-26,18.333,18.444,17.628,17.748,3199790,0
1995-06-27,17.975,17.975,16.339,16.81,6832307,0
1995-06-28,16.563,16.687,16.339,16.451,3601987,0
1995-06-29,16.451,16.687,15.982,16.339,3543587,0
1995-06-30,16.339,16.687,16.218,16.687,2244673,0
1995-07-03,16.687,17.034,16.563,16.865,794180,0
1995-07-05,16.922,17.157,16.563,16.563,1714086,0
1995-07-06,16.687,16.687,16.339,16.563,1635689,0
1995-07-07,16.563,16.687,16.218,16.451,2140642,0
1995-07-10,16.687,16.81,16.339,16.451,1563784,0
1995-07-11,16.451,17.034,16.339,16.687,2390403,0
1995-07-12,16.922,17.279,16.563,17.157,3028425,0
1995-07-13,17.279,17.628,17.279,17.506,2024268,0
1995-07-14,17.392,17.975,17.279,17.861,1363804,0
1995-07-17,18.218,18.333,17.975,17.975,1994592,0
1995-07-18,18.098,18.098,17.392,17.975,1358910,0
1995-07-19,17.975,17.975,17.392,17.628,1537082,0
1995-07-20,18.218,18.218,17.748,18.218,1454963,0
1995-07-21,17.861,18.098,17.628,17.861,725887,0
1995-07-24,17.861,18.218,17.748,17.975,1518467,0
1995-07-25,18.098,18.333,18.098,18.218,2069050,0
1995-07-26,18.333,18.8,18.333,18.567,3420304,0
1995-07-27,18.916,19.158,18.567,18.567,3096184,0
1995-07-28,19.037,19.271,18.916,18.916,2932904,0
1995-07-31,19.743,19.976,18.218,18.333,2951199,0
1995-08-01,18.444,18.8,18.333,18.688,1291577,0
1995-08-02,18.8,18.916,18.567,18.688,1166695,0
1995-08-03,17.861,17.975,17.279,17.58,4782507,0
1995-08-04,17.279,17.392,16.81,16.922,3518801,0
1995-08-07,16.922,17.279,16.922,17.157,1368587,0
1995-08-08,17.628,17.628,17.392,17.506,811302,0
1995-08-09,17.628,17.748,17.157,17.157,855977,0
1995-08-10,17.157,17.628,17.034,17.392,2319774,0
1995-08-11,17.392,17.506,17.279,17.506,781625,0
1995-08-14,17.506,17.748,17.279,17.628,767052,0
1995-08-15,17.748,18.333,17.392,17.506,799494,0
1995-08-16,17.628,17.748,17.506,17.628,527928,0
1995-08-17,17.861,18.098,17.628,18.098,705146,0
1995-08-18,18.098,18.333,17.861,17.861,767797,0
1995-08-21,17.861,18.098,17.506,17.506,868212,0
1995-08-22,17.392,17.628,17.279,17.392,996284,0
1995-08-23,17.392,17.392,17.034,17.157,877467,0
1995-08-24,17.279,17.392,17.034,17.392,827473,0
1995-08-25,17.279,17.392,17.157,17.279,454104,0
1995-08-28,17.279,17.279,17.034,17.157,408898,0
1995-08-29,17.157,17.279,17.034,17.034,793857,0
1995-08-30,17.279,17.392,16.922,17.157,893423,0
1995-08-31,17.157,17.279,17.034,17.157,1151480,0
1995-09-01,17.034,17.157,17.034,17.157,227637,0
1995-09-05,17.157,17.748,17.034,17.506,1112550,0
1995-09-06,17.628,18.218,17.628,18.218,1998953,0
1995-09-07,18.218,18.333,18.098,18.218,1302958,0
1995-09-08,18.444,19.271,18.218,19.158,2246376,0
1995-09-11,19.385,19.631,18.688,18.8,1840565,0
1995-09-12,18.8,18.916,18.567,18.567,637170,0
1995-09-13,18.688,19.158,18.567,18.916,906185,0
1995-09-14,18.916,19.037,18.8,18.916,795027,0
1995-09-15,18.8,18.916,18.444,18.688,744609,0
1995-09-18,18.688,18.688,18.444,18.688,486230,0
1995-09-19,18.567,19.037,18.444,19.037,658446,0
1995-09-20,19.037,19.385,18.916,18.916,1273810,0
1995-09-21,18.916,19.037,18.688,18.916,438680,0
1995-09-22,18.8,18.8,18.444,18.688,430914,0
1995-09-25,18.688,18.8,18.444,18.567,249974,0
1995-09-26,18.567,18.916,18.567,18.567,762157,0
1995-09-27,18.8,19.037,18.444,18.567,1343271,0
1995-09-28,18.567,18.916,18.567,18.8,621429,0
1995-09-29,18.8,19.385,18.8,18.916,1971932,0
1995-10-02,18.916,19.158,18.688,18.688,1074045,0
1995-10-03,18.688,18.8,18.444,18.688,556114,0
1995-10-04,18.567,18.688,18.444,18.567,477929,0
1995-10-05,18.567,18.688,18.333,18.444,354435,0
1995-10-06,18.444,18.567,18.333,18.567,239125,0
1995-10-09,18.333,18.333,17.975,18.218,428893,0
1995-10-10,18.218,18.218,17.748,17.748,818748,0
1995-10-11,18.098,18.098,17.506,17.506,848748,0
1995-10-12,17.628,18.218,17.628,18.098,546860,0
1995-10-13,18.333,18.8,18.333,18.8,804283,0
1995-10-16,18.688,19.037,18.688,18.688,622066,0
1995-10-17,19.158,19.158,18.916,19.158,664509,0
1995-10-18,19.271,19.507,19.037,19.037,774179,0
1995-10-19,19.037,19.271,18.916,19.271,400279,0
1995-10-20,19.158,19.271,18.916,18.916,573026,0
1995-10-23,18.916,19.385,18.916,19.158,713546,0
