Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,2.3739,2.3739,2.3739,2.3739,4744,0
1995-01-04,2.3462,2.4296,2.3462,2.4296,81956,0
1995-01-05,2.3739,2.3739,2.3739,2.3739,4744,0
1995-01-06,2.3739,2.3739,2.3182,2.3182,36234,0
1995-01-09,2.3182,2.3182,2.3182,2.3182,3020,0
1995-01-10,2.3182,2.3182,2.3182,2.3182,1726,0
1995-01-11,2.3182,2.4296,2.3182,2.3462,37095,0
1995-01-12,2.3182,2.3739,2.2628,2.2628,150538,0
1995-01-13,2.2628,2.4296,2.2628,2.2628,62975,0
1995-01-16,2.2072,2.3182,2.2072,2.3182,35801,0
1995-01-17,2.2072,2.3182,2.2072,2.3182,29330,0
1995-01-18,2.3182,2.3182,2.2072,2.2072,3885,0
1995-01-19,2.2072,2.3182,2.2072,2.3182,22863,0
1995-01-20,2.2072,2.3182,2.2072,2.2072,120778,0
1995-01-23,2.2072,2.2628,2.2072,2.2072,16824,0
1995-01-24,2.2628,2.2628,2.2072,2.2628,4314,0
1995-01-25,2.2072,2.2072,2.1421,2.1421,10352,0
1995-01-26,2.1421,2.1421,2.1421,2.1421,10352,0
1995-01-27,2.1421,2.17,2.1421,2.1421,103093,0
1995-01-30,2.1421,2.2628,2.1421,2.1421,4744,0
1995-01-31,2.1421,2.2628,2.1421,2.2628,13373,0
1995-02-01,2.1421,2.1421,2.1421,2.1421,431,0
1995-02-02,2.17,2.2628,2.1421,2.1421,55212,0
1995-02-03,2.1421,2.2628,2.1421,2.2628,2586,0
1995-02-06,2.1421,2.17,2.1421,2.17,53055,0
1995-02-07,2.1421,2.2628,2.1421,2.2628,3020,0
1995-02-08,2.2072,2.2628,2.0305,2.1421,186774,0
1995-02-09,2.1421,2.1421,2.0305,2.1421,20705,0
1995-02-10,2.1421,2.1421,2.0864,2.1421,87133,0
1995-02-13,2.0864,2.1421,2.0864,2.0864,17255,0
1995-02-14,2.0864,2.1421,2.0587,2.1421,94032,0
1995-02-15,2.0864,2.0864,2.0864,2.0864,11648,0
1995-02-16,2.0864,2.2072,2.0864,2.2072,58233,0
1995-02-17,2.1421,2.2072,2.1421,2.2072,51761,0
1995-02-21,2.2072,2.2628,2.1421,2.2628,40549,0
1995-02-22,2.17,2.2628,2.1421,2.2628,90582,0
1995-02-23,2.1421,2.2906,2.1421,2.2072,20274,0
1995-02-24,2.2072,2.3182,2.2072,2.2346,32350,0
