Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,31.513,31.513,30.921,31.431,125150,0
1995-01-04,31.175,31.345,30.921,31.175,114568,0
1995-01-05,31.345,31.345,30.746,31,114455,0
1995-01-06,31,31.175,30.746,30.834,133683,0
1995-01-09,31,31.256,30.834,31,140621,0
1995-01-10,31.175,31.687,31.09,31.687,222422,0
1995-01-11,32.196,32.196,31.513,31.852,124581,0
1995-01-12,31.942,32.03,31.687,31.852,107855,0
1995-01-13,32.108,32.108,31.687,31.852,104670,0
1995-01-16,31.852,32.196,31.852,31.942,89197,0
1995-01-17,31.942,32.539,31.942,32.451,233119,0
1995-01-18,32.282,32.539,32.196,32.363,143235,0
1995-01-19,32.196,32.282,31.852,31.942,129470,0
1995-01-20,31.942,32.196,31.852,31.852,275782,0
1995-01-23,31.513,32.363,31.513,32.363,105921,0
1995-01-24,32.363,32.539,32.03,32.03,103873,0
1995-01-25,32.282,32.451,31.942,32.196,134704,0
1995-01-26,32.196,32.451,32.108,32.363,73156,0
1995-01-27,32.618,33.214,32.363,33.139,121280,0
1995-01-30,33.214,33.391,33.048,33.048,120370,0
1995-01-31,32.961,33.981,32.961,33.558,219011,0
1995-02-01,33.304,33.558,32.282,32.706,208090,0
1995-02-02,32.793,32.872,32.282,32.872,239603,0
1995-02-03,33.048,33.304,32.793,33.214,159849,0
1995-02-06,33.304,33.47,33.214,33.391,147449,0
1995-02-07,32.961,33.304,32.793,33.304,126174,0
1995-02-08,33.139,33.813,33.139,33.391,247341,0
1995-02-09,33.214,33.304,32.872,33.139,73612,0
1995-02-10,33.214,33.391,33.048,33.214,58364,0
1995-02-13,33.304,33.47,33.048,33.139,103421,0
1995-02-14,33.214,33.214,32.539,32.872,161216,0
1995-02-15,33.048,33.304,32.961,33.048,127086,0
1995-02-16,33.304,33.304,32.872,32.961,165196,0
1995-02-17,33.048,33.139,32.793,32.793,197623,0
1995-02-21,32.961,33.214,32.961,33.214,103193,0
1995-02-22,33.214,33.214,32.961,32.961,117640,0
1995-02-23,33.139,33.304,33.048,33.048,120143,0
1995-02-24,33.139,33.214,32.961,33.048,198075,0
1995-02-27,32.872,33.048,32.793,32.961,107742,0
1995-02-28,32.872,33.139,32.706,32.793,146765,0
1995-03-01,32.618,32.793,32.363,32.539,202853,0
1995-03-02,32.539,32.618,32.03,32.539,252460,0
1995-03-03,32.539,32.539,32.108,32.451,230388,0
1995-03-06,32.451,33.214,32.282,33.139,203651,0
1995-03-07,33.139,33.646,32.961,33.47,331077,0
1995-03-08,33.558,34.411,33.47,34.156,2270428,0
1995-03-09,34.156,34.156,33.558,33.813,346206,0
1995-03-10,34.068,34.578,33.902,34.411,325955,0
1995-03-13,34.411,34.411,34.068,34.156,276350,0
1995-03-14,34.411,35.263,34.411,35.175,208999,0
1995-03-15,35.175,35.43,35.01,35.343,160418,0
1995-03-16,35.175,35.686,35.175,35.519,139144,0
1995-03-17,35.519,35.607,35.089,35.43,306615,0
1995-03-20,35.519,35.686,35.263,35.43,108881,0
1995-03-21,35.73,36.162,35.3,35.641,278855,0
1995-03-22,35.641,35.73,35.133,35.386,224243,0
1995-03-23,35.3,35.907,35.3,35.386,128447,0
1995-03-24,35.476,36.162,35.386,35.907,158031,0
1995-03-27,36.248,36.413,35.3,35.984,139936,0
1995-03-28,36.248,36.329,35.476,35.563,131859,0
1995-03-29,35.476,36.072,35.3,35.563,210362,0
1995-03-30,35.907,35.984,35.476,35.563,161899,0
1995-03-31,35.22,35.386,34.878,35.386,265314,0
1995-04-03,35.476,35.563,35.043,35.133,113542,0
1995-04-04,35.3,35.984,35.3,35.984,152681,0
1995-04-05,35.907,36.757,35.907,36.248,263155,0
1995-04-06,36.248,36.329,36.072,36.329,95228,0
1995-04-07,36.329,36.413,35.476,35.476,283977,0
1995-04-10,35.563,35.563,34.954,35.22,155525,0
1995-04-11,35.3,35.907,34.878,34.878,155868,0
1995-04-12,34.954,35.3,34.7,35.043,185674,0
1995-04-13,35.133,35.22,34.615,34.789,117867,0
1995-04-17,34.954,35.043,34.534,34.7,95343,0
1995-04-18,34.878,34.878,34.27,34.789,181578,0
1995-04-19,34.789,34.878,34.534,34.789,156323,0
1995-04-20,34.789,34.789,34.358,34.7,83619,0
1995-04-21,34.615,34.789,34.534,34.7,246544,0
1995-04-24,34.534,35.22,34.445,35.133,184197,0
1995-04-25,34.954,35.3,34.789,34.878,115480,0
1995-04-26,35.043,35.133,34.534,35.043,105466,0
1995-04-27,34.878,35.22,34.615,35.043,76452,0
1995-04-28,34.954,35.3,34.534,35.22,90107,0
1995-05-01,35.133,35.22,34.445,34.445,105808,0
1995-05-02,34.534,34.878,34.27,34.878,166448,0
1995-05-03,34.954,35.563,34.878,35.3,169406,0
1995-05-04,35.476,35.907,35.3,35.641,196367,0
1995-05-05,35.641,35.817,35.043,35.133,195003,0
1995-05-08,35.3,35.3,34.358,35.133,79752,0
1995-05-09,35.133,35.3,34.615,34.878,197053,0
1995-05-10,34.954,34.954,34.615,34.7,73268,0
1995-05-11,34.7,34.7,34.105,34.191,211843,0
1995-05-12,34.191,34.191,33.241,33.76,325843,0
1995-05-15,33.074,33.241,32.557,33.074,456225,0
1995-05-16,32.9,33.074,32.476,32.644,426985,0
1995-05-17,32.557,32.986,32.046,32.82,402979,0
1995-05-18,32.389,32.82,32.301,32.301,253482,0
1995-05-19,32.135,33.074,32.046,33.074,260538,0
1995-05-22,32.9,33.673,32.9,33.074,176005,0
1995-05-23,33.074,33.76,32.9,33.673,172705,0
1995-05-24,33.76,33.926,32.644,32.644,404342,0
1995-05-25,31.36,32.9,31.274,32.732,384549,0
1995-05-26,32.732,33.074,32.389,32.732,266340,0
1995-05-30,32.732,33.074,32.644,32.644,126857,0
1995-05-31,32.732,34.015,32.557,33.76,628929,0
1995-06-01,33.76,33.76,32.82,33.164,234823,0
1995-06-02,33.164,33.76,33.074,33.586,257580,0
1995-06-05,33.926,34.105,33.417,34.105,235849,0
1995-06-06,33.417,34.105,33.417,34.015,157460,0
1995-06-07,33.586,33.849,33.417,33.76,173843,0
1995-06-08,34.015,34.105,33.926,34.105,246654,0
1995-06-09,34.015,34.105,33.417,33.849,247341,0
1995-06-12,34.015,34.191,33.673,34.015,146196,0
1995-06-13,34.191,34.27,33.849,34.27,159735,0
1995-06-14,34.27,34.358,34.015,34.27,309230,0
1995-06-15,34.191,34.534,34.105,34.27,250639,0
1995-06-16,34.534,35.133,34.191,34.954,396042,0
1995-06-19,34.789,35.3,34.789,35.22,99889,0
1995-06-20,35.043,35.22,34.954,35.133,143126,0
1995-06-21,35.22,35.386,35.043,35.3,90448,0
1995-06-22,35.73,35.73,35.476,35.563,142671,0
1995-06-23,35.43,35.519,34.737,35,97615,0
1995-06-26,34.825,35.165,34.649,34.649,100116,0
1995-06-27,34.48,35.343,34.48,35,197053,0
1995-06-28,35,35.686,34.737,34.911,124238,0
1995-06-29,34.649,34.737,34.219,34.569,98525,0
1995-06-30,34.569,34.737,34.051,34.306,110813,0
1995-07-03,34.48,34.825,34.48,34.649,52789,0
1995-07-05,34.569,35.598,34.569,34.569,187039,0
1995-07-06,34.737,34.737,34.395,34.48,179760,0
1995-07-07,34.48,34.48,34.051,34.138,150067,0
1995-07-10,34.306,34.306,33.706,33.788,270665,0
1995-07-11,33.875,33.962,33.706,33.875,176345,0
