Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,3.1758,3.1916,3.1436,3.1836,52026688,0
1995-01-04,3.1916,3.2157,3.1598,3.1758,52206256,0
1995-01-05,3.1836,3.2477,3.1758,3.1998,75418347,0
1995-01-06,3.1998,3.2477,3.1916,3.2477,70226852,0
1995-01-09,3.2398,3.296,3.2398,3.296,93594567,0
1995-01-10,3.3121,3.36,3.296,3.3279,136321655,0
1995-01-11,3.3361,3.36,3.296,3.3039,72910388,0
1995-01-12,3.3039,3.3762,3.2718,3.3523,106473547,0
1995-01-13,3.3762,3.4163,3.3682,3.4002,157981483,0
1995-01-16,3.4163,3.4163,3.384,3.4002,74277091,0
1995-01-17,3.4002,3.4643,3.3361,3.3439,148013493,0
1995-01-18,3.4081,3.4723,3.4081,3.4643,236330771,0
1995-01-19,3.4563,3.5285,3.4484,3.5285,183298505,0
1995-01-20,3.5124,3.5285,3.424,3.4324,182352783,0
1995-01-23,3.4163,3.5285,3.3924,3.5124,131259845,0
1995-01-24,3.5285,3.5764,3.4886,3.5686,137987641,0
1995-01-25,3.4964,3.5847,3.4723,3.5364,190361495,0
1995-01-26,3.5285,3.5606,3.4964,3.5124,98055823,0
1995-01-27,3.5205,3.5686,3.5045,3.5446,99793638,0
1995-01-30,3.5526,3.5526,3.4886,3.4964,81226358,0
1995-01-31,3.4886,3.4964,3.4402,3.4643,105078908,0
1995-02-01,3.4643,3.5446,3.4484,3.5285,93816033,0
1995-02-02,3.5205,3.6089,3.5205,3.6007,109817494,0
1995-02-03,3.6327,3.6969,3.5926,3.6732,177646116,0
1995-02-06,3.6648,3.7129,3.6648,3.6732,69955505,0
1995-02-07,3.6732,3.6809,3.6246,3.6408,55709817,0
1995-02-08,3.6969,3.8412,3.6969,3.8253,169467818,0
1995-02-09,3.8253,3.9297,3.8253,3.8652,157742063,0
1995-02-10,3.8652,3.9215,3.8492,3.8652,110441991,0
1995-02-13,3.8652,3.8977,3.8332,3.8492,67168217,0
1995-02-14,3.8492,3.9215,3.8492,3.9215,85823285,0
1995-02-15,3.9215,3.9936,3.9215,3.9776,142103727,0
1995-02-16,3.9855,4.0338,3.9696,3.9855,118456685,0
1995-02-17,3.9696,3.9696,3.9297,3.9375,100902966,0
1995-02-21,3.9375,3.9617,3.9053,3.9453,84259057,0
1995-02-22,3.9375,3.9936,3.9375,3.9776,54977582,0
1995-02-23,3.9936,4.0257,3.8977,3.8977,109208958,0
1995-02-24,3.8977,3.9297,3.8492,3.9215,97696687,0
1995-02-27,3.9053,3.9453,3.8896,3.9053,64277178,0
1995-02-28,3.9053,3.9776,3.8734,3.9776,67561275,0
1995-03-01,3.9776,4.0179,3.9297,3.9297,81473766,0
1995-03-02,3.9297,3.9776,3.9134,3.9453,48784496,0
1995-03-03,3.9375,4.0978,3.9297,4.0898,175652919,0
1995-03-06,4.0658,4.13,4.0418,4.1059,100587726,0
1995-03-07,4.0898,4.0978,4.0015,4.0095,106697011,0
1995-03-08,4.0095,4.0338,3.9535,3.9776,106998281,0
1995-03-09,3.9936,4.0338,3.9535,4.0015,105697416,0
1995-03-10,3.9936,4.0257,3.9936,4.0179,71673368,0
1995-03-13,4.0179,4.0898,4.0095,4.0658,91363941,0
1995-03-14,4.0739,4.1381,4.0739,4.1138,83450999,0
1995-03-15,4.1138,4.13,4.0658,4.0898,42940571,0
1995-03-16,4.0819,4.1138,4.0576,4.0658,43022376,0
1995-03-17,4.0819,4.0819,4.0338,4.0418,47535506,0
1995-03-20,4.0338,4.162,4.0095,4.162,83255473,0
1995-03-21,4.162,4.2023,4.1461,4.154,104169098,0
1995-03-22,4.1461,4.2102,4.13,4.2102,86820882,0
1995-03-23,4.2102,4.2824,4.2023,4.2585,137177594,0
1995-03-24,4.2824,4.3464,4.2743,4.2982,122907966,0
1995-03-27,4.2982,4.3784,4.2903,4.3704,83750278,0
1995-03-28,4.4027,4.4669,4.4027,4.4186,118153415,0
1995-03-29,4.4186,4.4909,4.2664,4.3464,199647127,0
1995-03-30,4.3464,4.3544,4.1781,4.2585,204722902,0
1995-03-31,4.1702,4.3145,4.1461,4.2341,187875484,0
1995-04-03,4.2341,4.4186,4.2182,4.4186,117716467,0
1995-04-04,4.4346,4.4986,4.3064,4.3225,125100681,0
1995-04-05,4.2903,4.3385,4.2341,4.3225,148655945,0
1995-04-06,4.3464,4.3784,4.2502,4.2664,98626449,0
1995-04-07,4.2664,4.3784,4.2422,4.3464,106108427,0
1995-04-10,4.3464,4.4186,4.3145,4.4186,99025491,0
1995-04-11,4.5308,4.595,4.5231,4.5547,216430703,0
1995-04-12,4.5632,4.587,4.5072,4.579,104348664,0
1995-04-13,4.595,4.7474,4.595,4.7394,143993178,0
1995-04-17,4.7474,4.8677,4.6671,4.6912,195373425,0
1995-04-18,4.8115,4.8195,4.6512,4.7074,209766757,0
1995-04-19,4.6912,4.7154,4.587,4.659,119456278,0
1995-04-20,4.6834,4.6994,4.611,4.6433,99097311,0
1995-04-21,4.6512,4.7074,4.611,4.635,109470329,0
1995-04-24,4.6271,4.8276,4.611,4.8195,119777504,0
1995-04-25,4.8195,4.9319,4.8195,4.9079,160499420,0
1995-04-26,4.8757,5.0201,4.8595,4.972,119811424,0
1995-04-27,4.9637,5.0924,4.9637,5.0201,113668217,0
1995-04-28,5.1083,5.1962,5.06,5.1083,165020531,0
1995-05-01,5.1643,5.2446,5.1322,5.1962,144458058,0
1995-05-02,5.1803,5.2127,5.1401,5.1884,144118878,0
1995-05-03,5.1884,5.3728,5.1884,5.3569,111990261,0
1995-05-04,5.4049,5.5653,5.3807,5.4852,220650536,0
1995-05-05,5.5333,5.5814,5.4049,5.421,179116578,0
1995-05-08,5.4049,5.6134,5.389,5.5734,146261712,0
1995-05-09,5.6217,5.6376,5.4611,5.5573,172249118,0
1995-05-10,5.6134,5.6134,5.421,5.4291,176139751,0
1995-05-11,5.3969,5.4852,5.3489,5.4533,144043056,0
1995-05-12,5.4533,5.5412,5.3969,5.4291,97602913,0
1995-05-15,5.4371,5.4533,5.3569,5.413,90458124,0
1995-05-16,5.4049,5.5011,5.3807,5.4371,104256887,0
1995-05-17,5.4771,5.5573,5.4691,5.5253,129458183,0
1995-05-18,5.5653,5.7498,5.5253,5.5253,212735603,0
1995-05-19,5.5175,5.6455,5.5011,5.5573,182396678,0
1995-05-22,5.5734,5.7256,5.5734,5.6937,128658112,0
1995-05-23,5.7176,5.8382,5.7097,5.8138,152412899,0
1995-05-24,5.9023,5.9422,5.7817,5.8061,173342485,0
1995-05-25,5.8061,5.8942,5.7498,5.8622,106146335,0
1995-05-26,5.8382,5.8622,5.7498,5.7817,71950696,0
1995-05-30,5.7979,5.8299,5.4448,5.5175,302234040,0
1995-05-31,5.5573,5.6134,5.389,5.6054,204108382,0
