Date,Open,High,Low,Close,Volume,OpenInt
1995-01-03,5.1506,5.2063,5.1506,5.2063,510580,0
1995-01-04,5.2063,5.2437,5.1506,5.2063,1863540,0
1995-01-05,5.1879,5.2906,5.1879,5.2906,909264,0
1995-01-06,5.2343,5.3278,5.2343,5.3278,821808,0
1995-01-09,5.3186,5.3278,5.2625,5.3278,729211,0
1995-01-10,5.3278,5.3465,5.2906,5.3465,546586,0
1995-01-11,5.2906,5.3465,5.2906,5.3465,511862,0
1995-01-12,5.2906,5.3651,5.2906,5.2997,1914984,0
1995-01-13,5.3651,5.4026,5.3091,5.4026,1188346,0
1995-01-16,5.4026,5.4678,5.3837,5.3837,3935428,0
1995-01-17,5.421,5.44,5.3651,5.421,1835245,0
1995-01-18,5.3651,5.421,5.3278,5.3837,1749079,0
1995-01-19,5.3465,5.3465,5.2906,5.3278,778083,0
1995-01-20,5.2625,5.2811,5.1318,5.1879,846247,0
1995-01-23,5.1318,5.1879,5.0759,5.1879,1031441,0
1995-01-24,5.1879,5.2063,5.1506,5.1691,349817,0
1995-01-25,5.1506,5.1691,5.0759,5.1691,3913562,0
1995-01-26,5.1318,5.2063,5.0945,5.1506,1466138,0
1995-01-27,5.0945,5.1506,5.0945,5.1506,501573,0
1995-01-30,5.0945,5.1318,5.0759,5.1134,338242,0
1995-01-31,5.1134,5.1318,5.0572,5.1318,1310522,0
1995-02-01,5.0759,5.1318,5.0572,5.1318,1070022,0
1995-02-02,5.0759,5.1318,5.0572,5.0945,478423,0
1995-02-03,5.0572,5.1318,5.0572,5.1225,1262936,0
1995-02-06,5.0759,5.1506,5.0759,5.1506,2096322,0
1995-02-07,5.1506,5.1506,5.0759,5.1318,1273226,0
1995-02-08,5.1318,5.2063,5.1134,5.1506,1369682,0
1995-02-09,5.1691,5.2063,5.1506,5.1879,573595,0
1995-02-10,5.2063,5.4864,5.1879,5.3465,4813821,0
1995-02-13,5.2906,5.3091,5.2437,5.2906,1966425,0
1995-02-14,5.3091,5.3278,5.2437,5.3278,995428,0
1995-02-15,4.9731,5.0945,4.9265,5.0945,6688937,0
1995-02-16,5.0572,5.1134,5.0199,5.0295,2257083,0
1995-02-17,5.0295,5.0295,4.9358,5.001,2366400,0
1995-02-21,5.001,5.001,4.8799,4.8799,3447998,0
1995-02-22,4.8799,5.001,4.8799,5.001,2802386,0
1995-02-23,4.9358,5.0199,4.9358,5.0199,1493148,0
1995-02-24,4.9546,5.1134,4.9546,5.1134,1264224,0
1995-02-27,5.0759,5.1318,5.0572,5.1318,1014721,0
1995-02-28,5.0853,5.1506,5.0853,5.1506,1340103,0
1995-03-01,5.1134,5.1879,5.1134,5.1506,2550310,0
1995-03-02,5.0945,5.1879,5.0945,5.1412,2815244,0
1995-03-03,5.1134,5.2063,5.1134,5.2063,1040442,0
1995-03-06,5.1879,5.2343,5.1506,5.2343,1506007,0
1995-03-07,5.2343,5.3651,5.1691,5.3651,2079603,0
1995-03-08,5.3651,5.4678,5.3278,5.4026,4183639,0
1995-03-09,5.44,5.4678,5.3837,5.4678,2758656,0
1995-03-10,5.4678,5.524,5.44,5.524,4148914,0
1995-03-13,5.4678,5.5796,5.4678,5.5796,1104748,0
1995-03-14,5.5611,5.9624,5.5611,5.8691,4963010,0
1995-03-15,5.813,5.8691,5.6545,5.7103,3091754,0
1995-03-16,5.673,5.7568,5.6356,5.7568,1875116,0
1995-03-17,5.7103,5.8504,5.7103,5.7568,1742646,0
1995-03-20,5.813,5.8691,5.7568,5.8316,1612753,0
1995-03-21,5.813,5.8876,5.813,5.8691,1008294,0
1995-03-22,5.9064,5.9064,5.813,5.8691,2417844,0
1995-03-23,5.8691,6.0648,5.8316,6.0275,5419569,0
1995-03-24,6.0275,6.0648,5.9902,6.0648,2037162,0
1995-03-27,6.0275,6.0648,5.9902,6.0648,1293802,0
1995-03-28,6.009,6.1206,6.009,6.0648,1005720,0
1995-03-29,6.0648,6.1397,6.009,6.0648,1314381,0
1995-03-30,6.009,6.0648,5.9624,6.0275,1148476,0
1995-03-31,5.9624,6.0648,5.9529,6.0648,502861,0
1995-04-03,5.9902,6.0275,5.9064,5.9624,1651336,0
1995-04-04,5.9624,5.9624,5.7103,5.8316,3457001,0
1995-04-05,5.7755,5.8038,5.673,5.7568,2704644,0
1995-04-06,5.7012,5.7755,5.6545,5.7103,1302805,0
1995-04-07,5.7103,5.7103,5.6356,5.7012,1406981,0
1995-04-10,5.6356,5.7941,5.6356,5.7755,1934271,0
1995-04-11,5.7941,5.813,5.7291,5.7941,1409552,0
1995-04-12,5.7568,5.7941,5.673,5.7103,646903,0
1995-04-13,5.7103,5.7291,5.6545,5.7291,357531,0
1995-04-17,5.8316,6.1397,5.8316,6.0463,5804110,0
1995-04-18,6.0648,6.0648,5.9902,5.9902,2203066,0
1995-04-19,5.9902,6.0463,5.9902,6.0275,1094462,0
1995-04-20,6.009,6.0275,5.673,5.9345,6214372,0
1995-04-21,5.8504,5.9529,5.813,5.8876,2888552,0
1995-04-24,5.8691,6.4941,5.8504,6.4941,7013035,0
1995-04-25,6.4941,6.7086,6.3732,6.5126,6180934,0
1995-04-26,6.5315,6.5315,6.2236,6.4568,6105054,0
1995-04-27,6.4195,6.4941,5.524,5.6545,3023591,0
1995-04-28,5.1134,5.44,5.0572,5.2625,34957130,0
1995-05-01,5.3278,5.524,5.2063,5.4491,6823976,0
1995-05-02,5.4864,5.4958,5.3465,5.3465,2390839,0
1995-05-03,5.4678,5.5422,5.3651,5.4678,1644902,0
1995-05-04,5.3651,5.4958,5.3651,5.4958,1715640,0
1995-05-05,5.524,5.5796,5.44,5.5702,1638472,0
1995-05-08,5.5796,5.5984,5.524,5.5422,1111180,0
1995-05-09,5.5984,5.5984,5.524,5.5702,2802386,0
1995-05-10,5.5984,5.7941,5.524,5.7568,2675062,0
1995-05-11,5.8504,5.8691,5.673,5.7568,1400550,0
1995-05-12,5.7568,5.8316,5.7012,5.7568,675194,0
1995-05-15,5.7568,5.8691,5.7103,5.8691,590315,0
1995-05-16,5.8691,5.9345,5.7941,5.9064,1238503,0
1995-05-17,5.9064,6.2236,5.8316,5.9902,3365686,0
1995-05-18,6.0648,6.0648,5.7568,5.7941,3253800,0
1995-05-19,5.7852,5.7941,5.7103,5.7941,974856,0
1995-05-22,4.6841,4.8985,4.6275,4.824,72687062,0
1995-05-23,4.9172,5.0199,4.8614,5.001,22494946,0
1995-05-24,5.0199,5.1134,4.9731,5.0104,11093785,0
1995-05-25,4.9731,5.0295,4.8427,5.001,3809390,0
1995-05-26,4.9358,5.001,4.8799,4.8985,2237790,0
1995-05-30,4.8799,4.9546,4.8614,4.889,3024878,0
1995-05-31,4.8985,4.9172,4.824,4.9172,3738655,0
1995-06-01,5.0199,5.0199,4.8985,4.9546,1851965,0
1995-06-02,4.9358,5.0295,4.9172,4.9731,4192643,0
1995-06-05,5.0572,5.1506,5.0295,5.1134,6377705,0
1995-06-06,5.1134,5.1506,5.0295,5.0572,8623214,0
1995-06-07,5.0295,5.1134,5.001,5.0572,11075783,0
1995-06-08,5.0945,5.1691,5.0199,5.1598,8606494,0
1995-06-09,5.1691,5.3465,5.1318,5.2625,4124480,0
